[3.800] maddy2623: ウメちゃんおはようございます
[4.277] (S)泣き虫サクラ: 待ってた！
[9.531] weeep1: はじまってしまった
[12.258] (S)泣き虫サクラ: 見えてるし聞こえてるよ
[12.645] ゆなっこ: きたあああ！こんにちはー！
[13.219] もきち555: うめちゃあああああ
[14.371] papipopon: きたぁ
[14.724] yut7xot8: FamilyMan
[14.922] momiji4431: おはよ
[15.081] mmiiacha: umeYay
[17.578] tora6666: こんちわーーー
[18.401] wonderhit1: こんちはー
[18.722] izumi_ryu: こんちわー
[18.995] jambotanishi: usuiiiOssuOssu
[21.188] weeep1: みたい～
[22.262] ジノジュグ: こんにちわー
[22.292] (S)泣き虫サクラ: 画質も良い、見えている、聞こえてる
[23.015] 503_win: 人間見る
[24.283] ゆなっこ: お気をつけてーーー
[25.404] rere0: こにちわー
[33.505] ライム_: マイク生えてるｗｗｗ
[34.453] もきち555: ニンゲンいっぱい
[35.573] (M)Moobot: That's a tad too many emotes, @shiro_risu01 (warning)
[36.731] ememeume: ウメハラさんーーー 
[41.476] tarantarantaran: umeYay
[43.042] (S)泣き虫サクラ: 唯一の指標が身長
[44.003] TUBE_MAN: すげえ人数ｗｗｗ
[44.800] teruharu_: きたあ
[50.283] izumi_ryu: 人多いな
[51.423] ememeume: 楽しそうーーー！！！
[53.169] nikorinko: みんな行くのねｗ
[53.466] julianchen87: Hello Daigo from Singapore
[54.607] kaomoji3: きたあああああ
[54.656] shinhina: 週末は雨ですよ
[54.861] (S)泣き虫サクラ: 皆囚人みたいな雰囲気じゃねーか
[57.389] mogai555: KSKってパラサイト半地下にでてたよね
[59.094] Jasminexxx2525: きたきたきたきたー！
[61.241] yaron002: yaron002 subscribed with Prime. They've subscribed for 48 months, currently on a 3 month streak! 
[61.670] (S)SeventyTwo_7: 皆さんご武運を…
[63.822] weeep1: 今日までは楽しい企画
[64.790] 000105: アールさんめっちゃテンション低くて 嬉しい
[67.006] merkava_mk2: 何人生きて生還できるかな
[67.759] ずんころもち: おきをつけてー！
[69.970] arthur_funkyslicer: 今日からか、明日からと思ってた
[71.446] meganesandesuyo: 怪我だけはないように...
[71.965] いきつきいさな: 散歩で青森…？
[74.060] Jasminexxx2525: お気をつけて！
[76.236] 弾き一閃: 杖ある？
[77.781] queuhcs: もう疲れてる？
[79.738] mememe10: HyperX！
[81.314] teruharu_: 装備しっかり整えて下さい！
[81.454] jambotanishi: 車からマイクが生えてる！
[86.679] wonderhit1: 五本指ソックスはくなら靴ハーフサイズアップしないときついかも
[87.166] 顔面ユッケ: はじまってしまった
[87.494] kaomoji3: 遂に出発か
[90.890] cafe_gondo: やべえよ…やべえよ…
[92.475] gannaranna: すごい1週間
[95.114] inu_ikura_ika: 現在地は都内ですか？
[96.598] mogai555: もうぎすぎす
[96.949] _うに_: Shuto君、参加するんですね
[100.232] papipopon: KSKは結局車中泊なの？
[105.883] beehive3: えいた死ぬなよ
[108.052] merkava_mk2: 雨天決行なら靴用の雨具もいるよー
[108.557] Jasminexxx2525: cafeさん、よろしくお願いします！
[109.522] NatsuVolnutt: (>▽<)ﾉ
[110.897] yut7xot8: シュートがんばれ！！！
[111.537] weeep1: 唯一逃げなかった若手
[112.887] kentama11: kentama11 subscribed with Prime. 
[112.893] izumi_ryu: 新品の靴やめた方がいいと思うが
[113.615] もきち555: カレー美味しかった？
[114.881] 1108044k: シュート歩けるの？
[115.255] スガメ: 気を付けてね〜
[121.300] ラリぶべぼ: 仙台までわざわざ車なんだ
[121.695] tomohirom: えいたはそろそろ脱落した？
[124.759] (S)inkgran: シュートえいたの離脱候補
[125.379] 000105: 若手で1番根性あるね
[125.982] ゆなっこ: お天気よければいいですねー
[126.967] 粉ん: 命がけの散歩
[130.212] kaomoji3: 雨は止んでる？
[132.531] wonderhit1: 防水スプレーは？
[132.582] magic_girls777: ちゃんと車中配信環境整えてるの良いね
[132.683] (S)一1990: daiseidou subscribed with Prime. 
[133.305] (S)m1s4m0: まじで本気の設備だな
[133.573] hukohuko: KSKは自分で枷をかけて車中泊にした
[133.869] TUBE_MAN: 全員無事で終われる事を祈る
[134.387] tora6666: いまどこですか？
[137.931] mako_oswald: 配信の装備すごいな
[138.764] mogai555: えいたは絶対トラブルメーカー
[140.360] weeep1: どうせ車班が必要だからえいでしょ
[140.444] ememeume: 風強いですよね今日
[142.568] furu13: えいたもう脱落？
