[0.529] 凹しろへび: やっぱドコモ一択なのかな
[2.854] 記入漏れ: 二人とも切れたとなると、電波ぐらいじゃないかな
[5.175] 5don: umeCat
[5.614] 将門ゴルゴロ: お
[5.783] kurare2020: お
[6.211] v_harumi_v: 復活
[7.644] takeiteasy55: おかえりー
[7.961] 将門ゴルゴロ: 復活
[8.546] toro0524: 戻ったｗ
[9.368] saitama_da: お
[9.864] machakyuro: 復帰はっやｗ
[11.698] hakobune_ghc: お
[11.916] myodent21: おかえりー
[13.390] mmiiacha: ッケイ
[14.196] patriot_ryoma: 戻った
[14.909] (S)katuo3_: おかえり
[14.980] keigunnoikkaku: この後彼らがどうなったか知るものは誰もいない...
[15.097] papipopon: 戻ってきた
[15.156] enuemu3: お
[15.445] みみず3: 技研さん噛んでないのか
[17.888] simamurer2: おかえり
[18.288] tarou316: これは連コですわ
[18.662] Coedawg: 7000人が
[21.426] 5don: おかえりー！
[24.909] (S)gyu_nyuu_pann: おかえりー
[25.540] をかし: umeYay
[27.663] Hitode_noko: おかえり！
[31.530] だいこん_: umeSalute
[33.655] balthazar000: 切れた？
[39.866] une3333: 更新しないとずっとループするのかw
[47.567] (S)昼さん: 折笠格復活！
[47.610] potocki1810: 皆さん更新されましょー
[49.086] balthazar000: バッテリー大丈夫かい？
[51.073] ど正論パンチ: 電波カツアゲ
[51.286] nitro_7171: kokuji3Kaki
[58.417] kaomoji3: 復活したと聞いて
[59.438] (S)ゆなっこ: おかえりなさいー
[63.198] ~MISSING_COMMENTER_INFO~: 戻った〜
[67.621] ぷとし: 5日目あたりが一番やばそう おそらく岩手山周辺で天気は降水確率90％
[71.674] (S)foo_twitch: 38.370578, 140.878245
[72.647] dohyaaaa: KSKがビジネスチャンス逃して悲しんでる
[73.921] wahaha7788: 3000人消滅した
[74.742] (S)ハルキ10: umeGrin
[75.627] (S)gyu_nyuu_pann: ウメちゃんもサポーターしてる？
[75.669] (S)katuo3_: 4000人帰ったー
[75.918] (S)えだいこ: すごい静止画
[76.342] une3333: コメントの反応を雰囲気を見て更新していく
[76.359] kana_kana1: お腹すいた
[80.082] サーフイ: 苦行wwwwwwwwww
[84.239] もきち555: KSK「できればずっと二人止まってて欲しい」
[93.294] kana_kana1: KSKこっち向かってる
[94.638] patriot_ryoma: 田舎に行くほどドコモが良いからなぁ
[98.758] sakai_jin2020: KSKも歩けばいいのに
[111.013] balthazar000: kskどうかしたの？
[117.551] (S)泣き虫サクラ: 配信留まったから動き出した
[117.846] をかし: 配信が止まったので向かってます
[120.921] ~MISSING_COMMENTER_INFO~: 電波止まったと聞いてKSKが動き出した
[121.167] (S)gyu_nyuu_pann: 配信止まったから追いかけてくれてるんじゃない？
[121.649] sakai_jin2020: 映りたい一心
[122.933] effector_shop: 配信泥棒しに来てる
[123.807] yuhi_N: 配信と止まったから……
[124.193] 寝るポイント: KSKは「ずっと回線止まっとけよ！」って言ってる
[125.728] ど正論パンチ: kskも歩けやボケェ！
[126.828] junjamaica: こっちの配信止まったから、
[128.155] ライム_: 電波なくなったの聞いて撮れ高を取りに
[129.469] mizu0525: 取れ高だけ求めてる
[131.231] (S)しすてむえらー: ３０００人減った
[131.721] げろげろまる: 取れ高のためじゃないの
[132.991] rias9121: オデモナカマニイレテ
[136.561] rxz_2017: 有能
[140.514] sakai_jin2020: 優しい？
[142.008] 顔面ユッケ: とまったままでいろよってキレてました
[143.106] (S)gyu_nyuu_pann: 仕事はする
[144.779] 成歩堂龍一スマブラ参戦: @sakai_jin2020 全員歩いたら企画破綻するてｗｗｗ
[148.446] (S)昼さん: うわあああああ
[149.264] ~MISSING_COMMENTER_INFO~: かえってきてえ
[149.988] potocki1810: 止まった皆さま更新されたしー
[150.525] une3333: これ実際kskさんが一番大変なんじゃw
[150.759] potetotetop: 今来た。現在何キロくらい？
[151.842] 5don: 帰ってきてー！
[156.596] (S)gyu_nyuu_pann: かえってこいー！
[157.244] (S)やあああ: 止まると同接バグる
[157.483] balthazar000: バグってた？
[161.961] kaomoji3: KSKのとこに1300人おる
[164.384] nikukuisugi333: 飯は？って言ってる
[164.403] junjamaica: 梅リスナーを横取りにkskは止まっとけよってw
[165.392] リエオ: 帰ってきたお
[166.473] vajilpasta: いまどの辺ですか？
[166.576] めそたん: 帰ってきたよー！
[169.955] mx5vibe: いいね散歩
[171.279] wednes12: 電波塔が切り替わるタイミングで配信止まるのかね
[173.697] (S)えだいこ: 復活
[185.646] もきち555: もうちょっとで半分くらい
[185.879] ty_tonkichi: 前の人も身内？
[204.067] wahaha7788: かなりペース遅くない？
[204.108] (S)gyu_nyuu_pann: まだお昼だしままま
[207.734] げろげろまる: ノルマクリアできなそう
[209.181] une3333: まだ半分も行ってないのかー
[209.837] keigunnoikkaku: ペースアップしよう
[213.706] kazukitaiga: 休憩しすぎやろｗ
[213.922] matumatu777: Wi-Fi使ってる？
[214.038] haku_magot: 弘前在住のゴンタさんの弟子ですm(_ _)m 皆さん体調にお気をつけてお越しくださいm(_ _)m
[214.092] machakyuro: ウォーキングは20km超えてから本番
[214.339] yuhi_N: 遅れに気づく一向
