[12.561] momiji4431: おかえり
[14.986] poposuke: だんごwifiと離れすぎた？ｗ
[15.148] (S)chainsawman4: umeCatSleep
[15.237] teruharu_: 生還
[18.337] ガチくんコス転売ヤー: えいたが妨害電波出してるか
[21.833] もきち555: カフェ氏チャンネル登録したよー
[22.298] Coedawg: yucchoG
[27.679] yonayona04: 2019のカワノイケメンすぎる
[31.195] uncle_yam: 走れないｗ
[31.584] neon_d99: とまっとる
[31.891] takk_frosty: えいたに濡れ衣着せていくスタイルw
[36.231] (S)ｾﾀﾒﾝ: トラブル待ちｗｗ
[40.100] ラリメモ: 止まったけど、復活した
[49.849] celsior_chan: kskがクロックス（本物）買ったよ
[55.641] pgr33: 復活した
[59.765] (S)ハルキ10: えいたくん残念だったね
[62.390] v_harumi_v: えいたさん、ごめんね～
[67.987] kazukitaiga: またえいたか
[68.784] chin_56_: 俺だったわ〜
[71.192] weeep1: 本物ってうめちゃんにとっては偽物じゃん
[73.152] takk_frosty: カフェさんのCh登録したよ〜
[75.614] (S)kanjaneko: ついにクロックスきたか
[83.152] v_harumi_v: KSKさん、ありがとー
[83.806] (S)junjamaica: えいたリスナー吸収に必死ｗ
[87.129] (S)pondenring0930: 本物のクロックス初めて見たぁ！
[87.344] げろげろまる: Dが先頭集団はレア
[89.412] (S)メタルぱんだ: 履きなれたクロックスじゃなくて大丈夫？
[90.914] もきち555: 切実
[93.080] maddy2623: 初期装備が最終装備だったクロックス
[94.506] HirocoT: ホーキンスとクロックス両方買って二択だそうで
[95.919] ninsoku: ウメちゃん、えいたの語りでダンゴずっとつらそうだったよ…
[97.553] poposuke: 高学歴だから、勉強熱心
[108.196] toro0524: Dさん剥けてきた感
[109.427] aisu6969: えっ？w
[110.256] HirocoT: ｗ
[111.505] kaigaizei: 履いてみろ飛ぶぞ
[111.965] セツリ: パチモンが本物
[113.500] maddy2623: え？
[119.578] aisu6969: 全然違うよ
[119.839] satasn: ？
[125.389] (S)メタルぱんだ: ん？
[128.050] tabibitox: ドンキのパチモンがウメちゃんにとってのホンモノ
[128.067] Coedawg: umeYay
[129.287] usa451: わかるわー発揮してよ
[134.465] kazukitaiga: 言わされてる
[136.116] (S)泣き虫サクラ: 勉強勉強っていつ実技すんだよ
[138.301] samuraichampoo: しみじみ
[139.930] wonderhit1: 柵が斜めってるのって風のせい？
[142.451] HirocoT: 落語家みたいなｗ勉強ｗ
[146.605] (S)junjamaica: 買い物もろくにようせんのかぁが効いたかもなksk
[147.282] balthazar000: 折笠さん付いてきてる？
[153.709] kazukitaiga: もうそのコメント自体ユーモアがない
[161.787] poposuke: 雪かな
[162.212] usa451: 後続と離れてるのかな
[162.542] sunu_p: こーれは突っ込んでそう
[166.102] mogai555: 昨日の焼肉屋でのダンゴ、目がハニワだったでしょ
[170.130] kimie_white: こわい
[171.058] poposuke: 雪の重みでこうなるのよ
[172.340] icyblue1985: ダイナミックすぎる
[172.548] sakanin01: 雪を除雪すると雪で押し出されてこうなる
[173.991] v_harumi_v: 事故にぃだったら、かなりの事故💦
[175.630] zeisslover: 落ちてるなこれ
[176.087] 楚々: 折笠野田がログアウトしてる
[176.466] (S)やあああ: ずっと直されてないやんｗ
[177.027] (S)yudedako: 成仏してくれめんす
[178.035] (S)メタルぱんだ: え？ｗ
[179.749] balthazar000: つっこんだら真っ逆さ
[180.501] ちいトラ: 事故にぃ
[181.118] maddy2623: 派手だねぇ
[181.239] simamurer2: これはやったね～
[183.124] Pal32: 雪の重みでも曲がったりする
[185.346] (S)Lyphard1710: ここまではやってません；；
[185.445] (S)pondenring0930: パチモンで、っぱクロックスよ、て言ってるウメちゃん好きだよ
[189.884] tako2525: カフェさんの格ゲーマー雪山散策動画みてきました！すげーええ動画でした⇒Cafe GONDO
[190.506] simamurer2: えいたたまに面白いこと言う
[193.660] tabibitox: たとえば？
[195.508] alemi50: もしくは除雪の影響かも
[196.486] kimie_white: てことはここに突っ込んでくる可能性もある
[198.148] 1678923482: 車が突っ込んだらフェンスもっと歪んでるっしょ
[200.297] onigiri21: 事故りにぃ、”やった”？
[204.108] mozuk310: 弱さが売りのプロゲーマーじゃんそんなのｗ
[204.654] ラリメモ: 雪ってここまで威力あるのか…
[208.937] (S)mako_oswald: day0のときみたいにダンゴさんに無言で顔ドアップするやつ見たい
[220.526] (S)junjamaica: ふ～はこのＤをどう対処してきたんだ
[228.125] karimen4: 歩道だいじ
[253.011] kanabuso: 単純に法肩崩壊じゃないかな？
[263.866] hinokihinoki: ネトマと囲むのは別物だよね
[266.873] (S)hinemosu4: 触るとアガるよね
[281.825] matsu_zalem: 17歩で使ったデカい牌はとってあるんすか。
[291.829] (S)junjamaica: Ｄ打てるのか？
[307.703] akinko_777: ボンちゃんがよく麻雀大会開催してるよね
[317.076] akasanz3x: 久々の登りだ
[319.744] qwer______: 白鳥呼ぼう
[320.266] fdsfdddd: また翔呼んでやろう
[324.058] spring__thief: 坂道だ
[330.168] poposuke: じゃんたまでね
[331.317] totokarutyo: ちょ
[332.760] toro0524: Amazonかな
[335.384] yonayona04: じゃんたま
[335.441] (S)junjamaica: ボンちゃん杯はガチニキも出たいって
[337.403] samuraichampoo: チーにゃ？
[344.678] neon_d99: ぼんちゃんはパチスロ大会開かないの？
[351.560] Botamoti1: いやじゃんたま。なお全く勝ててない
[354.306] chandio2251: 白鳥にお願いして麻雀配信のノウハウを教えてもらおう
[354.548] aisu6969: チーにゃ
[359.641] akinko_777: ボンちゃんの実況くっそおもろいｗ
[362.428] さっぽさんぽ: 39.193131, 141.118411
[362.581] machakyuro: じゃんたまはいろいろ怪しいからなｗ
[363.312] kagami3510: 白鳥はMリーグまた始まったから忙しいな
[368.882] balthazar000: マサの大会にはこくも参加してたなぁ
[375.700] bara_567: 展勝地は寄らないルートかな
[378.446] totokarutyo: あばよこくじん
[383.286] sagamihara_a_a: 全ラスの野田
[390.338] Botamoti1: ボンちゃんが勝ち残れるように毎回ルール改正入ってるのが面白いｗ
[397.599] (S)junjamaica: Ｄ自信あるんか？
[406.125] chandio2251: ジャスティスほんま
[412.812] さっぽさんぽ: 国道に合流？
[424.260] yas1549: 4号行くルートかな？
[451.336] totokarutyo: 金ケ崎の駅が近いか？
[458.120] (S)junjamaica: 何々の横好きかｗ
[458.422] (S)メタルぱんだ: ｗｗｗ
[459.329] usa451: 低雀力
[463.086] (S)食用ばるさみこす: 高学歴低ユーモアに低雀力？
[471.989] totokarutyo: ファミマに行こうとしているのかも
[477.744] (S)junjamaica: ん？ｗ
[477.787] usa451: ときどさんも下手っぽいしな
[489.010] 宮本燈: 逆アカギ
[498.543] HirocoT: Dさんの属性が旅で増えていくｗ
[505.976] kazukitaiga: 牌効率は覚えるだけじゃないの？
[513.081] poposuke: だんごさん、マジックザギャザリングもやってるけど、もしかしてそっちも怪しいのか‥？
[513.963] (S)redpeppar510: 捨て牌みてないんかなぁｗ
[521.456] (S)raurakd: にしてもw
[521.630] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[534.398] (S)junjamaica: 学歴関係ねぇからな麻雀は
[538.549] (S)メタルぱんだ: ！？
[540.220] une3333: ときどさんはポンの時の声が大きいw
[547.800] kazukitaiga: 頭いいのに卓ゲー下手とかあるのか？
[547.807] mogai555: 他のゲームでも没ユーモアか？
[549.744] usa451: 環境情報って理系じゃないの？
[550.006] machakyuro: なにが得意なの？は聞いちゃダメｗ
[550.241] Ryozeki: 格ゲーマーの麻雀見ると大体野田さんが負けて煽られてる
[552.873] zeisslover: おはよー
[558.653] spring__thief: だんごが人より秀でてる部分はなに？
[568.410] suginaka56: ユーチューバーだー！
[571.777] (S)ほっきょく: 未来のプロゲーマーが通り過ぎたｗ
[583.567] 宮本燈: 格ゲー界最強は誰ですか？
[584.377] fdsfdddd: 今の「ふーん」は……
[589.416] kazukitaiga: はいはい
[590.396] (S)やあああ: 麻雀には厳しい
[597.530] (S)junjamaica: ふ～がＤを横に置く理由がなんかわかった気がする
[602.913] aisu6969: w
[605.586] (S)めそたん: きびしいw
[608.558] tabibitox: 黄ばみ昇竜当たりまくったんだろうなぁ
[611.075] zyangara2: 冷たいw
[616.526] (S)dj0d4y4k4: 腕はどうであれ運はいい
[616.853] tsubame0614: こくなんか150人中170位とか取るくらい次元が違う
[618.126] (S)mofumon11: 多少色ついたじゃんけん大会みたいなもんやし
[619.143] HirocoT: ｗ
[620.644] machakyuro: それはルールさえ知ってればできることだからな
[626.553] さっぽさんぽ: もってる
[628.809] shinobuchan4649: ムツゴロウさんが強いらしいね
[631.160] (S)メタルぱんだ: ｗｗｗｗ
[637.327] 321o_pi10: 半荘100回でさえ運の要素強すぎ問題
[637.932] ドア裏最高: ヒゲ
[643.608] kazukitaiga: 控えめ
[645.142] 000105: 平均値
[645.464] ata1107: 謙虚さ
[645.911] セツリ: 社長..
[647.426] mogai555: 自己肯定感皆無
[647.962] もきち555: 国道４号線
[648.169] zyangara2: 良い人
[648.754] ahiruchanng: 目が死んでるところ
[657.778] chandio2251: 目でしょう
[659.220] v_harumi_v: 髭！
[659.440] korosuke123456: ユーチューバーっぽさ
[659.570] (S)ほっきょく: 野田はリアルでもスラするのかな？
[661.508] (S)karakuri_666: youtuber力
[665.365] poposuke: わかるわー
[673.316] v_harumi_v: あちゃー
[673.341] samuraichampoo: ダッドリー
[674.852] kazukitaiga: 見た目のそれっぽさは詐欺師に向いてる
[675.284] 塚口あおい: あと数分で師範車通過っぽい
[676.244] (S)メタルぱんだ: ｗｗｗ
[677.102] sam21111: WWW
[678.422] usa451: ツェペリ
[679.007] zeisslover: ダリみたいな
[679.060] chandio2251: 自分で言うそれw
[679.789] (S)alphabetST: 肩書き
[680.830] nao0615: カイゼル髭
[684.893] (S)raurakd: 盛り下がってくるw
[685.199] もきち555: 目トロンってなってたｗ
[689.833] une3333: 自覚あるんかいw
[695.504] matsu_zalem: 写真すげえ顔だった。笑
[696.006] (S)junjamaica: KSKがＤの財産をちょっと狙ってる感がおもろかった
[697.527] HirocoT: ボケての開発を5年赤字でも頑張ったこと…？
[701.241] ドア裏最高: 手癖デブ
[704.828] simamurer2: ミートたけしとかもね
[705.952] ~MISSING_COMMENTER_INFO~: Mートたけし
[708.846] HirocoT: ｗ
[709.551] いぬみみ: ｗｗ
[711.136] 宮本燈: いいね
[711.361] chandio2251: それは間違いない
[711.477] (S)メタルぱんだ: ｗｗｗｗｗ
[712.547] A135alfa: 反省した今のDの口元はどうですか？
[713.600] prisira: 世界的ベーシストが手癖デブになる世界
[714.270] usa451: 最強じゃん
[715.586] ahiruchanng: ただただ地位
[715.814] samuraichampoo: リアルで強いｗ
[717.578] suginaka56: www
[717.951] もきち555: 大事なスキルｗ
[723.749] toro0524: ミートさん路線いけるｗ
[726.020] kazukitaiga: 俺らにはどうでもいいなｗ
[727.014] une3333: かなしーw
[728.944] (S)raurakd: じゅうぶんやろがい！
[729.351] inu_33: ｲｴｽ地位ﾉｰﾕｰﾓｱ
[732.074] chahaaaaan: 十分すぎる
[732.332] takk_frosty: 意味無いって言った直後w
[732.800] suginaka56: いや実際それはすごい
[733.982] korosuke123456: 余裕ないと平日の昼間からこんなことできんよな
[734.316] justinfun74185269: ミートさんの音楽のキャリアえっぐいからな
[736.013] 斉川: ウメちゃんってもう二度とミートさんと共演できないのか
[738.199] (S)simmonfoxy: 世界の河村竜クソデブ
[739.208] chamomile21: 市議もやったのになあ
[739.264] celsior_chan: 元静岡市議だもんなーｗ だんごさん
[740.195] (S)junjamaica: 人間らしいから
[744.612] syagami: 手癖よばわり
[744.629] 宮本燈: 舐められる力
[749.090] komine58: ウメハラの友達ってだけで上位
[751.060] zyangara2: 手癖デブ
[751.190] shinobuchan4649: twitchNGの人かー
[751.836] kazukitaiga: ミートは出禁
[753.982] habutaedango: おはようございます
[754.345] 000105: アラブの皇太子来てもあんまだよな ゲーム好きなんだーくらい
[757.087] nakanohito_22: ウメちゃん両手ふさがっててのか
[758.971] ドア裏最高: FFBGMのJAZZとか
[762.645] ポチ男: 配信だと映るだけでBANになるテロ爆弾とか呼ばれてて笑う
[768.161] ahiruchanng: ｗｗｗｗｗｗｗ
[768.655] takk_frosty: それは、残酷だよw
[768.664] salifuas: スト6も やらないかもってね ミートさん
[770.803] (S)メタルぱんだ: ｗ
[771.049] simamurer2: パワーワードｗ
[774.018] towai8: www
[774.198] toro0524: 市議ってすごくないかｗ
[775.293] (S)junjamaica: 着飾らないとこが人間味があっていいんだよな
[775.940] ddb365: 言えないなぁｗ
[779.144] botamochibouya: 音楽知らない人からするとただの気難しいデブ
[780.042] habutaedango: 面白い企画ですね
[780.828] tominaga0331: wwwwww
[783.291] kai1654865: ここにDさんがいるのがおもろいな
[786.280] (S)ancehutn: ｗｗｗｗｗ
[786.775] (S)redpeppar510: 横断歩道ないんじゃねｗ
[787.565] jojojoy001: wwwwwwwwww
[789.075] さっぽさんぽ: そこ渡り辛いのでは・・・・
[789.694] Coedawg: yucchoG
[790.099] spring__thief: でも今、市議ってアイドルでもなっちゃう時代だからな
[791.242] (S)junjamaica: えいたに語られる時点でアウト
[793.032] poposuke: 横断歩道ないね
[793.467] 宮本燈: 変なプライドがないってことか
[794.112] fdsfdddd: え、ミートさんなんでやらないの？
[799.354] (S)hinemosu4: いい会話やw
[807.540] une3333: 手つなぐか！
[810.898] mogai555: 社長とは思えないｗ
[812.496] underground0714: underground0714 subscribed with Prime. They've subscribed for 10 months! 
[817.081] chamomile21: 嬉しそうｗ
[819.410] もきち555: 立場関係ない友達なのが嬉しいね
[823.646] toro0524: えいたと元市議がはなしてるってなんかすごい
[839.846] n242f45aa: そうだよね〜
[841.454] (S)simmonfoxy: 外国に住む芸能人はみんなそう
[842.881] (S)junjamaica: うめちゃんもその一人だからなｗ
[852.614] goma_dara: 対等風
[856.028] Truth_function: それってウメちゃんのこと？
[858.634] ぽっこりお腹: 風俗で赤ちゃんプレイする社長とか
[859.141] habutaedango: するどい！
[861.362] akasanz3x: 対等風ｗ
[862.465] ddb365: たしかに
[862.505] simamurer2: ふうｗ
[863.566] n242f45aa: 対等風w
[864.153] zeisslover: 対等風
[865.858] kaigaizei: マｇ・・・
[866.462] mogai555: 今のこくじゃん
[867.111] chandio2251: 急に切れたりするよなそういうひと
[868.432] samuraichampoo: タイトー風
[870.916] n242f45aa: ww
[871.281] toro0524: ん？
[872.085] ichi_gatsu: え！？
[875.586] jojojoy001: wwwww
[876.655] (S)ancehutn: ｗｗｗｗ
[877.240] spica1987: TAITO-FU
[877.367] poposuke: あっ！
[877.564] Truth_function: ライン
[879.198] syagami: 俺だよ？
[879.833] n242f45aa: おっと？
[880.677] (S)メタルぱんだ: ！？
[881.213] (S)nakao1976: 対等風接待
[881.258] (S)hinemosu4: お、プロレスか？
[883.069] (S)daichan1200: hobo
[883.574] zyangara2: あ
[884.005] jojojoy001: カメラ止めろ
[885.841] beehive3: 怒った？
[886.529] tsubame0614: お！？
[887.199] ronamu22: 怒った？w
[887.677] toro0524: ビジネス対等か？
[887.904] balthazar000: 王が対等と？
[888.177] (S)daichan1200: ほぼ目上！？
[891.965] kazukitaiga: ん？
[892.282] spring__thief: こんだけ金出してもらってるし対等にはなれんよなw
[892.814] n242f45aa: 王だからね
[892.991] myodent21: 一番面倒ってこと？
[893.003] mememe10: ほぼ？
[893.538] (S)junjamaica: えいた次回は参加しないでいいね？
[893.984] justinfun74185269: えいた無敵技擦るね～
[895.015] ペプシ男: hobo///?
[895.084] towai8: ほぼ
[899.501] かちゅう: ほぼ？
[900.254] もきち555: えいた？
[900.364] tokage5577: えいたが痛いとこ突いてきたｗｗ
[903.448] kai1654865: お、やるか？
[904.751] ahum108: ほぼww
[907.690] balthazar000: えいたスト６で存在無くなってるんじゃ
[909.045] chamomile21: お？
[911.389] Truth_function: じゃあ風ってなんだよ笑
[915.242] towai8: えいたくん脊髄でパナしてて好きよ
