[9.511] gosanke19: ぴこぴこヤバいw
[16.239] iaheunanjda: もう寄りまくってるだろｗ
[21.678] zyangara2: イライラをおさめる丁度いいドリンクねーのかよ
[24.988] もきち555: なおった
[26.627] tentough: ば、ぐ
[27.240] しいたけもぐもぐ: 今日は脱落者いる？
[27.606] woo00001: ピコピコループw
[31.568] (S)ノア1844: 無し
[31.849] ど正論パンチ: 広告邪魔だ
[31.999] poposuke: おｋ
[32.144] まりんらぶ: 復活
[34.068] donekofg: もどた
[36.154] zyangara2: 帰ってきた 
[37.129] ライム_: YouTuber
[40.709] tosshy_type89: えいた？
[42.564] spica1987: D元気だな
[45.718] (S)LGA2011: えいた人のせいにすんのやめな？
[51.655] porcupinepine: 一旦ウメちゃんと離れたからか
[52.674] triton11519: あのさぁ・・・
[54.124] さきがみ: もどして
[54.834] masarin763: Dさんタフやね
[55.491] 戸愚呂妹: えいたほんま
[56.324] れのぼん: またれよ
