[15.647] momiji4431: ウメちゃんおはよー
[28.227] tabibitox: kita
[42.258] _てんさん: おはようございます！！！
[42.533] もきち555: おはよー
[44.474] matumatu777: おはよう
[46.544] maddy2623: ウメちゃんおはようございます
[49.180] mil_kng: おはようございます
[49.214] thunderbolt0422: おはようございます！
[50.353] mrnobody1357: おはよう！
[50.741] merkava_mk2: メガネハラ
[50.921] 000105: 詐欺師だああああ
[52.645] hato_pizza: あれなんか細くない？
[55.528] v_harumi_v: おはようございますー
[56.623] aranami0: おはよー
[58.590] じゅうしまる: ウメちゃんおはようございます
[63.175] mobageiskusoge: おはよう！
[63.773] hinokihinoki: 今日山越えの25だっけ？
[64.305] ぶっちゃ: おはよう
[68.585] 65vr39: ウメちゃん老けたな
[73.666] (S)ronamu22: 拷問かな？
[78.228] magosandaisuki: おはよー
[79.216] kiton_taichi: 配信名がホテルになってる？
[79.218] (S)haicro_zm: おはようございます
[92.175] teruharu_: タイトルがホテルの部屋のままですね
[96.438] kazyasight: おはようございます。雰囲気が変わった！
[105.737] hiisan: あっ
[109.292] koko2727: 終わった
[110.104] ぱやん: 久しぶりに見たらすごい日焼けしてる
