[3.967] 4444446666: 滑りすぎておわった
[4.527] low_single: カーロリメイト
[7.004] momiji4431: おわ
[8.271] LEE4646: おかえり
[8.369] acehirotaka: アルーのせいか
[8.601] cafe_gondo: ノーユーモア切断
[9.183] tabibitox: はやかった
[9.305] chachachakoma: もどったー
[12.031] ohigekujira: 都会
[13.755] neon_d99: やったぜ
[16.363] (S)machakyuro: 雲黒いね
[17.046] (S)pos888: 考えるの難しいな
[29.031] LEE4646: これはｗ
[29.173] porcupinepine: 大人のアレ
[31.810] (S)ミジンコ隊長: これは・・・
[33.002] (S)pos888: おっと
[33.403] wonderhit1: なになになに
[36.806] ちろリん: なにあれ
[38.069] low_single: まだあるんかｗ
[40.772] (S)がーこ: ああ
[41.312] kiichang: ワクワクが押し寄せてくるじゃん
[41.593] (S)やあああ: なにそれ
[42.662] teruharu_: 田舎特有の？！
[42.840] ddsato316: こっそりね
[45.050] (S)メタルぱんだ: ん？
[45.286] (S)yoshiaki1986: カーニチャハン地味に強い
[45.968] (S)ミジンコ隊長: お楽しみでしたね！
[46.080] Ceciltaisa: まだ残ってるとこあるんだ
[48.289] bakedonion: 自販機？
[48.784] silvia13qs: ファーミリマトー
[49.082] LEE4646: なかに大人のアイテムが
[49.739] hinokihinoki: これはえっちな自販機
[49.854] 4jou_half: 存在しているとは！？
[51.319] ddb365: 大人がくるとこ
[52.410] miruujyu: 中になにがあるにょーーｗ
[53.068] mememe10: エブーイあるか
[53.775] ペプシ男: スケベ自販機？
[54.762] tachibana29: まだ存在してたのか！？
[56.192] momochan6: エロイやつ
[56.540] icyblue1985: 念のため確認しよう
[56.871] teruharu_: チェックw
[57.086] (S)mogetasan: なにがあった？
[57.572] kaworuko19: あそこに車とめて、ね
[61.348] (S)gazesd: 限界か？
[61.415] neon_d99: 終わりか……
[61.435] しいたけもぐもぐ: 二人目？
[62.405] ガチくんコス転売ヤー: まずいな
[62.608] dodo_suko: これは
[63.671] (S)ｾﾀﾒﾝ: あー、子供の頃の夢がつまった自販機
[63.794] erukima: 折笠さんみたいになってるｗ
[63.919] lun__01: Dが死にそう
[63.947] forthemoment_elt: 肩ポンか？
[65.267] 小次郎_: あぶないななんか
[65.698] ちろリん: 折笠座り
[65.828] karimen4: 後ろまじ気を付けて
[66.401] (S)ミジンコ隊長: かわいいｗ
[66.418] (S)ancehutn: ｗｗｗ
[66.939] (S)machakyuro: そこ座るの怖くないの凄い
[67.203] butaki3: そこ怖い
[67.638] (S)dufushi: 無理スンナ氏
[67.686] (S)大鳥秀ん: コンドムー
[67.756] にわごり: そっちに座るのこええｗ
[67.838] porcupinepine: 早駆けのアール、奮迅脚のえいた
[69.052] mahiro_8: 車に気をつけて
[69.665] hinokihinoki: Dそれはあぶねぇ
[70.259] (S)sh1zuku716: ｗ
[70.297] (S)dufushi: カフェｗ
[70.591] momiji4431: 脱落か？
[70.873] balthazar000: 立つ時よろけないように気をつけてね
[71.534] unnko_buriburi: そこ座ると危ない
[71.842] (S)がーこ: だんごォー
[72.210] (S)Kojirou5260: あぶないって
[73.238] icyblue1985: カフェダンス
[73.443] porcupinepine: どどどうした
[73.877] 原子力塩太郎: なんだこれｗｗｗ
[74.287] (S)mogetasan: www
[74.524] 廿楽_芽衣: 何その踊りｗｗｗ
[75.278] (S)fortis600: 車こわいよ
[75.627] kino883: 可愛いw
[76.996] as6623: ダンゴ脱落か？
[77.259] uno3333: Dそこ危ないよw
[77.538] low_single: どろにんぎょうｗ
[78.062] おーとん: ハッスルダンス
[78.596] (S)hone253: カフェさん元気や
[79.438] sora_neko09: カフェダンス
[81.181] butaki3: 反対側へ
[81.554] milanor02: 光の玉が見える
[81.740] myodent21: かわいいw
[82.182] Coedawg: umeCatHope
[82.308] (S)yukke85: ハッスルダンスのつもりが・・・
[82.407] kiichang: MPパサーだったか
[83.432] 4jou_half: 不思議な踊り
[83.648] あさつき教: ハッスルハッスル
[83.860] しいたけもぐもぐ: ここまで頑張ったよ
[83.918] v_harumi_v: かわいいw
[85.711] enuemu3: かわええ
[86.038] 失地王: ユーモア奪ってる
[87.124] (S)pos888: 大人のじどうはんばいーき
[87.157] ohigekujira: ウォキーングポルーのおかげかな
[87.776] wonderhit1: 新しい学校のリーダーズ
[88.196] しいたけもぐもぐ: お疲れ様でした
[88.461] (S)闘劇のアルベルト: shutofOdori
[88.637] xxzoids: 限界か。
[89.239] 原子力塩太郎: 大丈夫ではない
[89.332] 記入漏れ: 物凄い勢いで吸収してるねぇ
[89.757] トネ: 無敵
[90.413] porcupinepine: ハンサム感出てきたなだんごさん
[90.564] (S)kkshkk: まじかよ
[90.662] neon_d99: KSK呼ぶ？
[92.349] (S)yoshiaki1986: 死の踊り
[92.396] PUCHU7788: イベントキャラ特有の
[92.622] forthemoment_elt: これは感動のドキュメントはじまる
[93.070] teruharu_: もう脚が…
[93.481] (S)まとご: え？リタイア？
[94.214] 閃光の: 昔のラブホはカプセルでお金払ったよな
[94.403] BISAI3: ここからくだり？
[98.286] towai8: 時速2kmになったら死ぬよ
[98.894] shifoncafe: アウトか？
[99.114] もきち555: Dあぶないよ
[99.167] (S)machakyuro: ロキソニン飲んだ？
[99.788] warunekochan: ウメちゃんうちまただね
[100.146] (S)dj0d4y4k4: おう、お疲れ！
[100.716] shir039: だんごさん滑ったの？
[101.425] qq_taro: 近いか
[103.662] showsbsp: あっ
[104.129] (S)afuring: 転がってったほうがいいんじゃね？
[104.939] moricocoa: 死臭がする
[105.459] teruharu_: 買ってる？
[105.467] のってる: 杖を使ってなかったからな
[106.675] (S)ぬこごぼう: あれれ、だんごさんどしたん
[107.008] (S)mart_00_: 大丈夫か・・・？
[107.856] acehirotaka: Dひっくりかえるなよ
[108.553] akitama0224: ハンサムか死か
[111.022] (S)pung_pung_ouji: 配信止まってたから何があったかわからんのだが
[113.330] tomitakun: Kreygasm
[115.610] (S)mart_00_: ハンサム号くるー？
[115.859] yuki_aion_aion: あれ？！
[115.896] dodo_suko: 折笠、もう寂しくないよ
[119.053] forthemoment_elt: ユーモアか死か
[121.407] ごまさんです: 今日はあと少し
[122.549] (S)pos888: ビーニルボーン
[123.697] porcupinepine: あいつら中でいかがわしいことしてないだろうな
[124.083] lun__01: アールw
[125.080] LEE4646: うってます！
[128.270] takahashiseigi: kskさん今、焼肉食ってやがりますよ
[129.007] 記入漏れ: ダンゴさんは、迫られている
[129.392] (S)dufushi: アールは一人で何を騒いでるんだ
[130.045] (S)メタルぱんだ: 何を？
[130.113] ガチくんコス転売ヤー: D車気を付けてくれ
[130.725] (S)ぬこごぼう: えっちなやつ…？？？
[130.888] 失地王: いつのだろ？
[130.902] teruharu_: 売ってる確認
[131.692] mahiro_8: 売ってます！！
[131.850] sora_neko09: 大人の自販機確認
[133.181] (S)yukke85: すごかった♥
[133.581] (S)machakyuro: しきい値があるよね
[135.263] しいたけもぐもぐ: 日本酒もすいすい飲めるって気がつくと酔ってる
[135.914] (S)メタルぱんだ: ん？
[136.923] ModernCurryRiceOOmori: 配信は無理やな
[138.604] toro0524: 即答
[138.976] ペプシ男: 売ってます！じゃねえよｗ
[139.940] lun__01: 使用済み
[140.435] shifoncafe: 草
[140.558] にわごり: やばぁ
[141.273] neon_d99: リサイクル
[141.339] teruharu_: やめたほうがいいw
[142.797] porcupinepine: 使用済みてｗ
[143.056] (S)machakyuro: 何があったの？
[144.036] (S)pos888: えぐいのしかないから
[144.172] PUCHU7788: うおお
[144.414] chamomile21: 使用済み？
[144.680] chachachakoma: まだあるんだなぁｗ
[144.936] low_single: 使用済みこわ…
[145.623] ohigekujira: こわ
[145.988] (S)afuring: 使用済みｗｗｗ
[146.164] milanor02: ゆりかごからはかばまで
[147.288] (S)fortis600: ｗｗｗ
[148.166] (S)がーこ: 地元民いそげ
[148.427] もきち555: 子供かよ
[149.256] 反省済2: 見せられないよ！
[149.516] ぐぐっす: ｗｗｗｗ
[150.141] (S)メタルぱんだ: 使用済み？
[150.625] masarin763: 本とか普通に捨ててますね
[151.493] toro0524: 何を見たの？
[152.275] kiichang: かわいいお花
[152.837] neon_d99: こそこそ
[152.846] LEE4646: 使用済みがすててあるってどういうことよｗ
[154.618] しいたけもぐもぐ: 使用済みのゴム？
[155.566] balthazar000: 皆立ち寄らん場所だからなぁ治安も
[156.686] (S)ancehutn: 田舎やなぁ
[157.989] (S)foo_twitch: 全国回ってAV自販機に補充する仕事の記事見たことあるな
[158.241] (S)nakao1976: 男子って感じのやりとり
[158.392] tw_numa: 見せられないよ
[158.710] 失地王: サブスクならご覧になれます
[160.427] みつまめ728: 伝説の自販機…存在していたのか
[162.246] low_single: ガチなしのぎ
[163.032] (S)jinkun80: えっ
[165.154] ebikatsu39: その場で見るんかｗ
[165.412] ガイ長: レートどれくらい？
[165.521] (S)fortis600: 捨ててるのは子供のためか
[166.198] neon_d99: 子供が手に入れて循環するんだろ
[169.263] (S)yukke85: 怖いのか
[169.601] 原子力塩太郎: 「リアリティ」
[170.756] (S)まとご: 夜中に行くとヤバイんだよ
[172.238] (S)machakyuro: エロ本自販機か
[176.862] (S)mart_00_: www
[181.304] (S)gazesd: umeGrin
[181.688] lun__01: R
[185.507] しいたけもぐもぐ: 野田くんチャンネル
[185.695] (S)machakyuro: R18チャンネル？
[187.379] ペプシ男: ウメハR
[189.899] sakryan: アール18
[190.083] ちっくんたっくん: R指定
[191.408] 閃光の: ドキドキしながら買ったなー
[194.782] 4jou_half: 子供のころ思い出したわ
[196.069] (S)yoshiaki1986: 怖いってなんだ
[196.282] 失地王: アール１８
[196.557] LEE4646: Ｒちゃんねるかｗ
[196.796] (S)afuring: ｗｗｗ
[197.751] chachachakoma: ええｗ
[200.938] cielcloudy248: 岩手の闇
[201.215] 反省済2: アルージュハーチ
[203.605] pugya7: スタープラチナw
[204.648] (S)dj0d4y4k4: ｵﾗｵﾗｵﾗｵﾗ
[205.347] ddsato316: スターフィンガー
[206.407] spica1987: 承太郎ｗ
[207.493] blackmark2: 草
[209.049] masarin763: いぼいぼありそう
[210.130] balthazar000: パワーもあるんじゃね？
[210.610] (S)afuring: スターフィンガー！！！！！
[213.298] usa451: 近距離パワー型
[215.602] しいたけもぐもぐ: 野田くんっていつからアールやってるの？
[215.917] koudou3: スピード&パワー
[216.153] chin_56_: 腰１
[216.377] bakedonion: アール18さん
[216.892] (S)dufushi: ディルドか
[218.403] (S)pos888: すぐ電池なくなりそう
[218.447] ちろリん: やれやれだぜ
[219.501] (S)闘劇のアルベルト: スターフィンガー出るのかな
[226.515] ~MISSING_COMMENTER_INFO~: 時間も止めてくれる
[233.868] blackmark2: 早そう（意味深
[235.416] (S)machakyuro: そういうのに興味持ち始めた頃にはなかったな
[237.150] Fumimaru_Rx: 時間停止ものか
[237.812] neon_d99: KSKめっちゃ焼肉食ってやがる
[243.599] 閃光の: レロレロレロレロ
[250.483] Coedawg: は
[251.971] largsrn: いいなあ
[253.392] (S)pos888: は？
[257.358] ごまさんです: 誰の金だ
[258.303] teruharu_: 冷麺かもしれないから！
[260.317] 閃光の: ウメさんのお金で？
[261.287] (S)sh1zuku716: 流石に？
[262.259] Coedawg: さすがに？
[262.415] chin_56_: 肉うめぇ
[262.487] 記入漏れ: 興味 示さず
[263.035] 超パンダ: 借りた金でか？
[263.661] xxzoids: 人の金で焼肉。
[265.233] (S)kkshkk: 経費の悪魔だ
[265.771] yoshikawa_yo: あいつよぉw
[266.266] usa451: 花金
[266.376] (S)n242f45aa: 冷麺だから
[266.903] cielcloudy248: ﾆｸﾞ
[268.423] ペプシ男: ライスだけかもよ？
[268.539] qq_taro: また使い込み
[273.737] sakai_jin2020: 借金して焼き肉
[274.608] もきち555: 金入ったからね
[275.844] 反省済2: 人の金で食う焼肉はうまい
[275.856] porcupinepine: 2000円返さずﾔｷﾞﾆｸﾞ
[279.110] みつまめ728: 人の金で食う焼き肉は美味いか？って聞こう
[279.367] (S)もこ69: 冷麺だと思うよ
[281.169] (S)pos888: ホテルで休むよりギルティじゃない？
[282.947] 閃光の: 流石に説教してほしい
[283.166] Fumimaru_Rx: 人の金で食う焼肉最高
[285.182] (S)sh1zuku716: ミルダムの貯金無いらしい
[285.401] しいたけもぐもぐ: お金あったら返せよｗ
[288.664] eremin_39: 家が増えてきた
[288.788] (S)achieichi: 宵越しの金は持たない
[290.902] (S)黒光り肉の: ＯＫ牧場 焼肉ランド
[295.579] (S)n242f45aa: 人の金で食う冷麺
[300.754] (S)yukke85: お金が怖い、からの焼肉
[301.995] ごまさんです: あーそのタイプだ
[302.141] dorokumakun: マジであるだけ使うからな
[305.177] しいたけもぐもぐ: 人の金でくう飯はうまいか？
[310.550] 記入漏れ: 本当に借金なんぞあるのかねぇ
[313.612] sakai_jin2020: 昨日なぜか新しいスマホ買ってた
[314.476] ModernCurryRiceOOmori: けーすけーは計画性ない
[315.335] (S)foo_twitch: VISIONの経営って予想がつくな
[319.552] usa451: 借金の悪魔自体がｋｓｋ
[319.776] porcupinepine: 金が身につかない体質
[319.897] mifune1046: 借金がある人は携帯契約できない…つまり…
[320.309] (S)kkshkk: w
[320.319] nanmi__: ｗｗｗ
[323.431] 新福菜館マン: 」
[323.962] towai8: こっそり堂にKSKいたら草
[326.928] ~MISSING_COMMENTER_INFO~: 髪はやしてる場合じゃないのよ
[329.089] chamomile21: こわいなー
[330.201] largsrn: それがKSKなんだ
[330.385] takahashiseigi: 昭和のパチプロみたいなカネの使い方がksk
[331.399] (S)pos888: 妖怪だった
[335.303] (S)がーこ: ケスーケさあ
[336.031] porcupinepine: 呪いなんだよねー
[336.573] 閃光の: 昔の金銭感覚抜けへんのやろ
[337.043] (S)n242f45aa: 穴の空いた柄杓よばわり
[342.041] oooippp: あんなサポートしてんのに・・・
[342.738] (S)nakao1976: 取りたてられる前に使い切る！
[344.433] しいたけもぐもぐ: 野田くんって仕事は普通の仕事してないの？
[344.445] (S)dufushi: 餓鬼道に堕ちた亡者みたいだな
[345.242] 原子力塩太郎: 冷麺食ってるな
[346.240] (S)黒光り肉の: 親の環境はあると思うよ
[347.613] shifoncafe: まじでなーんもねえなｗ
[347.635] (S)ｾﾀﾒﾝ: ジュース飲みながら小便してるやつ思い出した
[348.815] teruharu_: その地獄を見るのが好きなのは…
[350.505] ぐぐっす: OK牧場で冷麺
[350.822] kaworuko19: あの人お金あったらあるだけ使っちゃうってこくが言ってた
[352.206] neogreenlife: 投資しまくったんだな…
[354.375] Kenken725: 貯金ゼロはノーガードすぎる
[356.519] 記入漏れ: だよねぇ、契約周りにまるで支障ないから、昔手放した色々でそこは返してそうなのよ
[358.218] 原子力塩太郎: KSKが冷麺ツイートしてるぞ
[361.174] Mrk111: 滝沢村
[361.962] (S)EDN3rd: 封筒でけっこう貰ってたぽいから聞いたほうがいいよ
[362.690] のってる: 借金はvisionの時借りた6000万が利息で3億に膨れた
[368.754] しいたけもぐもぐ: ついに村きたか
[372.799] nosveral: 体は海の波の上で無重力を保つことができます
[375.210] porcupinepine: 触れたものが全部禁になる王様の話あったじゃん？その逆バージョンなんだよね
[376.649] dagashiya190: 滝沢村かな
[381.100] noveske0713: たきざわむら
[385.309] 猫神寝猫: 村初見勢おる？
[385.406] (S)shinobuchan4649: 天気がラスダン通じる道のそれだな
[389.440] balthazar000: たきざわむら 一番デカい村だったかな
[390.498] chin_56_: タッキー
[390.845] ModernCurryRiceOOmori: 本当に村や
[393.059] porcupinepine: インカメ
[394.032] valhund22: 少し前に村から市に変わった
[396.199] izawa2001: 元は滝沢村
[398.599] (S)闘劇のアルベルト: 盛岡冷麺うまそー
[400.557] (S)n242f45aa: KSK, OK牧場で冷麺食ってて笑った
[400.813] (S)がーこ: Dがんばえー
[402.322] lun__01: つらそう
[402.901] (S)れく太: D口開いてない？
[405.151] jojojoy001: Dさん・・・
[405.872] karimen4: Dの泣き顔やべーｗ
[406.320] (S)黒光り肉の: ディー薬キメるかー？
[407.564] (S)shinobuchan4649: 後ろの二人静かだよな
[408.545] しいたけもぐもぐ: しゅーとくんは元気なん？
[408.910] mifune1046: おや？Dも杖装備したんだついに
[408.924] porcupinepine: だんご情報助かる
[411.337] あんころーる: サングラスしてるのにつらそうなのが伝わる・・・ｗ
[413.127] shifoncafe: 相当きつそうやな
[417.042] tw_numa: 冷麺のスイカが許せるかどうか
[417.971] noveske0713: 人口が日本一多い村だった
[420.694] 閃光の: Dに話しかけてあげて
[420.946] (S)maya_g01: Dしんなりしていた…
[421.865] (S)pos888: 冷麺食いたかったんか
[430.086] トネ: あと何キロ。。
[430.281] kani7321: Dが泣いている…
[431.916] porcupinepine: エアロックか
[432.716] akinikuihuku: Dにボディタッチしてあげて
[432.908] x_abu_xx: Dはもう相当限界
[432.951] hairi0610: 手つなぐ？
[434.257] しいたけもぐもぐ: エイタさんは、会話へったねー
[436.869] (S)ｾﾀﾒﾝ: まあ冷麺だけならそんな
[442.258] さっぽさんぽ: 村から市に昇格！
[447.813] 可視化: ユモーアなくなってるよ
[448.138] (S)foo_twitch: 手をつなぐ時が来た？
[449.864] porcupinepine: えいたは歌で酸欠になって頭痛
[452.197] (S)~MISSING_COMMENTER_INFO~: マクさん subscribed with Prime. 
[455.881] (S)黒光り肉の: 終盤になってきたらみんな辛そうだな
[459.196] tw_numa: 折笠さん…Dと手を繋いであげて
[463.579] (S)メタルぱんだ: D,どうした？
[466.585] shifoncafe: なんもなさすぎて絶望するマジで
[475.152] balthazar000: KSKマジで追加の１０万使い切りそうだよなぁ
[479.820] (S)kkshkk: おんぶするか
[485.109] (S)泣き虫サクラ: じゃあおぶるしかないな
[486.291] 閃光の: ここまで来たら完走したいよな
[492.243] (S)メタルぱんだ: ん？
[493.463] (S)maya_g01: 最終奥義封じられた
[496.043] (S)tilia211: ん？
[496.261] ModernCurryRiceOOmori: 声がきこえる
[498.556] chin_56_: youtuberだぁ
[501.089] 原子力塩太郎: 16時前だしねえ
[501.577] もきち555: Youtuberいわれる
[505.378] (S)foo_twitch: 金曜日だからキッズはウキウキよ
[505.986] chachachakoma: でか
[506.038] (S)闘劇のアルベルト: かっけえ
[507.172] (S)afuring: 千と千尋じゃん
[507.210] ロイヤルロッホ那賀: でっか
[509.657] hanao_t: かっこいい
[510.499] porcupinepine: 杖をつかなければお前と歩けない、杖をついたままではお前と手を繋げない
[512.534] neon_d99: 農家か
[517.133] (S)yoshiaki1986: ツイッチャーだよ
[517.684] dagashiya190: 趣がある
[517.746] mogai555: 塀がなし！
[517.825] lun__01: あっいってみましょーだ！
[520.267] mozuk310: 車こわいなー
[531.102] tw_numa: ウメちゃん歩道入りな
[540.097] (S)uwamonq: 今日はなにたべるの？
[543.752] (S)黒光り肉の: トラックの音が鼻につきそうだな
[543.847] てつのすけ_: みんながんばれー！
[544.080] 記入漏れ: 言っちゃ悪いがこの歩道を2列になってる方が悪い
[545.499] mifune1046: それは…そう
[555.121] じなーな: 集団下校しなきゃ
[558.162] 反省済2: 妖怪イッテミーマショ
[561.278] 閃光の: オッケーGoogle
[561.404] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[563.471] 原子力塩太郎: ｗｗｗｗｗｗ
[564.069] (S)ys120: ドラクエフォーメーション
[564.124] LEE4646: ユーチューバーがきたぞ
[565.238] chamomile21: Dｗ
[566.087] ごまさんです: それはまずい
[566.664] PUCHU7788: いいね
[566.942] largsrn: へっへっへ
[567.120] nail06k: UnSane
[567.130] cigaretteomg: wwwww
[567.529] あまる_333: ｗ
[567.649] Mrk111: 元気すぎる
[567.861] こがや: ww
[568.186] もきち555: いいぞいいぞーｗ
[568.371] kaworuko19: かわいい
[568.545] chachachakoma: ｗｗｗｗ
[568.582] (S)gazesd: 前ステ
[569.396] (S)闘劇のアルベルト: キッズw
[569.537] az1283: かわいい
[569.870] Coedawg: umeGrin
[570.077] mifune1046: 事案発生
[570.133] ModernCurryRiceOOmori: こんにちは！
[570.372] hinokihinoki: 元気
[570.532] tabibitox: ゆーちゅーばーだ！
[570.720] np2np: かわいい
[570.900] momiji4431: かわいい
[570.919] (S)tilia211: こんにちはあああああああああああああああ！！！
[571.110] kiichang: たたかえ！
[571.173] mitsuyasf6: 稲中理論
[571.177] (S)afuring: かわいい
[571.633] porcupinepine: ユーチューバーでーすと叫んだだんごさんはもう
[571.777] teruharu_: こんにちは！！！
[571.906] (S)kkshkk: D出番だぞ
[572.184] 原子力塩太郎: みずから飛び込んで行ったｗｗｗ
[573.141] icyblue1985: かわゆー
[573.169] chachachakoma: 超元気ｗ
[573.741] (S)vungo_mr: ユーチューバーだよー
[574.286] nmasa: キッズ
[574.475] myodent21: 元気やねー
[574.568] habutaedango: かわいいのお！
[575.063] ohigekujira: 元気
[575.307] まにあさん: 元気だ
[575.336] tw_numa: YouTuberだー
