[13.659] 02zegu: ブブ
[14.878] momiji4431: これは山
[15.044] アンインストール: スペースＸ頑張れ！
[18.196] balthazar000: ローソン着から少し車でしょう？
[20.981] (S)ys120: 山の悪魔
[21.087] kitori_17: スマホの人は更新してね！
[21.189] 猫神寝猫: WiFi別の人が持ってるの？w
[22.198] ビフィダス: 復活
[26.488] (S)景彡才支: NPCすてんばい
[35.365] さっぽさんぽ: 山の手前ですけどね
[36.263] ca2ca2: こっからインターくらいまで電波悪いよ
[46.180] mahiro_8: kskさん待ってるよー
[48.618] (S)ｾﾀﾒﾝ: 村人NPCくるか
[49.654] 母の日ですお母さんに: 今何キロです？
[56.713] aranami0: 電波悪いのつらいな
[60.416] (S)憂う者の弟子: こわい
[61.060] 原子力塩太郎: インター→高速の入り口
[61.318] (S)tilia211: 待ってますよ～
[62.680] yut7xot8: ｗｗｗｗｗ
[63.295] tsurupikahagemaru_kun: 高速入り口かな？
[63.437] danny_love_danny: もう立ってるww
[63.663] (S)yukke85: ｗｗｗ
[63.670] wonderhit1: こわ
[67.340] yoshikawa_yo: こわい
[67.631] スクルドちゃん: 軍隊は35kg装備背負ってトレッキングだから
[67.968] もきち555: NPCスタンバイ
[68.349] アンインストール: 電波悪いところは標高高いのかな
[68.687] (S)yukke85: 見せ場
[68.861] teruharu_: 寂しがりのNPC
[68.864] だいこん_: NPCでっか
[69.180] かずのこ丸: こわ
[70.665] (S)闘劇のアルベルト: NPCだー
[70.683] balthazar000: 渡れそう？
[71.512] kitori_17: 板付きが早いｗｗｗ
[71.801] ごまさんです: NPC芸
[72.810] バチ0628: ウズウズしてるｗｗｗｗｗｗｗ
[74.644] LEE4646: NPCはやいｗ
[75.215] chin_56_: 用意周到
[76.112] mememe10: サミシカッタ
[77.183] mifune1046: でっけぇ村人
[78.004] tsurupikahagemaru_kun: でっか
[78.316] (S)hone253: 名物NPCwww
[78.785] ohigekujira: アクティブ
[78.945] soda000: npcきたああああああああ
[79.576] ddb365: セリフ言いた過ぎて
[79.596] potesaraudon: 村人適正ある
[80.670] tabibitox: 寂しかったんだろｗ
[80.751] ビフィダス: ウメだんごさんのトーク気になる
[81.068] (S)ぬこごぼう: ひえっ
[81.997] danny_love_danny: こわああああ
[82.389] low_single: 勇者待ってたｗ
[85.867] (S)maya_g01: チェックポイントおじ～～
[85.990] usa451: ツリーガード
[85.991] mahiro_8: 重要キャラwww
[86.134] かずのこ丸: でかい
[86.545] daruma2597: 町の入口に居る人か
[86.782] (S)shinobuchan4649: シフトしかれてらｗ
[87.824] (S)まとご: 言いたそう。イイの思いついたか
[88.099] enuemu3: スタンばってる
[88.398] ddsato316: 次はどんなNPCかな～
[90.261] wonderhit1: バントシフト
[90.591] 猫神寝猫: バイオの武器商人みたいにどこにでもいる人
[91.162] 閃光の: 待ちきれない
[91.861] (S)ぐるえむ: LUL
[94.113] chin_56_: はなしかける
[94.407] (S)machakyuro: 横断歩道ないねぇｗ
[95.945] PUCHU7788: NPCの鑑
[97.969] べーこん118: ツリーガード
[98.860] kebiisi: NPC
[100.007] danny_love_danny: wwww
[100.831] sussy_int: 出た
[100.912] largsrn: NPC
[100.944] ima_son: 町の名前言うのか
[101.840] iwaisi: ｗｗｗｗｗ
[101.981] aranami0: ｗｗｗ
[102.455] yakizakanada: ｗ
[102.834] sigano3123: NPC
[102.919] (S)tilia211: ｗｗｗｗｗｗｗｗ
[103.081] shifoncafe: NPC
[103.237] (S)ｾﾀﾒﾝ: ｗｗｗｗ
[103.352] かずのこ丸: ｗｗｗｗｗｗｗ
[103.491] soda000: wwwwwwww
[103.658] (S)machakyuro: 考えてたんだｗ
[103.689] べーこん118: ｗｗｗｗｗ
[103.743] enuemu3: wwwww
[103.852] (S)afuring: ｗｗｗｗｗｗ
[104.253] yakizakanada: ｗｗｗ
[104.777] hairi0610: ｗｗｗ
[104.837] (S)のら村長: wwww
[105.031] (S)むぎわら猫: ｗｗｗ
[105.357] neon_d99: こんな装備で大丈夫か？
[105.715] chachachakoma: NPCwww
[105.874] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[106.008] 原子力塩太郎: 村人きたぁ
[106.150] (S)ななお981: wwwww
[106.341] icyblue1985: NPC
[106.437] kiton_taichi: 草
[106.629] shir039: wwww
[106.750] low_single: やさしいｗ
[106.778] sora_neko09: 村人きた
[106.880] mahiro_8: www
[107.545] kebiisi: wwwww
[107.607] (S)shinobuchan4649: バリエーションｗ
[107.659] しいたけもぐもぐ: は？
[107.766] tsurupikahagemaru_kun: wwwww
[107.963] Ceciltaisa: NPCｗｗｗ
[107.964] balthazar000: MAMONO
[108.113] (S)ぐるえむ: ｗｗｗｗ
[108.205] (S)かちゅう: NPC
[108.415] (S)wankoro_moti: でたｗ
[108.435] danny_love_danny: おお
[108.467] kurankuran: ｗｗｗｗｗ
[108.982] yakizakanada: ＮＰＣ
[109.005] wahaha7788: ｗｗｗｗｗ
[109.240] ふかしいもん: そんな装備で大丈夫か？
[109.284] (S)afuring: 毎回いいな
[109.320] ishiwata1234: www
[109.540] embercleave4rr: セリフがうますぎるｗｗｗｗｗｗｗｗ
[109.697] (S)mari_mari_01: www
[109.899] wonderhit1: ふーん
[109.970] spike_san: ｗｗｗ
[110.122] てつのすけ_: なるほどw
[110.352] 小次郎_: ｗｗｗ
[110.674] friendbakery: ムービーｗｗ
[110.703] kakugedaisuki: やさしいｗ
[110.764] monjirou1: ｗｗｗ
[111.097] (S)tilia211: やさしい
[111.150] ddb365: やさしい
[111.168] dd4m: やさしいｗ
[111.254] (S)hone253: 嬉しいw
[111.657] neon_d99: 移動イベントｗｗｗ
[111.671] chamomile21: 優しいNPC
[111.712] 新ころりん: 優しいNPC
[111.719] (S)のら村長: ニコニコ
[111.918] tesna_: NPC
[112.162] (S)mogetasan: やさしい
[112.788] 5don: wwwwwww
[112.817] みんら: イベント発生！
[113.080] バチ0628: やさしい
[113.100] ところてんの助: ｗｗ
[113.210] low02220: 魔物が魔物だらけって言ってる
[113.258] あまる_333: 怖いNPCだなあ
[113.301] lun__01: 道具売るNPCだ
[113.614] teruharu_: 優しい
[113.732] yut7xot8: ｗｗｗｗｗｗ
[113.820] low_single: イベントだったｗ
[113.979] hanao_t: おもろいやんけ
[114.000] べーこん118: ＮＰＣありがとーーーーーーーー
[114.042] chin_56_: はい
[114.222] kiton_taichi: 坂の魔物
[114.577] mozu_882a: アドバイス系
[114.712] weeep1: やさしい
[114.861] prosciu: やさしい
[114.887] i_am_spartan300: wwwww
[115.093] tachibana29: こんな装備で大丈夫か？
[115.134] mahiro_8: きたー
[115.159] aranami0: いいじゃーん
[115.177] (S)achieichi: 世界観ｗ
[115.303] mifune1046: いい奴だった
[115.716] (S)machakyuro: 追い剥ぎっ！？ｗ
[115.962] (S)ぬこごぼう: やさしいNPCだった
[116.030] のぞみくん: 長文きた
[116.268] kebiisi: 優しい
[116.562] yoshikawa_yo: さみしいんだなw
[116.584] (S)成吉大: NPC感がすごいｗ
[116.878] (S)yukke85: 魔物ｗｗ
[117.142] ごまさんです: 考えてたねー
[117.246] (S)pinkdark01: 後で死ぬじゃんｗ
[118.189] 猫神寝猫: 胡散くせぇww
[118.295] (S)闘劇のアルベルト: もうネタねえな
[118.598] syagami: 親切なNPCいたぁ！
[119.188] (S)shinobuchan4649: なんだよこの子芝居ｗ
[119.213] qq_taro: 良いひと
[119.291] (S)かちゅう: NPCほんま草
[119.387] danny_love_danny: いい村人w
[119.420] (S)ronamu22: そんな装備で大丈夫か？
[119.634] largsrn: あとではしぬ
[119.698] balthazar000: これ攫われるやつでーす
[119.768] neon_d99: 馬車もってる人や
[119.877] nmasa: フラグ成立してた
[120.412] 4jou_half: やさNPC
[120.618] (S)ryo_333: 村人NPCｗｗｗ
[121.095] svcchaozu: この優しさは怪しい
[121.269] (S)kkshkk: 負債の魔物が
[121.273] (S)maya_g01: フラグｗ
[121.651] mako6912: 優しい人きたー！
[121.914] kgt6996: ホラー
[122.120] bakedonion: 歩いていくなんてとんでもない！
[122.307] ohigekujira: イベント発生
[122.881] (S)noriakiisreal: 絶対だましてくるタイプのNPC
[123.189] (S)のら村長: 優しい〜
[123.675] beehive3: いいNPC
[125.334] tsurupikahagemaru_kun: 馬車が襲われるやつだ
[125.642] enuemu3: 優しいNPC
[125.861] tesna_: 強制連行系NPC
[126.019] lun__01: だんだん板についてきた
