[6.497] 5don: uyuyuyuWww
[6.593] forthemoment_elt: 開けてはいけないパンドラの箱だったか
[6.632] manifu_: アールの不敬のせいで...
[6.946] ame512: タイミングよｗ
[7.046] sakai_jin2020: しのさんごめん
[7.083] Roze1019: おかえり
[7.085] fliege1515: 野田氏 リタイア
[7.616] のぞみくん: ウメハラの手刀
[7.919] beehive3: 制裁
[8.816] (S)tilia211: おかえり
[9.693] msfsa: あまりにも田舎
[9.821] (S)maya_g01: ｗｗ
[9.934] (S)mart_00_: 忠誠心きた
[9.981] neon_d99: ＢＡＮされた
[11.705] (S)raurakd: タイミングよw
[11.764] umesecond: ライン超えたね
[12.907] xojan1: 不敬罪でＢＡＮです
[14.036] (S)katuo3_: センシティブだったかｗ
[14.143] ポンポン: 覇王色
[14.165] sora_neko09: 検閲はいったか
[15.851] kaigaizei: ウメハラ「おい配信止めろ」
[15.978] kaworuko19: めったなこと言うとね
[16.793] 失地王: ｗ
[16.999] (S)くえんち: 言論統制
[17.105] (S)rm_rf__: 良いところで止まってなw
[17.186] icyblue1985: 王にＢＡＮされたぞ
[17.378] chin_56_: 不敬罪
[17.914] Phenomer: ｗｗｗｗ
[17.922] aranami0: ｗｗｗ
[18.068] taiyaki_ltd: w
[18.108] (S)hone253: アールさん矢に当てられたか？
[18.236] omo7144: わろた
[18.544] v_harumi_v: ｗｗ
[20.325] renoarenoa: しのさんごめーん
[20.755] (S)メタルぱんだ: ！？
[20.821] (S)やすぽこ: (笑)
[21.032] Netbancho: 不敬発言は検閲された
[21.962] mevius003: しのさんごめーーーーん
[22.079] ペプシ男: バレたか
[22.216] (S)m1s4m0: ？？？「やれ」Twitch「はい…」
[22.908] myodent21: お帰りなさいませ
[24.850] (S)mogetasan: こわいねー
[24.986] daruma2597: カメラ止めたか
[25.593] 1678923482: 電波が忠誠心見せた
[25.630] borkh3js: FootYellow
[25.633] HirocoT: 検閲ｗｗｗ
[25.867] バーニングチャーハン: 王レベルだと覇気で配信止まる
[25.986] omo7144: そりゃそうだわな
[27.003] usa451: だいごの圧政
[27.235] Siriaru0520: カフェさんはウメちゃんとの付き合いはいつからなん？
[27.254] right_8: えー
[27.290] (S)inkgran: はい、不敬罪
[27.989] どみのん: 野田氏消されたか…
[28.337] lun__01: しのさんコントロール
[29.061] paul1984jp: 不敬が過ぎたようだ
[29.357] 157655: 王の防壁システム強い
[29.926] gomeeen: 処す？処す？
[30.976] ohigekujira: 讒言が響いてしまった
[31.128] (S)akaebi800: ビーストジャミング
[32.121] (S)ys120: 「組織」
[32.756] syugi3: 消されかけたかあ
[32.946] ddb365: ウメちゃんの力すごい
[33.024] icyblue1985: 不敬罪ｗ
[33.512] (S)成吉大: アールさんスライディング刺さりすぎたんじゃね？ｗ
[35.307] Korobla_______: ネット遮断ｗ
[35.879] omo7144: 草
[36.173] だいこん_: Twitchナイスゥ！
[37.310] 記入漏れ: 過激派は一定数いるからね･･･
[38.273] (S)yukaring: なんらかの検閲が
[38.617] mozuk310: 不敬罪発動したな
[39.051] れんぞね: wifi遠い？
[39.824] xojan1: せーーーーーふ
[41.367] taiyaki_ltd: 王国政治
[41.444] (S)yukke85: 王は見聞色持ってるから
[41.723] Mrk111: 勢い強まってるやんけw
[41.840] 失地王: 中国
[42.246] (S)憂う者の弟子: なんて卑劣な
[43.236] (S)tokumeikibousya: カフェさんとウメさんの馴れ初め知りたいです。
[45.162] 失地王: ロシア
[48.833] lun__01: 粛正されちまうよ～
[50.647] のらねこさん: ディストピア
