[20.016] (S)hone253: 復活！
[20.916] LEE4646: 真っ暗で放送事故ｗ
[24.545] aranami0: 復活！！
[30.841] (S)やあああ: 暗黒
[32.759] feel2525: 山道！
[33.915] momiji4431: まっくら
[35.127] (S)がーこ: 前が見えねェ
[35.761] balthazar000: 原初の光景
[36.379] (S)machakyuro: たまに明かりが見えるｗ
[38.222] lstang: チルチル
[39.212] daruma2597: 闇だ
[57.142] 13th_arcadia: 復活
[57.427] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[58.282] m_k_style: ウメちゃん怖くないの？
[64.250] porcupinepine: カメラ死んでるようなもん
[64.960] だいこん_: 暗闇配信
[66.399] (S)machakyuro: こんなん歩いたら流石に轢かれる
[66.447] yoshikawa_yo: 車のライト点けてこれなのか
[66.647] ねっかちゃん: まだ歩いてんの？？
[67.355] Coedawg: umeYay
[67.840] (S)batorubaa: ｋｓｋ配信のがまだ見れるな
[69.627] taroumaruh: 歩いてたら 氏
[70.785] tentough: 暗黒
[75.364] (S)景彡才支: KSKの方はうっすら見える
[78.396] balthazar000: ラジオっぽくていいよ
[83.653] right_8: 暗闇配信
[83.900] (S)くえんち: umeYay
[85.037] (S)kkshkk: 真っ暗
[85.223] mako6912: くらいよー
[86.706] kaomoji3: 田舎は明かりがないんで‥
[87.859] (S)みはる_雨月: ホラー
[88.145] tentough: 輪郭
[90.638] (S)せっきゅん: 肉眼は見えてないの？
[90.868] tabibitox: 映ってるけどくらいだけやなｗ
[92.173] (S)しゅごいよ: 真っ暗だよ
[92.178] (S)修行たこ: お
[92.548] 5don: 深淵を覗いている
[94.781] のぞみくん: 🌀
[95.627] (S)ima_son: ウメハラジオ
[97.797] librabird: 暗いだけ
[98.928] (S)pos888: エラーかな
[100.147] ddb365: 対向車のライトがかろうじて
[100.893] LEE4646: カメラの性能的に画面が真っ黒
[102.696] (S)がーこ: 暗いだけー
[107.544] blackcoffee0821: 聞こえてる
[109.395] momiji4431: 暗いだけよ
[109.484] (S)tilia211: 両方戻ったか
[110.637] porcupinepine: たまにptptするけど生きてはいるよ
[111.526] shikiso49: 来てるか
[111.981] トネ: 真っ暗
[114.222] (S)keel_116: 配信は生きてる
[116.954] (S)感動詞: 光がチラチラ
[118.338] (S)machakyuro: なれですかねぇ
[120.546] (S)しゅごいよ: 声は聞こえる
[120.739] (S)pos888: 何か動いてるような
[124.236] 万年六段: いよいよもってどうでしょうみたいになってきたな
[124.850] neon_d99: くるっくる
[125.507] 5don: 暗闇でも明るく撮れるといわれるiPhoneでさえ闇
[126.207] librabird: 単純にカメラの性能のせいじゃない？
[127.089] 13th_arcadia: かすかに光が見える
[127.254] (S)ｾﾀﾒﾝ: 明るさはKSK
[131.974] (S)ima_son: 通勤道路でしょう
[133.187] cafe_gondo: トンネルです
[133.340] だいこん_: もはやサウンドオンリーでも問題ないレベル
[133.693] m_k_style: TheIlluminati
[135.525] (S)景彡才支: トンネル中
[138.154] のぞみくん: 🌀
[138.503] (S)がーこ: 安比ゲイルさあ〜
[143.417] LEE4646: 音は聞こえてますよ
[143.429] leefen6: ちらっと聞こえたけど、ウメさんそれはヴォイニッチ手稿
[145.649] balthazar000: こわｗ
[148.112] neon_d99: 動いてるな
[149.441] (S)pos888: ！？
[149.761] librabird: 顔のテカリで見えたｗ
[150.222] tabibitox: 顔
[154.039] balthazar000: いきなりぼわっとウメさんの顔がｗ
[154.681] のぞみくん: 👁️👁️
[156.096] (S)あんいんす子: ﾋｯ
[157.369] LEE4646: ウメちゃんの横顔が
[157.932] tentough: 輪郭
[171.282] balthazar000: トンネルなのね
[171.560] librabird: しゅこう
[191.045] nex_poni: 未解明の奇書
[196.564] librabird: 謎
[199.207] だいこん_: へえ
[200.030] kaigaizei: だいぶ前に解明されたんじゃなかったか
[201.307] (S)afuring: みたいなだらけ
[201.564] 5don: w
[202.013] balthazar000: 解明されてなかったっけ
[210.585] hairi0610: 定期的に解明されたってニュースになるやつ
[210.670] もきち555: 誰が書いたかもわかんないってやつ
[211.592] yoshikawa_yo: w
[211.974] (S)noriakiisreal: ヴォイニッチ手稿か
[212.723] だいこん_: umeWhat
[213.009] のぞみくん: ！？
[213.053] イゼット: ？
[213.114] rinmu_7: ヴォイニッチ手稿？
[215.765] pipitamn: は？
[217.150] porcupinepine: 手稿
[217.193] (S)tilia211: え・・・？
[220.018] のぞみくん: こわ
[225.701] kuniyoshi8: 雑学くわしいね
[228.303] watanabe0731: 古代トルコ語とかじゃなかった？
