[0.436] nihonsyu_: kskｗｗｗ
[12.080] embercleave4rr: 10年後の絵葉書マジで教えてくれｗｗｗｗｗｗ
[17.055] akasanz3x: KSKスルーしていきましたｗ
[17.866] neojapan01010: ｗｗｗｗｗ
[21.337] もきち555: つかえねーな
[21.954] syagami: なーにがあったわけぇ？
[25.131] にとう夢の: StinkyCheese
[26.043] big4lil: umeYay
[32.104] あかの: はよ話の続き！！！
[33.342] (S)n242f45aa: キンクリくらった
[33.345] Coedawg: 来た来た
[35.590] umesecond: KSKそういうのなさそうだな
[38.404] onigiri21: 真相は闇の中…ってコト！？
[40.446] (S)ishiwata1234: あーモヤモヤするぜ
[42.584] imokun888: 絵葉書の続き教えてくれよ！
[43.539] koudou3: 野田の時は名前ぶっぱしたのにｗｗｗｗ
[44.118] lutz001: 絵葉書には何て書いてあったの！？
[44.508] (S)nitro_7171: 絵はがきのあとなんだったのかぁああああ
[44.914] にとう夢の: 今すぐ引っ越しはい！
[45.690] LEE4646: 結構降ってるなぁ
[47.173] HirocoT: コメントで書いていいなら書きますがｗ
[48.018] KTR_trashbox: 現状どうなってるの？
[48.456] 弾き一閃: 座席びっしゃびしゃだな
[48.830] feel2525: 泣く泣く車移動
[53.656] kame277: お願いもっかい話して！！
[54.433] chinpocor: ウメちゃん話の続きを
[54.757] neojapan01010: ﾊﾘｰﾊﾘｰ！
[55.810] (S)adamsky111: 絵葉書の件からすげーきになる
[56.113] balthazar000: ワープするんか。歩道がらみ？
[59.074] HirocoT: シュートさんのアーカイブにありますーｗ
[64.106] fujimike: NPCきたーーーー！！
[65.225] (S)madaraomi: えいたケアえらい
[68.677] anaguma3: 歩道がらみです
[70.873] ememeume: きた！！
[73.835] おみのつ: 雨で歩道無くて暗くなるのは本当に危ない
[77.104] lutz001: 「10年後の絵葉書」
[77.491] low_single: 歩道にいはよ
[77.839] momochan6: 結構車多いなここ
[78.530] (S)laponta: umeZen
[79.716] balthazar000: やっぱ流石に雨キツイ？
[80.053] bakedonion: 道に迷ったのかい？
[80.303] ememeume: 絵葉書おわた
[81.411] demonbane_twosword: 今北 歩道がらみでワープね横からだけどありがと
[81.920] tokiomari: でしょうね
