[27.069] pettan_omochi: かっこいいの着てるねぇ
[27.830] いがぐりころころ: こんばんは Cheer100
[28.158] takastoz: こんばんは？
[30.453] nengu4u: 似合いますね！
[31.553] 不渡哲也: umeSalute
[32.822] (S)wonderhit1: 暑くない？
[34.125] leleira: こんうめー
[35.577] (S)raurakd: raurakd subscribed at Tier 1. They've subscribed for 2 months! こんばんはー
[35.614] market_fujisaki: こんばんはー
[35.992] (S)憂う者の弟子: yo！Daigo san
[36.104] (S)nobotty2007: こんばんは
[36.274] (S)raurakd: こんばんはー
[38.272] mamimemou: こんばんは
[38.463] (S)uma_disband_bass: こんばんはー
[39.293] marcusbarber: Yo big man
[43.488] ayataka33: こんばんはー
[43.752] あかの: こん。世間はGWって知ってた？
[43.771] goozy009: こんばんは、暇なんですか？
[45.984] どみのん: こんばんは！ウメちゃん暇なのか
[47.328] maddy2623: ウメちゃんおはようございます
[48.591] aimai55: おばんっっす！
[48.808] chocotaro1234: ウメちゃん頑張って～
[49.895] 不渡哲也: ブルかっこいい
[50.316] ledlight9413: NASAの方ですか
[52.866] (S)黒魔: ウメちゃんZERO3どうだったの？
[54.728] sistersguitarreplica: いいっすね
[55.145] (S)ぬこごぼう: 似合ってる
[55.550] (S)maya_g01: 似合ってるー
[55.798] (S)yamadatakashi23: いいね
[57.948] (S)あらかき: あらかき subscribed at Tier 1. They've subscribed for 2 months! 
[60.975] nozomi_sasaki: ZERO3どうでした？
[61.279] kihiro_bq: こんばんわー
[61.373] maddy2623: ザンギが話題ですが動画見ましたか？
[61.986] (S)憂う者の弟子: 暇すぎて着てしまった
[62.382] (S)nikukuisugi333: こんばんは
[63.819] ksdved: こんばんゆ～
[64.337] くまたく: スト6の新情報見ません？
[64.915] one596: スト6動画を漁りする？
[65.513] payeazy: その服この時期だと暑そう
[65.729] mako6912: taku5012 subscribed with Prime. They've subscribed for 15 months! 
[67.845] (S)n242f45aa: こんばんは〜
[69.151] もきち555: ばんちゃ
[70.574] Papapadad: 久々に触っていけそう？
[74.317] サルクモ: 寒いの？
[76.285] jagajaga1943: リハビリ過程少しだけ配信で見たいなあ
[77.307] (S)raurakd: ゼロ3配信ではやらん？
[79.953] market_fujisaki: アニコレで配信しないの？
[85.582] どみのん: あ、じゃあ暑くはないのか
[86.442] ~MISSING_COMMENTER_INFO~: ウメちゃんカッコイイ
[91.171] (S)nikukuisugi333: ダイちゃんお洒落なの着てるじゃん
[93.028] pekusuyada: いいねシャカシャカ
[99.215] tw_numa: そりゃそうだよ
[103.448] たつ4: こんばんは、マシュマロ回答はやらないですか？
[105.974] (S)n242f45aa: ゼロ3やるの今またやるのすごいね
[108.326] v_harumi_v: こんばんはー
[110.128] どみのん: ゲームスピードとかどうです？
[111.995] mevius003: ますみさんとの写真よかったわ
[112.666] goozy009: 棒の方はどうですか？
[114.162] one596: そうなりますよね
[116.190] chocotaro1234: chocotaro1234 subscribed with Prime. They've subscribed for 15 months! お疲れさまです
[118.459] maddy2623: マスミさんはウメちゃん絶対勝つっていってるけどそんな仕上がってるの？
[128.031] haniwa09: やっぱ楽しいですか？
[128.350] umesecond: 服着てる
[132.693] サルクモ: 今の流行りとか教わるコーチは誰かいるんですか？
[133.780] (S)憂う者の弟子: 棒はむずかしいよ
[135.007] takahashiseigi: こんばんは。マスミさんとのスパーは順調ですか？
[135.113] (S)raurakd: 懐かしの棒
[138.199] (S)pondenring0930: 後ろのテーブルまじで大丈夫なのか…
[139.735] aru_0928: ぷげら、ひぐち戦の応援配信ありますか？
[139.973] あかの: セオリーの変化ありました？
[145.193] yuki_aion_aion: きたきたきた
[145.196] tw_numa: キャラも小さいし間合いも遠いよねZERO3
