[15.229] 熊ビッグベアー: 1gett-!
[35.757] mmiiacha: umeYay
[41.181] sakazuki_gensui: Diego
[42.080] (S)m1s4m0: 無職と有職
[43.541] くおお: おはようございます
[43.794] kobi3070: umeNirami
[45.824] prisira: go1まじ？
[46.535] gengoro1198: きたー
[46.594] egatyan: 昼休憩中からこんにちは
[47.196] や8: こんにちはー
[49.020] teruharu_: こんにちは！
[50.877] ganmatiojisan: umeCossack
[53.420] (S)merkava_mk2: ごーちゃんは強いぞ〜
[53.958] tamano12321: go1Oh
[54.103] (S)m1s4m0: なーんだこのフォントは！！
[54.927] きしー: こんにちはー
[55.672] mmiiacha: 破天荒岸田
[56.760] (S)nikukuisugi333: umeCossack
[57.398] (S)mari_mari_01: こんにちは♪
[57.686] (S)gazesd: umeCossack
[58.196] rollingpoipoi: 体験してるねぇ
[58.378] (S)ｶﾅﾔﾝ: 体験版で遠征
[60.872] はっぴーたいむ: こんにちわ
[61.006] 不渡哲也: umeSalute
[61.121] (S)yamadatakashi23: umeCossack
[61.276] one596: 体験版で遠征する男
[63.024] takuuuuuuu0722: ウメさんおつですー
[63.303] kihiro_bq: こんにちわ！
[64.385] takastoz: こんにちは
[64.614] gatiketsukusai: どーもー
[74.664] (S)latenight000: 体験版で遠征する異常者GO1
[77.533] jtopnbsd: 関西最強のGO1くるの！？
[79.507] egatyan: おじリーグ、打ち上げは行ったんですね
[83.996] (S)bokusatu: 体験版酷使されすぎ
[84.549] (S)shibaponz: 西の王者襲来
[94.676] (S)m1s4m0: ハンサムさん生き残ったね！
[94.721] spring__thief: 眠いやろw
[95.584] ZydaniFGC: Hello
[98.658] 000105: 二日酔いじゃんねｗ
[102.859] daisan777: ごーいっちゃんマジか！
[104.560] パパゲーノ: こんちわー 
[104.879] (S)gos0810: ほんとに体験版で遠征したんｗ
[105.529] roa_silk: 体験版で遠征するメガネきたぁ！
[108.313] moricocoa: ヘイルメリー ヘイルメリー
[119.380] tabibitox: 深夜に打ち上げいってたのねｗ
[127.283] jtopnbsd: 体験版で遠征ｗｗｗｗｗ
[127.340] (S)pandadaiou23: こんにちはでございます
[132.242] (S)yut7xot8: うぉぉぉぉぉお！GO1だ！！
[132.753] (S)gorogorogorn: gorogorogorn subscribed at Tier 1. They've subscribed for 4 months! 
[133.746] (S)m1s4m0: えいた次のおじリーグの曲頼むな！
[134.618] egatyan: 梅ちゃん、おじリーグサプライズゲストで出演あると思ってた
[135.464] 000105: カーテン破くぞ！
[135.830] improvedkaine: 体験版で遠征してパンツガビガビにしてる人
[138.073] (S)503_win: 破天荒岸田
[143.408] (S)latenight000: GO1「俺に絶対勝てへんのに呼んでくれて嬉しいわー^^」
[147.234] inkgran: 破天荒の部分出たね
[148.992] 000105: カーテンも風評被害だけどｗ
[150.591] (S)gazesd: どぐらとえいたの口から語られるGO1像
[150.861] prisira: すーぐ謙遜
[162.879] だいこん_: GOちゃんきたあ！
[165.764] satoukazuma777: 謙遜しながら壊す男
[168.058] (S)m1s4m0: ごーちゃんの服まじておばちゃんじゃんwww
[170.391] esrever42: うめちゃんカーテン気をつけて
[170.482] bec118_japan: 楽しみ
[174.229] hikky722: みんな仕事始まるな…
[183.505] bec118_japan: めっちゃ見たかった
[192.598] jeeeeeetx: ごーちゃんじゃあないっすか
[196.037] sagantosu0719: unkochanYaa
[196.536] tama_zx61: go1きたああ
[205.807] ギアふっしー: とうとうウメGo1対戦くるか
[211.180] (S)くういぽ: カーテンだけは
[212.443] (S)gazesd: 謎の圧
[212.885] (S)m1s4m0: みんなCAGの予想した？
[215.157] hiaaru: ごーちゃんはどう考えてもつよい
[217.984] (S)syain7720: umeSalute
[219.165] Ramen_soul: ごういち
[220.839] (S)yut7xot8: エイタありがとう〜！！！
[220.927] gengoro1198: めっちゃプレッシャー掛けてくるw
[221.752] yuzubox: しばらくぶりだねー
[223.309] sakubunshow: 勝手にリスク背負わせていく
[227.136] egatyan: えいた持ち上げてるけど、サイクロプス入り狙ってるんか？
[229.424] skater112: TehePelo
[233.155] shuzoz: 体験版ガチ勢
[236.008] spring__thief: うるせぇ
[236.313] yuzubox: ｗ
[238.363] (S)latenight000: わかるよ？わかるんだけどさ、これ体験版よ？
[238.582] cafe_gondo: さすえいたさん
[240.170] mmiiacha: 体験版で遠征はすげぇよ
[241.198] (S)m1s4m0: えいたありがとー
[242.745] hato_pizza: ありがとーーー
[243.796] teruharu_: umeSalute
[244.459] balthazar000: お、始まってた
[244.601] bec118_japan: いずれやるやろ
[246.496] umesecond: えいた"さん"
[246.819] (S)gazesd: わーかったよ
[247.059] cider_123: えいたありがとー
[249.907] mizuki1211: ありがとうな
[252.750] jagajaga1943: 無職のえいたありがとう
[253.542] aiueo543211: 褒められたいんか？
[254.609] y_moyashi765p: GO1さんだ
[256.317] 不渡哲也: えいたの役目はこれで終わりやね
[256.697] tama_zx61: ありがとーーー
[258.261] dalhi: えいた虫歯菌いたあ！
[260.534] aranami0: プロデューサーえいたありがとーーー
[263.483] (S)achieichi: スト6するためだけに上京
[263.746] 我がゴイチ: きたー
[264.510] (S)gazesd: やる気勢すぎる
[265.199] balthazar000: Go1復讐しに来た？
[266.678] one596: でもえいたウメちゃんよりハイタニ家選んだよね？
[266.775] satoukazuma777: これがどぐらが震えてた体験版で遠征か
[268.460] hogehoge314159: go1の爪の垢を煎じてどぐらに飲ませたいわ
[270.071] 立川: スト6のためだけは嘘
[275.571] hato_pizza: えいたさん
[275.812] x_abu_xx: えいた"さん"
[276.264] (S)m1s4m0: たちいたぁ
[276.651] teruharu_: ｗ
[278.057] (S)ｶﾅﾔﾝ: マネージャーか
[278.492] sagantosu0719: 頼むぞ？！
[278.921] sakubunshow: 逆に体験版だからオフでやる理由があるのいいね
[280.247] egatyan: 頼むぞ
[280.642] パパゲーノ: プロモーターえいた
[283.734] (M)Moobot: That's a tad too many emotes, @tarantarantaran (warning)
[285.731] miruujyu: ごーちゃん！
[285.805] arthur_funkyslicer: たたたた体験版で遠征！？
[287.865] rxz_2017: メナトの恨み！
[288.126] balthazar000: ウメさんもついて行けば
[288.483] (S)10orq: たぁち
[288.740] xdeadplayerx: Konichiwa everybody!
[290.269] tarantarantaran: nemohand1Pogpgill2
[292.672] tama_zx61: 色々とね
[292.783] (S)achieichi: 東のレベル上げにきた？
[295.488] y_moyashi765p: GO1さんがんばれ〜
[295.759] okureiman07: えいたの好感度は散歩で軒並み上昇してるやろ
[298.150] 食用ばるさみこす: GO1、ウメさんにめっちゃ敬語なのおもろい
[300.254] tarantarantaran: nemohand1Monogill
[300.601] jtopnbsd: HeyGuys
[301.583] kihiro_bq: モチベ半端じゃないな
[302.372] (S)osarusan26: ももちさんは延々とCPU戦やってるね
[305.275] prisira: ルークは性能高い
[305.619] ootsukemono: めっちゃやり込んでそう
[307.014] (S)grove0301: でもさーロケテで東京来てたやつ、ゲーセン時代は普通にいたじゃんねぇ
[307.531] (S)pandadaiou23: えいたさんありがとう Cheer100
[312.649] x_abu_xx: そらすぐSFLだからねぇ
[313.335] (S)m1s4m0: ともだちかいない…
[314.217] siuva7: リュウルークはルーク有利に見える
[316.986] dj0d4y4k4: dj0d4y4k4 subscribed with Prime. They've subscribed for 8 months! 
[318.032] pekusuyada: ももちさんはね、、
[323.523] tarantarantaran: umeCossack
[323.531] (S)jinkun80: こんにちは〜
[325.752] スカプル: マゴさんもルークのが強いって言ってたな
[331.567] 000105: おじリーグよりどっしりしてるなぁ
[334.442] balthazar000: ロケテはそこでしか触れないから
[337.945] ta2_tattuu: GO1さん普通にガード硬い
[343.138] (S)m1s4m0: ん？
[345.573] miruujyu: ももちさん読んだらかなり頂上決戦になりそう
[347.101] (S)yut7xot8: つえーーーー
[348.554] skater112: TehePelo
[348.960] jtopnbsd: ウメちゃんさいきょおおおおおおおおお
[349.463] mamamamatsu: ウメさんつよ
[350.025] one596: やり込んでいる！？
[350.591] (S)gazesd: ウメハラ ウメハラ
[351.446] mako6912: おや？
[364.354] balthazar000: マゴさんしか言ってない説無い？
[371.374] umesecond: 体験版で仕上がりすぎてる
[371.498] ootsukemono: あーリュウカッコええんじゃあ〜
[372.130] hikky722: 今日GO1ルークを倒せても1か月後には春麗が来る
[378.000] jagajaga1943: 飛んでから本番w
[378.441] (S)m1s4m0: ゲム音が二重になってる気がする わしだけか
[383.537] prisira: 春は今評価微妙やで
[389.465] tarantarantaran: nemohand1Monogill
[396.333] marvolo6: これウメちゃんがリュウ？
[401.227] (S)m1s4m0: そう
[411.781] えーひろ: えーひろ subscribed at Tier 1. They've subscribed for 19 months! 
[416.522] balthazar000: 何時ごろまでですか？
[417.358] prisira: うっま
[418.852] (S)黒魔: sakoNekonogimon
[423.173] だいこん_: ごーちゃんの打鍵音すごいな
[425.434] one596: やる
[427.294] (S)gazesd: さすが
[434.849] user_5960: やるやん？
[435.035] (S)m1s4m0: るーくかっこええな
[437.379] futoshi77: CA盾に耐えきる
[446.551] (S)m1s4m0: こんぼばっちり！
[446.608] スカプル: 馬乗りされたー
[459.372] jojojoy001: うっま
[459.413] chicken_dumpling: chat who are the guests today?
[460.312] kaomoji3: GO1来てるん！？
[461.122] ta2_tattuu: つっよ
[462.160] Ramen_soul: PogChamp
[462.220] bagooon20: つえー
[462.283] (S)yut7xot8: つえーーーー
[462.328] (S)m1s4m0: つーーーーーーんよ
[462.335] (S)黒魔: P
[463.501] wahaha7788: 強い
[463.617] mmiiacha: わぁ
[463.992] takuuuuuuu0722: ベガ立ち
[465.909] ootsukemono: うひょー
[466.469] (S)achieichi: つえー
[466.821] 国府田: つええ
[467.196] chichichichiro: chichichichiro subscribed at Tier 1. They've subscribed for 9 months! 
[467.575] mako6912: おおー！！
[467.718] kihiro_bq: つええええ
[467.908] (S)mobageiskusoge: go1 and eita
[469.638] improvedkaine: ガビガビ
[471.018] rxz_2017: 画面端！
[473.946] usizura: GO1きてる～
[474.098] (S)m1s4m0: @chicken_dumpling go1 eita
[474.469] roa_silk: すいませんｗ
