[35.433] (S)mari_mari_01: こんにちは
[42.286] (S)usamaru_noir: こんにちは、今日も配信ありがとうございます
[44.109] tabibitox: きたー
[45.205] (S)一1990: トパチャンまでですか？
[45.251] methotrexate_aym: こんにちはー
[47.212] merkava_mk2: こんちゃ
[48.277] rlbread: 今日はちょっと遅めからですね
[49.485] jtopnbsd: いぶしぎんだあああああああ
[54.200] (S)maya_g01: こんにちは～
[58.291] だいこん_: umeCossack
[59.671] (S)shinsan_yamt: 今日も今日とてSF6
[60.722] suginaka56: おらず
[65.972] gettyozi: 配信より早く人が来てるのか
[66.205] goozy009: ゲーセン開始
[70.546] (S)一1990: あと１時間でトパチャンだけど
[77.861] chujoe1101: これ誰？タチカワノ？
[80.498] kaomoji3: ウメゲーセン開店！
[83.620] teruharu_: こんにちは！
[85.236] umitona: umitona subscribed with Prime. 
[87.788] vespa127g: vespa127g subscribed with Prime. They've subscribed for 29 months! 若者エキス
[89.640] n0t_v1nx: I come from France to say that Daigo is the Greatest of All time
[92.094] (S)koudai715: ウメさん、こんにちは！
[92.109] v_harumi_v: こんにちはー
[92.734] VVVoidWalker: 待ってたぜこのゲーセンをよぉ～
[94.265] (S)tominaga0331: ２窓しろっつってんの！
[97.664] suzu_mushi: こんちはー
[98.576] teruharu_: ピポピポピポ
[108.191] danishpastry808: @v1nx_tv lol
[110.221] だいこん_: なおくんきたあああ
[110.248] jtopnbsd: sakoうおおおおおおおおおおお
[112.962] (S)shinsan_yamt: 今日もいぶし銀メンバーかな？
[113.281] bunbun0880: 今日もいぶし銀いるね
[115.178] prisira: ついに青光りの藤村が
[115.688] misopotato: FAV襲来
[116.318] (S)nikukuisugi333: sakoさん！
[116.545] (S)おしのさん: おしのさん subscribed with Prime. 
[117.339] rt340: sakoさん！！！
[117.395] (M)(S)gameinntwitch: お、キャプボ無事起動してるな。キャプボ認識しないとスルーアウトも出なくなるから配線変えてもらう必要あるから困る
[119.599] 日本語かな: sakoさんうおおおお！！
[119.910] prisira: 壁ドンだった
[121.208] いちたすいちわ: 1億を見据えてるのでワールドは気にしない
[124.948] balthazar000: TOPAチャン見ながらですかね？
[126.179] aonami27: !member
[128.450] telegonos: TOPANGA
[128.765] gumi1113: ゆかどん!?
[130.155] 我がゴイチ: やないやないかーい
[132.721] telegonos: みないのか
[135.257] sakazuki_gensui: Diego
[143.087] jtopnbsd: 5はもういいよ
[144.690] n242f45aa: 壁ドンって誰？
[149.500] balthazar000: 床？ 壁じゃなくて？
[151.040] v_harumi_v: メンおじさま、こんにちはー。いつもありがとうございます。
[152.909] bunbun0880: アケコンきた？
[153.907] suzu_mushi: 新しいアケコン？
[155.919] misopotato: なんかダンボール来たぞー
[157.759] suginaka56: かべどんとは？
[159.501] matsu_zalem: matsu_zalem subscribed with Prime. They've subscribed for 41 months, currently on a 4 month streak! 
[163.781] balthazar000: おー
[165.044] 日本語かな: うめちゃんガイルの太鼓の立つ人コントローラーの話聞いたらウケそう
[165.140] matsu_zalem: こんちはー
[165.551] v_harumi_v: おおー！
[165.691] misopotato: おお
[166.524] (S)jigokunonekomatu: マサは来ないんだ
[173.529] tabibitox: 新型ヒトボ実装？
[173.563] n242f45aa: ふじどんの事かな
[182.065] 紅べこ: IBUSHIGIN かべさんです
[182.316] misopotato: これでPS5版も練習できると
[187.775] one596: いぶし銀のかべ
[188.078] (S)maya_g01: 開封動画
[193.470] ebiebi12: グッぱちの方が設備いいからw
[194.508] jake_miuller: What happened with the open beta? 
[195.120] 紅べこ: Player2
[203.557] おじキッズ兄: ライバルゲーセン現る
[210.468] (S)mm2351: 昨日と同じメンツかな
[211.039] teruharu_: メンおじ感謝
[214.535] v_harumi_v: そんなに！？
[216.018] balthazar000: マサはあっち派だったのか〜
[217.500] akasanz3x: グッパチは4セットあるからね
[217.706] prisira: 自宅に設備負ける事務所とかやばいやろｗ
[222.320] (S)maya_g01: ４つ！
[222.596] v_harumi_v: すごい！
[224.410] (S)nikukuisugi333: すげえｗ
[224.414] misopotato: ４ｗｗｗｗ
[224.429] balthazar000: 見せて見せて〜
[224.751] prisira: ｗｗｗ
[224.915] ebiebi12: 対面台は急務だ
[224.979] suzu_mushi: ４つｗ
[225.779] rt340: ！？
[226.131] おじキッズ兄: ｗｗｗ
[226.864] pengetop: あっち6セットぐらいあるしね
[227.213] n242f45aa: ww
[227.455] kaomoji3: 四つは多いな
[227.498] starkabokabo: げーせんうめ開店
[228.000] だいこん_: ！？
[230.629] balthazar000: プレゼント企画ですか？
[231.730] suginaka56: ええええ
[233.293] one596: スポンサーパワーw
[235.438] teruharu_: すごw
[236.817] v_harumi_v: 当分困らない
[237.413] merkava_mk2: 1つくれ！
[238.281] egatyan: トパンガは観戦する？
[239.588] inkgran: 4個ｗｗ
[240.523] (S)usamaru_noir: ヒトボ4つ！？
