[16.631] Aelynoth: lirikA
[35.716] (S)SeventyTwo_7: うっす
[35.803] (S)yut7xot8: soushihanChill
[36.787] librabird: ちわー
[38.442] kiiiirakila: ももちがくるー
[40.711] koudou3: ももち襲来ってマジ？
[41.441] hoehoeR: ももちが来るらしいですね
[43.075] 000105: 忍者くるっれ
[43.471] yuhi_N: こんちはー
[45.490] hato_pizza: ま？
[47.049] tw_numa: 何だこの古のゲームは
[47.353] ババシャツ: こんちー
[50.673] 将門ゴルゴロ: もま？
[51.181] (S)chikotsu: ﾁｯｽ
[53.562] (S)shir039: おはようございます！
[55.253] sakazuki_gensui: Diego momochi
[58.169] オーシタ: ま？
[58.834] 凍らせガンギマリ魚: 凍らせガンギマリ魚 subscribed with Prime. They've subscribed for 32 months, currently on a 18 month streak! 
[58.844] oinari6: ももちツイート
[59.428] (S)黒魔: 頭領のカチコミ！？
[59.654] いちたすいちわ: ついに心を開いたか
[61.293] yuhi_N: ももちくるのー？！
[62.528] kiiiirakila: Twitterで
[62.719] youchi_ygm: ツイートしてた
[62.753] (S)れんぞね: もちもち？
[63.860] yutama0502: いってた
[64.536] ババシャツ: 古のゲーム
[65.300] Zolthar_M: hello mr. daigo
[68.427] (S)cqc5555: ももちやっと言えたのかw
[70.111] jagajaga1943: 昨日ぐっぱちのところにいったんですか？
[70.332] (S)えだいこ: がんば！
[70.784] akasakiyuum: こんにちは、初見です
[71.006] librabird: ネタバレか
[72.550] tw_numa: なんだってー？！
[72.792] (S)SeventyTwo_7: スト5！？
[73.676] v_harumi_v: こんにちはー
[74.252] sakazuki_gensui: Momochi
[77.827] ﾃﾄﾗﾝ: 未だ卒業できず
[79.713] librabird: 先バレか
[80.304] (S)koudai715: ウメさん、こんにちは！
[80.908] tsubame5204: umeSalute
[84.860] いちたすいちわ: 1人じゃ何もできないと悟ったか
[87.118] BATAKE21: ｗｗｗｗ
[87.895] kent_8791: kent_8791 subscribed with Prime. They've subscribed for 13 months, currently on a 3 month streak! こんにちは
[92.672] 000105: うわ スト5だ！
[93.846] tw_numa: 間違えた草wwww
[94.610] kinpren: 呪い
[94.927] chin_56_: スト５します
[97.489] mizer000: 5だったw
[99.315] ﾃﾄﾗﾝ: スト5停止した？
[100.234] akiaki0612: ももち来るんや
[101.527] librabird: 呪い
[104.982] tachiuo00: こんには～
[105.302] shifoncafe: ももちうおおおおおおおおお
[108.948] 000105: 勝ったね ときど
[110.381] duckzonquack_: Ggs
[110.995] (S)黒魔: この間出向いてくれたからお返しか？
[111.242] librabird: マジかよ
[113.029] v_harumi_v: おおー、そうだったんですね
[113.562] jtopnbsd: なんでももち誘ったんですか？
[113.874] tw_numa: なるほど
[114.529] (S)れんぞね: ときんスパー
[117.957] oinari6: 最近ウメハウス色んな人くるね
[118.878] akiaki0612: やる気あるなー
[120.144] prisira: うめちゃんガイル練度下がってない？
[120.388] xyz3864: ももち強かった？
[123.313] tw_numa: vsひぐち極まってたのそういう事か
[124.733] morinagasyuya: 当日まで
[125.717] kinpren: ときど全勝やで
[126.032] eremin_39: ときど全勝
[127.275] (S)黒魔: LUL
[127.692] jagajaga1943: ガイルちゃんと動いた？
[127.953] kinpren: あ
[129.424] 将門ゴルゴロ: スパー受けたんだ
[130.753] jtopnbsd: あ
[131.335] ババシャツ: あっ
[131.986] akubi33: こんにちわ
[132.072] librabird: 向こうが来ると
[134.870] 10kio: あっ
[135.143] tachiuo00: 誘ってはないｗ
[135.380] spring__thief: ついに手を挙げたももち
[135.889] librabird: 来たいと
[136.743] 000105: スパー結構ボコられた？
[137.659] ebikatsu39: トパンガ終わったら日本に来てる海外勢と６やったりしますか？
[137.856] akiaki0612: サシで練習してたんだ
[141.669] tw_numa: 王の元へ
[142.043] tsubame5204: umeNirami
[143.556] (S)黒魔: いうてまだときんす3戦しかしてないし…
[144.844] eremin_39: 一回？
[144.959] yutama0502: 前ステ忍者まーじか
[145.100] 不渡哲也: 誘ってないのに来る…
[149.858] neon_d99: トパチャン時間とかぶってるけど大丈夫なん？
[151.193] v_harumi_v: なるほどー
[151.847] yuhi_N: umeFail
[153.475] 10kio: ももちに勝っちゃった？
[156.482] jagajaga1943: ガイル前みたいに動きました？
[157.279] oinari6: 昨日ハイタニがももちと対戦してるところtweetしてたよ
[157.630] HirocoT: umeSalute
[158.555] kiiiirakila: で、どうでした？
[161.475] akiaki0612: ときどとはサシで練習してたの？
[161.780] jtopnbsd: ももち側が折れた形
[164.400] prisira: スパーできるレベルで動いたんかな
[165.833] tw_numa: マゴさんをボコしたももち
[166.018] shifoncafe: ももちから出陣
[170.771] (S)yut7xot8: ときど仕上がってましたよね
[173.324] kinpren: ももちトモダチいるの？
[175.723] akiaki0612: ガイルまだちゃんと動く？
[179.914] (S)2youyou2: ももち前ステか？あまりにも珍しい
[185.877] matsukaze: あのコミュ障のももちがついに来るのか
[194.969] shifoncafe: あ
