[34.083] eren_ackerman: lets gooooooo\
[35.590] kiku1133: ちゃあああああん
[41.087] rlbread: 早いっすね
[41.099] merkava_mk2: おはます
[42.874] kumanobed: おはようございます
[42.908] kinakobuta: おはようございます。早いですね！
[44.366] gaga_u4x: はい！
[54.748] yuhi_N: おはようございますー
[55.496] tw_numa: きたー
[57.005] one596: はっやwやる気勢過ぎるw
[60.276] borkh3js: HeyGuys
[64.096] イガ: umeCossack
[67.436] zenk222: 今日はお休みだとおもってた
[70.932] TwiGinTec6: おはよ！
[72.794] (S)yamadatakashi23: umeCossack
[79.924] maddy2623: ウメちゃんおはようございます
[81.881] (S)toristeron: ウメさんこの時間起きてるんだ
[84.009] (S)tetete06: なにやつ
[84.108] teruharu_: おはようございます！早いですねえ
[84.326] balthazar000: はえーっすなぁ
[85.782] umimiuumi: おはよーございますすす！
[94.484] すみ___: 早起きだね
[96.996] ~MISSING_COMMENTER_INFO~: 17時！！！
[97.868] gettyozi: ササモさん体調良くなったんだ
[97.938] balthazar000: ごめん、面子だれだれ？
[99.179] tsubame5204: umeSalute
[100.396] yuzubox: おはようございます！今日は夕方まででしたっけ
[104.005] furu13: 早くね？
[105.117] VVVoidWalker: ギア上がってますねえ
[105.921] merkava_mk2: やる気勢やなぁ
[107.947] (S)mari_mari_01: おはようございます
[111.230] ~MISSING_COMMENTER_INFO~: すげー
[112.524] jagajaga1943: 隣誰？
[114.038] すみ___: 熱量が凄い
[118.063] sengoku_iori: おはようございます
[119.741] (S)hinhinpp: 朝勢
[121.395] shuzoz: 10時開店！？
[123.490] (S)toristeron: ノーブルさん？
[123.721] nacci516: 隣の礼儀正しそうな方はどなた？
[124.508] ギアふっしー: おじいちゃんは早寝早起き
[126.447] 破流巻: ノーブルさんや
[127.619] gaga_u4x: ウメリュウ
[131.456] シミズム: ノーブルさん！
[133.559] takahashiseigi: おはようございます。マゴさんより確実に早起きですね
[140.152] (S)chicken_dumpling: umeCossack
[141.137] 36mgh: 10時の開店からフル稼働の繁盛ゲーセンじゃんねえ
[147.601] すみ___: 営業時間もゲーセンっぽくなってきた
[157.131] niemalsaufgeben: 開店はやw
[159.780] yuzubox: 昨日の対戦から何が変わったのか楽しみだなー
[164.340] teruharu_: 充実の日々
[168.673] x_abu_xx: 早朝ゲーセン
[168.880] tw_numa: ももちから何を吸収したのか
[175.336] ギアふっしー: 後１週間で一旦閉店ってなったら客も増えるさ
[196.319] 36mgh: 一週間で閉店しちゃうのもったいないよねほんと
[207.711] pianoniisan: はやいな…
[209.924] tw_numa: 閉店なの？本格開店じゃなくて？
[224.933] niemalsaufgeben: 閉店してもスト6やれば対戦できる
[225.669] takahashiseigi: ルークのクソ早い弾のパリィ取ってた
[232.041] ギアふっしー: オンライン開店だから
[233.582] akasanz3x: 開店はええｗ
[234.941] (S)toristeron: オンラインで新装開店するからまあ
[249.641] rebando: 今日も開店お疲れ様です
[251.039] akasanz3x: ノーブルくんかｗ
[255.206] カブトシロ: おはよう御座います。日曜は開店早いですね。
[260.292] v_harumi_v: おはようございますー。今日は早い。
[269.502] ギアふっしー: 今日もももち来ないかな
[283.615] balthazar000: ささもにぃ久しぶりやね
[291.832] tw_numa: 若いのに朝早くてえらい
[329.762] ginkomushii: who is the guest?
[333.811] (S)マンゴスチン: umeCossack
[351.710] akasanz3x: さすがに開店凸は一人ｗ
[357.329] hikky722: SFL期間中の逃げ込み寺になるんじゃない？
[360.299] ギアふっしー: 今日も６時とか８時ぐらいまで放送あるのかな
[362.233] ~MISSING_COMMENTER_INFO~: ノーブルに座るノーブルくん
[363.569] koudou3: ノーブルカテドラル！ノーブルカテドラルくんじゃないか！
[366.330] (S)nikukuisugi333: 今日は開店早いね
[369.646] sei_6: ノーブルくんもコーリンいないから何使うんだろうね
[381.555] hikky722: 今日は午後遅くにお出かけなので夕方には終わるよ
[383.499] のってる: 今日はトパチャンの打ち上げあるから夕方までだよ
[384.708] yuzubox: 今日は予定があるそうなので遅くても17時まで
[389.566] penny_ken: モダンやってなかったっけ？
[398.370] akasanz3x: なるほどね だから早めの開店か
[400.957] korekitwitch: ゲーセン10時開店？
[406.478] takahashiseigi: ルークのあの弾、よくパリィ取れますね
[409.390] (M)(S)gameinntwitch: マイク大丈夫そうだね。よかった
[409.491] kaomoji3: ウメゲーセン開店！
[411.428] ギアふっしー: 打ち上げ後ゲーセンはないか
[411.531] jagajaga1943: 参加してないのに毎度打ち上げに参加してるなw
[417.352] げのじ: 発売前に一生体験版やってるのシュールだな
[428.383] ypippi: 中学生？
[432.156] daisan777: おはようございます🌞
[442.047] chari3: この後、かけるささもじゃじぃ
[443.873] のってる: ルークは弾速一定だから練習すれば割と取れる。リュウは難易度高い
[445.095] koudou3: まあ今回は流石に海外勢がダイゴ呼んでよって言うでしょ
[470.035] hikky722: トヨタのハイエースがあれば移動中もスト6出来る
[475.641] ddb365: おはようございます
[491.652] takahashiseigi: シノビ頭領は、100時間はCPUレベル8相手にやってたとのことw
[492.903] akasanz3x: 海外勢からしたらうめちゃんに会える機会って早々ないからね
[493.948] tw_numa: 若者はマジインパクト通さないな
[495.086] げのじ: ルークのコンボむずすぎて出来ない
[502.667] alice_in_jp: ノーブルくん23とかだっけ？
[509.064] yomogi0610: おはようございます
[531.433] げのじ: ノーブルさんガイル使いの人だっけ？
[539.157] のってる: コーリン
[539.912] akasanz3x: コーリンだよ
[541.375] au0724: コーリン
[544.915] sengoku_iori: コーリンやな
[552.042] げのじ: コーリンでしたかごめん
[552.630] クレちゃ: おはようございますー
[567.594] korekitwitch: 目の前溜めｗ
[569.456] niemalsaufgeben: カワノ対策のスパー相手
[580.760] ギアふっしー: 大ゴスの構えみてジャスパ狙うのは若い
[602.873] swaemz: who is visiting today? 
[622.722] ebiebi12: 誰この人
[629.878] SpicyStinkyTOFU: wwww
[650.440] au0724: ノーブルくん
[655.306] yoshikawa_yo: 振り向き昇竜なんか出づらい
[660.573] ebiebi12: 名前だけ知ってる
[664.922] thescrb: こんにちは！今日は誰が来る予定なんですかね？
[672.501] (S)sayama404: 失礼だな
[687.199] dopweb: He is NOBLE, colin player in SF5
[690.268] ギアふっしー: ルークのSA３は斎藤ってこと
[709.337] SpicyStinkyTOFU: 背水
[730.995] au0724: この後 翔 ささも じゃじい だったかな？
[733.002] tasukete: ドライブゲージと体力の奪い合いを感じた
[748.139] takahashiseigi: ももち「ウメちゃんはたまにスト2仕掛けてくる」
[757.300] ままし: ノーブルくん三日前ギルティで飛鳥使ってた気が・・
[765.203] suzu_mushi: おはようございます、早いっすね
[769.926] (S)黒魔: はやくなーい？
[770.328] SpicyStinkyTOFU: wwww
[799.100] 戸愚呂妹: 初顔いるな
[799.851] Itsfreakyyyy: <3
[800.904] udukitty: ブレイブルーで強かったですよねノーブルさん
[801.750] suzu_mushi: ノーブル君なのですね、声初めて聞いた
[806.017] tw_numa: それええな
[814.006] Jouker666: daigo sama
[836.340] balthazar000: ガード入れパリィとNパリィで受けF変わるとか
[839.201] takahashiseigi: ちょい風邪気味っぽいですかね、ウメさん
[843.269] グレートドラ: しゃがみガードでパリィ入れるのって安全っぽく感じるけどダメなんかな
[845.942] tasukete: ノーブルくん最初有名になったのなんだっけ グラブルだっけ？
[848.822] 戸愚呂妹: 今日はよしおが来てるのか
[858.194] ゆるさな: BBTAG
[869.508] tw_numa: のってきたな
[897.736] 超パンダ: 誰だ？
[919.005] tasukete: BBTAGなんだ知らなかった
[931.171] shigepedia: コーリン使いの人だっけ？
[944.045] au0724: ノーブルくん
[962.530] market_fujisaki: おはよー、マジでゲーセンの開店時間だｗｗｗ
[964.032] takahashiseigi: ジリジリ…
[972.351] Papapadad: ウメちゃんおはよう
[973.989] 戸愚呂妹: まこと使いの志郎さん来てるのか
[978.543] tw_numa: ウメのエンジンが
[988.034] pondenring0930: おっ店長、今日早いね
[988.332] hitmehitme: 今日ももちさん来るのかな
[990.725] yomogi0610: 後日とっきーくるんだっけ
