[34.119] kobi3070: ｳﾒﾁｬｱﾝ
[35.311] takastoz: おはようございます
[36.763] merkava_mk2: こんちゃ
[38.156] msyyy: おはようございます
[38.289] hachittt: こんにちは
[39.090] 不渡哲也: おはようございます 
[39.338] 黒猫くん: おはようウメさん
[39.781] chichichichiro: こんにちわー
[40.039] aranami0: おはよう！
[43.047] showhey778: おはようございます
[43.309] catsoccer: おは
[44.047] ~MISSING_COMMENTER_INFO~: おはようございます
[44.365] methotrexate_aym: おはようございます
[44.377] mstryk228: おはようございます
[44.922] underground0714: おはようございます
[45.512] エメラルドスプラッシュ: おはざます
[47.976] mike__neko: おはようございます～
[48.362] (S)fahmy0825: Good morni g!
[49.091] kaicho1063: おはようございます
[49.357] (S)hinhinpp: お疲れ様です
[50.667] nikukuisugi333: おはようございます
[51.197] (S)マンゴスチン: おはようございます😃
[52.389] (S)黒菌: おはようございます
[52.545] kurumatiger26: おはよ
[52.647] v_harumi_v: おはようございますー。今日は早めですね。
[53.036] Mafty_N_Erin: おはウメ
[54.698] akittyan: おはようございます！
[54.781] 温かいやさむぎ: ウメさんおはようございます
[57.480] catsoccer: rejectのファイトナイトみてスト6買いました！
[57.493] (S)yamadatakashi23: karubisGyo
[57.741] SEN8182: おはよー
[59.671] gaga_u4x: ウメちゃん、雨すき？
[59.937] oimo: おはようございます
[61.203] dextrin00: おはよ
[63.530] momiji4431: ウメちゃんおはよー
[65.973] ミートくん: ウメハラさんおはようございます！
[66.404] snow199920: GG
[73.481] josephjoestar2nd: Hello there
[74.297] koro3__: ウうめさん、おはようございます
[74.636] KoBrickBryant69: hello daigo chan
[75.502] 超パンダ: だいござごっど
[75.911] snow199920: I LOVE DAIGO
[76.343] 温かいやさむぎ: www
[79.644] しゅうてぃ: おはんよ
[80.667] jjjjjjjjjjjjejejejeejjej: スト6楽しいでね
[82.729] (S)choco_mint6: おはようございます
[85.208] kyrildace: Morning
[86.755] びりびり0810: おはようございます
[88.024] rere0: おはよー
[90.296] (S)マンゴスチン: わかる
[90.791] potetotetop: 雨はASMR
[94.905] tsubame5204: umeSalute
[94.967] rlbread: 外出た時に雨好きなのはやばい
[99.193] snow199920: Hadouken
[101.003] (S)闘劇のアルベルト: ウメちゃんおはよー
[102.251] takahashiseigi: ごきげんようです。
[103.588] (S)daisan777: おはようございます！
[112.359] (S)reika000: おはようございます 
[121.459] (S)fahmy0825: That Ryu color is nice
[149.568] あかの: うめたそおはよー
[149.616] たったた: なんかこのリュウ体調悪そうな肌色してるな
[177.861] cesardark189: Ohayo gozaimasu
[180.004] odin0741: リュウくん不健康そう
[181.807] hiyokko3: お疲れ様です
[183.891] mako6912: おはようございます
[186.725] aranami0: ウメちゃん今日は何時起き？
[194.926] tristy_tristy: スト6じゃないみたいな戦い
[198.663] (S)brutal9998: 今日も早いねえ
[200.860] tooyasan1: うめちゃんでもケン中々安定しなさそうね
[204.445] catsoccer: スト2やってる？
[208.069] (S)yamato925925: ウメちゃん早起きだねぇ
[208.131] Rodianis: おはようございます!ウメさん!
[218.863] une3333: おはようございます
[223.494] (S)brutal9998: 海外の大会行ったらすぐに眠くなりそうで怖さあるw
[225.214] au0724: T
[225.923] takahashiseigi: 渋いラウンドだったw
[228.373] (S)fahmy0825: Time Over, pretty rare
[229.606] (S)cqc5555: タイムオーバー初めて見たかも
[229.959] mike__neko: スト６はリュウケンがカッコ良くて好き
[232.953] mako6912: タイムオーバー久しぶりに見た
[234.256] aranami0: かなしい
[237.992] jama4man: よわーｗｗｗ
[240.747] rlbread: マジかよw
[243.342] odin0741: スカッた
[246.919] (S)latenight000: ここ数日でダイヤマスター帯でもリュウと当たるようになってきた
[250.532] カブトシロ: おはよう御座います。
[252.469] junpei_11: あれロックしないんだ
[262.201] tamachan0530: おはようございます
[263.473] (S)咲パンマン: ランクで当たるケン使い全員アレコス
[280.833] Fumimaru_Rx: おはよー
[290.247] funacchi15: おはよー！
[294.856] 温かいやさむぎ: え 
[297.172] yuuuuuuusuke: うめちゃんおはよー
[297.284] mako6912: え！？
[297.364] ごまさんです: 今！？
[300.090] ネコマタギ: マジ？
[300.515] tamachan0530: え
[300.937] soy315: 縛りプレイ！？
[301.826] junpei_11: ボタン効きませんけど
[305.038] (S)咲パンマン: 大連勝した後に「ボタン効かないんですけど」って
[305.185] odin0741: 草
[306.372] forthemoment_elt: 伝説よ再び
[307.002] ひろみつー: アカン
[307.258] rxz_2017: 大Kきかないんですけどー？
[307.883] 000105: メンオジきて
[308.253] (S)fahmy0825: Jab?
[309.463] (S)kk_au_: umeWhat
[312.133] nengu4u: ラウンドとってるｗ
[318.391] catsoccer: 50連勝フラグ？
[324.079] まるいとうふ: 大K効かないんですけど
[334.234] Hearthos: ?
[335.622] catsoccer: 店員さーん？
[336.011] 超パンダ: ん？
[339.992] 憂う者の弟子: Hi！Daigo San
[341.924] bajjio1976: 何の通知音？
[344.978] odin0741: 怪しい音が
[353.816] Hearthos: @bajjio1976 
[353.985] jikpix: W on hitting masters
[363.224] (S)shinobuchan4649: おはよー
[364.701] junpei_11: それ壊れたら練習できなくない？
[366.529] sky_sky00: hello, and chat
[367.167] rainman606: 開けるか
[378.130] 北極やさい背脂: VoHiYo
[381.479] doomosan: ウメちゃんの通知音か
[388.686] tmtm84: said some button doesn't work...
[393.546] zemoll314: hello
[397.976] rasuan103: おはようございます
[398.690] のな: 投げボタン設定してるんか、ボタン配置どんなんだろ
[404.326] 三角_: ターン制
[408.253] すずかぜ: すずかぜ subscribed with Prime. They've subscribed for 29 months! 
[408.454] (S)ryuken_future: ウメハラさんみなさんおはようございます
[408.494] Papapadad: Papapadad subscribed with Prime. They've subscribed for 45 months, currently on a 4 month streak! うめちゃんおはよう
[415.753] v_harumi_v: あらら
[418.665] mike__neko: あらら
[420.594] odin0741: さすがにね
[421.393] (S)yamato925925: とんだー！
[423.144] une3333: ウメちゃんこのリュウの色好きそうですね
[423.425] ilm0806: おはようございます
[423.697] (S)fahmy0825: Ouch
[425.555] junpei_11: どの、ボタンが聞かなかったの？
[426.718] rxz_2017: 小パンきかないんですけど
[428.675] (S)daisan777: umeNirami
[428.949] bajjio1976: 差し込み直してみて
[429.498] umesecond: おお朝から
[430.366] Blowthat: wow
[435.108] kgt6996: おはようございます
[436.664] OldTypeOji: 午前配信ありがとー
[443.953] tukumi07: おはウメちゃん
[447.498] Blowthat: daigos crazy man
[450.465] nikkorogasi: こんちわー
[461.656] (S)mm2351: ウメハラ殿 おはようでござるよ
[461.892] かまぼこ愛好会: おはよう御座います！
[461.896] 超パンダ: だいごす？
[466.669] 憂う者の弟子: ぴっぴっぴ
[469.183] のな: コパンなしで1億とる男
[473.558] (S)yoshiaki1986: yoshiaki1986 subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! 
[474.959] 三角_: 反応がおかしいのか
[477.570] oden3333: やあ
[477.781] ひろみつー: 接触不良？
[478.210] go_sheep: 入力はされている？
[479.847] (S)gold_power1969: おはようございます
[481.924] junpei_11: 接触不良かね
[484.777] doomosan: 中で端子抜けかかってたりしてね？
[485.800] (S)fahmy0825: Controller problem?
[487.376] valkbebebe: んー？
[492.109] (S)mm2351: 改造の影響？
[496.099] nengu4u: 音がなってましたね
[496.207] 三角_: 開けるしかないか
[499.308] ひろみつー: それとも反応が悪いんか？
[506.228] junpei_11: ウメちゃんメンテ出来る？
[513.626] 不渡哲也: メンおじー！
[519.325] OldTypeOji: 意外にSteamのゲーム多いなぁ
[524.069] funacchi15: 新しいコントローラー？
[527.804] ごまさんです: 簡単なのに
[529.232] zaff555: さっき警告音してたしキーボードとかおしっぱとかになってたり？
[540.056] rlbread: もっかいやってみようぜ
[540.320] (S)shir039: cfnみよ！
[547.922] だいこん_: umeWhat
[552.625] vespa127g: umeNirami
[556.121] mendokusaiu: 同時押し？
[556.190] 三角_: windowsが悪さしてる可能性
[560.338] mifune1046: さっきの試合のキーディス見てみる？？
[560.653] カブトシロ: たまたまか？
[576.107] (S)猫神寝猫: 不安を抱えたままプレイするのストレスよなぁ
[578.529] (S)咲パンマン: 対戦相手の弱Pを効かなくする能力使われた？
[578.613] のな: たまたまでも怖いな
[581.522] sakazuki_gensui: Diego
[584.347] ~MISSING_COMMENTER_INFO~: HypePopcorn
[591.469] (S)emptyeyes666: これボタン効かないんですけど
[592.210] のな: 予備ないん？
[592.220] jikpix: I have no clue what anything says on screen but we roll
[593.726] Channingbomber: Channingbomber subscribed with Prime. 
[598.293] 憂う者の弟子: Daiguo
[598.683] tooyasan1: ちょっとトレモやってみるとか
[603.205] (S)shir039: モダンザンギしときますか！
[605.050] (S)mm2351: 抜き差しした？
[613.198] 三角_: フーフーした？
[616.117] とりかて: そういえばヌキさんも小pぬけるなぁって話してたような・・・
[616.765] (S)Channingbomber: umeSnooze
[618.511] (S)メトロシティの研究者: フーフーしよ
[629.296] kahaku91: 強く押したら戻ってこなかったのでは？
[642.237] めっとくん: 天板あけてボタン変えるか。接触悪くないか見たら？
[646.459] (S)mm2351: とりあえず様子見かな
[650.959] Mafty_N_Erin: 湿気のせいかな
[652.301] にくピンク: ネット対戦のなんかあるんかね
[654.150] 超パンダ: パチスロでよくあるわ。押したボタンが戻ってこないの
[663.757] 桂歌丸: お金じゃなくて？
[666.982] ユーエル: 対戦中の話ならラグかもしれない
[667.704] pizzahadou: 下のレバーが似たようなことなって抜き差ししたら治った
[667.792] (S)shir039: 埋まった？
[671.942] still_7: 他の対戦でも効かないとかありました？
[682.137] のな: 1億とったあとにこれコパン効かないんですけどって言いそう
[689.988] une3333: 今回はちゃんと効いてるっぽいですね
[692.125] カブトシロ: 王は気紛れ 王のヒトボも気紛れ
[714.417] 熊野まこと: ラグとかでたまたまの可能性も有りますね。開けてチェック出来れば原因が絞れて良いんですが
[719.424] (S)fahmy0825: Wow
[728.768] funacchi15: この音楽かっこいーなー
[729.348] asseternum1: Huh
[751.043] ゆっくり2121: おはようございます
[757.612] なつさんだよ: ウメちゃんオハヨ 
[767.472] ひろみつー: umeCatHope
[802.776] asseternum1: Close
[805.580] りんごれっど: ウメさんってアケコンでやってるの？
[818.654] junpei_11: 四回飲むのきっついなぁ
[818.795] (M)(S)Moobot: ＊HyperX Cloud 最新モデル＊ 6/12 発売予定！
[822.534] Blowthat: redbull sip
[827.769] 憂う者の弟子: ジェイミーは生まれつき攻撃力が弱いからドーピングするしかない
[839.743] mifune1046: レバーレスっていうボタンしかないコントローラーだよ
[856.425] ucci28: ジェイミーはその気になれば飲まなくてもやれるらしい
[861.806] (S)そうたマン: bday100
[872.663] (S)fahmy0825: This Diamond Jamie very strong
[873.403] りんごれっど: なるほどありがとう
[878.231] しろまるこ: ~MISSING_MESSAGE_INFO~
[881.724] tukiusagi96: 弱いって言われてるけど普通にやれるキャラだと思う
[887.885] Goodwisp: 実際3呑みがゴールみたいなところある
[891.289] ~MISSING_COMMENTER_INFO~: かーかー
[898.693] asseternum1: Oh i didn't notice its diamond
[910.241] araazu518: おっし
[916.486] 泣き虫サクラ: 良い日曜だね
[918.523] funacchi15: ウメさんジェイミーはまだちゃんと触ってない？
[925.333] rasuan103: 大丈夫そうですが、ボタンごと変えれる予備とか用意あったりするんですか？
[930.798] (S)Channingbomber: Choo Chooo 
[946.165] Blowthat: diagos angry now man
[946.302] (M)(S)Moobot: ＊ HyperX Cloud 3＊ 先行予約受付中！ → https://hyperx.gg/42XVwOf
[958.046] asseternum1: He needs to wake up
