[20.299] suhifire: おそーいｗ
[49.327] (S)ヨコグシ: ｗｗｗ
[51.580] taroumaruh: びっしょびしょｗ
[52.466] HirocoT: こんにちはｗ
[53.376] しろまるこ: あら
[54.385] nns2351999: ！？
[54.571] NekoPunchKick: ここでドライヤーｗ
[56.657] maddy2623: ウメちゃんおかえりなさい
[58.245] karumememe: ちょw
[60.816] mohita_3: うるさすぎて草
[61.852] megane77777: ｗｗｗｗｗｗ
[61.887] v_harumi_v: 忙しい
[62.049] 不渡哲也: ドライヤーww
[63.225] taroumaruh: ドライヤー配信は 新しい
[63.516] hiisan: ！？
[63.678] fone777: もうすこし拭いてからｗ
[64.657] nns2351999: なんだこの配信！？
[64.693] sengoku_iori: 海で泳いできたんですかね？w
[64.953] しろまるこ: ウメガール大興奮
[65.345] sarah_0519: おかえりなさい
[70.095] moscat0c7: おそｗ
[70.273] dba143: ドライヤー配信！？
[70.364] 000105: ホタテ
[70.514] gaapo: 生活配信？
[70.869] kitkit3: きとぁ
[77.368] gentarousdm: 寝起きシャワーですか？ｗ
[80.065] NekoPunchKick: 急いで出てきたの？
[80.577] nuka_cola_jp: ええ・・
[83.943] takastoz: 初手ドライヤーｗ
[89.302] knt_0283: 未だかつてドライヤーで始まる配信が、あっただろうか
[91.695] ledlight9413: 組手後
[96.275] (S)junjamaica: 自由人
[99.631] しろまるこ: 自由すぎるｗｗｗ
[100.638] taroumaruh: あまりにも生活感100%
[112.319] shifoncafe: ドライヤー配信
[115.335] nns2351999: 王にも程があるぜ
[115.790] syntax182: daigo parrying his hair
[116.455] (S)しゃくれ: 爆音だああああ
[118.019] sengoku_iori: さっきまでホタテを捌いて食べてたから、海水洗い流して来た後だこれは
[118.108] ham333111: わざわざ配信付けてからドライヤーしてくれる
[121.024] sarah_0519: ドライヤーの音しか聞こえないwwww
[128.303] (S)junjamaica: ミラーの声出てなくね？
[135.704] zetton_s: なにこれw
[137.940] nns2351999: カオスで草
[139.395] v_harumi_v: ガシガシ
[139.643] akira_s_: ホタテ掃除から
[142.148] moscat0c7: 音なしか
[146.969] (S)496shikuro: www.
[147.424] makibisi8787: 初手ドライヤー
[151.583] スタガフェイド: ウメちゃんのドライヤー助かる
[151.745] 000105: これはラシードの風
[156.151] ledlight9413: 温風一閃
[157.673] 1rioreusu: ダイソンのやつじゃん
[158.367] akira_s_: 俺が王
[167.478] thefrozensun_: これは王の立ち回り
[168.058] pondenring0930: 強風注意報
[168.229] (S)~MISSING_COMMENTER_INFO~: w
[170.271] tmtm84: お前ら・・・これが王だ
[170.645] okekke: 草
[176.818] 不渡哲也: 後頭部助かる
[177.611] user_5960: 乾かしとるwwww
[178.298] サラエボ眉間: 見に来たら風の音しかしなくて草
[178.850] (S)junjamaica: ドライヤーasmrのかくげーながし
[183.459] (S)2youyou2: すっご
[187.071] (S)ゆなっこ: 乾かし方がなんか特殊ｗ
