[16.618] tsukikage_saga: ウメちゃんおはよう
[36.828] hinatazaka46_hinanoosi: おはよう御座います
[37.571] KESHIGOMU123: yoshimiDance
[40.295] fumifumi3912: おはよう
[40.454] nikukuisugi333: こんにちは
[40.520] onigakita: こんにちはー
[42.235] StevenAitsover: pats to daigo jwong say rematch him at evo
[44.480] np2np: おはようございます
[44.813] (S)ハルキ10: んちゃ
[47.267] teruharu_: こんにちは！
[48.409] (S)きしー: umeCossack
[48.695] (S)usamaru_noir: こんにちは、今日も配信ありがとうございます
[50.648] datami3: こんにちは！
[50.715] syumahha: unkochanYaa
[51.664] tenamon7775: こんにちや！
[53.968] (S)tanukirobo: こんにちは
[55.126] kabosutoran: こんにちはウメハラさん
[55.649] (S)setunao: こんにちは！
[55.956] ayutan0410: こんにちは！
[56.221] (S)結城あぽろ: おはようございます！
[67.228] チー油: ちゃす！
[70.966] (S)right_8: こんにちは
[74.893] yuu4242564: コンボトライアルは毎日触るべきですか？
[75.775] (S)黒光り肉の: ダイゴー
[82.591] nataekishiko: おはようございます！
[83.687] 犬舐めんなよ: もじゃもじゃしてるのがうめちゃん？
[83.708] ~MISSING_COMMENTER_INFO~: karubisYo
[84.166] Tenaku: masuihIi
[93.301] triton11519: umeCossack
[94.957] Renevbz: Hi
[96.347] (S)きしー: お、ささも？
[98.411] jjjin031400: GivePLZ
[99.594] teruharu_: ？
[101.857] kaigaizei: 隣に太い人いない？
[105.283] (S)right_8: おっ？
[106.770] QUENCH666: ？？
[108.105] kaomoji3: おおきい
[108.377] (S)usamaru_noir: ささもくんに起こされたのかな？w
[113.159] (S)hoemin247: ササモ君や
[113.904] AgeoChoty: 誰よその男！
[114.290] (S)きしー: コーチきたーー
[114.832] spring__thief: ササモいたぁ
[115.277] pontapo: こん
[119.796] kabosutoran: もにぃ
[124.566] monen_tofu: 同棲相手いたのか
[124.796] (S)johndoe6523rp: ササモありがとう
[125.346] (M)(S)gameinntwitch: 寄りじゃない方のシーン使った方がよいかも
[125.522] spring__thief: 半ササモ
[128.147] triton11519: 1.5こくのササモ
[132.193] (S)hoemin247: 寝起きすぎるw
[132.523] 閃光の: ウメさん痩せた？
[132.565] touruko: 襲われたみたいな顔
[133.199] akiaki0612: メンおじデカいのかと思った
[138.251] gypsy2603: 今日も配信してくれてありがとうございます
[139.581] (S)きしー: めっちゃ寝起き？
[141.501] icyblue1985: こんちは！半ささも
[142.661] prisira: 誰かおる
[146.576] teruharu_: ササモさんや
[149.644] (M)(S)gameinntwitch: なにしたいんや
[149.724] (S)blueplanet96: 親方きたー
[151.153] prisira: ササモさんか
[151.526] feel2525: もにぃ！
[152.668] goodiesnacks: こんにちは
[156.728] prisira: ＤＪ本気で詰める気か
[159.058] takahashiseigi: ササモにぃ、スパー相手ありがとうー
[160.258] senatnwt: サカナクション
[160.744] kaigaizei: メンおじいるよウメちゃん
[161.042] ayutan0410: だれといっしょ？
[163.994] ukir02: ササモ招集か
[167.044] (S)きしー: 本気やな
[167.834] ayutan0410: メンおじ？
[167.863] 閃光の: DJ対策か
[168.179] (M)(S)gameinntwitch: スピーカーの電源普通にいれてくれ
[171.912] (S)blueplanet96: ゲーム音スピーカーで出したいんちゃうか
[178.364] prisira: ササモ君もＳＦＬ本選でケン対策いるし最高やな
[178.446] (M)(S)gameinntwitch: 何も変える必要ない
[189.974] やめ太郎: ウメちゃんもうおじいちゃんやな
[191.123] kaomoji3: めんおじも参加
[193.187] (S)goyutai_card: こんにちは！
[195.692] (S)hoemin247: ww
[196.501] touruko: お口ぽかー
[197.637] rt340: こんにちはー
[197.760] (S)latenight000: もにぃ～
[204.083] のぞみくん: 殿おはようございます
[204.803] ayutan0410: 止まった？
[211.047] spring__thief: メンおじマニュアルを紙に書いて置いといた方がいい
[217.906] prisira: 将来自分もこんな風にわからんってなるんだろうな
[222.872] (S)haicro_zm: こんにちは
[224.527] (M)(S)gameinntwitch: 右に最大回したら、ゲーム内であげてくれればよい
[233.657] suppappa: おーささもくん心強い
[237.658] (S)yamadaigo: yamadaigo subscribed with Prime. They've subscribed for 4 months! 
[239.627] teruharu_: あまりにも寝起き
[242.977] hinatazaka46_hinanoosi: 格闘ゲーム興味なかったけど最近配信見始めてスト6ほしくなりました
[244.056] 新ころりん: この外見は・・・ささもくんか
[244.701] sakana_15: おはようございます
[246.516] カブトシロ: こんにちは。
[250.029] (S)gyu_nyuu_pann: こんにちはー！
[257.320] (S)gyu_nyuu_pann: お！もにい
[263.342] (M)(S)gameinntwitch: そしたらOBSの右PCをミュート
[270.875] カブトシロ: 「波動拳！」
[273.363] (M)(S)gameinntwitch: ついでに寄りじゃないシーンにしてー
[275.913] ahiruchanng: もにっ
[281.874] (M)(S)gameinntwitch: 広いみたいなの
[286.613] chanmipoin: これメンオジか？
[289.120] chipstar9: もにぃ？
[289.686] diegojoshi: Just watched evo moment 37 again its as magical as ever 
[290.142] (M)(S)gameinntwitch: 天才
[291.726] がぜじぇいけー: うめちゃんおはよー
[294.914] prisira: 天才ｗｗｗ
[305.396] spring__thief: マジかよ
[306.171] (M)(S)gameinntwitch: アホ
[306.945] ahiruchanng: 風呂 風呂
[306.997] (S)gyu_nyuu_pann: 画面ありがとー！メンおじありがとー
[307.137] shichimi10: ほめてのばしてくれるめんおじ
[307.211] Aatyu: ササーモ
[307.268] moricocoa: w
[307.954] 新ころりん: またかよｗ
[309.622] (S)gyu_nyuu_pann: まじかよ
[311.162] shichimi10: ｗｗｗｗｗｗｗｗ
[312.892] (S)hoemin247: でたああああああ
[313.159] (S)haicro_zm: うそでしょw
[313.643] (S)きしー: これから風呂かい
[313.999] (S)sakusakuman225: またか
[315.137] rump_momo: でたww
[315.869] kabosutoran: ささもと遊ぼうのこーなー
[315.918] (S)gyu_nyuu_pann: 体洗うかーー
[316.336] 壱万円札: ˗ˏˋ 
[317.055] solgover: w
[317.269] prisira: ささもくんこんちわー
[318.153] solgover: wwwww
[318.291] garu735: www
[318.491] icyblue1985: ささも配信
[319.087] rt340: 自由すぎるw
[319.398] ~MISSING_COMMENTER_INFO~: これはいつもなの？
[319.399] akiaki0612: 入ってからやれやw
[319.775] nikukuisugi333: もにぃの雑談あっつ
[319.988] jjjin031400: www
[320.760] gomeeeeeeen: 出たwゲスト放置
[320.916] 犬舐めんなよ: こんにちはー
[321.271] (S)きしー: ささもにいこんちはー
[322.423] 猫飯油: ささもちゃん来てくれたのかー
[322.525] のぞみくん: wwwwww
[322.848] chipstar9: 風呂www
[323.202] りあ仮称: ウメちゃん太ったｗｗｗ
[323.644] カブトシロ: どうぞどうぞ。
[324.121] 新ころりん: だいござびーすとTV（ささも版）
[324.343] sonefia: こんにちは
[324.591] natoooji: ホタテ食べに来たの？
[325.008] owacooorn: 草
[325.119] hinatazaka46_hinanoosi: ハルクですか？
[325.611] solgover: こんちはー
[325.909] (S)メトロシティの研究者: こんにちはｗ
[326.121] kaigaizei: ササモ応援してる
[327.445] (S)gyu_nyuu_pann: ささもさんこんにちはーー
[327.541] まさはー: こんにちはー
[327.910] darisu_k: wwwwwwwwww
[328.195] sawacchi: ささもくんはこんなおじちゃんになっちゃだめだよ
[328.310] AllenDiese3: Bonjour !
[329.839] spring__thief: ビースト
[329.904] mako6912: こんにちはー
[330.296] (S)usamaru_noir: ささもにぃ、お疲れ様です
[331.611] (S)tanukirobo: こんにちはー
