[14.503] roxell_boys: １
[18.094] ganmatiojisan: umeCossack
[36.194] ram_doggo: naru04Uooo
[41.055] (S)てべす1103: ベースを習う！？
[41.301] (S)園___: かるびと同時に配信開始したから焦った
[42.366] koeda_78: 草
[42.847] 適当ヒムロ: こんにちは〜
[43.064] Reopon_: こんにちは！
[44.922] pani8212: うおおお
[45.935] oishinbouya: ベースベース
[46.647] yonayona04: おかえり
[46.955] tayue07: もう帰ってきた
[47.288] ちぇんぷる: ベースやる！？！？！？！？
[47.577] (S)ババシャツ: 135万うぉぉぉぉ！！！
[48.794] TUBE_MAN: ミートにベースだと・・・！？
[49.033] inkgran: ベース配信きたぁ
[49.434] (S)結城あぽろ: こんばんわ！
[50.903] recoba_020: きたー
[51.575] imokorori: まさかの
[51.866] (S)すれいまん: ベース配信うおおおおお！
[53.185] (S)メトロシティの研究者: ベースじゃない！
[53.218] (S)gyu_nyuu_pann: こんにちはー ベース習うまじっすか！！
[53.488] 吉田じんぎ: ベースを習うのに何でスト6？
[54.223] げすと_: 高いベースを買ったと伺いました
[57.410] sevenstars22: ベース！？
[58.442] umimiuumi: こんにちはー！
[58.588] (S)Yaponjin: いまミートさんの動画見てた
[59.476] k70043576: 風邪なおった？
[61.289] (S)kropt96: え！？ベース！？
[61.350] (S)shir039: ベース！！？
[61.517] akittyan: ウメさんこんばんわ！！
[61.763] koeda_78: なにが始まるんですか??
[64.237] tsubame5204: umeSalute
[64.518] (S)gyu_nyuu_pann: スト6つけてて草
[66.264] (S)perfecttakahashi: ！？
[66.526] いがぐりころころ: こんばんは
[66.956] ~MISSING_COMMENTER_INFO~: ベース！？
[67.389] (S)FilthyOjiChan: daigo san are you fine?
[68.778] (S)yoyo_443: 135万ベース配信きちゃあ
[68.951] (S)えび猫: umeCossack
[69.441] peroponcho: こん富豪〜
[72.366] (S)shir039: スト6バンド？
[72.643] karumememe: え！？
[73.934] Zolthar_M: hey daigo 
[74.385] (S)super_fluo: こんちはー
[74.681] (S)すれいまん: ベース型のコントローラーでスト6するの？
[75.507] 無心に: こんば…こんにちは
[75.745] (S)aransia0624: こんにちわ。体調いかがですか？
[76.438] ちぇんぷる: ミートさん！？
[78.311] Regnqva: ウメちゃんこんちは〜
[78.536] アザミノ: いるう
[79.689] (S)hoemin247: スト6起動しながらww
[79.996] (S)gyu_nyuu_pann: えっ135万まじ？
[81.206] dakyu777: 左手のためじゃないかなー？
[83.050] シガツ: べーす！？
[83.193] cafe_gondo: うおー
[83.492] (S)ババシャツ: ペヤングミートさんにあげよ
[85.582] (S)mart_00_: ベース習うの！？
[87.552] おつかひ: ベースを習う画面がこれ！？
[87.602] rt340: マジで行動力ヤバいですね！笑
[87.873] (S)maya_g01: ウメちゃんこんちはーベースまじか！！
[89.965] いがぐりころころ: 野球のベースかと思ってすみません
[90.420] ちぇんぷる: わーいわーい
[91.107] (S)乃璃枝: 梅原さん、こんにちは😺
[91.589] muramura2424: せっちんぐ
[92.844] icyblue1985: こんにちは！ベース！？
[93.963] astro5dasher: 130万のベースやいかに！！楽しみ
[94.761] chin_56_: せっちんぐ♪
[97.187] megurun: こんにちは！
[98.586] umao210: スト6じゃん？
[100.327] Reopon_: ウメハラさんは今どのコントローラーを使っていますか？
[101.631] dakyu777: 左手、薬指対策だとみた
[103.731] tsukikage_saga: ウメちゃんベースならうんだ！すごーい！
[103.928] ddsato316: キターーーーーー
[104.734] miyo2016: こんにちは
[104.975] シガツ: うおおおおおおおおおおおお
[105.415] ~MISSING_COMMENTER_INFO~: ！？
[107.754] koro3__: ウメさんこんにちはm(__)m
[108.039] tsukikage_saga: わーお！
[108.116] mukimukipanda: かっこいい！
[108.843] (S)gyu_nyuu_pann: クッッッソいいやつで草
[108.912] ronamu22: うおー
[109.091] (S)ババシャツ: かっけぇ！！
[109.276] ぢょごぢゃん: ぢょごぢゃん subscribed at Tier 1. They've subscribed for 25 months! 
[109.630] beehive3: RyuChamp
[109.640] foo_twitch: リハビリのためにピアノやった桑田か
