[10.983] goma_dara: 振り返り助かります
[11.382] (S)sirius5515: <3
[21.128] あきル: RyuChamp
[25.827] mmiiacha: umeYay
[28.282] otogibanashi: きたあ
[30.464] ライム_: おもろい配信きたな
[31.806] まるまり_: HolidayCookie
[32.140] (S)FilthyOjiChan: konichiwa
[35.277] (S)hiaaru: umeCossack
[35.813] kastodui: Pog
[40.182] (S)吉田沙保里_: umeYay
[41.375] icyblue1985: こんちは！
[42.049] vmff14: HeyGuys
[42.335] (S)Entot1: Entot1 subscribed at Tier 1. They've subscribed for 2 months! 
[42.492] (S)てべす1103: 俺を獲れおつでした！
[43.777] (S)echizen2000: おいすー
[44.883] takastoz: こんにちは
[44.932] (S)yamadatakashi23: umeYay
[45.859] (S)シンノ: HypeApplause
[47.556] merkava_mk2: うおおおおおおお
[48.465] (S)mari_mari_01: こんにちは
[48.812] (S)yamato925925: お疲れ様です！
[49.638] extremisdiabolus: Morning everyone
[52.638] shuzoz: 『俺を獲れ』アーカイブのサムネw
[54.648] Loytory: ウメちゃんこんちゃー
[55.371] market_fujisaki: お疲れさまですー
[55.434] 花御: おいす
[55.753] (S)jagariko33: umeCatHope
[56.396] あくるか: こんにちは～
[56.803] (S)echizen2000: 今日あついね
[56.946] sho01: umeCossack
[57.239] (S)ringo_35: お疲れ様です
[59.173] basketman_link: あっついねぇ
[59.544] gajimaru: きょうあついねー
[60.409] eremin_39: おなるんおる？？
[61.644] ならさん: こんにちはー
[62.239] (S)4きね8: こんにちは
[63.326] びーしー1712: こんにちは♪
[63.346] kebiisi: ウメー
[63.629] usugesaan: おつかれさん
[65.048] (S)sai927: おもろかったぜよ
[65.096] teruharu_: こんにちは
[65.423] (S)hsbcbcc: umeYay
[66.035] (S)Nao170: こんにちは
[66.289] myodent21: こんにちは〜昨日は長丁場お疲れ様でした
[67.397] mifune1046: あの後打ち上げしましたか？
[68.408] spring__thief: こんち
[68.666] (S)yoshiaki1986: yoshiaki1986 subscribed at Tier 1. They've subscribed for 4 months, currently on a 4 month streak! 
[69.640] wonderhit1: ほい
[69.832] condol456: ウッメちゃん
[71.135] (S)koudai715: うめさん、こんにちは。
[74.361] sahaha213: 昨日はおつでした
[75.975] extremisdiabolus: NiceTry
[78.143] m_k7_jazz: 『俺を獲れ』お疲れ様でした
[78.341] fabygz85: Saludos desde Argentina. You are my idol!!
[79.001] dj0d4y4k4: ちょうどアーカイブ見てた
[82.172] watamelon25: hi
[83.729] maddy2623: ウメちゃんおはようございます 俺を穫れ、めちゃくちゃ面白かったです
[84.164] (S)koudai715: 昨日はおもしろかったよ
[85.049] Jeakfreet: 昨日はお疲れ様でした。
[87.203] gajimaru: ひえっ
[88.599] (S)てべす1103: 長いw
[90.429] (S)4きね8: すげえ
[90.508] kazurock69: 仕事で俺をとれ見れなかったんですが、今後アーカイブで見れるようになる予定はありますか？？
[90.697] mifune1046: やーーーーばいwww
[92.156] おすかいと: うめちゃんおつかれさま
[93.418] x_abu_xx: おつかれさまでした
[93.452] kamiya1979: こんちはーおつでした
[94.753] rt340: こんにちは！
