[12.660] ねこざけ: おｋ
[13.950] kaigaizei: 今の雑談もアーカイブ残ってないからなんか設定周りっぽいな
[19.855] terry_man630: 合わせい1本はほんと笑ったｗ
[22.190] (S)kani7321: わたしたちは戻ってきます
[27.250] (S)yamato925925: きた！
[28.282] (S)おかもこ: 感謝の昇竜拳
[35.922] (S)hiro_chan: メンおじたすけてー！
[37.016] hornetyo: どもども
[37.510] ふかしいもん: おかえりなさい
[38.762] (S)gorogorogorn: ｋｓｋさん体調悪くて行って無いんだって
[40.940] demaekan_: 明日になればまたアーカイブでるんじゃないの
[42.753] muck_339: すげーシンプルなデスクトップ画面
[46.851] (S)一1990: うるさい奴に目をつけられるならアーカイブなくていいわ
[48.265] sahaha213: 0.3
[49.485] 黒猫くん: いなかった
[56.997] megalomania13: こん！
[59.633] foo_twitch: 中の人がアーカイブ設定外したのかもね
[63.224] (S)sai927: 不在
[67.089] youheiyokote: ほぼ買ったままのデスクトップわろた
[69.987] ちぇんぷる: 感謝の昇竜たいむ！
[71.929] goozy009: 格ゲー勢で本田で現れたらおもしろかったろうに。。。
[76.429] chin_56_: cat2indente8nde subscribed with Prime. They've subscribed for 22 months, currently on a 9 month streak! 愛やよ
[79.024] (M)(S)gameinntwitch: アーカイヴは一昨日からすぐ残ってないみたいで、俺を穫れの時にスタッフに確認してもらうようには伝えたんですが
[82.708] echa_pi: 雑談アーカイブ残してほしいな。さっきのウメちのデータの話すごく面白かった
[90.376] ShaiMin_: ShaiMin_ subscribed with Prime. 
[91.050] フﾄ: ガテ subscribed with Prime. They've subscribed for 42 months! 
[95.879] demaekan_: 志願者のウメハラさんいません！
[95.921] (S)yamato925925: yamato925925 subscribed at Tier 1. They've subscribed for 4 months! 
[101.560] グッド: 今朝までアーカイブあったよー
[104.057] (S)hiro_chan: メンおじでもそこはいじれないのか
[108.684] goozy009: さっきのデータの話は切り抜きさんはほしそうだな〜
[112.879] 歩歩歩: 昨今の炎上対策でアーカイブ残さなくなったんじゃないの？
[113.746] balthazar000: 俺を獲れは今朝までは上がってたし
[114.946] mike39cc: また椅子配信か
[115.496] one596: ツイッチ担当の人の対応待ちっすか
[126.062] NordicYukI: 俺獲れのアーカイブさっきまで見れてたのに、今見れなくなってる
[126.523] youheiyokote: アーカイブは夜はなくて朝はあった。また消えたのか。
[126.904] sh1zuku716: ベースどんな感じなんだろ
[131.322] hato_pizza: やっぱ一旦チェックはいるようになったのかな なら酒解禁でも......
[138.223] (S)funacchi15: さっきまで見れたけど、途中で見れなくなっちゃった
[138.324] foo_twitch: 権限持ってるのはシノさんともう一人の中の人って方でしょうかね
[140.271] wahaha7788: 切り抜きはもう本家のしか見てないな
[142.012] hornetyo: 朝は見れたのでチェックしてるのかもね
[142.246] raybanm: この配信枠もアーカイブ公開になってない
[143.008] bulletk7: さっきの配信の前くらまではアーカイブあったよ
[151.441] (M)(S)gameinntwitch: 時間たったら表示されてましたね。こちらでは制御してないんで、時間経ってなんでアーカイヴが表示されたのかも、こちらでは何もきいてないです
[152.033] 歩歩歩: アーカイブあると粗捜しするやつがいるからな陰湿だわ
[154.428] d_maeken: ベースやってなさそーw
[160.795] tabibitox: なるほど
[165.973] (S)hiro_chan: なるほど
[176.549] demaekan_: まあアーカイブはミート配信のほうでもみれるしね
[177.161] goozy009: ワラキア先生見れてないからめっちゃ見たい
[179.142] okureiman07: まぁ色々あったから慎重になってるのかもね
[181.467] (S)kani7321: めんおじありがとー
[183.120] 歩歩歩: 過去のアーカイブ掘ってあら探すの陰湿だと思わない？
[187.931] sahaha213: 久々にベース鳴らして欲しいな
[188.545] (S)gorogorogorn: 墓荒らしはホント迷惑だよなあ
[189.810] munku1106: あの時間の動画をチェックするのも大変だね
[189.940] x_abu_xx: めんおじありがとー
[190.094] takahashiseigi: Kumite予選優勝してなかったら、翔が応募してたのかな
[190.156] rt340: 今燃やしたいだけの奴がいるから慎重になってもいいと思う
[190.854] ~MISSING_COMMENTER_INFO~: 陰湿
[195.783] tabibitox: まぁ編集してからつべにあげるのがまるい
[195.890] youheiyokote: 結構きわどい出演者いたし、様子見る必要あるのかもしれん
[196.144] demaekan_: 不適切チェック？
[196.819] 5don: リスナーとかモデレータとか、そのあたりの話じゃなくて、もっと運営寄りの事案のようです
[200.710] akiaki0612: 敏感な時期だからリスク管理してくれる人がいるなら逆に助かる
[203.642] demaekan_: 不適切チェック
[207.315] セツリ: 陰湿とかどうでもいいけど、特定活動はやめてほしい せめてリアタイで..
[212.209] sh1zuku716: しのチェック
[217.770] (S)ノア1844: 前日の配信もなかったですからね
[220.686] (S)鯨飲馬食: きわどいひとなんていたんだ
[223.897] 黒猫くん: うんこかウメさん
[230.328] foo_twitch: シノさん側でチェックして問題なさそうなら復活してくれると信じて
[230.367] chin_56_: 能障害
[230.617] hornetyo: 物理的に際どい
[231.803] 歩歩歩: 透け透けの服着てる人いたんだよ
[233.141] (S)dalhi: やめたれ
[234.993] wahaha7788: ブロッコリーだな
[237.519] d_maeken: りこちみたい
[238.704] goozy009: 王様はナマでしか味わえないw
[239.903] (S)hiro_chan: 翔も応募すれば良かったのに
[243.685] (S)鯨飲馬食: そうなんだｗ
[259.014] 歩歩歩: マジで透け透けだったからな服が
[262.607] hornetyo: モロの一つ前
[264.400] (S)You_nari: なんか下半身もろみたいな人がいたらしい
[266.149] muck_339: とりあえず格ゲー勢のトナメが楽しみだ
[268.221] (S)hiro_chan: 透け透けはNGなのか
[270.094] goozy009: 翔は出たかったけれどタイミング合わなかったって言ってた
[270.291] hato_pizza: そこ観てなかった まじか
[273.807] wahaha7788: 迷惑になるかもしれないって思わなかったんだろうか
[277.175] (S)2ndtraffix: いつも全く見てないのに粗探して謝罪と賠償を請求する人もいるしな
[278.044] urumax999: 下半身スケスケのおかま歌手ね
[278.190] (S)gorogorogorn: アーカイブで何人かカットになってたらウケる
[279.489] d_maeken: そこだけ切ってもろて
[285.904] foo_twitch: 翔はクミテで爪痕残してるでしょ
[288.764] takahashiseigi: 翔はこく流にいうと、直前に売れちまってたから
[289.018] 天然ベニテングダケ: 今後格ゲーイベントでNoモーションの2人出てくれたら嬉しいねぇ
[294.076] hornetyo: モザイクでオッケー
[309.022] sahaha213: ノーモーションは頑張って欲しいなあ
[314.043] rt340: なんならその人サムネになってましたねw
[318.457] (S)You_nari: ノーモーションは余興とかに良さそうだよなぁ
[320.076] seirosu: noモーションけどファミ通のゲームネタとかでも良いとこまでいってたよね
[323.503] 歩歩歩: あのサムネ笑ったわ
[329.655] goozy009: モザイク入れられるなら男塾も復活するでしょw
[330.335] rt340: 自動生成だと思うけれどw
[332.330] hornetyo: サムネがセンシティブ
[334.010] demaekan_: なにものなのあの人
[334.625] d_maeken: ノーモーションはなんのプレゼンだったの？
[337.366] raybanm: さっきの雑談もこの配信もアーカイブ公開設定になってないからうめちゃんの配信設定の問題じゃない？
[340.463] よっとです: オレは糖尿病で10万負けただけだから多分セーフですよね😅
[340.933] パパゲーノ: パパゲーノ subscribed at Tier 1. They've subscribed for 41 months! 
[345.175] sh1zuku716: 男塾はアウトだったの？ｗ
[351.749] ちぇんぷる: よっとさんだー
[353.692] urumax999: ノーモーションはネタおもろいけどトークが弱い
[354.411] sahaha213: よっとさんいたあ
[354.731] tabibitox: よっといたぁ
