[4.717] うううぬぬぬ: o
[4.962] pettan_omochi: 演奏力はまだウクレレ君に分がある
[10.062] tabibitox: おかえり
[17.897] (S)chachachakoma: おかえっり
[20.737] あり0221: お帰りなさい
[26.351] jagajaga1943: ツイートして
[27.852] kamitaka99: え
[30.035] suupu: え？
[31.062] (S)chachachakoma: ええｗ
[31.736] Sgt_Pincell: rbmotJefinAproves
[32.623] ddb365: umeMezame
[32.912] balthazar000: またでござるかぁ？
[33.172] あり0221: え
[34.643] haniwa09: え
[34.923] (S)brutal9998: でたよwww
[35.620] TUBE_MAN: お得意の放置プレイ
[35.666] danny_love_danny: え？
[36.496] (S)gettyozi: コスプレでもするの？
[38.074] tabibitox: おい、地獄だぞそれは
[38.168] shumatsu623: ギアあげていけ！
[38.399] gajonaori: 暖気
[38.519] twitchyarutch: ジブリリスペクト
[39.131] (S)gorogorogorn: ウメちゃんどうして…
[41.326] danny_love_danny: 放置きたーー
[41.898] (S)絵馬にょ: umeYay
[42.102] ヨコグシ: ⁉
[44.990] ~MISSING_COMMENTER_INFO~: よかった
[45.785] TUBE_MAN: 50分ｗ
[46.962] (S)chachachakoma: これが王ですよ
[48.452] (S)yut7xot8: BibleThump
[48.525] kurokurro: 映画見てきた？
[48.921] suupu: 50分！？
[49.634] (S)gorogorogorn: ５０分ｗ
[49.762] suginaka56: えええ
[50.024] (S)daichan1200: 50分
[50.807] mizoguchi1957: え？！
[52.488] latenight000: 50分頑張って
[53.433] syrup9000g: 50分
[53.583] アザミノ: こん
[54.099] (S)chocolat1234: 15分!?
[54.763] tabibitox: 50分？
[55.015] (S)brutal9998: これがこの男w
[55.860] 霧月むげつ: 15分ね 50分はヤバい
[56.413] danny_love_danny: ええ
[56.796] (S)gyu_nyuu_pann: 50
[59.015] degajun: ｗｗｗ
[59.496] suupu: あっぶねｗ
[59.729] (S)gyu_nyuu_pann: こんばんは
[62.848] tabibitox: ティーンかｗ
[63.250] (S)黒光り肉の: あぶねぇ
[63.337] あり0221: 時間に間に合わせない＝お前らでエンジンあっためとけ
[63.505] xxzoids: 50分は、さすがに。
[64.254] ohta_jp: キングイングリッシュ
[64.694] (S)gyu_nyuu_pann: 15www
[64.978] アザミノ: ティーン
[68.866] donekofg: 15分でもなかなか
[69.943] 霧月むげつ: からｗｗｗ
[73.832] balthazar000: マゴさんのジムあたりからタガ外れちゃった？
[74.818] (S)chachachakoma: えええｗ？
[74.867] suupu: からｗｗ
[75.129] icyblue1985: から！？
[75.931] ~MISSING_COMMENTER_INFO~: てぃんかてぃーんか
[75.934] アザミノ: はい
[76.560] syrup9000g: あなたさぁ～ｗ
[76.712] (S)gyu_nyuu_pann: メンツどなた？
[76.753] (S)りゃーー: 未定ｗ
[77.309] jigen0104: から
[77.864] (S)gorogorogorn: １５分～
[77.998] tabibitox: から
[78.874] Roze1019: からｗｗ
[79.347] pettan_omochi: 最低15
[79.902] (S)brutal9998: www
[79.923] feel2525: 吉田栄作
[80.837] (S)エムクロ: の
[80.998] (S)shifoncafe: 草
[81.407] kamitaka99: クズｗ
[81.829] kumi115: なんで〜
[82.687] mememe10: マゴさんなら
[83.081] ddb365: ｗｗｗ
[83.212] furu13: は？
[83.909] (S)bikibiki999: ええええｗｗｗｗ
[84.002] jigen0104: 15～
[84.108] くね君: ｗｗｗｗ
[84.567] mushikiller: 何で配信はじめんのよw
[84.882] shumatsu623: 8時15分からってわけ
[85.419] トネ: fifteen...
[86.024] latenight000: 配信開始して開幕放置マジで笑うw
[86.167] rm_rf__: ちょっとw
[86.753] (S)顔面ユッケ: なにがはじまってるの？
[87.297] (S)黒光り肉の: 15〜（50）
[88.391] sahaha213: ちょっとちょっと
[88.674] hatomugi101: wwwwwwww
[89.028] (S)yut7xot8: umeYay
[89.052] nikukuisugi333: これはひどいｗ
[89.165] tabibitox: ひどいｗｗｗ
[89.341] (S)りゃーー: umeWhat
[89.567] umetyaahan: ワロタ
[89.675] (S)ガヤン0521: 最低保証15 それ以上は分らんｗ
[90.176] syrup9000g: それは正論
[90.316] くね君: 自由過ぎるｗ
[91.371] danny_love_danny: 〜
[91.870] echa_pi: hahaha
[91.894] suupu: 人間じゃねぇｗ
[93.044] (S)gettyozi: 無茶苦茶だ
[93.265] (S)gyu_nyuu_pann: なんだなんだ
[93.299] 将門ゴルゴロ: ｗ
[93.965] あり0221: 開幕放置w
[94.041] degajun: これがクズかｗ
[94.312] jigen0104: wwwww
[96.044] (S)ハルキ10: これが生き方
[96.221] (S)タシオニ: 飯食べないと死んじゃうしね
[96.757] (S)chachachakoma: 唯一神ですからぁ！
[96.846] TUBE_MAN: 誰か声跳ね返ってる
[96.924] flashbacks18: ツイートしてw
