[14.881] 霧月むげつ: こんばんは お疲れ様です
[18.209] tsubame5204: umeSalute
[22.284] (S)tabibitox: きたー
[23.971] (S)4きね8: こんばんは
[25.509] (S)maya_g01: ウメちゃんこんばんはー
[28.467] kumanobed: こんばんは
[33.412] y5ky5k: こんばんは
[33.431] ちぇんぷる: ウメちゃんこんばんは！
[35.836] 不渡哲也: umeYay
[36.575] crownin_fumizuki: 居ない
[40.933] 食用ばるさみこす: いない
[41.381] セツリ: Hi diego
[42.844] kotatan_twitch: umeSmoosh
[43.091] (S)mari_mari_01: こんばんはー
[43.927] jagajaga1943: いないw
[47.526] カブトシロ: こんばんは。
[48.876] (S)そろもん1: 💩いった
[50.824] goozy009: 来た瞬間椅子💦こんばんは
[55.287] blackcoffee0821: シャワー行ったか
[57.790] (S)えび猫: umeMezame
[67.262] (S)フラジャイル: こんばんは～
[74.768] ちぇんぷる: キター！
[74.784] v_harumi_v: こんばんはー
[76.463] 霧月むげつ: 戻ってきた こんばんは
[76.613] takuuuuuuu0722: こんば！
[77.739] omusubi_0824: こんばんは〜
[78.450] セツリ: ワインレッド 
[81.812] (S)f_black: こんばんはぁ！
[83.657] kakutora_no_o: こんばんは
[83.877] sphere0315: アレコスやん
[86.484] goozy009: おかえりなさい
[90.641] サマンサ246: 今日オシャレですね
[98.372] ちぇんぷる: なんか今日オシャレだね
[98.695] (S)maya_g01: いいお色のTシャツだね
[100.046] (S)haicro_zm: こんばんは
[100.448] mifune1046: あれ？水色のシャツ素敵な色だったけど着替えたの？
[105.784] takuuuuuuu0722: ウメさん赤いシャツなんか新鮮ですね
[106.570] (S)dnSnake: dnSnake subscribed with Prime. 
[106.964] (S)tabibitox: ｼｮｳﾘｭｳｹﾝﾀｲﾑ
[120.434] v_harumi_v: 洗濯しないとなんですね
[124.487] koeda_78: ファミマ脱
[124.629] (S)axchuuu: 髪の毛さっぱりしました？
[144.157] (S)Jasminexxx2525: こんばんはー
[146.869] (S)hsbcbcc: umeCossack
[146.995] blackcoffee0821: レッドブルなんだ
[152.447] takuuuuuuu0722: 昇竜拳１日何回？
[152.604] v_harumi_v: はーい
[158.163] (S)yut7xot8: 疲れてるのかい？？
[160.311] (S)junpei_11: 今日のウメちゃん作画いいね
[163.189] カブトシロ: はい。
[166.604] kakutora_no_o: ここ最近長かったね
[167.942] (S)mm2351: こんばん
[170.576] (S)m1s4m0: いつもと服が違うね
[171.725] にゃんだろーりんぐ: にゃんだろーりんぐ subscribed with Prime. They've subscribed for 11 months, currently on a 5 month streak! こんばんはー
[175.176] v_harumi_v: 短めって何時位かしら？
[183.387] (S)f_black: そのTシャツ売ってない？
[188.063] ちぇんぷる: 昼夜逆転はしんどいよねー
[191.164] (S)そろもん1: 超ユッケ
[200.382] (S)m1s4m0: 夏バテは大丈夫ですか？食えてますか？
[203.447] ひろみつー: 今日お洒落ですね
[204.479] jhkkhfdathvd: レッドブルのやつか
[208.867] (S)junpei_11: 新しいTシャツなのか
[211.851] (S)4きね8: 昼夜逆転はEVOのためですか？
[213.551] Youhei6251: デクに後ろ下がり覚えさせたらリセット回数減りません？
[217.630] gbmtp366: 購入権にきこえてきた
[222.193] yomogi0610: こんばんは～
[230.860] (S)絵馬にょ: umeBlocking
[230.987] (S)そろもん1: ケツ放流 ケツ放流
[231.271] sakuraigarashi: VoHiYo
[235.053] (S)Arcaster42: Arcaster42 is gifting 1 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 107 in the channel! 
[235.391] (S)Arcaster42: Arcaster42 gifted a Tier 1 sub to ちふ0717! 
[240.425] (S)Nagare765: ブルのシャツか
[245.678] (S)dnSnake: 瑛太 DP
[249.361] sphere0315: プロゲーマーってやっぱ日常的に昼夜逆転しちゃうのかな
[253.011] ひろみつー: アーカスタにぃありがとー！
[254.905] (S)maya_g01: あーかすたーにぃ～
[256.296] (S)黒光り肉の: ベース
[263.211] goozy009: あざます
[264.361] (S)pinoco: すきです
[265.484] (S)m1s4m0: ウメちゃんは健康生活だったのにね
[272.234] (S)残り8万: こういう練習ってみんなやってるの?
[273.289] ひろみつー: お疲れ様です
[276.499] (S)junpei_11: ウメちゃんが着てるシャツ買えるとこないの？
[280.285] (S)そろもん1: 顔疲れてる
[280.327] prototypeie: 充実の一日
[280.754] ちぇんぷる: えらい！
[282.515] oinari6: ジム今もプール歩いてるの？
[285.724] 大ﾗｲｽ: 赤似合うな
[291.140] pekusuyada: インパクトと何をセットでレコードした？
[291.746] nabewata21: 昨日、足立区の花火でしたがウメハラさんは毎年行ってましたか？
[298.021] v_harumi_v: 色々頑張ってて偉い
[312.351] mifune1046: JPの胸筋やばいだろ…
[321.225] sphere0315: 夏はプール混むからなぁ
[326.641] (S)黒光り肉の: 足立区の花火凄い人数来たみたいね
[329.255] (S)Nagare765: ガイルとDJ対策した？EVO多そうだけど
[329.279] ちぇんぷる: 今日誰かとやる予定ある？
[341.959] (S)monpiipop: ガイル多いんだ…
[359.784] domontyan: ウメちゃんお疲れ様です こんばんわああああああ
[360.607] (S)junpei_11: ウメちゃんのグッズ販売マジ無いよね、買いたいのに
[362.404] (S)m1s4m0: 強いもんねガイル
[362.692] サルウシ: ビーストカップの詳細はいつ頃出ますか？
[366.298] NekkyOne: 性能チェックの意味も込めてラシード触りますか？
[375.413] (S)Nagare765: 海外S TIERだしはさすがに多そうじゃない？
[383.200] ひろみつー: ウメちゃんのグッズで調べると変なTシャツ出てくる
[387.978] mifune1046: 海外と日本でガイルの評価が分かれてるの面白いですね
[389.316] pomodorojp: こんばんは！ がんばえー
[389.518] (S)そろもん1: 足立区のお祭りで型抜きできたの店のおやじにおられて失敗にされるのが足立区
[396.023] あり0221: こんばんはー
[400.869] jhkkhfdathvd: 絶対やるべきだと思うけどなー
[400.974] (S)m1s4m0: ウメちゃん型抜きうまそうだなぁ！！
[416.744] ひろみつー: まじで眠そうw
[417.616] (S)Nagare765: 海外の大会ガイル基本上位にいる
[418.357] みょんみょんあかみ: こんばんは。カルビさんとけんきさんとハイタニさんとの会談動画よかったです
[437.745] 食用ばるさみこす: 在庫が云々面倒だよね
[438.469] (S)Reopon_: ウメハラサイン入りビーストTシャツください
[444.554] (S)mm2351: ずっとかるびを持ってるのが面白かった
[444.986] 綾鷹7777: ウメちゃんなんでこんなに眠そうなの？？
[449.539] プリズムパワー: 現状誰に一番ナーフ入りそうですか
[452.587] (S)f_black: カルビのパッド持つ指示出てたの？あれ
[454.750] kobayan86BRZ: JPに昇竜拳を見てもらう練習
[463.336] (S)m1s4m0: ジムに行ったそうです
[471.221] omusubi_0824: ちょうど一年くらい前によく見ていて、最近出所してきました、また楽しませていただきます😥
[471.563] ひろみつー: 疲れててもゲームするの偉い
[477.309] みょんみょんあかみ: パッドずっともってるのはシュールだったｗ
[483.120] (S)m1s4m0: 出所wwwww
