[25.270] careful_crab: Oh 
[25.421] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[27.727] (S)mobageiskusoge: okaeri~
[29.408] ぼんじゅ: 今回の調整でケンは強化ですか？
[30.257] atalumier: @careful_crab new stream starts soon
[31.494] (S)Hiclere: ぱりぃ
[33.072] TB2117: ミリオンダラーパンチから
[34.310] pondenring0930: 大将～いつもの頼むよ
[34.666] v_harumi_v: 昇竜の練習からですかね
[35.661] 憂う者の弟子: DinoDance
[36.726] (M)(S)gameinntwitch: ろくが？
[38.104] t0m0yuki: 感謝の昇竜拳
[39.195] (S)tama_zx61: umeSalute
[46.724] (S)axchuuu: メンおじ様お疲れ様です
[48.939] une3333: しょーりゅーけん
[51.153] takahashiseigi: 今日のガチくん「柔道家さよなら」
[52.458] tmtm84: 悩ましい奴が来たな
[56.035] kern_tucker: 小パン仕込みはできなくなったみたいね
[56.630] (S)tabibitox: ルークは小K仕込みなくなって少し弱体ぽい
[58.189] 新ころりん: 感謝の昇龍拳
[61.275] (M)(S)gameinntwitch: Twitchの画面の左下に一時停止ない？
[67.644] shiro_risu01: umeCatHope
[69.487] わしょい: ケンばかつよいっす
[70.702] akira_s_: マノンばいばい配信
[74.103] devilkicks23: devilkicks23 subscribed with Prime. They've subscribed for 11 months, currently on a 5 month streak! 
[79.090] HirocoT: ｗ
[80.405] 新ころりん: Mジェイミーが４F手に入れたとか
[81.128] potocki1810: ｗｗｗ
[81.131] v_harumi_v: メンおじさまありがとー
[81.323] kern_tucker: ｗｗ
[84.920] ちぇんぷる: w
[86.038] niemalsaufgeben: リアクションｗ
[86.134] yomogi0610: 草
[86.342] une3333: びっくりしたw
[88.029] icyblue1985: ﾜｧ
[89.528] jagajaga1943: ラシードのsa見ました？
[89.987] (S)homu0117: wooo!
[92.602] une3333: 突然耳にサイレンが
[94.707] (S)axchuuu: 昨日からウメさん楽しそうだけ
[100.570] Kurosora: ラッシュ暗転での先行入力消失バグは修正されたよ
[102.240] セツリ: メンオジの視覚０でなんでも分かるのすごすぎる
[110.243] だいこん_: あれは即修正やろなー
[112.905] (S)hinhinpp: ラシードバグ見つかってたね
[115.472] miyusayers: SA2は実質SA5位の性能あるだろあれ
[115.691] akira_s_: 削り地獄SA2
