[10.999] takastoz: ウメちゃんこんにちは～
[14.184] sho01: umeCossack
[17.536] 顔面ユッケ: おはようございます
[29.548] てんまくん: おはようございます！
[30.959] チャンやま: こんにちは
[31.959] おにたろう: こんにちわー
[34.468] 清和源氏: おはデ
[35.253] (S)きしー: うめーおかえりー
[36.781] v_harumi_v: こんにちはー。今日も暑いですね。
[37.655] (S)tntnzxcasd: umeCossack
[37.734] cafe_gondo: おはざます
[39.840] falcanon: おはようございます
[40.720] (S)わきそう: おはようございます
[42.194] ぬーぼー2: HELLO DAIGO
[43.244] v_harumi_v: あらら、寝不足
[44.269] aranami0: こんにちは
[45.921] nikkorogasi: おはようございます😃
[46.177] taisawanohito: おはようございます☀️
[46.389] しろまるこ: umeCossack
[46.468] 塔虧啦: morning
[46.788] フﾄ: おはようございます
[47.726] shiro_risu01: umeCat
[48.971] rkrkrk0712: ちわ
[49.394] (S)hoshi_boshi_0: ウメちゃんおはようございますー
[50.398] balthazar000: 相当飲んだ？
[50.625] nyogamigoh: まだメンテ中？
[52.607] runba05: おはよう
[55.044] mamamamatsu: うめちゃーんおはようございます
[55.804] teruharu_: ウメちゃん
[59.695] myodent21: こんにちは〜
[62.094] (S)gold_power1969: こんにちは～
[62.574] popo8322: あれ？メンテ終わった？
[69.214] もきち555: ハロウメ
[69.287] (M)(S)gameinntwitch: あ、トーナメント近いひと
[69.674] (S)日本語かな: きんちょーる
[79.553] balthazar000: この時間に起きて寝不足はかなりっすなぁ
[82.672] v_harumi_v: メンおじさまもこんにちは
[87.539] potocki1810: 配信感謝 
[91.569] (M)(S)gameinntwitch: トラブル無さそうですかね
[92.163] (S)きしー: きんちょーる同じプールぽい？
[99.483] tsubame5204: umeSalute
[118.728] (S)くういぽ: くういぽ subscribed at Tier 1. They've subscribed for 5 months! 
[125.989] ビフィダス: うめちゃ！
[128.189] v_harumi_v: トラブルは無さそうですー。
[134.550] aureuval: aligne3Panlikepan
[146.668] aureuval: aligne3Breadwinner
[157.121] aureuval: Daigoat
[168.437] (S)ムギムギヲ: SFL予想家配信はありますか？
[169.762] (S)日本語かな: しっかりしてるー
[173.350] (S)haicro_zm: ねむそう
[175.312] Jeakfreet: こんにちは！
[175.539] macmega_: Daigo you are my hero
[177.030] (S)きんちょーるを救いたい: umeWin
[180.076] erikiri: konbanwa
[182.129] nnmdfs: リアルブル飲んでる？
[182.819] chanmipoin: なんで上手い人って中足に迅雷仕込まないの
[186.177] DudleySF6: DudleySF6 subscribed with Prime. They've subscribed for 36 months! DAIGOD 
[190.171] たくあんどす: ウメちゃん 
[192.130] hitmehitme: 了解
[192.705] v_harumi_v: そうなんですね
[197.831] laponta: ウメハラ塾
[199.099] (S)ムギムギヲ: 了解！
[208.890] rat_2442: rat_2442 subscribed with Prime. They've subscribed for 38 months! 
