[12.076] ガイ長: どーもー
[12.864] 将門ゴルゴロ: きたわー
[21.913] ヤツハシ: 楽しみや
[24.689] マギルゥ: 待ってた
[24.775] tsubame5204: umeSalute
[28.250] maddy2623: umeNirami
[35.506] (S)箸くれ: きたー
[37.414] bec118_japan: きたきたぁ
[37.608] nagoyanekozuki: こんばんわ
[39.778] takastoz: ｷﾀ━(ﾟ∀ﾟ)━!
[41.010] 5don: uyuyuyuClap
[41.293] jamxqc: PopCorn
[42.655] ボンテリ: morituonHooligan
[42.665] (S)yamadatakashi23: umeYay
[44.012] 二丁目: momochocoSyeiku
[47.493] (S)mari_mari_01: 楽しみ〜
[48.668] のぞみくん: eitanoUoo
[49.178] mAsA0852: soushihanThumbsup
[50.763] (S)えび猫: こんばんは 
[51.715] wahaha7788: 五分前行動えーらい
[52.330] hal0087: きたああ
[52.829] takexandre: みんな頑張れ
[57.176] v_harumi_v: djjinjBanzai
[58.228] (S)もぐーー: ~MISSING_MESSAGE_INFO~
[62.086] nagoyanekozuki: nagoyanekozuki subscribed with Prime. They've subscribed for 44 months! 
[64.593] garo735: ｗｋｔｋ
[65.696] sh1zuku716: きたあ
[68.568] (S)binbougachiyaba: びんぼうガチヤバ subscribed with Prime. They've subscribed for 7 months! 
[70.748] kiraku08: umeGrin
[70.780] のぞみくん: 遅刻なし？！？！
[71.865] (S)箸くれ: umeCossack
[72.192] ラス爺: トラボがんばれえ
[73.609] titilrin: santar14Cheriko
[73.968] (S)4きね8: umeMezame
[78.682] (S)あぱれる君: umeCossack
[81.955] SILENT__NL: forsenT
[83.676] (S)binbougachiyaba: umeCossack
[87.808] のぞみくん: 三太郎～
[88.248] blupon06: きのこさん目力すげえな
[88.392] sh1zuku716: トラボってMRなんぼ？
[88.419] はっし_: こんばんわ！！！
[91.643] 凍らせガンギマリ魚: ~MISSING_MESSAGE_INFO~
[91.865] genjin_777: genjin_777 subscribed with Prime. They've subscribed for 22 months! 
[92.803] (S)yamadaigo: umeMika
[99.969] arotadiph: すでに配信開始してるとか気合入ってるね
[102.392] ラス爺: sasamo3Bois
[103.090] wahaha7788: 停電してたけど復旧してよかった！
[104.563] 침팬지분쉥쿠니미츠노아: Daigo the beast!!!!
[125.121] たまげた: sasamo3Blueface
[126.414] ebibadi: ササモンのダイエット企画
[132.262] hiranatu: BegWan
[135.577] (S)ふぁ休: umeCossack
[140.156] シミズム: sasamo3Fight
[146.480] valhalla5555: FamilyMan
[147.605] 憂う者の弟子: amakipArapara
[148.836] mako6912: umeMezame
[149.397] のぞみくん: レ オ く ん レ オ く ん
[151.027] mashelll: 眼鏡かけてると皆同じポーズさせられるよね
[151.789] sh1zuku716: ササモ勝ったら国籍確定？！
[154.728] ましゅダヨ: こんばんはー！
[157.758] bunbun0880: レオくん楽しみ
[157.806] (S)リンゴ酢: umeCossack￼ 
[157.984] (S)atalumier: ササモンがおぷティックブラストしてるように見える
[161.139] ACL_myon: ササモ国籍がんば
[162.369] methotrexate_aym: こんばんは
[165.170] kumi115: こんばんは！楽しみや〜皆さん頑張れ！
[167.861] (S)momoko_029: umeCossack
[168.582] akaao123: 今日は誰が残るのか…
[174.330] tatsu0000: おはヨーグルト
[175.737] weeep1: コウセイやれんのか
[175.873] (S)もぐーー: だまれTシャツ好き
[185.101] 5don: ササモさんに国籍ゲットしてほしいし、三太郎さんの栄光を見てみたい気持ちも強い
[192.167] ちゃやこ: ごきげんようっ
[194.030] (S)fikat_0702: こんばんは！
[197.218] aranami0: うおおお
[202.422] wahaha7788: 芸人の舞台のポスターっぽさもあるな
[204.468] のぞみくん: に や ん ぴ
[204.558] (S)evimayo88: トラボが一番でかいのに空気
[209.210] 壱万円札: umeHotoke🔥
[214.505] ddb365: こんばんはー
[222.078] もきち555: きちゃあ
[227.065] dadadai17: レオササモどっちが勝ったんだああああ
[227.180] kebiisi: トラボ|おはヨーグルト
[231.250] ACL_myon: 結構ガチでラストチャンスな人達がいるのええな
[234.108] johndoe6523rp: 楽しみ
[236.022] goodriser: オン・オフどっちだろ
[238.758] cqc5555: ゲドちんがんばれー
[239.390] みぞぐち: めいきょ〜最強！めいきょ〜最強！めいきょ〜最強！
[242.366] nihonsyu_: トラボでかいなｗ
[246.793] takakurataito: これ何？スト6？
[250.461] tsukikage_saga: レオくん楽しみ
[251.861] 5don: おはヨーグルト
[252.079] omochi09: こんばんはー
[253.285] のぞみくん: とらぼぼ延長
[254.868] mariannnu: スト6!
[261.166] じぇいあいえぬ: コウセイにノーブルぶっ潰してほしい
[262.916] nakao1976: o(^-^)o
[264.768] ましゅダヨ: 時間通りに始まってえらい！
[264.943] usa451: トラボでかいな
[265.001] beastbeast: beastbeast subscribed with Prime. They've subscribed for 51 months! 
[265.633] ランジェリーバード: ついに死滅回遊はじまるね、
[268.769] 黒魔: DinoDance
[269.439] ta3z_: この時間からはじまるってことは、オンなのかな
[270.265] kaban1192: きたああ
[270.396] mariannnu: karubisFurifurii
[270.504] takakurataito: スト6なら見よ！
[274.032] haro1499: きたぁぁぁぁあ
[274.036] すか: すか subscribed with Prime. They've subscribed for 42 months! 
[277.207] ryuemil: レオくん勝ってほしいけどササモだからなぁ
[277.997] 将門ゴルゴロ: アールさんの本気を久々に見れる気がする
[278.725] shifoncafe: うおおおおおおおおおお
[281.688] wahaha7788: これ一回戦進むたびに期間開けるのかな
[288.017] aru_0928: これDFMの大会出てる人いなかった？
[289.533] cook_5921: umeCossack
[291.225] bobonchuaaaa: この写真いいねえ
[295.974] 天然ベニテングダケ: いよいよか
[297.279] bobonchuaaaa: bobonchuaaaa subscribed with Prime. They've subscribed for 11 months, currently on a 1 month streak! 
[300.879] (S)4きね8: きたー
[302.739] (S)brutal9998: レオくん頑張ってほしさとささもに国籍奢ってやってほしい気持ちがせめぎあう
[303.182] (S)evimayo88: きちゃー
[303.739] izawa2001: おおお
[303.869] blupon06: オフに決まっとるやろー
[303.901] (S)tak1on_: きた
[304.096] chachachakoma: きたあああああ
[304.497] ヘイヨー: 一時間だけ見れる〜〜
[305.090] ましゅダヨ: お
[305.549] mako6912: うおおおおおお
[305.730] tosshy_type89: rtaPog
[305.912] v_harumi_v: はじまった！
[306.324] tarantarantaran: umeCossack
[307.275] aranami0: このPV最高よ
[308.295] chandio2251: chandio2251 subscribed with Prime. They've subscribed for 31 months! ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[308.299] (S)binbougachiyaba: お
[308.335] (S)えび猫: きたー
[309.208] てゅぽーんかも: きたあああああ
[309.990] 5don: umeYay
[310.684] ボンテリ: morituonHooligan
[310.868] shifoncafe: 愛やよ
[311.390] tsukikage_saga: うわぁ、うわぁ、うわぁ、うわぁ、
[311.859] (S)chikotsu: umeCossack
[312.223] (S)tabibitox: ｳｰｵ
[312.511] (S)ぜんでん坂人生: おおおおお
[312.635] Nishi_Poteto: う、うわあああああああああああ
[314.835] kaban1192: 未来のファイター
[315.050] ましゅダヨ: マジ能がいい味出してるってw
[315.677] weeep1: ガチのぶつかり合いがコンセプトだから、対策期間は設けそうだよね
[316.197] konechan013: ササモさんファイト〜
[316.446] ランジェリーバード: 再注目プレイヤーは三太郎
[316.638] 天然ベニテングダケ: チャンスは全員平等だもんな
[317.023] 何も知らないジョンスノウ: はじまる～
[317.210] しろまるこ: umeCossack
[317.329] だいこん_: きたー
[318.472] yochibi2525: わあい
[319.331] tarantarantaran: umeBlocking
[320.424] daiz_u: ねっとり大吾
[320.482] sai927: 安定の字
[321.538] (S)tomotamanegi: tomotamanegi subscribed with Prime. 
[323.868] 新ころりん: 待ってました
[323.904] くろさん777: 獲れ
[323.962] titilrin: 対戦はオン
[324.868] jamxqc: DinoDance
[325.906] shifoncafe: 特急券
[326.311] 5don: 能の方お元気かな
[327.903] muteti: きたきたきたー
[328.038] (S)ゆかゆ: umeCossack
[332.708] ei1eN: umeCossack
[333.274] nakano05: たのしみ
[334.608] tarantarantaran: umeCossack
[335.827] yomogi0610: ｷﾀﾜｧ
[336.240] yochibi2525: かっけえ
[337.641] よっとです: きたーーー
[341.073] feel2525: ついに始まったな
[341.565] ememeume: きたーーーーー！！！
[342.802] (S)nitro_7171: umeSnooze
[343.123] (S)ハルキ10: うおおおおおおお
[346.012] naganaiz: 本当の意味で人生かかってるササモ
[346.228] weeep1: 争え 争え
[347.065] nihonsyu_: きたあああああああああ
[347.269] ememeume: うぉぉぉおおおおお！！
[347.474] tekkotz: このPVの曲かっこいい
[348.101] kaban1192: あちぃ
[348.344] momochan6: 強けりゃオッケーええな
[348.553] hohijin: いいね👍
[348.993] lun__01: "勝てそう"は相当
[350.092] ememeume: umeGrinumeGrin￼￼ 
[350.243] naginagi99: おなしゃーす
[350.338] ヘイヨー: umeBoom
[353.515] avorionnnn: うおおおおおおおおおおおおおおおおおおおおお
[354.434] Papapadad: 今日で全部やるの？
[360.881] yochibi2525: なめなめ
[362.655] (S)箸くれ: 編集おもろい
[365.693] ememeume: 楽しみぃぃぃぃ！！！
[367.306] tsukikage_saga: レオくん！
[368.174] tarantarantaran: umeCossack
[368.705] feel2525: あっちー
[369.609] lun__01: レオくん見たい
[369.707] weeep1: 1回戦かいとりますがな
[370.189] 天然ベニテングダケ: 今回は1回戦全試合じゃない？
[370.315] kaban1192: え
[370.913] (S)あぱれる君: umeCossack
[371.034] yomogi0610: めいきょ～さんやったれ
[372.047] くろさん777: うん
[372.757] ましゅダヨ: いいねー
[373.106] ババシャツ: ww
[373.223] tsukikage_saga: おごってほしい
[375.092] ememeume: レオきゅぅぅん！！
[375.375] 5don: うん。
[375.752] じぇいあいえぬ: くろゆきの陰キャ感が逆に好き
[376.740] feel2525: かわゆ
[376.795] thefrozensun_: めいきょーさん煽りええなw
[376.942] sai927: ササモの破壊力
[377.661] Papapadad: すんません
[377.787] zoeyan: 名言
[377.860] dorayann: 奢る
[377.993] てゅぽーんかも: レオくんやるんや
[378.048] ゆや96: どうやっておごるんだ・・・・？
[378.100] 新ころりん: レオ君とササモ兄の対戦つれぇなぁ
[378.589] kimanaka28: 国籍
[378.980] 黒魔: 奢り
[379.943] shifoncafe: おはヨーグルト
[380.318] ランジェリーバード: 特級プレイヤー三太郎。現代の異脳
[381.710] bobonchuaaaa: シンデレラ生まれるか
[382.964] 将門ゴルゴロ: レオくん！
[383.874] weeep1: おはヨーグルト
[383.890] (S)tak1on_: おはヨーグルト
[384.138] mako6912: おはヨーグルト
[384.766] ememeume: ササモくんもなぁぁ
[385.491] kebiisi: おはヨーグルト
[386.529] tsukikage_saga: おはヨーグルト
[387.029] ぷーぬ: マージで楽しそう
[387.079] mariannnu: りゅうきちくん！がんばて！
[387.753] nihonsyu_: これ勝ったらプロになれるってこと？
[388.517] (S)CampFire71: リズムで刻む人キター
[388.952] aryupaka: おはヨーグルト
[388.993] (S)evimayo88: いきなりレオササモはもったいなさあるな
[390.833] 5don: おはヨーグルトw
[391.067] ましゅダヨ: マリちゃん多いねー
[391.411] くろさん777: おはヨーグルト
[393.526] cook_5921: おはヨーグルト
[393.793] ましゅダヨ: ？？？？
[393.830] shifoncafe: リズム
[393.966] tsukikage_saga: りゅうきちくん何もしゃべってないｗ
[394.327] meeememe: おはヨーグルト
[394.556] 5don: リズムで刻むw
[395.357] lun__01: リズムに刻む
[396.734] ememeume: 刻んでやりますよw
[397.345] (S)くえんち: umeCossack
[398.658] tsukikage_saga: りゅうきちくんの台詞がないｗ
[399.225] (S)箸くれ: レイテンシーまじくせつよい
[403.372] momochan6: おはヨーグルトって・・
[403.445] スーパー対魔人4: かずしにぃ～～～！！！
[404.102] punpun33: りゅうきちくん期待
[404.621] ememeume: 工藤くんもがんばーー！
[405.106] mariannnu: mago2dOhayoguruto
[405.361] kimie_white: 格ゲーブレイキングダウン
[408.980] tsukikage_saga: このバトルあつい
[410.063] tarantarantaran: umeCossack
[411.380] ましゅダヨ: 真面目ふたり
[413.608] moricocoa: のぶくん
[413.835] titilrin: この前三太郎ｖｓめいきょーランクマ当たってめいきょー1戦抜け
[414.453] umetyaahan: 楽しみ
[415.371] shisuta_fg: セイセイセイ
[415.875] mariannnu: たのしみー
[416.168] feel2525: コウセイ行け
[416.733] tsukikage_saga: コウセイＶＳノーブル見物だな
[417.965] weeep1: コウセイまじで期待してる
[419.476] kaban1192: 因縁が
[420.659] moricocoa: コウセイ
[420.846] 5don: インフィニティ先生！
[421.198] 増田ジゴロウ: レイテンシーさんリズム見せてくれ
[422.452] じぇいあいえぬ: コウセイいけいけ
[422.552] (S)箸くれ: 楽しみすぎる
[423.144] aranami0: コウセイくんもギラついてていいよね
[423.318] amorphoushap: 緊張するだろうな～
[423.383] ememeume: コウセイくん期待してふ
[424.326] (S)evimayo88: コウセイノーブル熱すぎるｗ
[425.263] prisira: 三太郎とノーブルのとこが熱い
[425.367] ババシャツ: 音楽めっちゃいいな
[426.460] (S)黒猫くん: 楽しみやぜ
[427.980] asakou_8929: さんちゃんがんばれー
[428.850] yomogi0610: コウセイ勝ってほしい
[429.197] Planetrollcall: トラボでけえ
[429.389] thefrozensun_: ノーブルくんは負けんやろなあ
[431.714] lun__01: 因縁作っているスタイルいいぞ
[432.172] hohijin: うおおおおお
[433.338] lastresort22: あつい
[433.482] umetyaahan: 音楽ミート
[434.632] ememeume: いっけーーーー！！
[436.980] tsukikage_saga: ８８８８８８８８８８
[437.492] tarantarantaran: fujimuraM
[438.416] (S)ハルキ10: 8888888888888
[438.663] (S)haicro_zm: きたー
[438.914] mariannnu: karubisFurifurii
[439.553] cook_5921: うおおおおおおおおお
[440.004] shifoncafe: おおおおおおおおおおおお
[440.200] 悪魔ほむら: karubisGyo
[440.499] weeep1: あれ？こくいる
[440.500] feel2525: 野田！
[440.547] yudedako: うおおおおおおおおお
[441.255] herumann: うおおおおおおおおおおおおおお
[441.398] v_harumi_v: よいしょーー
[441.488] danny_love_danny: 8888888888
[441.810] kaban1192: よいしょ
[441.907] ド森林: 88888888888
[442.239] kumi115: 👏👏👏👏に
[442.343] omochi09: ８８８８８８８８８８
[442.592] nakao1976: 888888888888888
[442.708] usa451: こく
[443.183] ta3z_: こんなに賭場を開いて欲しい大会は珍しい
[443.500] (S)tabibitox: ウメちゃん半分寝てない？
[443.509] 天然ベニテングダケ: 88888888888
[443.719] taroumaruh: うおおおおおおおいお
[443.758] methotrexate_aym: うおーーーー
[443.874] みっちー14: うおおおおおおおおお
[444.173] mariannnu: よいしょおおおおおお
[444.256] aigamo0214: 88888888888
[444.315] river7676: ワーワー
[444.401] fbhjkl: ８８８８
[444.491] neon_d99: きたあああああああああ
[444.550] 新ころりん: お ゲストのこく兄さんじゃん
[444.626] (S)maya_g01: おおおおおおおお
[444.776] low_single: 待ってた！
[444.783] Norsest: こく？
[444.791] ememeume: ウメハラさんーーー！！！
[444.900] kimanaka28: 88
[444.921] latenight000: よいしょー
[444.947] (S)fikat_0702: arupapGo
[444.976] v_harumi_v: 88888
[445.061] lun__01: 野田！？
[445.173] umetyaahan: きちゃあああああ
[445.409] naginagi99: アールきたあああああああああああああああ
[445.738] ましゅダヨ: いえああああああああ
[445.826] bunkichi23: きたああああああああああ
[445.855] nanndenan: よいしょおおおおおおおおお
[445.996] (S)エムクロ: おおおおおおおお
[446.068] ほげええ: うおー
[446.246] hiranatu: うぉぉぉ
[446.280] よっとです: うおおおおおおおおおお
[446.448] 将門ゴルゴロ: ８８８８８８８
[446.464] iichikoeileen: iichikoeileen subscribed at Tier 1. 
[446.600] (S)evimayo88: kokuji3Hook
[446.688] のぞみくん: kokuji3Chu
[446.918] 何も知らないジョンスノウ: こくいるじゃんw
[447.682] manifu_: ア◯ル
[447.737] sahaha213: おいしょーーーーー
[447.803] kebiisi: こくいたあ
[447.853] (S)shirukosando81: おおおおおおおおおおおお
[447.971] sn0wf0x3: 888888888
[448.111] mako_oswald: うおおおおおおおお
[448.316] hal0087: あれ、こくいるやんｗ
[448.460] donekofg: きゃーはじまるー
[448.523] tsukikage_saga: ウメちゃん髪型きまってるね
[448.636] てゅぽーんかも: うめちゃん忙しいな
[448.994] pondenring0930: 可愛い髪型してんな
[449.168] cook_5921: アールさーーーーーーん
[449.222] 5don: アーールさーーーーん！！！
[449.471] onyancoscratch: こくー！
[449.820] kanasiki_asianboy: umeCossack
[450.274] hohijin: きたわね
[450.320] herumann: こく遅刻しなかったんだ
[450.388] baycurry16: 元気なおっさんが三匹揃った
[450.921] 将門ゴルゴロ: アールさんきたー
[451.242] garo735: ８８８８８８８８
[451.819] tarantarantaran: mago2dNinmu
[451.877] danny_love_danny: アールさん今日忙しいなw
[451.896] (S)箸くれ: 俺のRhythmで刻んでやりますよ
[452.024] 黒魔: が・・・・！！！ウメちゃん・・・・髪
[452.192] mariannnu: うめちゃーん！
[452.424] (S)よもぎです: アールさんだああああ
[452.797] 可視化: こく！
[452.812] TB2117: おじｗｗｗｗｗ
[452.824] (S)エムクロ: まったよお
[453.027] camel0141: 野田じゃん
[453.283] user_5960: きたぁああああああ
[453.702] feel2525: 勝久！
[454.036] 絵馬にょ: kokuji3Hook
[454.063] burisuke: 失言気を付けて～
[454.386] (S)haicro_zm: まちかねたよ
[454.526] (S)4きね8: CAPCOM公認？？
[454.742] ぷーぬ: ウメちゃんの髪型どしたw
[455.657] zyangara2: アールきたああああ
[456.024] river7676: ちょっと忘れかけてたよｗ
[456.233] sarah_0519: アール
[456.425] (S)nitro_7171: sakoIkerude
[457.590] ememeume: 今日！！
[457.753] titilrin: 遅こく いるじゃん
[459.206] tsubame5204: umeCossack
[459.277] (S)maya_g01: 今日これから！！！
[459.438] ババシャツ: amakip13
[459.536] ヘイヨー: よいしょおおおおおお
[459.969] usa451: プッチ神父
[460.302] squall_2017: 野田さんきたー！
[460.409] ましゅダヨ: あーるさんなんとなく久しぶり
[460.582] (S)クラクラ777: 急にきたあああああああああああ
[460.641] sahaha213: アール今回からか
[460.845] matagi3: ミートは？
[460.980] meeememe: アールさん実況あついな
[461.079] ta3z_: 今日はファーストラウンドなのね
[461.212] 粉ふきスティック: 今です！！
[461.363] amorphoushap: kokuji3Chu
[461.558] daiz_u: 真ん中分け大吾
[462.257] mako6912: うおおおお
[462.283] naginagi99: やっぱアール足りなかったよー
[462.366] (S)manta_the_fly: manta_the_fly subscribed with Prime. 
[462.529] ヨコグシ: 8888888888
[462.823] dorayann: こく こく
[463.170] kimanaka28: 野田さんお疲れ様
[463.376] cook_5921: おなしゃーす
[463.421] tarantarantaran: mago2dDoramu
[464.093] v_harumi_v: 888888
[464.273] umetyaahan: 初プレイにに負けた素人写ってるけどいいの?
[464.625] (S)箸くれ: ハチワレハラ
[464.640] 粉の民くんちゃん: kokuji3Hook
[465.080] phillip38: 人
[465.968] mariannnu: おねがいしまあす
[466.533] marill183: ｋｔｒ！
[466.733] マイネームイズアキラックス: 炎上系
[466.879] shinkarma7: よいしょお
[466.974] ましゅダヨ: 888888888
[467.026] (S)ぎゅらん: アールさんがいると安心するわ
[467.196] kaban1192: 実質獣道
[467.231] jamxqc: ８８８８８８
[467.577] (S)kani7321: 88888888
[467.593] umesecond: 出禁じゃなかった！？
[467.664] yuhi_N: ウメちゃんヘアスタイルちゃんとしてる！
[467.768] sistersguitarreplica: 遅刻にい
[469.107] usa451: ジョジョの実況やってたからか
[469.377] よっとです: 888888888
[469.892] のぞみくん: kokuji3Hook
[470.207] (S)nitro_7171: soushihanKane
[470.978] chikumy: umeHotoke
[471.975] feel2525: 斧
[472.035] kurobedam: ぶっちゃけ企画倒れだと思ってた
[473.659] ei1eN: umeYay
[474.940] tsukikage_saga: ８８８８
[474.976] cook_5921: 8888
[474.995] umetyaahan: ハチワレ大吾
[475.837] モギタマ: 獲れんのか！！！
[476.615] donekofg: 珍しい分け目
[477.825] latenight000: 斧最強説筆頭
[478.086] (S)えび猫: umeYay
[478.086] sndkzfm1: bokete
[478.520] sahaha213: 王
[478.927] nihonsyu_: 888888
[480.172] ヨコグシ: 888888888
[480.387] (S)黒猫くん: 遅こく草
[480.756] pandascal: boketeがスポンサーに！？
[480.922] 新ころりん: こく兄
[481.131] tsukikage_saga: ウメちゃん若い頃に髪型にてるねえ
[481.929] のって: ﾄﾚﾄﾅ
[482.362] (S)tama_zx61: 斧久
[483.831] Rose_Line: アールさんやん
[484.668] lun__01: こく"にい"
[484.898] takakurataito: Rじゃねえか！！！
[484.912] のぞみくん: kokuji3Chu
