[24.046] kobayan86BRZ: 見れた
[44.696] Moneybagzzzzzzz: first 
[63.445] pyamaaaa: ウメちゃんこんにちは〜
[95.968] Roxy_ovo: fiachanだ
[136.924] (S)fikat_0702: おかえりなさーい
[152.674] (S)日本語かな: 昼食何食べたの？
[158.901] user_5960: うめうめ
[217.248] kanegon7237: こんにちは
[222.578] DeenMLBtv: the beast
[228.592] Reopon_: こんにちは！
[237.198] いがぐりころころ: こんにちは
[270.786] dxgenre: こんにちは
[286.590] (S)tabibitox: まけるのね
[296.584] dadadai17: まけるのか〜！
[349.232] kusomegane123: ジャストインパクト
[351.096] aranami0: おかえり
[404.130] 000105: 同じタイミングでヌキさんもはじめたな 5先しない？ｗ
[415.908] jhkkhfdathvd: ご飯何食べたんですかー？
[417.611] Qvoth: あいいいいい
[418.713] おりっち: 勝った
[440.792] i_am_spartan300: 俺を獲れ最高でした！仕事やめた勢強かった！
[448.258] kusomegane123: 飛び入ったときってそれなんだ
[449.882] nabe_labo: もう始まってた。さすがの早食い
[519.325] (S)kani7321: 激動のトナメから一夜明け…
[534.408] DoraeMossGoro: DoraeMoss subscribed at Tier 1. They've subscribed for 39 months! 
[593.992] (S)Raytraxz: Raytraxz subscribed with Prime. They've subscribed for 3 months, currently on a 1 month streak! 
[602.954] (S)あぞあぞ: あぞあぞ subscribed with Prime. They've subscribed for 3 months, currently on a 3 month streak! 
[631.835] TB2117: w
[647.568] vivfiw: レオくんのスピード感すごかったねえ
[679.732] シミズム: 今回はトラボに頑張って欲しいな
[691.631] レム__: レオくんの流れは現実に起こったこととは思えなかった
[691.802] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[695.591] kakane0908: JPとマリーザが増えてきたら相性いいジュリが増えるとかあるかな？
[710.583] げのじ: 野良の猛者多すぎ
[728.385] 今夜が山田ァ: なかなかの猛者
[730.704] DoraeMossGoro: heruxu
[731.510] Aenge: Hey Hey Hey
[750.036] dadadai17: 飛び越えんのおもろ
[789.505] 今夜が山田ァ: いてえ
[822.309] (S)GG_sensay: 次の獣道、ウメちゃんvsレオくんあるのかな
[833.717] toro0524: 子供の強みは垣間見た気はした。
[857.379] ~MISSING_COMMENTER_INFO~: 2020Rivalry
[857.521] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[875.876] (S)ぷりにゃん: SeemsGood
