[6.012] わがはいさん: はよざーす
[19.420] (S)ましゅダヨ: うめちゃんおはようー！
[23.978] matoo0777: おはようございます
[26.846] (S)monpiipop: おはようございます
[28.418] こねこ__: 梅ちゃん、おはよーー✨
[29.133] ぢょごぢゃん: おはようございます
[30.155] applepomm: おはようございます
[31.406] axchuuu: おはようございます
[33.334] meishin_a: おはようございますー！
[33.511] (S)あぱれる君: おはようございます
[34.278] maddy2623: ウメちゃんおはようございます がんばってください
[36.615] shichimi10: おはようございます
[36.747] (S)Fkdso555: ウメちゃんはやい！
[37.186] たろう79: おはようございます
[40.648] kakaowpgj: w w w
[40.760] gypsy2603: おはようございます
[40.992] mamamamatsu: おはようございます
[42.978] beshi_yarno: おはです
[43.817] jhkkhfdathvd: おはようございます
[45.588] (S)nikukuisugi333: うめちゃんがんばって
[45.726] ぢょごぢゃん: がんばれ〜 Cheer100
[45.783] (S)imokorori: なにわろ
[46.903] kusuo1230: おはようございます
[47.086] いちたすいちわ: 顔色良さげですね
[47.785] Eigyotyu440: こんな時間から始めたらもたんて
[48.043] one596: ww
[48.259] goroutai: www
[48.322] (S)f_black: おはよう
[48.561] echoesact48: ｗｗ
[49.045] ひろみつー: おはようございます！
[50.565] lvlyslzebra: Hi daigo
[51.192] (S)ましゅダヨ: ぶあっさあー
[56.545] axchuuu: もふもふ
[57.780] (S)yamato925925: おはようございますー
[59.500] daisan777: おはようございます🌞
[60.079] goozy009: おざます
[61.007] beshi_yarno: 朝活だーーー
[61.064] 新ころりん: おはよう 梅ちゃん
[62.691] devilkicks23: devilkicks23 subscribed with Prime. They've subscribed for 12 months! 
[65.925] sai927: WW
[67.939] ちふ0717: おはようございます
[68.055] sphere0315: おはよー
[68.619] horohoro123: じゃくろー
[70.217] (S)hoshi_boshi_0: おはようございます
[74.053] sphere0315: あたますごw
[78.800] goozy009: 早いですね
[78.848] (S)ましゅダヨ: さあwwだー
[80.473] Eigyotyu440: 試合前に疲れないようにしてください！
[82.076] nikomafu: おはようございます
[83.326] (S)yamato925925: 髪がw
[84.612] blueplanet96: ww
[86.073] ryulv99: ウメちゃんがんばえー
[88.432] カブトシロ: おはよう御座います。
[91.506] (S)hoshi_boshi_0: 今日も髪が凄い笑
[96.543] cooper0201: 試合何時からなんですか？応援してます！！
[98.639] imabaritowel: フサフサで羨ましい
[122.160] (S)akichaa2: ウメちゃんおはよー
[123.657] ひろみつー: 髪型かっけぇ
[124.680] blackcoffee0821: メガネつけないんかな
[136.953] rauch_tan: 13時から各自で配信見れたりする？
[139.458] (S)dokuyubi: 日本産黒毛サモエド
[140.150] maddy2623: なにこれ MR表示ないけど
[140.726] (S)ましゅダヨ: いきなりふーきゅん？と
[141.534] ganiganimede: 頭ww
[146.394] (S)黑暗骑士盖亚: 寝起きヤシの木
[146.608] (S)ましゅダヨ: 思ったら違ったw
[146.885] hiaaru: 草生える
[149.424] drumsco2bass: メデューサおる笑
[160.129] (S)kizuchi95: 鳥が寄ってきそう
[170.026] chikumy: 優勝してくれ
[176.094] pullup_nakano: ｗｗ
[183.144] maddy2623: マスター昇格一戦目の人か
[189.384] dai920: 🍍なウメちゃん
[189.980] なるかみ_: 草を生やすな
[193.865] curryricemaster: 梅ちゃんなんか布団ちゃんに見えてきたな
[203.960] たろう79: ツバメの巣
[210.715] aranami0: おはよー
[211.580] 立川: 291 raiders from 立川 have joined! 
[214.145] zenosc9: たちから
[214.772] わびいち_: 名参謀から
[217.676] b00wy: たちから
[218.407] (M)Moobot: That's a tad too many emotes, @norumon (warning)
[218.482] tsukikage_saga: 三指の立川くんから
[219.215] pochi0052: あちから
[220.993] さゆりちゃん: 立川さんからきましたー！
[222.468] tsukikage_saga: 三指から
[222.915] domontyan: 髪ｗｗｗｗｗ
[224.176] haley_gibby: 三指から
[224.733] Giichigi11109: かたはげから
[225.665] aranami0: 三指師匠
[225.693] blackcoffee0821: スト6ww
[225.975] れすみず: tachikKkei
[228.780] _リンゴ_: 寝起き・・・・？？
[229.987] mariannnu: おはようございます 
[230.946] norumon: tachikKkei
[233.050] (S)るーどるふ: うめさん、おはようございます 
[235.105] hoihoi101010: モダンの希望から
[236.631] みこしば_: tachikOuen
[240.959] Giichigi11109: 顔ｗ
[241.048] ぢょごぢゃん: たちwwでないの？
[242.678] 超パンダ: おはにょー
[247.469] cvndgplan: ww
[248.941] norumon: 梅ちゃん髪ボサボサww
[251.762] mariannnu: うめちゃ眠そう
[265.388] tsukikage_saga: ウメちゃん実験に失敗して髪爆発した？
[281.237] 999_nine_999: 茂木健一郎感ある
[281.332] usa451: だいご、めがねしたりしなかったりでプレイングに影響ないのかな
[291.316] (S)ましゅダヨ: 三指さんレイドありがとです！
[295.685] 超パンダ: 仮眠するって
[298.129] norumon: 寝るって言ってた
[299.393] そろもん1: 寝癖おじさんおはよう
[307.944] リンク1004: おはようございます
[310.843] xenys3: 水中にいるみたいな髪w
[316.425] cafe_gondo: wwがんばれー！
[319.301] kakaowpgj: 寝坊しねぇかな
[337.307] tsukikage_saga: 三指さん、SFLでかなりショックうけてました
[340.611] gakkaripanda: 13時から？
[340.866] mariannnu: お疲れモードだた
[341.638] usa451: 逆にきつそう
[341.959] aranami0: 謎の生活サイクルｗ
[347.422] (S)ましゅダヨ: えぇ！w
[351.950] pochi0052: リーガーはしんどそう
[360.340] Eigyotyu440: ギリギリ寝てたら脳が起きないからね
[361.394] mariannnu: うん！
[363.354] usa451: 前半がよすぎた
[369.154] zenosc9: その寝る話は2，3日前のウメちゃんに言ってあげたいｗ
[370.877] ippyfuzion: Big fan from UK
[372.392] johndoe6523rp: こんにちは
[372.623] takastoz: おはようございます
[376.649] norumon: まだ敗退決まってないよw
[379.397] aranami0: いうてめっちゃ活躍してたし昨日も内容良かったしね
[381.903] 超パンダ: 王のありがたいお言葉
[383.008] メタルぱんだ: それ、寝ぐせ！？ｗ
[385.035] usa451: 6時間遅刻じゃなくて１時間遅刻だから
[386.135] jamxqc: スト４時の髪型
[387.134] tsukikage_saga: 仕方のない事なんだけど、ボーダーがギリギリだから余計つらいらしいｗ
[389.808] nengu4u: 博士おはようございます
[412.953] (S)hoshi_boshi_0: 対策凄いしてたんだろうなって内容だったしそれだけに悔しそうだ
[420.935] lenguatacosxxx: nakamuraParhamHeart
[433.326] そろもん1: ボンバーヘッド梅原さんおはよう
[442.451] (S)ましゅダヨ: うめちゃんよく寝れた？？
[448.520] chanmipoin: その程度でショックとか言ってるのはなりくんに失礼だね
[458.564] cvndgplan: マリーザかる
[459.300] (S)camel0141: AKI意識した髪型？
[464.718] ビフィダス: がんばえー！
[473.350] (S)gyu_nyuu_pann: gyu_nyuu_pann subscribed at Tier 1. They've subscribed for 8 months, currently on a 6 month streak! WWがんばってくだせぇ〜
[474.656] (S)hoshi_boshi_0: ナイス
[476.294] メタルぱんだ: 実験失敗した！？ｗ
[480.445] aranami0: 表情ｗ
[481.977] rusty0shackleford: CurseLit
[483.835] hiaaru: ニコニコ
[484.535] tsukikage_saga: ｗｗｗ
[487.792] mz__zm: ニヤニヤ
[488.018] _リンゴ_: ニヤァ
[490.535] latenight000: ショック、だったのかなぁ
[490.717] (S)ましゅダヨ: 顔www
[492.641] そろもん1: 顔w
[494.501] tsukikage_saga: ショック受けてなかったか
[505.411] latenight000: 疑問を呈す、ダイゴ
[506.385] (S)ilmeria: ilmeria subscribed with Prime. They've subscribed for 3 months! おはようございます
[511.191] one596: 立川も0勝経験してるから1番わかるでしょ
[514.253] peroperoperorincho: ウメちゃんおはよーー
[516.265] zenosc9: ナリくんは実力出せてない結果だったのかな
[520.502] usa451: チームには影響なかったから大丈夫じゃないか
[524.370] sukosukodaisuko: WWで現在9位につける男ナリくん
[525.314] kakaowpgj: うま
[533.613] hoemin247: 髪爆発しとるww
[562.731] そろもん1: ダイナマイトヘッド梅原さんおはよう
[571.046] chikumy: JPとDJさえどうにかなればマジでありそうな気がする
[583.204] hoemin247: やばすぎ
[597.253] (S)hoshi_boshi_0: リリーも怖さある…
[600.170] usa451: かるびこす
[600.319] _リンゴ_: ボンバヘッ
[602.491] aranami0: 補正切りなのかコンボミスをカバーしたのか
[605.277] まるいとうふ: FamilyMan
[606.792] lesame: 飯食ってそうなコマ投げ
[628.631] ホナウド: ウメハラさんAKIきたら触りますか
[630.145] ぴろぴろまる: 大Kパニカンの後ラッシュ大P奮迅竜巻すると画面入れ替わっちゃうんですけどどうすれば正面になりますか？
[634.660] nikkou18: ww
[635.359] knxwledge: knxOK
[639.209] m1ndfunnk: yossanEXtensenrin
[657.407] lesame: 寝起き
[663.409] johndoe6523rp: DinoDance
[667.943] _リンゴ_: 逆に教えろ！
[668.082] (S)hoshi_boshi_0: お、ボーカル入ってきた
[672.020] Giichigi11109: sasaGyaku
[684.193] (S)ましゅダヨ: ImTyping
[703.652] log_zzz: しょーへい
