[5.378] ぢょごぢゃん: 25-20だとどっちもしぬ
[6.039] v_harumi_v: おかえりなさーい
[9.684] lll3939: おかえりー
[10.094] (S)tabibitox: どのみちシノビがぐっぱちを虐殺しないといけないからな
[10.266] ラベット: ガヤｗ
[10.534] kagekage0618: 。
[10.983] セツリ: okk
[13.749] one596: ガヤ
[15.619] TB2117: はい、おかえりー
[17.155] aru_0928: デトネはワンチャン25でも首皮は残る。次40必須になるけど
[18.031] v_harumi_v: 猫じゃないけど、よさげ
[18.759] 黒光り肉の: たいご
[21.165] (S)ましゅダヨ: おかえりなさい
[24.842] (S)日本語かな: 戻ったー
[29.891] mako6912: ガヤ来たー
[35.031] (S)ましゅダヨ: こくにいはビートルズだった？
[39.401] usa451: こくおらず
[44.016] kino883: きたー？
[44.114] (S)m1s4m0: きたわね
[56.691] taroumaruh: こく粛清？
[56.985] usa451: 椅子があるってことは来てるのか
[58.646] りゃーー: さあさ
[59.025] kuniyoshi8: また遅刻かなぁこく？
[59.199] (S)redpeppar510: もうミラーもらえなくなったん？
[61.063] aru_0928: こくは画面端
[63.663] (S)ましゅダヨ: メンおじ(•́⍛•̀; ≡ •́⍛•̀;)ｵﾛｵﾛ
[77.921] megurun: こんばんは～
[92.389] johndoe6523rp: ウメさんこくの為にもう少し右に寄ってあげて
[95.274] (S)あぱれる君: umeCossack
[98.665] ぎんこう: こんばんわー
[99.204] miyusayers: ウメちゃん食洗器使う程食器使うの
[102.000] (M)(S)gameinntwitch: こっちの準備一段落したから今なら手伝えるが
[103.331] TB2117: ウメさんのメガネ違和感なくなってきたな
[107.501] きんちょーる: 44 raiders from きんちょーる have joined! 
[112.899] (S)きしー: ぷるるがREJECT？
[114.297] hal0087: あれ？ミラーあり？
[115.597] axchuuu: わぁ
[117.769] (S)ましゅダヨ: 53万…(((((´°ω°｀*))))))
[118.863] usa451: おじリーグTシャツじゃない
[119.010] TB2117: こくにいきたああああああああああ
[121.109] (S)lucky7404: ハンチング似合うなw
[122.025] harusame1155: 正直ミラーない方がアーカイブ残るからこっちとしてはありがたい
[122.228] (S)tabibitox: どーもー
[122.523] genbakantokumbe: こくきたー！
[122.629] chin_56_: でっか
[122.770] (S)aviru428: 音！
[124.597] v_harumi_v: メンおじさまが、今なら手伝えるそうよ
[124.652] (S)ましゅダヨ: 多分音ダメよね
[124.693] humanbomb: <3
[127.004] popo8322: 違法ミラー！？
[127.117] (S)m1s4m0: じじい
[127.812] TB2117: どんも～
[130.127] fujimike: ここは競馬場です
[130.919] genbakantokumbe: 音がw
[131.433] (S)takahashiseigi: これ脱法ミラー？
[134.353] (S)aviru428: 音入ってる！
[135.954] (S)エムクロ: 新聞どした
[143.136] kebiisi: 通販しました
[143.605] kkshkk: こくのTシャツがぱつぱつ
[146.461] (S)tabibitox: 左下が時間やね
[147.516] (S)ましゅダヨ: wwwwwwww
[148.555] omusubi_0824: w
[152.078] chin_56_: なんだこの体型
[155.525] (S)ましゅダヨ: うらかわいいちょっとまって
[156.512] axchuuu: イラストかわいい！
[156.604] harusame1155: こくの顔 
[157.321] ハジメちゃん: ナリ君MR格付け炎上謝罪したみたいっすね😅
[158.092] (S)monpiipop: wwww
[162.257] bunbundes: いい透け感ですね
[162.631] ラベット: わちゃわちゃ助かる
[165.010] yakinikudragon: なあ
[167.011] (S)日本語かな: ぷるるreject加入したのねー
[169.289] bobonchuaaaa: 裏だせえw
[170.575] genbakantokumbe: 今13点差だっけw
[173.280] breeeezebear: 水ないまーーじか
[176.933] yakinikudragon: ｲﾁｬｲﾁｬ砂
[177.743] (S)m1s4m0: ぷるるまじ？ｗ
[179.382] TB2117: こくにいいつものあいさつやｌっつえよ
[179.391] harusame1155: 9点差かな
[180.331] (S)m1s4m0: すごい
[181.942] (S)takahashiseigi: ホントに4キロ痩せました？
[182.693] hanpen144: こくちゃんとやせてる？
[185.960] genbakantokumbe: 9点差か
[187.145] 45tm83: またRFNあるの嬉しいな
[189.938] (S)raurakd: 3流予想屋の王
[190.279] sincro_blue: ぷるる!?
[194.439] kuniyoshi8: 冷房下げるか？こく
[194.578] (S)ましゅダヨ: 青島だと思いきや裏かわいすぎる 
[197.555] koutwitchtv: キチパお休みだったら笑う
[198.269] chin_56_: 不変
[198.527] axchuuu: きたあああああああ
[199.743] TB2117: わかんない
[202.971] kasasagi7: いやわからん
[203.119] woodmud: 肌もつるつる？
[204.219] kamiya1979: キチパ板Ｚリザーブ、ナウマンアクア大将とみた
[205.118] atabo1: いーや
[205.988] (S)ましゅダヨ: わかんなかった、ごめん
[205.988] shogorila: 痩せたご褒美 Cheer100
[206.286] 小次郎_: うそでしょ
[206.548] shichimi10: いや逆にふとってっみえるｗ
[207.619] laponta: kokuji3Chu
[208.724] hanpen144: 痩せたように見えない
[210.344] kernel999: もう後3分もないよ
[210.673] avareinu: 全然わからん
[211.871] 粉の民くんちゃん: 正直分からん
[214.260] (S)sabotenn6: ミラーある！？
[215.361] (S)junjamaica: 今１００ジャスト？
[215.480] (S)m1s4m0: こく時間表示させて
[215.580] bobonchuaaaa: てか肌綺麗になってない？
[217.384] Siriaru0520: 毎日アクアがどぐらとやってて、気のはどぐにゃんをAQUAタコってた
[217.425] (S)tabibitox: これはキレてる
[218.980] shib16: 全然わからん
[219.201] (S)gularain: こく、ウメちゃん家くるの初？？？
[219.462] (M)(S)gameinntwitch: 大体大丈夫そうだね
[224.567] SuperMaguro: こくは一生こく
[224.727] (S)ましゅダヨ: うめちゃぁあん…
[227.088] kamiya1979: 早くしないとー
[229.164] (S)evimayo88: じゃじぃの顔チェック
[229.961] ちなはま: はじまる
[230.803] melonpan16: きちゃうぞ〜
[236.646] sahaha213: 梅原塾でも来てたよ
[236.924] one596: もう先鋒出てくるぞ
[238.529] (S)SOLAS1D: 板Zは昨日マリーザの練習してたし出なさそう
[239.428] (S)ましゅダヨ: お水がね…うん
[241.330] axchuuu: くそーーどっちも応援してるぞー！
[245.605] IPPAN_Player: おい笑顔だぞ！
[245.778] mis0kk4s: 今日はこく兄こっちにきたのね
[247.197] hitmehitme: ｗｗｗｗ
[247.645] kamiya1979: いそげー
[248.213] (S)ましゅダヨ: わらってるーーーーーーー
[248.221] はおすけ: 時間出して
[249.585] ハジメちゃん: 何回かきてますねーこくにぃ～
[252.206] sndkzfm1: 腹すごいな
[252.718] hal0087: キチパなにわろてんじゃ！
[254.989] (S)evimayo88: ニコニコ
[258.141] (S)ましゅダヨ: じゃじわらってるよーーーーこわいよーーーー
[258.904] kodue55: karubisDebu
[259.661] koutwitchtv: じゃじいニッコニコｗ
[259.899] v_harumi_v: 時間は左下に準備できてる
[262.436] セツリ: ふ～
[268.791] みっちー14: ここからじゃじいの顔がどんどん曇っていく事を考えるととてもつらい
[272.478] (S)あぱれる君: kokuji3Momi
[274.069] axchuuu: デトネがんばれー！！！
[275.594] kernel999: 時間とかまだいいだろ
[279.163] チャビ20: 妊婦みたいなお腹してんな
[279.801] kamiya1979: はやくはやく
[281.608] 45tm83: ゲーム内時間無理なら別にいいよ
[286.702] sai927: ｗｗｗ
[290.183] mecroboxy: あれ 今日は同じ画面にいるw
[290.358] (S)m1s4m0: ｗ
[291.083] one596: 試合始まったら左下に出てくるぞ
[292.708] IPPAN_Player: はじまるてw
[294.882] sndkzfm1: 水セット
[295.218] hanzou3: もう始まるぞ
[295.643] kernel999: あ、もう間に合わないw
[298.014] (S)ロミヲ: バックにあんなプリントあったのかｗ
[298.133] (S)ましゅダヨ: これは時間かかるやつだ、仕方ない
[299.376] (S)tabibitox: 始まってから準備する男
[299.957] kamiya1979: はじまるー
[300.934] 5moku: 終わったな
[302.507] sarah_0519: はじまる
[303.891] TB2117: このコンビほんまｗ
[304.524] axchuuu: もう予想は無理やろwww
[304.816] popo8322: あ
[306.532] (S)ましゅダヨ: プリント可愛い
[306.577] one596: 不正
[307.575] sndkzfm1: 期待しても無駄
[307.998] ちなはま: はじまった
[308.393] tilia211: まぁこうなると思いました
[310.000] (S)日本語かな: 間に合わないww
[311.081] hal0087: 間に合わんぞ！！
[311.220] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[312.437] dorayann: 始まったぞ
[314.886] moricocoa: 間に合った記憶がない
[315.530] (S)yut7xot8: これはうめちゃんのせいだね汗
[315.870] avareinu: こうなるやろなって
[316.741] kamiya1979: あー
[316.960] melonpan16: いつもこうやんww
[317.893] 憂う者の弟子: DinoDance
[321.194] kuniyoshi8: 水重そうｗｗ
[322.066] セツリ: 見るな、みるなあああ
[322.115] (S)日本語かな: 出ちゃったw
[323.873] leon12061829: こちら
[324.425] hal0087: もうぐっだぐだｗｗｗ
[325.224] (S)nikukuisugi333: お
[325.426] sn0wf0x3: www
[325.700] latenight000: まぁ遅刻はデフォだからイライラならさず
[325.911] gloomymario: ゆる～い
[326.696] mutsukisaragi: ハンチング
[326.837] (S)ましゅダヨ: いつものことですぇ
[327.120] IPPAN_Player: あっじゃないのよ
[327.171] shifoncafe: あ
[327.511] mako6912: 間に合わずw
[327.681] umetyaahan: あまりにもマイペース
[327.877] kobetaf: あっ
[328.112] tugaru_san: あ
[328.174] (S)闘劇のアルベルト: あ
[328.677] kamiya1979: 出ちゃったよー
[329.485] morinagasyuya: 出ちゃったよ…
[329.599] (S)fahmy0825: Kokunii?
[329.882] azu_maru: あｗ
[329.964] 森本ライアン: あ
[330.599] sarah_0519: あ
[330.699] sai927: あっｗ
[331.571] v_harumi_v: あっってｗ
[331.810] ラベット: あｗ
[332.041] 今井みどり: あ
[332.631] chamomile21: あっ
[333.998] axchuuu: あ じゃないのよ
[334.317] (S)kuwa_sun: 左下が時間わくかな？
[334.370] hal0302: あーなるほどそういう予想ねなるほどね
[334.823] omusubi_0824: w
[335.892] (S)tabibitox: もうカンニング
[336.403] (S)monpiipop: でちゃったよ
[336.747] ddb365: あ
[337.653] (S)日本語かな: 無敵だろw
[337.735] chahaaaaan: ぐだぐだ
[338.635] popo8322: 後出しww
[342.526] SuperMaguro: ｗ
[343.170] (S)ましゅダヨ: でないのがね
[343.793] hobit_ojii: 王のカンニング
[345.003] mqdf1987: 何してん
[345.031] (S)evimayo88: 後だしｗｗｗｗｗｗ
