[33.490] potato198504: 🍜
[34.747] (S)日本語かな: こんにちは〜お久しぶり〜
[37.742] (S)sakazuki_gensui: ディエゴさん
[38.117] cafe_gondo: こんにちは
[39.322] (S)junjun029: こん！
[45.370] mocomaru310: こんにちは♪
[45.991] 軽く捻るか: こんにちは！
[46.184] 無心に: こんにちは
[47.028] (S)simatarow: こんにちは～
[47.317] (S)ましゅダヨ: うめちゃんこんにちはー
[48.807] (S)kakutora_no_o: こんにちはーー
[50.053] kamiya1979: こんちわっすー
[50.665] tabibitox: あたま！
[52.260] sai927: センター分けウメ
[53.246] takastoz: こんにちは
[53.747] (S)みっちー14: おはよー
[54.931] nikukuisugi333: こんにちは
[56.093] Prxmr: The goatttt
[57.693] (S)firefly860130: こんにちはー
[59.275] hal0087: おいｗｗ
[62.471] m1s4m0: らーめんうめちゃん
[64.001] teruharu_: こんにちは
[64.713] 無心に: 承知しました
[66.730] (S)日本語かな: 実際は何時だったの？
[66.816] (S)kakutora_no_o: やっちったぜ
[66.983] (S)黒猫くん: 真ん中分けウメ
[69.729] 軽く捻るか: www
[69.956] _こぺ_: _こぺ_ subscribed at Tier 1. They've subscribed for 72 months, currently on a 49 month streak! 6年バッチになった～ umeCat
[70.938] (S)ましゅダヨ: あっ
[70.979] (S)sakazuki_gensui: オッケー
[71.028] oyukakete3min: oyukakete3min subscribed with Prime. They've subscribed for 27 months, currently on a 6 month streak! 
[72.787] Prxmr: Lets goooo
[73.894] suppappa: 湯上りうめちゃん
[75.671] gftakataka: こんウメ～
[76.653] tabibitox: 怒られるぅ
[77.610] Umipuzzle: ラシードウメちゃんどもです
[77.891] (S)あぱれる君: umeCossack
[78.970] (S)junjun029: ご報告感謝します🙏
[79.488] kamiya1979: 謝罪えらい！
[80.804] montjakt: こんにちは😃
[82.963] MacSauceGaming: Hello
[88.390] maddy2623: ウメちゃんおはようございます
[91.853] (S)simatarow: 風呂上がりウメちゃん
[91.984] m1s4m0: 幽霊ウメ
[95.407] guile0111: こんちゃ
[97.370] (S)みっちー14: 今日はどんな感じの予定ですか？
[98.660] (S)にんじん_: akiやりました？
[101.944] 軽く捻るか: 昨日ランクマでかずのこAKIと当たってましたね
[102.799] bunbun0880: ドライヤー使おう ウメちゃん
[104.108] (S)dokuyubi: 謝れるのえれ〜
[109.300] m1s4m0: うまそう！！
[115.322] sai927: ホタテ事件
[117.520] potesaraudon: ほたて食べたい
[118.450] (S)ましゅダヨ: ほたて！
[119.141] (S)simatarow: これはウメちゃんガチ恋勢歓喜
[119.804] tabibitox: また送られてきたのねｗ
[119.987] (S)ebikanihotate: こんにちは
[123.432] 157655: ホタテ事件2はならずか
[124.011] tsubame5204: umeSalute
[125.862] (S)brutal9998: ホタテ再び
