[3.817] nappamatei: こうせんありがとー
[4.124] クラクラ777: あ
[6.724] ようま: おかえり
[7.213] (S)ハビー: やり方ハイタニに聞けば？
[9.559] ようま: ただいま
[11.214] axchuuu: まぁ進行役のけんきがなんとかしてくれるのでは
[22.148] (S)イエール: ただいまんごー
[24.880] (S)johndoe6523rp: スカル
[26.132] v_harumi_v: 時間的に居そうな感じしますね
[28.715] (S)ましゅダヨ: 二日酔いぬけた？？
[30.820] u_anna: u_anna subscribed at Tier 1. They've subscribed for 57 months, currently on a 57 month streak! スカルたのしみ～！！
[37.346] danny_love_danny: 経験者なのに教えてもらうの
[37.492] きょー_1213: とりあえずdiscordに自分のユーザー名送った方がいい
[38.115] ようま: umeMika
[40.910] axchuuu: ハイタニ先生もわかってなさそうで草
[42.545] bikibiki999: さすがけんきくんｗ
[44.425] kawasak1n: けんきーーたすけて
[44.753] v_harumi_v: ツイートもぜひ
[45.684] meltasco: おもしろそー
[46.254] (S)黒猫くん: 間に合った
[50.098] (S)イエール: けんきーー！
[51.798] ニル太郎: アカウント作って、上のコミュニティから、プレイヤーを探す でフレンドなれそう
[51.907] varomu: 介護のけんき
[52.012] (S)johndoe6523rp: 流石すぎる
[60.056] (S)gularain: ポンコツかわいい
[68.105] danny_love_danny: けんきウメちゃんをお願い
[70.662] (S)ましゅダヨ: けんきはーや
[70.876] Sishamock: 誰か1人に全員フレンド申請してもらって集めてもらうのが早いっす
[71.616] zenosc9: ボドゲアリーナにDaigoUmeharaが3年前から存在してて草なんだ
[75.604] bikibiki999: ただそう始めるかわかりまてん
[83.354] ようま: 遅延のウメハラ
[87.750] (S)銀廻宗創始挙天和尚: ☺わたわた
[92.573] (S)イエール: レイテンシー
[105.220] im_t4n4k4: もこたんいる？
[107.034] kawasak1n: 練習ありだね
[108.768] axchuuu: ルールだけは自信あるやん
[109.260] (S)johndoe6523rp: みんなARKやってた組か
[118.839] shichimi10: みんなえらい
[119.508] jhkkhfdathvd: いうて梅さんもやった回数は少ないし設定は対応してないんだから初心者みたいなもんよ
[122.956] Sishamock: けんきにDAIGO1までフレンド送ってもらお
[132.724] moricocoa: こっちが教えてもらうか
[135.421] takoyaki_of: crカップからウメハラさんの虜になりました
[137.989] v_harumi_v: それが一番ですね
[139.345] moppu_gake: かるび配信始まった
[145.374] axchuuu: おうのもとにつどえー
[157.482] レム__: 20:00
[165.937] axchuuu: かるびー！
[166.376] balthazar000: ARK忙しかろうに
[168.094] v_harumi_v: DAIGO1あるのすごい
[168.405] cafe_gondo: こんばんはー
[168.829] feel2525: かるび！
[170.728] sai927: ｗ
[170.729] (S)イエール: けんきは関西勢と話すと関西弁に戻る
[171.113] melvin_1023: ここから開始まで一時間かかる
[171.332] (S)ringo_35: かるびー！
[172.224] レム__: 偽者！？
[172.998] (S)gularain: だいごっちwww
[173.821] danny_love_danny: www
[174.509] deahale151: けんきそんな関西弁だった？笑
[175.466] kiton_taichi: 格ゲー全振りオジさんのポンコツぶりはクセになる
[176.273] (S)ましゅダヨ: DAIGO1
[177.864] ポンポン: だいごいち
[184.901] (S)イエール: かるびーー！
