[20.285] ねりまん: おはよう
[24.241] Reopon_: こんにちは！
[34.549] (S)あぱれる君: おはようございます
[35.269] (S)hoshi_boshi_0: こんにちはー
[37.617] LordFartamor: hi daigo
[37.704] falcanon: こんにちは
[40.934] (S)箸くれ: おはようございます！
[42.157] amtg5: こんにちはーー
[43.276] aranami0: こんにちはー
[44.036] LordFartamor: clintWave
[45.016] (S)ましゅダヨ: おはよーうめちゃん！
[45.509] (S)箸くれ: ヒゲそってる
[48.443] v_harumi_v: ウメちゃん、こんにちはー
[49.361] haruy9328: おはようございますー
[49.493] 新ころりん: しっとりヘアー梅ちゃん こんにちは
[50.393] s___ryusei: あきで出るの？
[50.623] axchuuu: おはにょ
[50.809] (S)kakutora_no_o: こんちわ！
[53.018] (S)hoshi_boshi_0: 大会頑張れー！
[54.424] (S)firefly860130: こんにちはー
[55.031] (S)腰痛デシ: 寝癖が恋しい
[56.898] (S)ましゅダヨ: あれ？あきやっとるww
[56.909] mako6912: おはようございます
[58.557] maddy2623: ウメちゃんおはようございます
[59.116] 超パンダ: 誰とでるのー？
[63.731] (S)akatoki_mk1: こんにちはー！
[69.638] s___ryusei: もけ、まちゃ
[71.177] 憂う者の弟子: oh！Daigo San
[74.688] (S)kakutora_no_o: がんばれ寄せ集め！
[83.391] (S)johndoe6523rp: ウメハラ、まちゃぼー、もけ
[87.414] tabibitox: ディスコ
[93.057] tabibitox: まだか
[95.768] (S)きしー: アキで出るのかな
[98.618] sdy_hs: つよつよチームだからaki？
[100.500] (S)ganaha5757: 結構強そうなチームだ
[102.728] shomarusan: もけと話すとこ見るの久しぶりな気がする
[110.912] (S)akatoki_mk1: 今日はケンだよね
[112.078] 泣き虫サクラ: Wow！
[117.664] one596: ケンケン春麗も中々の厨パw
[120.892] tsubame5204: umeSalute
[124.571] (S)ましゅダヨ: 大会頑張ってねええええ(o⚑'▽')o⚑
[139.978] (S)monpiipop: すごいメンバーやん……
[161.493] xyz1648: AKIケン春麗ならかなりおもろい
[161.711] donekofg: さっぱりしてますね
[164.720] m1s4m0: すごいメンバーだよね
[168.495] (S)ganaha5757: 優勝あります
[170.867] casita226: 魚群に紛れ込んだウメちゃん
[171.441] ぜんでん坂人生: だいちゃん、おはよ
[173.818] (S)ましゅダヨ: まあ寄せ集めだし(という言い訳が出来そう)
[180.257] 3_dots: ダイゴさん、こんにちｼｬｰ！
[181.129] sdy_hs: マイクミュート中か
[185.976] オシュ: どういう経緯でこのメンバーになったんだろう
[189.906] (S)kakutora_no_o: 魚に紛れ込んだビースト
[201.837] ぜんでん坂人生: AKIでTOPでるの？？
[202.321] (S)akatoki_mk1: 優勝したら2回目になるんだよねTOP
[208.560] m1s4m0: もともとボンちゃんを誘ったらしいんだけどボンちゃんは葛葉と出るから断った
[221.155] (S)箸くれ: フェン様のチームとかJP3人だぞ
[228.570] m1s4m0: ボンちゃんの代わりにウメちゃん なんて贅沢な
[231.914] 咳払いされる: ケン被ってるしアキデビュー？
[236.093] (S)kakutora_no_o: 世代別ブランカチームもおるで
[243.673] gorogorogorn: gorogorogorn subscribed at Tier 1. They've subscribed for 9 months, currently on a 7 month streak! 
[243.681] donekofg: AKIで大会出れる機会エンジョイしかないし
[247.038] weeep1: どんなメンツやねん
[247.258] (S)箸くれ: ダルシムチームもおもろい
[251.363] one596: 登録ケンだからケンやね
[260.698] donekofg: なんだケンかぁ
[260.942] (S)ましゅダヨ: キャラ合わせてるチームとかエンタメ要素入れてるチームあっておもしろいね
[264.019] kaku_pippo: ダルシムチーム面白いし強いですね
[275.876] (S)きしー: 鶏めし先方で処ってた
[280.732] (S)akatoki_mk1: ホットヨガ
[285.737] donekofg: 割と優勝してる気がするホットヨガラウンジ
[290.288] maddy2623: 昔ウメちゃん本田で3on優勝したよね？
[298.200] (S)ましゅダヨ: HONDER×HONDERは笑ったw
[300.137] one596: 毎回TOP荒らしてるダルシム3
[300.309] weeep1: カジュアル大会だからコンセプト盛り盛りぐらいで丁度いい
[306.759] 新ころりん: ヨガは仙人達が仕上がってるからなぁｗ
[311.313] (M)(S)gameinntwitch: 問題無さそうだね
[317.771] kaku_pippo: ダルシムはAKIのSA2見てからテレポートで裏に回れるとかなんとか
[324.207] 新ころりん: メンおじこんにちは
[326.253] 泣き虫サクラ: 前髪かきあげるクセ
[329.221] (S)~MISSING_COMMENTER_INFO~: アキで参戦！
[331.931] (S)gularain: こんにちは
[336.570] (S)ましゅダヨ: メンおじもメンテナンスお疲れ様です！
[343.036] 3_dots: ｼｬｰ!
