[17.453] kitkit3: くる？
[23.617] chocolat1234: 😀ノ
[25.998] koutwitchtv: なるほど ありがとう
[49.787] v_harumi_v: わくわく
[68.270] m1s4m0: 11:24
[69.514] (S)kani7321: はじまた
[72.507] (S)maya_g01: うおおお
[75.101] switchdv: こっちが本配信だよね？
[76.143] (S)kani7321: kani7321 subscribed with Prime. They've subscribed for 6 months! 
[81.463] 5don: ここが本配信です！
[89.290] m1s4m0: みんな混乱しちゃうよね
[94.465] switchdv: ありがと～
[95.533] hokuto0711: ぷっさんどうなったんだろ？
[98.147] tyiiophf: ガタッ
[101.531] 8341893: 今日はえいたさんいますか？
[103.662] adexscl: chino cine ahora
[105.826] m1s4m0: ぷっさんでるんだ
[112.493] (S)ましゅダヨ: 皆さん頑張ってくださーい
[123.618] (S)アゲだし豆腐: アゲだし豆腐 subscribed with Prime. 
[125.378] リエオ: わぁ！！楽しみ
[126.689] hiranatu: うぉおぉぉぉお！
[127.324] hokuto0711: ぷっさんエントリーしてた
[130.942] myaaaaaa123: えいたは昼からくるって言ってた
[134.586] tabibitox: サブ配信は公式ツイか格ゲーチェッカーの記事の一覧から飛べるよ
[135.196] twitchyarutch: えいた立川さんゲスト
[135.285] kanatazx: えいたくんと立川くん後に合流予定
[141.311] (S)kakutora_no_o: 復活！
[151.294] kanatazx: ガチくんもらやってますね
[155.387] 5don: DFMの参謀でもある立川さんもご来臨とは
[158.802] (S)johndoe6523rp: 機材トラブル？
[173.345] 5don: 現地のアールさん情報だと、機材トラブルとのことです
[183.470] (S)エネゴリ: エネゴリ subscribed with Prime. 
[184.056] makibisi8787: 大会ありがとー
[186.669] (S)kakutora_no_o: えいたくんは最近のヤミハラをどう思ってんのか気になるなぁ
[191.695] 8341893: ありがとうございます！
[193.774] (S)kani7321: タチィ
[194.386] (S)小骨: 小骨 subscribed with Prime. They've subscribed for 3 months, currently on a 1 month streak! 
[197.097] nebulous321: @el_flaite_tv es cine de japones
[205.554] twitchyarutch: 試合進行を優先させる方針のようで全体は予定通り進んでますね
[219.324] koutwitchtv: ぷるるはダイヤＤか
[223.350] (S)johndoe6523rp: 機材トラブル、了解です
[224.261] m1s4m0: ウメちゃん病んでんの？
[227.914] (S)brutal9998: 速報、ガチ敗退
[233.927] kanatazx: えー
[234.280] m1s4m0: ええええええ！？
