[24.032] (S)RFKage: umeBlocking
[29.881] (S)hoshi_boshi_0: セーフっす
[31.715] (S)るーどるふ: るーどるふ subscribed with Prime. They've subscribed for 3 months! umeLuke
[40.228] noinoinoinoinoi: noinoinoinoinoi subscribed with Prime. They've subscribed for 29 months! 
[40.691] (S)kani7321: 間に合った形ィ
[45.741] (M)gameinntwitch: LINEみてね
[52.904] (S)kakutora_no_o: ギリやね
[60.752] (S)ponponguripon: おじさんわちゃわちゃ
[61.000] raurakd: 間に合った形
[65.306] arutoda: ブラックフライデーセールでスト６が安くなってるから買うか悩む！！梅原さんのケンをみてやりたくて悩み中
[65.376] えこえこ: はよ予想しな
[71.539] chicken_dumpling: costume change?
[74.582] sarah_0519: いそげー
[79.813] sai927: 締め切りの時間です
[80.727] (S)kakutora_no_o: いそげいそげ
[82.031] (S)でかちゃん: wwwwwwww
[83.260] えこえこ: これはもう間に合わなそうね
[85.898] (S)adachikufgc: コート着ないと
[87.378] tabibitox: 自由人
[89.249] ひじきもち: 不戦勝ｗｗｗｗ
[90.425] kukukurin: たったの50クレ分やぞ買うのが板
[94.424] (S)kakutora_no_o: あ
[95.739] えこえこ: さすがにひどいぞ
[100.047] (S)kani7321: こくだけポイント入るのどういうシステムなのw
[105.185] maruino351: ｗｗｗｗｗ
[105.439] himono__: ｗｗ
[109.334] (M)gameinntwitch: みてないからセーフ
[109.694] touruko: tubeはきてる
[109.816] johndoe6523rp: ｗｗｗｗｗｗｗｗ
[110.626] yoyo_443: wwww
[113.157] fbhjkl: LUL
[114.149] (S)ponponguripon: あ
[114.193] kahaku91: え～
[114.536] えこえこ: これはウメちゃんが悪いよ
[117.914] ひじきもち: こくさんずるすぎるｗｗｗ
[118.044] raurakd: 王がルールだ
[118.400] sai927: ｗ
[119.709] tabibitox: あたってるｗ
[120.713] futtyan2: え
[123.137] ~MISSING_COMMENTER_INFO~: DinoDance
[123.327] sai927: せっこｗｗｗｗ
[124.323] potocki1810: ｗｗｗｗｗｗｗｗｗｗｗ
[125.588] gorogorogorn: 王の強権ｗ
[127.360] maruino351: ｗｗｗｗｗｗｗｗ
[129.041] morinagasyuya: 王の読み
[129.258] (S)hoshi_boshi_0: 当たってるねえ
[130.630] everaltar: ずっる
[130.758] (S)kakutora_no_o: これが王っす
[131.920] johndoe6523rp: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[134.821] (S)kani7321: もう揉めてるw
[135.073] だいこん_: LUL
