[23.083] rilakkuman: てゃ
[23.533] オリバん: ハロー
[30.941] だいこん_: umeCossack
[33.824] 5don: こんにちはー
[35.669] ぬーぼー2: オハロー
[36.700] (S)ましゅダヨ: うめちゃんおはよう！
[36.769] グレンシア: おはようございます
[37.463] (S)えび猫: こんにちは 
[37.728] takastoz: こんにちは
[38.414] ドラキュラおじさん: こんぬづわ
[42.122] simatarow: こんにちはー
[42.141] (S)かみさま_: 体調は大丈夫ですか？
[43.020] blackcoffee0821: KonCha
[43.247] right_8: こんにちは
[44.523] (S)イエール: ウメちゃんこんちゃっすー
[46.963] ぢょごぢゃん: こんにちは〜
[47.005] (S)tamamichune: こんちゃ
[49.328] だいこん_: おはようございますわ〜！
[49.411] EIGHT_8_tk: こんにちは
[50.058] mamamamatsu: ウメちゃん！体調大丈夫？
[52.499] (S)firefly860130: こんにちはー
[54.415] (S)日本語かな: こんにちはー
[54.634] (S)こねこ__: こんにちはぁぁ
[56.246] balthazar000: 今日は早いですね
[57.452] たまゆららん: うめちゃんー
[58.707] たくあんどす: こんウメー
[59.240] (S)日本語かな: あれ
[59.458] raurakd: こんちゃー
[60.037] ベビちゃむ: うめちゃ～～～～ん
[63.861] ベビちゃむ: あれれれ
[63.889] maddy2623: ウメちゃんおはようございます 
[64.164] one596: あら大丈夫ですか？
[64.385] johndoe6523rp: 咳が
[65.018] ぢょごぢゃん: 怖い咳してる
[66.955] raurakd: (せき)
[68.504] Py0nPy0nJP: こんにちは
[76.019] (S)日本語かな: 風邪大丈夫かな
[76.605] montjakt: おはちんこ
[78.175] kurobedam: ヤバくね？
[79.077] (S)firefly860130: 体調大丈夫？
[80.057] Ryota_theCAREN: こんにちはー
[83.124] 成吉大: こんちゃー
[88.090] tsubame5204: umeSalute
[89.376] (S)ましゅダヨ: (あああ…嫌な咳してるなあ)
[91.184] たくあんどす: 風邪よくならんねぇ…
[92.334] bushman0913: こんにちは 俺を獲れ楽しみにしてます
[94.358] BISAI3: ウメちゃんおはよー
[98.290] あび_あび: おはようございます。
[99.822] (S)れの__: れの__ subscribed at Tier 1. They've subscribed for 8 months! 
[100.930] 5don: 昨日はゆっくり休めましたか？ 
[100.931] 成吉大: 体調如何ですか？
[101.867] v_harumi_v: ウメちゃん、こんにちはー
[103.618] maddy2623: 体調いかが？
[108.888] balthazar000: 腹回り濡れてないです？
[109.406] グレンシア: お疲れ様です
[112.142] (S)ましゅダヨ: 大丈夫〜( > <。)
[112.935] ベビちゃむ: 体調いかがかな
[114.093] カブトシロ: こんにちは。
[115.068] (S)日本語かな: 咳は大丈夫？むせてただけ？
[116.034] v_harumi_v: フルーツ食べるのね
[121.109] danny_love_danny: 体調はどう？
[124.291] (S)軽く捻るか: こんにちは！ウメさん体調どうですか？
[126.397] teruharu_: こんにちは
[127.077] despera_lk: やっぱフルーツだぜ
[127.966] (S)きしー: きしー subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! 
[131.229] 成吉大: うまそう
[131.738] v_harumi_v: おお
[131.938] 黒猫くん: やあウメさん
[132.985] johndoe6523rp: SeemsGood
[132.985] casita226: 祝日に見るうめちゃん配信うれしいいいいいいい
[133.241] danny_love_danny: うわー
[133.824] mandomddd: いいね
[134.486] ベビちゃむ: お～～～～～～～
[135.178] domontyan: 無理しないで寝ててください（ ;  ; ）
[136.176] 5don: 🍊 うおお！
[137.182] だいこん_: 俺獲れまで休まなくて大丈夫？
[137.905] despera_lk: ビタミン摂取かましてけ
[138.815] ベビちゃむ: いいね
[139.091] ドラキュラおじさん: オランゲ～
[139.783] simatarow: ビタミンとって
[140.463] (S)ましゅダヨ: ふるーちゅなにたべるの
