[15.573] kita_12345678: 見えてる！
[16.665] weeep1: みえてるよ～
[17.049] へれそ: おはざす、見えてます
[28.257] (S)軽く捻るか: こんにちは！
[30.664] (S)sai927: ウメ散歩
[32.233] (S)ベビちゃむ: umeCossack
[32.929] (S)こねこ__: 梅ちゃん、こんにちは🎀
[33.156] (S)a_isana: こんにちはー！
[33.520] dosaken_fx: 外配信うぉおおおお
[34.955] DancingSheep1119: お
[35.795] 憂う者の弟子: Daigo！！！
[37.753] mame1800: こんにちは
[39.932] KemmyTwitch: umeCossack
[41.390] nikukuisugi333: うおおおおおおおお
[42.615] (S)ベビちゃむ: ひさびさのそとーーー！
[42.770] yukki_twitch: こんにちわ〜
[43.261] baycurry16: ウメ散歩だ
[45.336] teruharu_: わー外だ
[46.629] katsuo73: オパヨーウメちゃん！
[48.533] np2np: こんにちは
[53.295] echa_pi: ウメちーこんちゃ～！
[54.088] (S)ponponguripon: こんにちは
[55.741] jagajaga1943: ジンバルどこいったー
[60.173] weeep1: パシリのウメ
[60.330] Papapadad: ウメちゃんおはよう
[60.972] ヴィヴィ2046: こんにちはー
[61.356] (S)こねこ__: 寒いですか？？
[62.943] ドリアンくん: 久々のウメ散歩
[63.948] えだいこ: ゆなっこありがとー
[65.279] Terminally_Chilll: lytRUN
[65.352] (S)瞬間湯沸かし器: うめちゃん、こんにちわ
[68.521] teruharu_: どちらへ
[72.843] 000105: ウメさん縦だね
[78.920] へれそ: 今日オープンなんだね
[82.223] ひろみつー: 東新宿ありがとー
[86.385] (S)ベビちゃむ: みやすいーー！
[90.103] (S)こねこ__: あ！見やすい！
[90.463] bakobakobus: うん
[91.912] ヴィヴィ2046: お、みやすいです！
[92.239] toki0823: みやすい！
[92.912] echa_pi: ゴンちゃんのお店(*´o`*)/
[94.572] (S)軽く捻るか: 横の方が観やすいです！
[94.815] np2np: 横のほうがいいー
[94.905] weeep1: めっちゃ斜めで草
[98.546] (S)rayryeng: rayryeng subscribed at Tier 1. They've subscribed for 4 months! 
[98.672] hakka_s: こんにちは！！東京は雪ないですね
[100.420] ymt554: こんにちはー
[100.896] 000105: 横ゲーマーなので
[104.154] teruharu_: ゴンタさんとこか！祝
[105.392] wonderhit1: 一杯飲むの？
[117.478] kiriwo777: kiriwo777 subscribed with Prime. They've subscribed for 27 months, currently on a 10 month streak! 
[122.303] (S)rayryeng: Konichiwa Ume San!
[125.161] (S)箸くれ: ウメちゃんこんにちは
[126.575] へれそ: ゆなっこありがとー
[134.125] weeep1: 冷やかししてこ
[134.392] nikukuisugi333: シャケっでっかい？
[135.968] katsuo73: ゴン太さんとこってお酒飲まない客って迷惑かな？
[135.973] 蝉時雨: りゅうてゃのデイリーは終えた？
[138.358] (S)こねこ__: 喉がwww
[138.823] (M)gameinntwitch: めちゃくちゃ斜めやないか
