[27.969] ancehutn: スト７！？
[39.956] light_hight: スト７６
[40.395] balthazar000: こんばんわ
[40.939] (S)軽く捻るか: こんばんは！
[43.145] (S)ちぇんぷる: うめちゃこんばんは！
[44.977] balthazar000: ７６！？
[45.652] mmiiacha: 未来きたねぇ
[47.378] (S)groke55: umeCossack
[47.393] (S)えび猫: こんばんは
[51.105] (S)てべす1103: スト7きたか
[51.852] (S)sai927: umeCossack
[52.934] (S)moppu_gake: スト7
[54.297] hasefuka: こんばんはー
[56.465] 阿修ランボー: 未来だねぇ
[57.980] (S)のぶとも: まさか未来から来たウメハラ…？
[58.886] (S)軽く捻るか: スト76
[60.796] (S)junjamaica: ごんちゃん緊張してたね
[69.105] johndoe6523rp: おつかれっす
[71.500] tabibitox: こそ
[71.686] balthazar000: 本当に？
[72.561] nail06k: うお
[76.235] raurakd: おつかれい
[76.763] ポンポン: ウメちゃー
[76.912] saibabasan: スト７６
[95.030] (S)ringo_35: お疲れ様ですー！
[104.816] johndoe6523rp: トナメ表見ました？
[107.665] goroutai: フォールアウト的な
[128.445] nipper028: こんばんは♪
[134.105] balthazar000: 怠けてた自覚ありってこと？
[151.965] nipper028: ステキな髪型
[161.793] aranami0: えー、ボンサーンがいます
[164.704] (S)EDN3rd: 牡蠣はうまかったですか
[173.324] horumon75: スト7！？
[173.327] kiton_taichi: プール決勝がボンちゃんの可能性高し
[175.061] (S)moppu_gake: ベットハーフどうだった？
[175.980] nail06k: ゴンタ店の照明いい感じなってんね
[192.236] かんたろー11: こんばんは、明日新衣装出ますね、ケンのは買いますか
[195.397] perfecttakahashi: ウメちゃんのプールTSとマサがいる
[200.375] horumon75: 今日前髪の分け方いいねぇ 
[210.384] kiton_taichi: プール決勝までにtsさんとえいたさんがいる
[224.377] falcanon: こんばんは
[225.531] (S)軽く捻るか: あああ
[226.683] ぢょごぢゃん: ぢょごぢゃん subscribed at Tier 1. They've subscribed for 30 months! 
[284.663] 硝子窓: ウメちゃんこんばんはー
[309.221] poisoncurry: ウメちゃん明日ケンのコス出るけど買うの？
[335.306] kuniyoshi8: ラーメン屋出るねえ
[345.134] (S)軽く捻るか: P
[346.251] lutz001: うっま
[350.739] バッフロゥン: つよいんご
[351.371] domontyan: p
[384.669] (S)軽く捻るか: ナイス！
[389.788] (S)RFKage: umeCossack
[406.325] とも8はる: こんばんは
[413.049] ragdoll303: うめちゃんこんばんはー
[413.361] (S)日本語かな: こんばんは
[431.931] (S)のぶとも: 当たらんのかいw
[435.350] one596: ウメちゃんプレミアのトナメ結構キツイとこぶち込まれたね
[438.064] 超パンダ: あれ、呑んできてないの？
[440.823] 吉田じんぎ: これ画面外に居るから落とすのむずい
[442.843] (S)こねこ__: おかえりなさい〜🎀
[457.680] shellfish55: ケンの新コスださいよーもっといいのなかったんか
[471.370] フﾄ: ﾋｭｰ
[473.813] diego_ohunabara: umeYay
[474.665] (S)軽く捻るか: っけい！
[474.895] kuniyoshi8: かっけええ
[477.072] perfecttakahashi: つえぇわ
[478.117] kiton_taichi: 明日は13時からスト6メンテ。終了は17時予定。
[478.627] きんちょーるを救いたい: うおおおおお
[483.523] (S)kiyotaka0614: kiyotaka0614 subscribed at Tier 1. They've subscribed for 4 months! 
[486.896] pondenring0930: イウサレず
[497.962] domontyan: お
[498.294] (S)kkr_l: o
[501.114] (S)イエール: イエール subscribed at Tier 1. They've subscribed for 5 months, currently on a 4 month streak! 
[502.331] catbeard__: おおお
[503.827] punpunjp_: ときど
[504.046] (S)のぶとも: tkd
[507.061] naosansan: きたー
[507.608] pondenring0930: 情熱一閃！
[507.830] shellfish55: ときんすだ
[512.115] Qvoth: おおおお
[513.045] (S)イエール: ときんすー！
[513.129] raurakd: ！？
[515.847] Qvoth: ときんす
[519.626] 四国エスハ: ときどー
[520.239] kuniyoshi8: マーダー
[524.267] hotsumaowo: おおお
[528.084] aranami0: 後のチームメイト
[531.110] johndoe6523rp: 最近よく当たってますね
[540.640] (S)イエール: やるー！
[543.366] zyangara2: ウメちゃん白胴着に戻ってる！
[543.705] SOLAS1D: 最近ケンに不信感もってるときんす
[550.228] montjakt: バンちんこ
[554.317] 母の日ですお母さんに: マーダースナイプ
[555.111] しすてむえらー: ときんすも下がるね
[557.587] shellfish55: ときどとウメちゃん動き似てる
[560.144] Ryota_theCAREN: こんばんはー
[584.611] Nagare765: DJとかと比べるとな・・・どうしても火力の差がね
[596.620] quietcontender: is daigo playing with stick again? asking for a friend
[614.277] shellfish55: まぁ最強キャラではあるんだけどねケン君
[620.789] ヒモニキ藤村: なんでこんなping高いの
[622.944] (S)箸くれ: 牡蠣おいしかったですか？
[623.076] Qvoth: daigo hasn't used stick for a long while i'm pretty sure
[624.569] (S)軽く捻るか: No. hitBOX.
[626.420] simatarow: ウメちゃんこんばんはー
[638.147] gin_and_nick: ルークと比べてどっしり戦える感じがない気がするケンは
[640.192] simatarow: 白ケンのままだ
[648.954] zyangara2: ときんすの新居がマンション回線で調子よくないらしい
[656.819] Nagare765: 最強キャラケンか？春麗かルークじゃない？
[657.078] bikibiki999: ケン最強か？最近のプロシーン見るとケンつらそうな場面多いのだが
[659.267] (S)日本語かな: そのうち良くなるのかな
[666.406] (S)イエール: この白ケンに一番歓喜してるのときんす説ある
[667.368] kuniyoshi8: NUROあかんのかな
[667.447] (S)軽く捻るか: あああ
[669.127] shellfish55: 最強っすｗ
[672.748] qwer______: ランクマでりゅうきちがときどに勝ってたな
[673.302] (M)gameinntwitch: 40はなかなかやね
[675.513] ヒモニキ藤村: そうなんだ ありがとう
[678.731] une3333: こんばんはーおかえりなさーい
[679.205] (S)箸くれ: 確かに伸びてる
[682.765] simatarow: 髪染めないの？
[685.340] meshiuma3150: 角刈りで頼む
[689.639] pepepe393: ときどnuroじゃないよ
[689.779] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[695.389] (S)イエール: ニット帽装備する？
[695.802] shellfish55: エリンギにしよう
[701.675] (S)junjamaica: 坊主は楽だぞ
[716.571] (S)日本語かな: 思い切ってAKIにしよう
[719.397] とも子: レバー？
[723.420] une3333: てかときどさんだw
[729.954] bikibiki999: ヒトボだよ
[734.305] 母の日ですお母さんに: ウメちゃん坊主人生でしたことあるんかな
[735.316] (S)イエール: だりゃっ！
[735.367] (S)kkr_l: ｐｐ
[736.764] kuniyoshi8: nuroじゃないのか
[737.136] きんちょーるを救いたい: P
[738.115] (S)イエール: umeCossack
[738.603] (S)軽く捻るか: Pでお返し
[739.777] しすてむえらー: パーフェクト返し
[740.916] (S)ちぇんぷる: やりかえしー！
[741.095] ラスタパスタ: すげえ
[743.769] とも子: あれ、前からこんなにボタン音してたっけ
[745.205] (S)surop666: ターン制バトル
[748.858] matoo0777: 白ケンに戻ってる？
[751.563] noritama58g: ｐ返し
[761.168] pepepe393: nuroにしたいけどマンションの回線の都合上できないみたい
[767.158] Moyashi300: リバサ出ず
[773.203] (S)日本語かな: イベントだったから白ケンのまま
[773.228] johndoe6523rp: 柔道した後の前ジャンプにOD竜尾で対空？するネタYouTubeで見たけど、強いのかな？
[777.772] Nagare765: PPP
