[10.996] jSTARszn: tykwonNOWAY
[24.573] gorogorogorn: umeCossack
[27.974] johndoe6523rp: うおおおおおおおおおお
[29.711] (S)kakutora_no_o: うおおおおおおおおおお
[32.248] feel2525: 懐かし
[32.373] prisira: タイトルｗ
[32.932] moyashi117: はじまってるうう
[33.169] gyu_nyuu_pann: おおおおおおおお
[34.063] (S)箸くれ: CPTが中止になりエロゲに翻弄され高いゲームを買い
[34.719] (S)すれいまん: まさよしいいいいいい
[35.175] sh1zuku716: ミンサガ周回前提だからそこまで長くない
[37.051] もきち555: きやっほい
[38.455] lain_the_3rd: タイトルでいいんだっけ？w
[38.996] aranami0: まさ
[39.483] gorogorogorn: マサ！
[39.508] nikukuisugi333: やっぱマサよ
[39.581] chikachikabonito: DinoDance
[40.069] ainame3: んっ
[41.881] (S)kakutora_no_o: まさよしぃいいいいいい
[41.922] (S)ゴリゴリのゴリ: かっけええぇぇぇ
[41.978] v_harumi_v: おおお
[42.834] gyu_nyuu_pann: マサ！
[46.261] forjc3rd: 秒速30mみたいな曲？
[46.406] moyashi117: マサきたあああ
[46.790] 超パンダ: １コメゲットだぜ！！！
[47.581] マジでラブ恋愛中: まさかのミンサガw
[47.583] (S)ラリメモ: そう言えばオンラインプレミアはどうなったん？
[48.764] prisira: 歌は若干危ない
[51.514] sh1zuku716: 神曲きたああ
[51.976] れく太: マサだあああああああああああ
[52.702] uwamonq: 山崎正人
[52.964] tsubomaru: このOPめっちゃいいよな
[53.171] (S)yoyo_443: かっけえ
[54.481] blackuma: 燃える前のマサ
[54.498] chin_56_: くもがぁー
[55.303] イガ: うたったぁ！！！
[55.756] chikachikabonito: PopNemo
[56.897] aranami0: 最高や
[57.099] (S)kakutora_no_o: マサだああああああああ
[58.443] 泣き虫サクラ: ちゃんと歌ってる・・・
[59.473] もきち555: 今日は歌う気分
[61.431] (S)kakutora_no_o: 歌ったああああああああ
[61.656] (S)ましゅダヨ: まさ！！うたってくれるのか！
[62.376] (S)plutogogo: DinoDance
[65.432] kuniyoshi8: まさ歌えるじゃねぇか、、、
[66.369] マジでラブ恋愛中: この曲好き
[66.592] johndoe6523rp: ※cptは延期になりました。
[67.045] (S)箸くれ: いい声だなぁ
[67.249] apacheconf: マサの歌声じゃん
[67.863] gloomymario: あ、ライブボイコットした人だ
[68.328] ys120: 本物のタイガーの歌唱
[68.941] すいそう: ボンちゃん声良いな・・・
[73.210] jijipex0527: w
[74.479] (S)firefly860130: こんにちは 
[76.478] (S)蟹右手: アプリのCMでも使われてやっぱり耳に残る曲だなって
[77.446] dj0d4y4k4: 今日は歌ってくれました
[77.469] uwbxlwyhsiqj: おしゃべりしたい気分じゃなくて良かった
[77.507] (S)ましゅダヨ: いい歌作るのになぁ……
[81.936] inago211: ミンサガうおおおおお
[81.963] mako6912: 今日は歌う日なのかw
[82.102] atti_join: wwwwww
[82.434] ledlight9413: これマサのトークだよ
[82.602] chin_56_: らあああ
[85.100] 眼鏡_時々曇り: うぅ〜〜〜⤴︎⤴︎
[87.073] aranami0: あ
[88.172] uwamonq: いつでも探しているよ♪
[89.317] (S)箸くれ: あ
[89.370] nikukuisugi333: あ
[89.599] v_harumi_v: ツイートもしときませんか？あと、タグの変更必要そう
[91.687] (S)kakutora_no_o: あ
[91.688] chikachikabonito: ひ
[91.756] (S)すれいまん: ｗｗｗｗ
[91.860] (S)plutogogo: あ
[92.500] kuniyoshi8: 声がよすぎるｗｗ
[93.071] zanpei501: タグがスト6
[93.758] デュララ: ミンサガだー
[94.595] sh1zuku716: 起動するたびに聞いてたな
[94.639] gyu_nyuu_pann: あ
[95.176] すいそう: きたあああああああああああ
[95.257] maddy2623: まさよしキャンセル
[95.770] uwamonq: 全部聞かずｗｗｗｗ
[96.667] chin_56_: SAGA
[98.694] (S)dokuyubi: ザクッ
[98.879] (S)plutogogo: BibleThump
[99.311] (S)smile9104: キター
[99.652] マジでラブ恋愛中: あ
[100.773] (S)monpiipop: うひょぉぉぉ
[100.981] もきち555: きたああああああ
[101.847] olive_senpai: 神
[102.016] palllight: ゲームは好きじゃないけどＯＰはまじでいい
[103.333] (S)ましゅダヨ: まあ音楽家はみんな変わってるからな
[103.425] kiton_taichi: タグがスト６やんw
[103.580] Ceciltaisa: いってみましょおおおおおおおおお
[103.876] (S)switchdv: うおおお
[104.365] sh1zuku716: 神
[105.318] aranami0: ミンサガなっっっつ
[105.454] (S)monpiipop: 神
[105.811] gyu_nyuu_pann: きたぁー！！！！
[105.922] (S)kakutora_no_o: きちゃあああああああ
[107.631] 双子座55: タグがスト6のままです
[109.252] (S)ましゅダヨ: ありがとうありがとう
[109.400] peroperoperorincho: うおおおおおお
[110.780] (S)~MISSING_COMMENTER_INFO~: タグ変えて
[111.339] shinpu99: やるよ
[111.668] johndoe6523rp: うおおおおおおおおおおおおおおおおおおお
[111.872] jigojigo: この曲だけでも良いよね
[112.990] ainame3: あーずっと聞いていたい
[113.170] (S)gularain: 音楽ええな
[115.731] すいそう: BGM良すぎか
[115.943] uwamonq: 青の剣取るまで止めれまテン！
[116.178] 泣き虫サクラ: このＢＧＭよ
[117.400] moyashi117: 曲が神すぎる
[117.546] 斉川: スト6うおおおおおおお
[118.711] hiyokomame0906: クソ懐かしい
[119.593] gorogorogorn: この曲ですでに
[120.048] bobby_yano: 取り込み間違ってるよ
[121.911] v_harumi_v: タグ変更しないと！スト6のまま
[122.165] gyu_nyuu_pann: 曲いいね
[123.196] kuniyoshi8: だれにすんだろ
[123.741] (S)すれいまん: アルベルト！アルベルトか！
[123.850] (S)軽く捻るか: ウメさんタグがスト６のままです！
[124.170] れく太: たまんねぇ
[125.060] gorogorogorn: ここよ
[125.888] ys120: ホーク選びそう
[126.244] (S)monpiipop: このフォントぉぉぉ時代を感じるぅ
