[24.518] あかの: おは
[25.298] maddy2623: ウメちゃんおはようございます
[31.263] 5don: umeYay
[31.485] GAIGAN1192: こんうめ
[34.089] kaomoji3: うおおおおお
[43.546] (S)firefly860130: こんにちはー
[46.124] yukinko_555: おはよ～
[49.863] nikkorogasi: おはよー
[58.247] maruino351: おはよーーー
[69.853] (S)イエール: ウメちゃんこんちゃーい
[81.237] Yasushi_Yoshida: あれ、声？
[83.885] market_fujisaki: 開幕おびさんこんにちはー
[95.579] (S)sai927: マイクオフでござるね
[97.229] (S)イエール: おびさんやんけ
[102.856] Enoch0983: ランクめっちゃ落ちてますな
[120.861] Yasushi_Yoshida: マイクオフじゃんねぇ
[121.760] (S)イエール: ほほい
[125.531] (S)泣き虫サクラ: やぁ
[128.847] tabibitox: なるほど
[137.301] GAIGAN1192: 十分やん
[181.664] (S)GAIGAN1192: GAIGAN1192 subscribed at Tier 1. 
[210.081] (S)イエール: GoatEmotey
[257.863] tabibitox: さすがに散髪？
[273.516] potocki1810: 配信ありがたやー 
[274.461] yut7xot8: こんにちは！
[278.447] (S)イエール: ウメちゃん毛量多いからハゲそうにないよね
[288.008] あり0221: ウメちゃんこんにちは😀
[292.466] (S)かみさま_: こんにちは！！！
[306.740] (S)simatarow: このアメコミライク
[355.704] (S)イエール: ッケイ
[390.633] yt0105: ウメハラさん白カラー
[435.502] (S)イエール: umeYay
[443.179] 3_dots: knxOK
[454.190] aycplays: DinoDance
[459.369] (S)イエール: DinoDance
[459.700] naien3: おはよー
[481.767] オーシタ: こうして今日も相手のBOを堪能したのであった
[578.042] Pena_1031: アジア１にウメさんのニセモノと五神がいるけどなんですかｗ
[582.698] nikkorogasi: nikkorogasi subscribed with Prime. They've subscribed for 24 months! 
[608.187] taisa0131: 寒い時の散歩好き？
[618.071] 8ma4ta: ウメさん歩いてたら声かけられそう
[688.034] hikky722: 1月6日だかに大会ずれこんだから元旦とかも忙しいね
[688.160] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[726.409] (S)箸くれ: おはようございます
[728.019] kamatakunotaku: うめちゃんのコス選択って昔から傾向わかんねえな。あえて言えば男っぽいくらいか
[747.851] (S)イエール: なんかいいコスを選んでるのさ
[819.515] (S)イエール: うおお
[830.572] オーシタ: 無敵なのになんで食らってるんですか
[834.997] nikkorogasi: おおお
[835.499] ontama26: かわいそ
[839.076] market_fujisaki: 今のはかわいそう
[847.454] うんこまらかす: ラシード 
[855.855] (S)イエール: じゅんぺーきちゃ
[864.005] pondenring0930: おびさん
[864.672] 吉田じんぎ: 攻撃に持続が途切れ途切れだから無敵切れた時に持続なくて負けるのが多い
[885.639] ジャンクばっち: おびさんや
[887.799] librabird: これでもレジェンドじゃないって今レジェンド２０００くらいなのか？
[901.842] sigano3123: おじ対決
[933.887] teruharu_: こんにちは～
