[28.937] asakura3dayo: はい
[29.092] (S)かみさま_: おはよう御座います！
[29.934] Jeakfreet: こんにちは
[31.132] もきち555: やっほー
[37.519] (S)vaio_95: umeYung
[37.661] crazydangomusi: こんにちは
[37.762] (S)軽く捻るか: こんにちは！
[41.114] (S)a_isana: こんにちは！
[43.765] matumatu777: こんにちはー
[44.592] えび猫: こんにちは
[48.089] とも8はる: こんにちは♪
[48.292] (S)tamamichune: 今日も配信ありがとうございます。よろしくお願いします
[54.355] (S)GAIGAN1192: こんうめ
[59.919] 風水ライダー: こんにちわ
[73.796] teruharu_: こんにちは 
[78.875] (S)ymd1222: 今日ミンサガ?
[86.457] gorogorogorn: サルーインうおおおお
[88.323] haicro_zm: こんちは
[92.984] une3333: こんにちはー
[99.198] ryuken_future: ウメちゃんみなさんこんにちは〜
[103.415] (S)軽く捻るか: はーい
[104.870] (S)vaio_95: haitaniOu2
[118.445] 風水ライダー: 人いなかったらザンギw
[120.886] ドリブラ: ウメちゃんの配信が毎日の楽しみ
[122.798] maddy2623: bday100 ウメちゃんおはようございます
[127.017] bec118_japan: すももんのコーチングはあれで終わり？？
[129.423] ryuken_future: ザンギになりそう
[134.434] (S)ponponguripon: こんちわー
[137.534] (M)gameinntwitch: おはようございます。カメラも大丈夫そうですな
[141.678] (S)vaio_95: 年末までには髪きれそう？
[158.055] (S)かみさま_: 今日気温寒いですね！！！
[160.428] 超ゲジゲジ: 男前になっちゃうよ
[176.950] une3333: 底冷えするというか、足もとが冷たいですわ...
[177.723] (S)vaio_95: 初手その差し返しはしびれちゃうよ
[185.713] uomii_i: おはよう
[199.748] (S)ponponguripon: ぴんくのだるしむ
[205.832] 風水ライダー: 伸びる手を殴ったw
[214.266] うすおっと: インフルになってしまったので、慰めてください
[216.587] (S)箸くれ: 長めもいいけど屋内でニット帽は見慣れないｗ
[243.690] chahaaaaan: 昨日の話、ダンゴさん頭良いからワザと面白くないこと言ってるように深読みしてしまうんですけど、流石にそれはないですよね？
[255.786] (S)箸くれ: ほほえみ
[257.139] Jam10505: この組み合わせ終わっとる・・・
[266.307] (S)sai927: ｗ
[269.801] chahaaaaan: www
[273.902] latenight000: 「違います」
[276.834] teruharu_: umeYay
[281.401] (S)vaio_95: umeFail
[284.214] tabibitox: 即否定
[285.326] latenight000: 全力 全力
[312.936] (S)ponponguripon: ﾖｶﾞｧ
[315.100] (S)4きね8: こんにちは
[316.304] balthazar000: ユーモアを犠牲にして得た力
[337.761] une3333: 昨日の闇話題は結局どういう企画だったんですか？ｗ
[343.039] (S)昼さん: こんにちわ!
[344.484] (S)箸くれ: ウメちゃんやっぱSFLの間回してた？ランクだいぶ上がってる気がするｗ
[376.870] (S)昼さん: 闇話題すごくすき
[388.385] bec118_japan: うめちゃんのあの心情は「自分にとって自然な選択、つまり自分の在り方の延長を選ぶ心」です。つまり、軽い意味での保守主義だと思います。
[395.262] (S)sugi_tree3: 第二回闇話題はありますか？
[410.490] sakubou398: 闇鍋見てないから見てこよう。
[415.117] maya_g01: ウメちゃんこんちはー
[415.970] 風水ライダー: 闇話題？
[423.532] ryuken_future: 闇話題前に裏でウメちゃんランクマ回してたよ
[426.469] balthazar000: 面倒臭い事例を集めれば、ちゃんと命名出来そうな気がする。
[438.224] latenight000: 保守派ぁ！
[438.726] Jeakfreet: ｗｗｗ
[446.174] (S)ponponguripon: そうなのぉ
[446.760] super_fluo: 闇話題メンバー変えてまた見たいっす
