[10.435] takastoz: ウメちゃん、こんにちは～
[18.955] jagajaga1943: こんにちは
[20.241] cheapendroll: hi
[22.114] blackcoffee0821: なんやなんや
[29.178] まめっ子: おお
[32.499] kumanobed: こんにちは
[32.606] maya_g01: ウメちゃんこんちはー
[32.715] とも8はる: こんにちは〜
[35.116] (S)a_isana: こんにちはー
[36.299] gorogor0oo0: メグとばけもの！？
[36.908] mako6912: こんにちはー
[37.370] (S)sai927: あなた、このゲームは泣くわよ
[38.247] (S)potesaraudon: 気になってたゲームだ
[39.896] v_harumi_v: ウメちゃん、こんにちはー！
[40.571] pakarantos24: え！！！うめちゃん！やるの？
[40.766] cozy312: これ面白いの?
[41.327] koudou3: いいゲーム選んでんねぇ！
[41.737] フﾄ: きたー！！
[42.809] takuuuuuuu0722: おはようウメさん
[43.210] NEMURUAKA: 良いゲームをされますね
[43.759] jagajaga1943: なんでこのゲームやることに？
[44.185] (S)イエール: ウメちゃんこんちゃよー
[45.729] koeda_78: なぜ、このゲームを??
[46.421] まめっ子: これガチで泣く
[46.836] nijiojisan: umeCossack
[47.360] Jasminexxx2525: ウメさんこんにちはー！ウメさんがメグとばけもの！？
[50.678] v_harumi_v: メグとばけもの！楽しみ
[53.040] (S)軽く捻るか: こんにちは
[53.178] (S)ジャンじゃん: うめちゃんこんにちは
[53.652] maya_g01: いよいよやるのね
[54.772] ぷっち: メグとビースト！？
[58.026] 虎鉄_: 神ゲー！
[59.320] おどる: 謎ゲー
[60.749] nikkorogasi: こんちゃー
[62.925] sphere0315: これなんですか？
[64.013] (S)sai927: ウメ、ついに泣く
[64.218] greentea0329: 音楽ヨシ！
[64.754] 鷹爪三角脚: なんかおもしろそう
[65.618] kurage_jpn: おい神ゲーじゃないか！！
[68.577] matsu_zalem: ドット
[71.484] ~MISSING_COMMENTER_INFO~: 泣きますよ
[72.430] (S)ましゅダヨ: うめちゃんー！おはようー！
[75.864] しょんぼりす: メグとビーストｗｗ
[76.106] なっしー0812: 個人制作のゲームてすか？
[78.146] 猫神寝猫: こういうの遊ぶ余裕があるのもそれはそれで良いね！
[82.211] (S)watty_69: これガチ泣きした
[83.645] batako1500: いいゲームチョイス！
[84.845] (S)ましゅダヨ: やったーこれ楽しみだった
[85.263] (S)vaio_95: umeCossack
[85.469] johndoe6523rp: 買ってたやつだ
[85.478] mako6912: 神ゲーなんだこれ
[85.568] まめっ子: bgmがいい
[89.016] tsubame5204: umeSalute
[90.406] まるまり_: メグとビーストｗ
[93.032] ポンポン: ウメちゃんそれ神ゲーだぞ
[95.236] falcanon: 泣きゲーやるんか
[100.618] (S)vaio_95: カワノ強かったねえ
[104.276] homu0117: メグとウメハラ
[104.487] sphere0315: ビースト草
[105.313] なっしー0812: ピアノいいなー
[107.766] hal0087: 音でけぇｗ
[109.019] 虎鉄_: batoraTiamo
[110.835] パパウパウ: ビースト草
[112.379] 雀魂救猫: ﾔｰｿｰﾗﾚｲｰﾔｰ
[116.319] v_harumi_v: ノーブル？
[121.263] latenight000: イスごめーーーーーん！
[122.584] anz121823: umeSmoosh
[123.808] ポンポン: ノーブルはまずい
[124.259] (S)vaio_95: umeNoble
[124.287] danny_love_danny: あっ
[125.063] (S)sai927: ノーブルつっても
[127.125] koudou3: カテドラル？
[128.880] フﾄ: umeNoble
[130.957] (S)ogawa3: もうこの曲だけでうるうるくる
[131.858] latenight000: ノーブル「忘れたか？後輩の名前を」
[132.450] v_harumi_v: めちゃいいね曲
[132.622] tsubame5204: umeNoble
[133.201] higan1983: Noble
[133.563] sphere0315: すわり心地よい？
[133.649] とも8はる: ノーブルってあの！？
[133.660] maya_g01: すでに曲がめちゃいい
[136.113] まめっ子: いいよ
[137.159] (S)nitro_7171: うめちゃんこんにちは～
[139.303] mako6912: umeNoble
[139.377] Jasminexxx2525: 曲めっちゃいい
[139.483] redpeppar510: ノブちゃん？
[141.888] (S)hoshi_boshi_0: 既に良い
[144.351] matsu_zalem: 総師範には響かない
[144.402] しょんぼりす: もう泣ける
[148.879] zyagakintv: 音読しないんですか？
[152.642] かげでん: MOTHERライクゲーか
[157.681] パパウパウ: 画面はこのサイズのままやるんですか？
[158.331] フﾄ: ゲーム音少しだけ大きい？
[158.464] 憂う者の弟子: yo！Daigo San
[160.119] なっしー0812: 1ミリだけ音さげてほしい！
[160.306] メタルぱんだ: ！？
[171.898] tarako7016: これは神配信の予感
[172.588] takeuma2525: ウメちゃんって泣くの？
[177.975] (S)vaio_95: alt + enterでできない？
[180.691] v_harumi_v: ALT+エンターで画面大きくならないのかな？
[180.693] higan1983: ドイツの高級ゲーミングチェアノーブル
[183.164] tabibitox: 前に読んで喉やられたから
[185.684] koudou3: ウメ泣き、あります
[188.047] homu0117: alt+enterでどうだろう
[188.623] ポンポン: ウメちゃん😢
[191.863] (S)あぱれる君: umeFail
[194.403] メタルぱんだ: Beastが、ばけものを！？
[198.909] ledlight9413: 泣かないウメちゃんを見て泣く
[207.517] v_harumi_v: 音良い感じ
[209.965] maya_g01: ありがとー
[213.005] une3333: こんにちはーcptお疲れさまでしたー
[213.279] white_mantis: ウメちゃん泣かなそう
[218.906] homu0117: やったぜ
[219.086] une3333: すでに曲がイイ...
[219.165] v_harumi_v: でけた！
[220.000] たくあんどす: お、神ゲーやってるねぇ 
[220.124] tarako7016: 最近の風邪喉に来るよね
[220.992] 鷹爪三角脚: おお～でかくなった！
[222.008] (S)vaio_95: よかった
[222.176] johndoe6523rp: 音ok
[222.455] メタルぱんだ: ｗ
[225.908] pondenring0930: グラがマザーっぽいな
[229.582] しすてむえらー: ナイス
[233.180] samalunch: ウメちゃんこれやるのかｗｗｗｗ
[234.667] potocki1810: ツイッター20万パワーおめです！ツイッチももうすぐ40万ですねー 
[237.933] ilm0806: ナイハル
[239.286] (S)sai927: えもぐらふぃっく
[239.526] なっしー0812: ここ20年前の研究所らしい
[241.036] 箸くれ: おはようございます
[241.490] zyagakintv: これってホラゲーですか？
[243.984] aru_0928: LCQまでは多少ゆっくり出来るのかな？
[247.591] (S)ジャンじゃん: 音楽でもう泣けるんだけど
[254.848] 憂う者の弟子: 一体何がはじまるんです！？
[255.842] latenight000: しっとりした曲やな
[256.534] 箸くれ: ご機嫌？
[258.182] (S)yoyo_443: メグとビーストうおおおおお
[261.182] batako1500: シュート号泣してたよ
[261.911] une3333: 曲がいいなぁ
[263.473] ~MISSING_COMMENTER_INFO~: このゲームはFF10より泣きます
[267.874] vungo_mr: Daigoつながりのメグとばけもの
[267.926] blackcoffee0821: 有名なんだ
[273.079] ~MISSING_COMMENTER_INFO~: まじで泣ける
[276.954] なっしー0812: 個人のゲーム？
[278.609] matsu_zalem: 文字出るときに音出るのなんか懐かしい
[278.631] latenight000: メグとDaigo the Beast
[279.434] たくあんどす: unkochanSmile
[281.256] まめっ子: これボロボロ泣いた
[287.736] pondenring0930: エンディングまで、泣くんじゃない。
[289.477] revivingeem: 板ザンの涙、ときどの涙、ウメハラの涙
[290.352] なっしー0812: ら
[291.792] vungo_mr: 音楽よすぎ
[295.360] (S)あぱれる君: もう泣いてる
[296.589] 3_dots: あ、このゲーム最近セールで買いました！
[298.850] (S)イエール: アドバイス、匂わせ禁止で頼むで......。
[303.350] sphere0315: 台詞の音でかくね
[304.580] なっしー0812: セールなんだ！
[304.781] coyot3z012345: まじ泣けるやつや
[306.193] CARNO_JPN: この黄色いキャラがガイル？
[314.008] おざなり: 生まれてこのかた泣いたことがないという梅原さんがまさかね
[315.450] (S)HinaConoKiyo: まさかのタイトルや
[328.987] 鷹爪三角脚: 宇宙ゴミ？
[331.375] パパウパウ: ああ、もう泣ける
[335.249] tabibitox: コメの泣けるアピールは逆効果やで
[336.268] latenight000: 泣ける泣ける書かれている時点で匂わせ禁止も無理そうだがww
[337.956] Jasminexxx2525: アド禁匂わせ禁って書かなくても大丈夫ですか？
[338.898] なっしー0812: ゴミ
[339.050] johndoe6523rp: デブリとは
[339.186] (S)HinaConoKiyo: スーパー定番すぎて俺は泣けなかった
[339.318] ledlight9413: ウメちゃん「へー」で終わりそう
[341.297] れの__: 宇宙ママ
[343.929] ilm0806: デブリは宇宙のごみやね
[346.658] sahaha213: 詰んだ？
[346.826] une3333: ｶﾁｶﾁｶﾁｶﾁ
[353.340] triskeal: ダイゴとビースト始まってた
[359.364] (S)uma_disband_bass: こんちわー
[360.723] blackcoffee0821: 詰み
[362.168] obi_or_ovi: これ詰みです
[362.653] (S)sai927: 詰んだ
[364.189] なっしー0812: w
[366.057] 3_dots: w
[368.647] パパウパウ: ww
[369.017] ledlight9413: クリア
[370.010] 鷹爪三角脚: ｗｗｗ
[370.743] 憂う者の弟子: つんだあああああああああ
[370.955] johndoe6523rp: 宇宙ゴミか。ありがとうございます
[371.305] nyata1234: え
[371.729] おざなり: いいゲームだった
[371.871] ルイんぼ: しらみつぶし
[374.028] (S)HinaConoKiyo: リーサルです
[374.721] sphere0315: 完
[376.748] まるまり_: おめでとーーーー
[376.873] sakryan: GG
[377.059] ilm0806: DQ1の王様の部屋から出られない系？？？
[377.261] ~MISSING_COMMENTER_INFO~: 泣いた
[378.376] (S)イエール: ww
[386.993] (S)あぱれる君: umeYay
[417.899] tsubame5204: umeLaugh
[419.225] ilm0806: 本当に届いて、食べたのか
[428.531] moyashi0007: もうやばい
[431.460] sahaha213: こっわ
[432.219] (S)sai927: こわ
[438.263] あさご: umeYay
[451.310] (S)イエール: umeYay
[460.857] 黑暗骑士盖亚: muraka8Guaaaaaa
[462.120] leaf1341: 大好きなゲームをやってくれるのうれしい
[465.310] (S)ジャンじゃん: umeYay
[472.287] 雀魂救猫: がっつりバケモンじゃん
[474.636] matsumo2: matsumo2 subscribed with Prime. They've subscribed for 40 months, currently on a 3 month streak! 
[482.736] 残り8万: これ地味に評価高いゲームやん
[488.719] (S)イエール: 右手にサイコガンみたいなの付いてる
[500.150] leaf1341: ドット絵だからね
[503.576] une3333: モンスターズインク感もある
[506.409] Jasminexxx2525: アンテと似てますよね
[510.813] (S)イエール: サリー感
[510.920] vilkeisuke: もう泣いちゃう
[512.775] cooper0201: 大会の振り返り雑談ってする予定ありますかー？？！
[513.308] moyashi0007: umeLuke
[513.489] (S)vaio_95: ロイ
[513.582] 箸くれ: 横顔がキャミィに見える
[514.800] 憂う者の弟子: 食おう
[522.093] latenight000: いただきまーす
[522.852] v_harumi_v: 右手がカニさん
[528.934] une3333: こわ
[533.874] (S)vaio_95: haitaniKotani2
[536.678] Jasminexxx2525: モンスターと幼女は確かにモンスターズインクと似てる
[538.534] (S)イエール: サイコガンかと思ったらカニだったw
[538.886] tarako7016: キャミィの幼少期
[540.782] 3_dots: なに！？
[541.121] kappa3969: 神げーやってますね
[544.327] (S)ジャンじゃん: なんだ
[546.456] 猫神寝猫: マザーライクがアンテライクと言われていくのもまた感慨深い
[559.924] CARNO_JPN: このゲームのクリア時間はどのくらい？
[563.664] magoichi_s: 神ゲーやってますね
[574.757] une3333: すごい顔ｗｗ
[575.635] (S)sai927: ヤンス
[575.888] (S)vaio_95: こっわ
[577.427] Jasminexxx2525: このゲーム、もるにぃもやってたなぁ
[578.854] v_harumi_v: やんす、かわいい
[579.592] まめっ子: やんす
[580.227] johndoe6523rp: なんだなんだ
[581.060] sndkzfm1: やんす
[581.638] (S)ジャンじゃん: やんすｗ
[585.836] higan1983: チョイ・ボンゲ
[594.047] v_harumi_v: かおいいなーｗ
[594.349] (S)sai927: 99999
[596.720] (S)イエール: 敵がかわいい
[597.223] une3333: つよっ
[597.533] tominaga0331: 仲間じゃねぇのか
[598.335] (S)ジャンじゃん: HPたっかｗ
[598.466] homu0117: 泣くとヤバいことになるのもモンスターズ・インクだな
[599.829] pondenring0930: カンスト
[600.028] tarako7016: つよ
[600.220] leaf1341: クリア時間全部で５時間ぐらいかな
[600.376] おざなり: 戦うんだｗ
[600.431] sakryan: つっよｗ
[601.299] 箸くれ: ｗｗｗ
[601.823] フﾄ: やんす顔だ
[607.189] (S)yoyo_443: つよい
[608.668] CARNO_JPN: まさかのRPGゲーム
[614.331] nameless_774: パパス
[615.451] sndkzfm1: 手がカニ
[615.569] tarako7016: 最強じゃん
[617.628] 箸くれ: や、やんすー！！！
[619.372] (S)sai927: やんすぅ
[619.704] sphere0315: RPGだったんかい
[620.172] v_harumi_v: やんす顔ｗ
[620.785] 憂う者の弟子: そんな攻撃はきかーん
[624.469] (S)イエール: 矢部くん
[624.715] 雀魂救猫: 今何かしたか？
[625.627] (S)vaio_95: アイイイイイイイイイ
[630.169] Jasminexxx2525: やんす！
[651.315] sahaha213: 鋭い
[658.097] (S)ジャンじゃん: いきなり魔界
[662.315] 3_dots: 大変なことに？
[662.616] 箸くれ: ドット絵かわいい
[680.840] megmilkman: 泣きゲーやってるのレア過ぎるw
[680.955] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[701.475] (S)ﾙﾌ: おお、メグとばけものだ
[709.153] sahaha213: ゴジラ？
[713.391] m1s4m0: ネセスってもうやらないかんじ？
[715.226] ぱやん: うるさいです
[746.385] ぱやん: 今の無し
[753.720] m1s4m0: ありがと
[773.395] あさつき教: KSKは今頃パチスロしてるしな
[777.738] isekai7153: 王自ら溶岩埋めを仕込むとはえらい
[779.256] m1s4m0: まーた一人ですすめちゃったのかw
[783.919] starjunn_: hi
[783.958] blackcoffee0821: カフェ氏もがんばってる
[784.542] 箸くれ: おまえなんていうの？に見えた
[802.787] 新ころりん: マザー風のドット絵か
[820.274] raurakd: あ
[827.643] (S)potesaraudon: 泣かせちゃった
[845.434] (S)sai927: ｗ
[850.821] maya_g01: ｗｗ
[887.008] なっしー0812: なぜ人間が魔界に
[899.748] (S)potesaraudon: たしかに
[906.511] サルクモ: ウメちゃん文字読むの早くない？
[918.760] v_harumi_v: 諸説あり
[926.864] (S)sai927: ヤンス
[930.468] potocki1810: ゲーマーならでは
[931.647] (S)vaio_95: 俺たちで慣れてるから・・・
[932.560] saibabasan: 普通かな
[933.852] blackcoffee0821: お好きに
[938.793] 憂う者の弟子: もっと早く！ハリーハリー
[940.954] pondenring0930: イッヒッヒ
[940.975] sakryan: ちょうどいい
[943.578] (S)potesaraudon: タールってことはタバコみたいなやつなのかな
[944.940] (S)ﾙﾌ: ご自身のペースで良いでヤンス
[946.694] なっしー0812: ゲーム好きなら
[948.323] tarako7016: ちょうどいい
[949.606] Martinztwitch: Mau Mr. daigo joins capcom cup, 😊
[951.446] blackcoffee0821: はやかったわ
[952.888] raurakd: はええw
[953.358] (S)ジャンじゃん: ちょいはやいかも
[957.424] (S)イエール: umeYay
[982.075] zyangara2: 集中してたら読めるけど片手間だとあんまちゃんと読めないや、気にしないで良いけど
[990.175] likemotilike: 気持ちはやい
[990.987] potocki1810: ぐー
[997.472] (S)ﾙﾌ: ごんたさんのような頼もしい背中
[997.996] homu0117: ちゃんと後ろにいるのいいな
[998.297] hirokiaaa: ウメちゃん音読して
[1002.768] blackcoffee0821: :D
[1003.418] sakryan: ＾v＾
[1003.859] v_harumi_v: やんすいいなあ
[1013.198] raurakd: ロイの無敵のルーツを探れ
[1014.740] 新ころりん: マザーというよりアンダーテイルでポケモン風なのか
[1018.540] v_harumi_v: こころ
[1018.961] (S)potesaraudon: 99999w
[1020.255] pondenring0930: 心
[1022.546] nekodogneko: 心が折れる
[1022.766] Jasminexxx2525: 心にダメージ
[1023.661] (S)yoyo_443: 優しい子だ
[1024.481] (S)イエール: やんす君めっちゃ幸せそうな顔しとる
[1026.345] feel2525: おもろい
[1027.532] 宮藤ｨｨｨ: rtaThink
[1029.416] (S)ジャンじゃん: 心めちゃ弱いやん
[1029.627] balthazar000: 急に新しいゲームを
[1031.517] (S)すれいまん: お、ポケモンか？
[1031.526] (S)watty_69: 後ろに可愛い子ぃすね
[1032.712] bunbun0880: BGM良いね
[1036.398] irukano: 実質子供の方がHPか
[1039.984] 憂う者の弟子: 勝てんぜ お前はよ
[1042.676] けーびいん: 曲いいよねぇ
[1048.721] クラウド9: 曲よすぎぃ
[1049.607] (S)sai927: ｼﾞｪｲｿﾝ
[1049.863] (S)hoshi_boshi_0: わかるう
[1051.271] mc_cat_and_dj_dog: 曲いいね
[1052.912] pirosue_: 曲良いよなぁ
[1053.169] tarako7016: いいねー
[1053.700] (S)イエール: ピアノで終始リードしていく感じ良き
[1055.916] une3333: いい曲
[1058.038] feel2525: これはハマる
[1058.701] potocki1810: よくできてる
[1061.199] 宮藤ｨｨｨ: 化け物じゃんねぇ～
[1062.859] nekodogneko: 体力の割に他の数字控えめだな
[1062.883] Jasminexxx2525: サントラ出てなかったっけ？
[1065.451] 箸くれ: ニコ生時代のボカロっぽさある
[1068.226] あさつき教: グロ耐性がついてくる
[1071.160] vungo_mr: かわいい
[1071.632] pondenring0930: ロイのHPはおまけみたいなもんか
[1076.591] (S)イエール: サントラSpotifyあるかなぁ
[1076.633] sakryan: > <
[1081.033] (S)ogawa3: KSKさんは無音でやりそう
[1091.455] 新ころりん: モンスターズ・インクも多少はいってるか？
[1097.961] (S)イエール: サリーに似てるよね
[1131.567] (S)sai927: ひっく
[1132.530] (M)gameinntwitch: おはようございます。音きけてないけど大丈夫そうですかね。
[1137.008] 新ころりん: マザーシリーズ・アンダーテイル・ポケモン・モンスターズ・インク こんな感じかインスパイア元は
[1138.160] 憂う者の弟子: 四天王か！？
[1142.523] lotlydesuyo: 二週目だともう泣ける
[1142.563] une3333: 四天王みたいなのおる
[1146.580] dyechi: BGMウッドベースがいいね
[1148.599] blackcoffee0821: ok
[1150.497] tarako7016: ふむ
[1150.718] (S)イエール: メンおじおつおつ
[1162.505] Jasminexxx2525: メンおじ様ありがとうございます！今のところ問題なしです
[1162.629] v_harumi_v: メンおじさま、お疲れ様です。大丈夫ですー
[1169.194] ななな7: 神ゲーやってるわ
[1184.314] CARNO_JPN: いつか推理ゲームとかもしてほしいな〜
[1185.779] fbhjkl: LUL
[1187.234] (S)sai927: 雰囲気重視
[1188.504] tarako7016: JAZZっぽい
[1190.542] なっしー0812: 勝手に明かりつけたw
[1192.087] pondenring0930: 雰囲気重視
[1194.738] leaf1341: 雰囲気大事
[1202.557] dyechi: エヴァのアレみたい
[1212.858] ryuken_future: ウメちゃんみなさんこんにちは～
[1214.413] une3333: 寝てた？ｗ
[1233.955] pondenring0930: 寝てた？
[1240.451] 80808527: アンテっぽいな
[1243.680] (S)yoyo_443: 一丁締めて
[1246.717] johndoe6523rp: じじい大物感あるな
[1248.734] une3333: なんか既に平和な組織臭がすごいｗ
[1268.202] (S)ogawa3: そうです
[1273.016] (S)carisma_momip: タイトルでサメ映画のアレかと思った
[1273.146] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1285.462] (S)すれいまん: トテモ ヘイワナ セカイデスヨ
[1285.621] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1287.480] (S)イエール: Megはクソデカサメw
[1292.737] tarako7016: エンディングは道中の行動で変わったりはしない感じかな？
[1315.121] balthazar000: ウメとビースト
[1321.951] leaf1341: かわいい
[1324.088] (S)sai927: ｗ
[1325.566] (S)イエール: かわゆい
[1332.098] ~MISSING_COMMENTER_INFO~: daigo and monster ?
[1343.719] 憂う者の弟子: ヤンのかこらあああああああ
[1345.774] 箸くれ: ウメちゃんがほっこりしてる
[1348.423] kurage_jpn: ご機嫌取りw
[1350.309] pondenring0930: お、強そうな弱そう奴
[1353.438] isekai7153: サガット
[1355.785] (S)イエール: スカマッカ
[1357.602] (S)sai927: うわ
[1362.032] dyechi: ザンギのSA3ポーズ
[1369.108] vungo_mr: やってやるぞというポーズ
[1369.271] une3333: かわいいｗｗｗ
[1371.075] v_harumi_v: ポーズ面白い
[1372.090] (S)sai927: ｗｗｗｗｗ
[1372.646] 3_dots: ww
[1372.848] une3333: めっちゃかわいいｗ
[1373.425] latenight000: 奇しくも同じ構えだ・・・
[1374.464] 箸くれ: あやしてるの草
[1375.893] itotaiyaki: かわいいwwwwwww
[1377.590] pondenring0930: うわーん僕のあさり場だぞぉお
[1381.626] まるいとうふ: 回復可愛すぎでしょw
[1396.223] (S)potesaraudon: 戦闘中にあやしてるの可愛い
[1400.654] tarako7016: 戦闘中に子供あやしてるのかw
[1404.465] (S)vaio_95: シューッ
[1406.708] pondenring0930: しゅーと
[1407.720] ﾓﾆｭﾓﾆｭ: 超エキサイティン！
[1408.566] (S)すれいまん: ロケットパンチより強いボールってなんだよ
[1408.848] (S)yoyo_443: 超！エキサイティンッ！
[1409.104] une3333: ボールを相手のゴールにシュゥーーッ！
[1410.677] kusogekun: UNDERTALEみたいなゲームすか
[1413.440] (S)sai927: ﾊﾞﾄﾙﾄﾞｰﾑ
[1417.844] dyechi: 斧はねぇか
[1425.877] sei_6: いい曲
[1429.729] (S)イエール: チュートリアル優しい
[1433.475] niboshidaiashi: 釘バットこええ
[1434.147] ﾓﾆｭﾓﾆｭ: 斧拾ったらクリアです
[1434.700] maya_g01: おもろいシステムだね
[1441.205] c0ffee_sugar1: 釘バットはやばいでしょ
[1442.672] leaf1341: そういうこと
[1444.801] (S)すれいまん: そうです
[1451.880] v_harumi_v: おおお
[1451.889] une3333: おー
[1454.965] leaf1341: 缶詰なら大丈夫
[1457.043] akichaa2: ナイス判断
[1457.276] pondenring0930: こころが回復
[1458.925] 3_dots: 戦闘中に「漁ってくる！」はカワイイ
[1460.112] sakryan: あさるガチャ
[1460.418] homu0117: 野球場か
[1461.910] 憂う者の弟子: つばさくん！
[1462.944] なっしー0812: 守ることは難しい
[1465.821] (S)イエール: アイイイイ
[1468.155] daylami1994: バトルドーム
[1468.794] にくピンク: 詰将棋っぽいのか？
[1470.909] Maloneal: 神ゲーやってる
[1472.900] une3333: 案外素直ｗ
[1473.036] 宮藤ｨｨｨ: rtaCry
[1473.494] v_harumi_v: 権利書ｗ
[1475.218] leaf1341: 権利書あるんかい！
[1475.586] maya_g01: 権利書ｗｗ
[1477.255] (S)イエール: 権利書......。ヤクザやんけw
[1478.971] nekodogneko: 権利書強奪
[1480.350] れく太: ちゃんとした権利者で草
[1482.859] kurage_jpn: ちゃんとそいつの場所www
[1485.511] (S)potesaraudon: 法があるのか
[1485.701] (S)すれいまん: 不法侵入者でした
[1486.216] (S)yoyo_443: こっちが悪者みたいじゃｎ
[1486.444] まるいとうふ: かわいそう
[1491.478] hitorinoyoruu: かわいそうｗ
[1499.943] v_harumi_v: ｗ
[1501.299] (S)sai927: ぐったり
[1510.024] sakryan: いいやつだった
[1515.125] friendbakery: 法的にね
[1519.320] tarako7016: 権利書奪っちゃうのかw
[1526.883] (S)hoshi_boshi_0: パワーゴリ押し
[1530.967] isekai7153: ちょっとだけだぞ
[1538.223] toaluH2O: 権利書がある世界観なの面白い
[1547.533] kawasak1n: 王、こんちわー 
[1559.672] 80808527: BGMいいな
[1567.080] pondenring0930: 会議の人
[1570.685] (S)sai927: いかにも偉そうな
[1582.732] dyechi: もれなくパワー系な名前
[1583.263] v_harumi_v: ひぃ！ｗ
[1583.748] une3333: あぶねえｗ
[1584.230] (S)イエール: ひぇ
[1586.094] niboshidaiashi: asgoreみたいなやつ
[1586.096] leaf1341: いいやつ
[1591.921] v_harumi_v: いいやつ
[1594.178] leaf1341: めっちゃいいやつ
[1594.425] isekai7153: ｗｗ
[1596.974] une3333: いい人だぁ
[1598.794] kawasak1n: やさーしー
[1600.524] (S)yoyo_443: いいやつだった
[1600.954] (S)potesaraudon: やさしい世界
[1602.808] (S)イエール: うむうむ
[1604.453] feel2525: うむ
[1604.742] une3333: まーかわいい
[1606.947] pondenring0930: 魔界平和だな
[1614.216] tarako7016: いい奴すぎw
[1615.754] (S)イエール: umeCossack
[1625.900] v_harumi_v: やさしい
[1630.949] leaf1341: ｗｗｗｗｗ
[1631.195] isekai7153: なんだこいつｗ
[1632.146] eddiedayon: ぱっぱ
[1632.944] une3333: いい人だ...
[1636.933] 新ころりん: 優しいｗ
[1640.618] (S)y_proto: なかなかいいゲームやってる
[1644.989] v_harumi_v: パパ力ある
[1645.133] leaf1341: なんか意味深な
[1652.638] (S)イエール: ボールゲットン
[1656.297] homu0117: 面白そうだからやってみようかな
[1658.305] tasukete: ストーリーに重要そうな一言が
[1661.319] dyechi: いい人アピールだけしに来たな
[1661.336] (S)すれいまん: ウメちゃんもビーストじゃなくてヒューマンだった時の記憶あるの？
[1672.128] tarako7016: これは記憶が
[1677.536] (S)イエール: umeYay
[1691.279] (S)sai927: え
[1692.906] kurage_jpn: ！？
[1693.926] v_harumi_v: 人っ💦
