[5.270] (S)RFKage: umeCossack
[9.126] v_harumi_v: おかえりなさーい
[19.850] maddy2623: ウメちゃんおはようございます
[25.773] (S)軽く捻るか: おかえりなさいませ
[29.595] prisira: ランクマおるんかね
[35.624] une3333: はいおかえりなさい
[40.786] tarako330: おかいも
[52.145] tabibitox: ザンギのSA2さんが・・・
[68.725] une3333: 「不具合」
[70.368] bec118_japan: www
[76.075] (S)yukikaze083: ｗｗｗ
[78.164] prisira: ザンギのsa2あのままでも誰も文句言わないような
[82.482] (S)yukikaze083: そうなんだよな＝
[91.270] yamapon_: 今日の20時からこくじんさん達と何するんですか？
[91.483] (S)ちぇんぷる: うめちゃこんにちは！
[99.997] quanghuynh: hi i'm your fan sir
[107.448] quanghuynh: i'm from vietnam
[123.857] prisira: 何をするかを話すんじゃ
[124.071] (S)ましゅダヨ: おかえりなさーい
[129.102] diego_ohunabara: umeYay
[129.943] bec118_japan: ベトナム
[131.153] tabibitox: べとなむ
[131.494] はるかぜ3263: ベトナム
[132.006] v_harumi_v: ベトナム？
[132.078] godiva_matsui: ベトナム
[132.559] (S)シャンウー: ベトナム
[132.838] yamapon_: ベトナム？
[135.138] (S)軽く捻るか: ベトナム
[137.631] quanghuynh: Viet Nam sir
[149.228] tarako330: ウメちゃんの配信終わった後の大衆の画像は何だい？
[150.885] johndoe6523rp: 20時に何かしらがあるのか。楽しみ〜
[151.015] とも8はる: せんきゅーせんきゅー
[157.427] loopy000401: ウメちゃんこんばんわベトナム
[163.099] akkerakan_: コメントする時はsir付けなさいって言った？
[166.354] (S)ちぇんぷる: 坂本さんと絡んだことあるの？？
[183.032] てべす1103: 蛇足さん幕末坂本さんは初めてか
[199.091] prisira: ハイタニの弟子たちの集まりやガイル村の集まりあるし今日見るもん多いわ今日
[199.236] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[204.998] balthazar000: へぇ
[205.680] yuten64: ストリートファイターが大好きだと思いますか、それともただの仕事だと思いますか?
[205.737] (S)ましゅダヨ: そーなんだ！
[208.201] tarako330: ガイル村あるんか
[216.608] (S)ちぇんぷる: 坂ちゃんもうめちゃんも好きだから楽しみだなあ
[216.819] johndoe6523rp: 幕末志士の坂本さん！？すご。
[222.238] balthazar000: 仕事じゃない？
[223.068] (S)ましゅダヨ: wwwwwww
[223.303] tarako330: ｗｗｗ
[227.279] (S)yukikaze083: ｗｗｗ
[230.630] une3333: ササモト？ｗ
[232.573] yuten64: Hello from America 
[234.464] loopy000401: まったくしらん
[236.119] v_harumi_v: 知らなかった。
[236.471] (S)ponponguripon: 今日も感謝の昇竜拳🙏
[239.762] tarako330: ニコニコの有名実況者でしたよ～
[240.998] matchforest: アラサーにはドストライクよ
[241.268] aiksama100: レジェンド
[246.937] Botamoti1: こくにぃもあんまり幕末志士とつながりなさそうなイメージだけどな
[247.685] chahaaaaan: 自作のゲームやる配信めちゃめちゃおもろいよ
[255.803] てべす1103: ニコニコのトップ実況者だったね
[260.348] Hikaru_256: 幕末志士 超なつかしいな
[268.838] maya_g01: 自分もお名前しか存じ上げないから楽しみ
[271.303] をかし: 坂本と西郷どん懐かしい
[272.824] johndoe6523rp: ゲーム実況界の古参レジェンド
[282.092] redpeppar510: ニコ生は暗黒放送しか知らんなぁ
[284.216] (S)moppu_gake: 4人なら雀卓囲まない？
[287.699] tarako330: 来るのは坂本さんだけ？相方は来ないのか
[292.631] ryuken_future: 西郷が脱退？してから見てないな
[298.089] (S)gularain: へー
[303.285] pepepe393: ウメちゃん現地のLCQは行くの？
[304.491] dcdryuya404: 元々2人っす
[308.792] 1108044k: ウメちゃん釈迦さんわからなかったレベルだもんなｗ
[311.411] (S)hoshi_boshi_0: ニコ動でゲーム実況と言ったらまずは幕末志士みたいな感じだった
[324.841] (S)あぱれる君: やつが来る、代表作です
[331.151] (S)まとご: 当時は有名ゲーセンの格ゲー動画といえばニコ動だったなー
[331.413] (S)ましゅダヨ: なんか懐かしい名前が聞こえる
[339.958] (S)misawa17r: misawa17r subscribed with Prime. They've subscribed for 2 months! 
[348.715] (S)moppu_gake: ウメちゃん色んな界隈のTOPと最近よく会う機会が多い
[351.267] (S)軽く捻るか: ウメさんもニコニコで有名でしたね
[358.442] warotyphoon: 対戦ゲームだと64スマブラが全国クラス
[363.326] oasis______: soryuken soryuken
[364.643] chahaaaaan: とにかくキャラが濃い
[367.270] prisira: そういやエンディングウォーカーがリュウでＣＣ取ったんだっけ？
[374.400] loopy000401: ニコ動見てたけど全然知らない界隈だな。ウナちゃんマンとか唯我とかカツヒコならギリわかる
[394.818] oasis______: tatsumaki senpu gyaku
[395.761] マンゴスチン: 15年くらい前にニコニコで見てた
[399.512] kc_tc0006: 幕末坂本さんスト6やるんですか？？格ゲー多分上手いですよ、スマブラが全国クラス
[400.506] ラリメモ: 今回コラボしてるスパイファミリーのPV見てたんだけど…野田さんの実況流石に笑ってしまったw
[401.452] まだだお: ザンギ 
[401.577] takahashiseigi: EndingWalkerは決勝でリュウ出して、WW優勝
[407.912] (S)cqc5555: 昨日のメグと化け物の作者と知り合いだったの？昔握手しただけ？
[416.140] chin_56_: 唯我ってスーツケースに入ってた人だっけ
[417.318] shiro_risu01: umeCatHope
[421.335] (S)bryan88bytes: グッドアフターヌーンウメちゃん
[422.085] てべす1103: ウメちゃんもケン村発足させて欲しいな
[429.077] wrath78i: you do that every day daigo san ?
[432.378] prisira: ケンは村じゃなくない？ｗ
[435.551] loopy000401: そうそうスーツケースで泳いでみたやってた人
[439.932] akkerakan_: 40代集めようって思った物好きは誰？
[441.465] tabibitox: 握手した写真をツイートしてたね
[448.181] tarako330: こくじゃない？
[457.191] (S)あぱれる君: dasokuAu
[458.440] (S)hoshi_boshi_0: 制作者さん同じdaigoなんだねw
[470.346] (S)gularain: へー
[471.542] (S)ましゅダヨ: へえー
[476.764] moviepassion: へー
[482.811] (S)yukikaze083: へー
[485.976] loopy000401: 氷河期世代
[486.552] てべす1103: ケン使いネットワークや
[492.849] balthazar000: こくがどう仕切るか
[493.796] zehFlowr: what is he doing
[504.642] (S)gularain: 坂本さん以外みんなケンかw
[506.280] tarako330: 何やるか決まってないなら、事前にゲームDLとかもできんのか
[508.343] (S)bryan88bytes: @zehflowr warming up
[508.767] kc_tc0006: 40歳になってもゲームで集まれるって幸せや
[511.319] (S)cqc5555: ジジイ達で健康番組やってほしい
[512.241] loopy000401: 氷河期なのにあったけぇ
[514.502] chahaaaaan: 蛇足さんて知り合いだったの？
[545.329] (S)ましゅダヨ: なんやかんや顔が広い
[546.547] (S)hoshi_boshi_0: 坂ちゃんもスト6やったら面白いのになー
[553.103] をかし: 蛇足さんって元々歌い手だっけ
[554.277] tarako330: ゆうて蛇足さんもうすぐ５０やけどなぁ
