[6.085] asakura3dayo: はい
[6.348] maddy2623: どうもです
[13.484] だいこん_: 遅刻回避
[15.129] v_harumi_v: おかえりなさーい
[23.051] tarantarantaran: umeOredayo
[23.226] 1988gd0818: こんばんはー
[25.767] v_harumi_v: 時間ぴったり
[33.602] (S)yukikaze083: おかえり～
[35.670] johndoe6523rp: 楽しみ〜
[37.287] (S)yuukida39: こんばんはー！
[37.866] (S)firefly860130: おかえりー
[38.586] (S)echizen2000: なにやらおもしろそうな集いが
[41.431] Loytory: ほい
[42.740] maya_g01: うおお
[44.474] Papapadad: こんばんは
[45.381] eremin_39: 闇鍋？
[49.280] (S)yukikaze083: なにやるんだろ～
[51.416] chichichichiro: 何やるんだろ実際
[53.144] nyata1234: なにこの魅力的な集いは
[53.855] v_harumi_v: いってらっしゃいませー
[55.080] nakanohito_22: ksk呼ばれてないってマ？
[55.309] えび猫: こんばんは
[58.489] teruharu_: わーい
[63.975] bec118_japan: wwww
[64.399] 何も知らないジョンスノウ: www
[65.058] maya_g01: ｗｗｗｗ
[65.391] momotora: 誰発案なんだろ
[65.706] だいこん_: LUL
[66.206] maruino351: ｗｗｗｗ
[66.842] (S)monpiipop: wwww
[69.879] v_harumi_v: 気楽でいいね
[69.910] 将門ゴルゴロ: ｗｗｗ
[70.242] (S)ponponguripon: おっさんの集い？
[71.068] (S)軽く捻るか: www
[72.031] (S)yuukida39: 40以上の集いとは？w
[74.867] ゆこゆこ630: ｺﾝﾊﾞﾝﾊｰ(´∀｀∩
[78.009] Loytory: 気が楽なら良かった
[80.595] (S)yukikaze083: 同年代って気楽にいけるよね～
[80.831] 80808527: おっさんたちの集いと聞いて
[83.077] (S)ryabegaming: うめちゃん こんばんは! 
[86.829] だいこん_: 老人会
[87.076] Jasminexxx2525: ウメさんこんばんは〜
[87.312] momoquu_: ある意味上澄み
[87.987] maddy2623: 20:00ぴったり
[88.763] johndoe6523rp: ウメハラ、こくじん、蛇足、幕末志士坂本
[94.825] とも8はる: こんばんは！！！
[100.196] v_harumi_v: ガチにい
[100.553] (S)dcdryuya404: 蛇足にぃ
[102.928] johndoe6523rp: 蛇足にぃ
[103.182] maruino351: 蛇足にぃ
[104.826] momoquu_: じい
[105.426] neon_d99: 草
[105.818] v_harumi_v: ｗ
[106.177] (S)monpiipop: たしかにw
[107.111] だいこん_: 蛇足にぃ
[107.874] mart_00_: ガチの蛇足にぃ
[108.510] maya_g01: ガチのにぃ～
[108.557] (S)artri4: ガチニィ
[109.036] Loytory: 蛇足にぃ
[109.131] tsubame5204: umeSalute
[109.892] 何も知らないジョンスノウ: www
[110.475] mako6912: 蛇足にぃ
[111.055] (S)yukikaze083: 蛇足にぃ～
[111.182] (S)日本語かな: ww
[112.193] 前立ー腺マスタ: ※リスナーも４０以上があつまっています
[113.974] (S)yuukida39: にぃw
[116.736] raurakd: ガチにぃw
[126.107] ゆこゆこ630: 蛇足さーん(*｣´□`)｣
[127.460] v_harumi_v: いまい
[129.663] だいこん_: おらんやろｗ
[129.984] maruino351: ｗｗｗｗｗ
