[13.348] aki_0122: こんちわ
[17.009] oasis______: hi daigo
[33.479] takastoz: こんにちは〜
[33.819] rfella_: Nephew
[35.800] (S)イエール: ウメちゃんこんちゃよ
[36.514] falcanon: こんにちは
[36.993] kaomoji3: うおおおおおおお
[37.859] (S)軽く捻るか: こんにちは！
[38.322] (S)あぱれる君: umeCossack
[38.659] (S)a_isana: こんにちは
[39.891] (S)hoshi_boshi_0: ウメちゃんこんにちはー
[41.014] sistersguitarreplica: こんちは
[52.544] (S)るーどるふ: こんちわ～ウメちゃん
[56.921] market_fujisaki: こんにちわー
[57.741] (S)あぱれる君: 開幕ねふゅー
[63.369] ラリメモ: こんちわ～
[65.312] 無心に: Daigoだねえ
[67.955] teruharu_: こんにちは！
[71.248] 泣き虫サクラ: やぁ
[74.866] (S)yukikaze083: こんにちは～
[83.568] potocki1810: umeCossack
[102.278] げとぅーすぐる: 神、おはよ
[112.343] とも8はる: こんにちはー
[112.379] 泣き虫サクラ: 誰と？
[113.681] 330314: トパチャリ何で辞退したの？
[120.094] (S)hoshi_boshi_0: あこれカスタム？
[121.577] market_fujisaki: おお
[124.833] johndoe6523rp: ネフュー
[125.104] 泣き虫サクラ: トパチャリは別件と重なったから
[127.462] (S)イエール: 定期）配信部屋変えたよ。トパチャリ別の予定で出場キャンセルだよ。だんご（D）は昨日帰ったよ。後ろの絵は不慮の事故で傾いてるよ。
[141.923] (S)イエール: これ定期で誰か貼ってもろて
[163.286] oasis______: nice
[167.606] もきち555: やっぷ
[169.863] (S)hoshi_boshi_0: ナイス
[171.886] market_fujisaki: 強い
[175.887] (S)野原しんのすけのぞうさん: umeYay
[184.604] HirocoT: おはよございます
[185.035] げとぅーすぐる: 🚨🚓🚨🚓🚨
[192.717] 蝉時雨: ネヒューやん
[202.648] 泣き虫サクラ: ねひう
[205.807] teruharu_: イエールにいありがとー
[253.602] げとぅーすぐる: レジェンドにチーターいるらしいね
[259.442] one596: ビーストカップ500チーム越えすんごいね
[284.181] 箸くれ: こんにちは！
[293.224] (S)hoshi_boshi_0: 1万人大会への布石が着々と
[310.438] 泣き虫サクラ: 1000チーム超えたらウメハラが投げキッスするらしい
[335.472] (S)イエール: マジか
[335.628] げとぅーすぐる: 10年後にはEVOと並ぶ大会になってるかもよ
[342.712] あかの: あかの subscribed with Prime. They've subscribed for 59 months! 
[349.814] マンゴスチン: さすネフュ
[358.517] aranami0: こんにちはー
[359.987] (S)いるかイルカ: いるかイルカ subscribed with Prime. 
[364.364] taroumaruh: あれ？ネフュー日本にいるんだ
[372.273] 蝉時雨: ビーストカップオフラインも見たかったりすふ
[391.468] (S)hoshi_boshi_0: ビーストカップオフラインは熱いなー
[391.491] (S)クロチル: こんにちはー
[402.920] 泣き虫サクラ: 何を喰おうとしてるんだｗ
[415.513] (S)イエール: あめかな？
[425.647] tyapa95: 風水使わないスタイル？
[426.840] ぶすにゃん: こんにちはー
[438.701] johndoe6523rp: 今こそ若手限定大会も見てみたい
[449.721] (S)イエール: ラーメンだったぁ！！
[450.189] aranami0: ！？
[450.646] ぶすにゃん: ゲームゲノムみましたー
[451.887] げとぅーすぐる: ラーメン
[451.951] ~MISSING_COMMENTER_INFO~: ｽﾞｿﾞｿﾞ
[452.939] (S)あぱれる君: PikaRamen
[455.373] oasis______: Kreygasm
[456.450] taroumaruh: 早食い！？
[456.975] jankboxtt: 隠さないで
[457.466] 箸くれ: 合間に…ｗ
[457.997] (S)hoshi_boshi_0: まさかの麺！！
[458.854] 蝉時雨: コスパ良いレバーレス見つけたから勢いでレバーレスデビューする事になっちった
[462.519] sistersguitarreplica: どん兵衛と予想
[464.889] もきち555: 食いながらゲームして～
[468.066] aranami0: 伸びちまうよ
[469.539] 蝉時雨: 合間に食ってんのかよ
[469.621] teruharu_: めんめん
[471.259] (S)a_isana: PikaRamen
[478.010] 超ゲジゲジ: 何すすりで無くなるんやろ
[478.497] 泣き虫サクラ: すする音だけで特定したらマジで凄い
[480.109] 無心に: 闘う、食う
[492.656] (S)イエール: 実質範馬勇次郎やな（？？）
[497.366] 蝉時雨: 配信部屋変わったら背景がグリーンバックみたいになってるやん
[499.212] Umipuzzle: 格飯
[500.160] taroumaruh: 食う間も惜しんでの対戦
[524.600] aranami0: ラウンド間にもｗ
[528.862] sistersguitarreplica: 今飲んだ?
[530.938] artri4: 嚙んでない！？！？
[537.821] もきち555: 試合中に食い終わっちまう
[542.476] (S)イエール: 王だからね。噛まない。
[547.584] taroumaruh: 押切先生の絵がいい味でてる
[551.179] tabibitox: ラウンド間にｗ
[553.813] 蝉時雨: ネフューの体力より先にラーメンがなくなる
[555.321] もきち555: コンボ中は食べないのかな？
[560.868] sindou_ume: こんにちはー！
[560.915] 無心に: 迅雷の間に食えるよね
[576.479] ara5588: ウメちゃん配信する部屋変えたの？
[579.463] 泣き虫サクラ: 試合中にラーメン食べさせる奴隷が欲しい
[583.305] johndoe6523rp: 頑張れば奮迅竜巻中に食べられる
[584.123] (S)イエール: 定期）配信部屋変えたよ。トパチャリ別の予定で出場キャンセルだよ。だんご（D）は昨日帰ったよ。後ろの絵は不慮の事故で傾いてるよ。
[599.494] aranami0: ｗｗｗ
[600.176] oasis______: Kreygasm
[602.590] (S)あぱれる君: karubisWa
[603.113] nikukuisugi333: ｗ
[604.906] ara5588: @イエール ざす！
[606.234] (M)gameinntwitch: おはようございます。大丈夫そうやね。額の右下少し押したい…
[609.991] ~MISSING_COMMENTER_INFO~: 不慮の事故草
[611.478] (S)yukikaze083: ｗｗｗｗ
[611.961] 超ゲジゲジ: 定期ありがとー
[612.847] sindou_ume: おいしい音
[616.639] (S)イエール: メンおじおつおつ！
[635.478] 泣き虫サクラ: ラーメンをすする音にさえ緊張と緩和を作る男
[635.944] (S)yukikaze083: メンおじ様お疲れ様です
[641.358] sistersguitarreplica: 飛ばれないラーメン波動
[642.794] (S)あぱれる君: sa飯
[643.205] aranami0: SA中にも麺
[645.027] prosciu: ww
[652.777] ~MISSING_COMMENTER_INFO~: 隙あらば麺
[657.812] 蝉時雨: SA見てから咀嚼余裕でした
[659.482] (S)あぱれる君: 自分の時は食わない
[661.578] (S)イエール: おぼ、観てるか？
[671.802] aranami0: シーフードだった
[672.187] tyapa95: 一生弾抜け見てるな
[673.042] (S)あぱれる君: カップヌードルだったあああ
[673.169] ~MISSING_COMMENTER_INFO~: シーフードでした！！
[673.699] 泣き虫サクラ: カップヌードルだったかぁ
[673.829] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[674.690] もきち555: シーフードでしたー
[676.675] sistersguitarreplica: シーフード好きねー
[677.543] ラリメモ: シーフードだった！
[678.124] (S)イエール: シーフードでしたぁ！！
[678.936] chorni3: Daigo san, do you like Korean noddles?
[679.981] げとぅーすぐる: おしぃ
[680.590] sai927: ｗｗｗｗｗｗｗｗｗｗ
[681.353] おやつハンター: 王のシーフード
[681.464] artri4: ｗｗｗｗｗ
[683.508] tabibitox: しーふーどｗ
[683.947] sistersguitarreplica: わろた
[688.171] teruharu_: 安定の
[688.301] (S)cheddar_bass: cheddar_bass subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 
[699.042] (S)~MISSING_COMMENTER_INFO~: 具も飲むのか
[699.952] (S)イエール: そうなんだ
[700.736] 無心に: 案件かな？
