[30.392] kaomoji3: うおおおおおおお
[33.036] takastoz: こんばんは
[33.325] goozy009: お疲れ様です
[36.350] m_k_style: umeSalute
[38.329] brunoman1: お疲れ様〜
[39.611] (S)mokichi1221: こんばんは！
[40.668] Thaldrea: hello everyone
[41.136] (S)軽く捻るか: こんばんは！
[41.589] sou87: ウメちゃん
[43.331] 無心に: こんばんわっすぅ
[43.620] mild_lucky_777: こんばんは
[44.327] teruharu_: こんばんは！
[49.305] jankboxtt: YouTubeのほう1時間間違えて予約してた？
[52.455] (S)daisan777: umeCatHope
[53.468] (S)けろろがめ: こんばんは〜
[53.676] balthazar000: 風呂上り？
[55.488] kamiya1979: こんばんは
[55.674] いがぐりころころ: こんばんは
[60.032] Jasminexxx2525: ウメさんこんばんは～
[62.006] xyzcity789: ばんわー
[66.655] cune5274: 昨日テレビで背水の陣流れてたと思う
[66.887] uota0825: hi
[72.396] nemuzill: 梅さんのAKI観たいです
[78.539] falcanon: こんばんは。
[84.920] maya_g01: ウメちゃんこんばんはー
[87.325] goozy009: なんか、髪の長さも相まって、昔のウメさんっぽい
[100.319] balthazar000: 配信開始即スマホは王の立ち回り
[102.890] momomon_y: こんにちは
[107.661] (S)akatoki_mk1: こんばんは！
[113.908] namazu4655: やあやあ
[114.005] v_harumi_v: ウメちゃん、こんばんはー
[134.036] jankboxtt: 風呂上がり？
[135.462] sphere0315: 40代でフサフサの秘訣はなんですか？
[135.485] 憂う者の弟子: yo！Daigo San
[135.681] kiraku08: ウメちゃんこんばんは
[138.474] (S)さとーるの: ウメチャン！
[140.721] (S)yuukida39: こんばんは〜！
[143.788] 4bunny: こんばんは
[146.013] (S)Sunsun_the_Sunfish: こんばんは
[148.641] tabibitox: あたまがすごい
[154.060] v_harumi_v: ミュートになってるかも
[157.455] cook_5921: umeCossack
[160.321] chin_56_: mond送ったぜえ(*^ーﾟ)b
[176.983] pomkonb: こんばんは
[177.766] Trailkozou: ウメさん他のキャラ触る予定ありますか？
[178.028] v_harumi_v: なるほどー
[182.014] (S)gularain: ひえそうｗ
[186.145] katsuo73: Mondのせつめいしてけろー
[190.166] momomon_y: 風呂上がってそのまま散歩w
[190.414] johndoe6523rp: 風邪ひきますよ
[190.994] v_harumi_v: 風邪ひきませんように
[192.742] poki35: 風邪引くで
[193.649] ryuken_future: ウメちゃんみなさんこんばんは〜！
[196.184] rdstus: 普通散歩してから風呂じゃない？
[199.349] balthazar000: LCQ出発は今週？
[206.431] v_harumi_v: 告知されてたよー
