[5.890] 泣き虫サクラ: やぁ
[7.465] (S)RFKage: umeCossack
[9.217] v_harumi_v: おおおー！こんにちはー
[24.019] fikat_0702: こにちは～
[25.248] maya_g01: はじまた！こんちはー
[26.784] chin_56_: おはもんど
[28.849] tw_numa: はい
[31.221] (S)yuukida39: こんにちは〜！
[33.736] tsubame5204: umeSalute
[34.820] kaomoji3: うおおおおおお
[37.569] falcanon: こんにちは。
[38.583] maddy2623: ウメちゃんおはようございます
[38.899] おどる: こんにちは
[40.879] えだいこ: ききたー
[42.042] えび猫: こんにちは
[42.886] MegamanUrien: こんにちは
[44.488] (S)nakao1976: nakao1976 subscribed with Prime. They've subscribed for 5 months, currently on a 3 month streak! 
[46.513] teruharu_: こんにちは
[46.659] yamanekojiro: おはよう
[47.160] eremin_39: mondo？
[48.263] (S)ましゅダヨ: こんにちは！
[53.064] (S)firefly860130: こんにちはー
[53.506] chachachakoma: ウメちゃんこんちはっす
[54.110] nikukuisugi333: こんにちは
[56.359] カブトシロ: こんにちは。
[58.137] akichaa2: ウメちゃんおはよー
[60.989] シミズム: コニチワ
[61.881] (S)nakao1976: はじまった♪
[62.648] mememe10: mememe10 subscribed with Prime. They've subscribed for 30 months! 
[64.226] tw_numa: おは
[64.880] v_harumi_v: 配信開始ツイートもお忘れなく
[66.225] 無心に: おはようございます
[67.086] tarantarantaran: umeNirami
[68.007] (S)ましゅダヨ: おはす！
[70.132] えぬ0083: おはよ
[71.130] kumanobed: こんにちは
[71.363] johndoe6523rp: 問答
[73.461] tarantarantaran: umeOredayo
[84.435] 吉田じんぎ: 龍角散！
[85.517] (S)瞬間湯沸かし器: 瞬間湯沸かし器 subscribed with Prime. They've subscribed for 8 months! 
[86.149] tabibitox: 日本語化ぁ
[87.071] v_harumi_v: お大事にです
[88.533] クラクラ777: 喉たいせつ
[88.764] tw_numa: 龍角散するか
[89.402] eremin_39: 何が始まるんです？
[89.561] (S)firefly860130: のど飴用意
[92.678] maya_g01: のんびりいこ～
[99.879] vento1417: こんちわー
[103.797] (S)とも8はる: こんばんは
[105.833] yut7xot8: 新スポンサー？？
[109.709] Jasminexxx2525: ウメさんこんにちはー！
[117.288] eremin_39: スポンサーおめ
[118.304] (S)豚ああ: のんちわー
[120.805] (S)ましゅダヨ: 乾燥してるよねー
[121.860] tomohirom: 案件なのでは
[128.335] yamanekojiro: スポンサーのツール使ってみた的な感じ？
[134.178] eremin_39: 案件か
[135.420] りんごれっど: 今からなにやるの
[136.271] (S)ましゅダヨ: 新スポンサーおめでとございます👏👏
[147.012] 闘劇のアルベルト: ｳﾒﾁｬﾝｵｶｴﾘｰ
[147.439] tw_numa: mond
[155.756] ひろみつー: アーmond
[160.102] カブトシロ: パリッ ポリッ
[161.147] yut7xot8: 40万人フォロワーおめでとうございます。
[163.158] chin_56_: バーmond
[172.379] (S)kiyotaka0614: kiyotaka0614 subscribed at Tier 1. They've subscribed for 6 months! 
[174.607] v_harumi_v: ツイートきたー
[177.177] (S)ましゅダヨ: ｵｶｴﾘｵｶｴﾘｰ
[182.998] takastoz: ウメちゃん、こんにちは～
[196.817] cupopo1110: モンドとは？
[198.510] kahaku91: umeBlocking
