[21.423] m_k_style: umeSalute
[22.096] 2scene: szchenHi
[24.520] もきち555: ぴろーん
[26.946] daizin0716: こんちわー
[28.106] maddy2623: ウメちゃんおはようございます
[33.923] (S)moppu_gake: こんばんはー
[34.971] seyama77: こんにちは
[37.413] rubran1: こんにちわ
[37.637] えび猫: こんにちは
[38.392] mamamamatsu: ウメチャソー
[39.038] 箸くれ: umeCossack
[39.226] (S)yukikaze083: うめちゃんこんにちは～
[41.276] (S)moppu_gake: なんだこの画角
[41.822] まかぽっぽ: こんにちは
[43.426] methotrexate_aym: こんにちはー
[43.527] kaomoji3: うおおおおおおお
[44.299] (S)viva_nonnon: umeCossack
[46.608] 風水ライダー: モンドきたー
[47.755] mari_mari_01: こんにちは
[48.061] カブトシロ: こんにちは。
[48.350] (S)yuukida39: こんばんは〜！
[49.557] v_harumi_v: ウメちゃん、こんにちはー
[52.048] kamiya1979: こんにちはっす
[52.871] はっち_8: こんちわ
[54.831] 軽く捻るか: こんにちは！
[55.731] peroperoperorincho: こんにちはー
[56.371] v_harumi_v: 髪の毛さっぱり
[57.340] 箸くれ: 髪きってる
[59.560] unlucky_strike128: こんにちは
[59.576] (S)イエール: ウメちゃんこんちゃっちゃ
[61.403] tsumu2426: こんにちは
[62.231] (S)ましゅダヨ: こにちわー
[65.283] だいこん_: umeFire
[65.517] 吉田じんぎ: DinoDance
[66.225] takastoz: こんにちは
[66.594] chin_56_: おはもんど
[75.309] (S)ましゅダヨ: 髪さっぱり〜？？
[82.497] ラリメモ: こんちわ～
[85.169] (S)イエール: umeShave
[89.408] teruharu_: こんにちは
[100.390] v_harumi_v: これまたスッキリ素敵になりましたね。
[102.602] v_harumi_v: はいですー
[104.487] (S)イエール: レッツモンド
[107.424] 箸くれ: わくわく
[110.068] 泣き虫サクラ: さっぱりしたねぇ！
[115.376] tanaoh: tanaoh subscribed at Tier 1. They've subscribed for 19 months! 
[118.167] peroperoperorincho: めちゃくちゃさっぱり！綺麗
[118.200] pochichan11: pochichan11 subscribed with Prime. They've subscribed for 32 months, currently on a 4 month streak! 
[119.546] バッフロゥン: 貫禄ある
[119.973] balthazar000: お？
[135.483] potocki1810: もんど
[143.908] (S)とも8はる: こんばんは
[151.225] (S)イエール: umeNekoMiru
[151.847] すずかぜ: すずかぜ subscribed with Prime. They've subscribed for 35 months! 
[157.915] 千葉県おっさん: ちわ
[172.733] kotatan_twitch: kotatan_twitch subscribed with Prime. They've subscribed for 39 months! 
[186.702] (S)ましゅダヨ: もんど〜
[198.848] v_harumi_v: あらら？
[199.321] sonic_chop: umeNekorobu
[202.021] (S)イエール: メンおじ助けて案件？
[207.787] jagajaga1943: mondどこー
[210.481] poposuke: umeDuo
[216.789] もきち555: もんどなくなったー？
[227.331] (S)ましゅダヨ: へー？？
[231.869] (S)コングでぃ: umeCossack
[233.901] falcanon: こんにちは
[240.610] potocki1810: まさか…ｗ
[246.703] chin_56_: …
[255.153] カブトシロ: また失くしたの？
[257.409] (S)yukikaze083: メンおじ様助けて～
[260.611] (S)ponponguripon: こんちは
[261.439] 건우__: 다이고상 안녕하세요~
[261.628] ebiebi12: mond投稿0とか
[262.513] kotatan_twitch: ウメちゃんどうして…
[281.892] (S)moppu_gake: もんど；；
[282.676] (S)イエール: umeHansamu
[298.415] jamxqc: 新龍辰
[301.512] (S)ponponguripon: さっぱりした？
[319.540] 風水ライダー: あれれれれれ
[320.871] もきち555: 髪切ってる！
[321.137] lucentsnow: モンドセレクションあらず
[333.455] warabi3: warabi3 subscribed with Prime. They've subscribed for 16 months, currently on a 4 month streak! 
[339.335] 風水ライダー: モンドセーブ消えた？
[340.573] omochi09: こんちはー
[354.948] pityutyunpa: スッキリしましたね
[356.154] ひろみつー: アーモンド､バーモントにあらず
[358.843] sonic_chop: umeNekoMiru
[361.490] 箸くれ: umeCheer100
[365.470] v_harumi_v: 表示がおかしくなったとか？
[368.074] 風水ライダー: 謎
[370.753] potocki1810: ながはるかな？
[370.987] (S)イエール: 謎起きちゃったか
[377.306] 5don: umeCheer100 
[384.283] 泣き虫サクラ: じゃあ昇竜拳打とうか
[384.923] ひろみつー: モンド有識者きて
[387.620] 風水ライダー: メンおじ案件？
[388.329] (S)イエール: また改めてやる？
[391.094] (S)yukikaze083: メンおじ様に助けてもらおう
[392.980] maddy2623: ログインできず？
[399.590] ebiebi12: メンおじ必要か
[407.425] yut7xot8: また今度にしましょう
[409.475] v_harumi_v: MONDの問題なのか、配信環境の問題なのか
[409.940] hikky722: 南下
[411.603] poposuke: メンおじ案件か
[412.196] (S)イエール: アプリ的なのは立ち上がる？
[412.614] 5don: メンおじ様ーッ！
[423.576] カブトシロ: いいんだ・・・
[426.884] (S)yuukida39: まあいいかw
[427.517] hikky722: モンドはコンド
[430.618] v_harumi_v: お気に入りにしてたやつ？
[431.240] もきち555: 検閲？
[432.267] 5don: 画面共有に問題あり？
[438.280] akichaa2: おー！ウメちゃんさっぱりしたなあ
[438.372] (S)イエール: ほほう
[441.685] v_harumi_v: あー、課金のやつ？
[442.082] hikky722: 金のかな？
[447.251] 5don: スーパーチャット的な
[448.363] 風水ライダー: スーパーレター
[454.448] pityutyunpa: ふん？
[466.985] ひろみつー: ほう
[470.821] かぁわむら: 髪切った？
[473.864] homu0117: お、さっぱりしてる
[475.607] (S)moppu_gake: あら
[478.621] poposuke: umeDuo
[479.660] v_harumi_v: あらら、なるほど
[481.349] もきち555: 既読にしちゃった？
[481.414] chin_56_: いくらだろ
[486.694] kotatan_twitch: シュッシュッポッポ 
[488.250] ひろみつー: それは送った人可哀想やね
[488.625] (S)sharks_up: ごめーーーん
[491.058] hikky722: 履歴残ってそうだから次回でもよさげね
[491.556] すずかぜ: シュッシュッポッポ 
[492.581] 000105: 消せるとか？
[495.370] gettyozi: 投稿者が削除したとか？
[497.528] (S)イエール: 既読ボックスに入ってたり？
[497.754] maddy2623: 投稿主が取り消したのかもよ
[503.322] inari_tencho: アーカイブに入っちゃったんかな
[503.324] 軽く捻るか: 相手の方で取り消したとかですかね？
[503.964] 5don: 1週間経つと、自動的に払い戻しになるっぽいです。キャンセルあつかい
[505.217] homu0117: 回答済みにしたとか？
[508.376] (S)moppu_gake: 気になるw
[512.271] ひろみつー: なんだってえええ
[515.704] potocki1810: なるほどー
[515.821] (S)sharks_up: へぇ
[516.651] homu0117: 一週間以内に答えないといけないんだよねそういえば
[517.441] v_harumi_v: なるほどー
[517.717] pityutyunpa: はぇー
[518.129] (S)イエール: あーなるほど！！そういうことかぁ！
[519.943] (S)ichione111: あらま
[521.239] (S)yukikaze083: なるほど～
[521.779] ひろみつー: じゃあまた送ってもらおう
