[8.222] adachikufgc: きたー！
[12.173] maya_g01: おかえーり
[13.030] 箸くれ: 問答たのしかったね
[13.781] v_harumi_v: おかえりなさーい
[18.996] tabibitox: 1830くらいまで？
[27.358] Ceciltaisa: おかえりゃあ
[30.380] falcanon: わこつ
[31.353] jagajaga1943: 昇竜拳から？
[37.068] fikat_0702: soushihanThumbsup
[37.201] (M)(S)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[39.710] v_harumi_v: はいですー
[43.897] (S)sharks_up: 努力なし？
[46.632] v_harumi_v: おさぼりで
[48.826] 吉田じんぎ: エドはみーへんの？
[54.860] maya_g01: ｗｗ
[55.435] クラクラ777: ｗ
[55.942] hima2273: www
[59.187] ひろみつー: 課金なしかぁ
[60.959] tsubame5204: umeYay
[62.645] Ceciltaisa: ノーチート！
[68.103] homu0117: 2日に1つくらい強くなる！
[69.955] ilm0806: DLできたら、見るよ
[70.185] (S)kou_2003: mondoの服ってどこで抽選してますか？
[71.257] haqjp: やっぱチートはいけないんだなって
[73.358] (S)ツィッギー: 昇竜30分しないのですか！？
[95.976] tabibitox: 開幕JP
[127.767] (S)ponponguripon: あ、調整が必要だけど面白いおじさんだ
[204.750] provisualfight: annarfVictory
[204.873] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[257.862] tabibitox: ミスったぁ
[257.964] ひろみつー: うわああああい
[261.836] tsubame5204: umeFail
[264.725] Ceciltaisa: あかーん
[296.267] (S)daisan777: daisan777 subscribed at Tier 1. They've subscribed for 4 months! 
[313.207] pepepe393: あれ今日は昇竜練習しないのね
[326.969] tabibitox: 今日は1時間だけなので練習サボり
[333.241] ~MISSING_COMMENTER_INFO~: 髪切ったんだね
[337.031] ryuken_future: jpには対空竜巻ないのかな
[365.378] pepepe393: なるほど
[380.641] 吉田じんぎ: エド見たらケンのモチベなくなっちゃった
[381.828] (S)ツィッギー: いい出だし
[395.133] 軽く捻るか: おお
[396.626] nikkou18: 調整が必要だけどおもしろいおじさんラッシュ
[398.565] homu0117: 最近良く出るね光討伐クエスト
[399.738] one596: 1時間なのに襲いかかってくるJP村
[403.041] シミズム: エドのステップカッコよかった
[404.762] (S)monpiipop: じんぎにぃ…！
[417.360] qcham: ほんとエドかっこ良すぎる
[429.941] balthazar000: しんぎにぃおつかれ、、、
[466.075] tabibitox: 勇気
[473.012] (S)kou_2003: なんのあめたべてるん？
[485.901] (S)dadadai17: エドにサンドバッグだったからなあ…
[494.044] 吉田じんぎ: 投げただけなのに…
[497.884] Ceciltaisa: エドに続けてかっこいいキャラ追加しまくってくれ
[528.361] 箸くれ: 誰かの描いた絵の通りなんてのは真っ平！！ってエドのセリフ、ウメちゃん好きそうやな
[590.102] twitchyarutch: のど飴お湯に溶かして飲むのもいいね
[597.277] potocki1810: 龍角散のブルーベリー味おいちい
[613.281] 吉田じんぎ: 飴といえばサクマドロップもうないんだよな
[641.954] (S)ponponguripon: 龍角散って粉Aあるんだっけ
[653.007] ひろみつー: 惜しい
[678.932] homu0117: 3溜まってる時に迅雷使うの見てnephewがwhy Lv2？って不思議がってた
[679.638] nen_100: エド、嫌いなものがベガと注射なのがなんかかわいそうに思えてしまう。実験がトラウマなんだろうか
[692.561] 吉田じんぎ: インパクト打っただけなのに…
[705.685] いろは3821: 知らん
[708.243] (S)ponponguripon: ちゅぱ
[709.755] provisualfight: JP 
[711.495] tabibitox: cc後だからワンチャンあるかもね
[713.166] Ceciltaisa: どうなんでしょうね
[713.987] iguchiill: 調整時期はまだ明示されてない
[714.938] jagajaga1943: 豪鬼まだあるしどうなんでしょうね
[717.048] ~MISSING_COMMENTER_INFO~: エド使ってねウメちゃん
[718.143] balthazar000: 豪鬼のタイミングだと思う
[718.443] mochy0: 豪鬼きてからじゃない
[719.230] 吉田じんぎ: cc直後はまだじゃね？
[719.984] v_harumi_v: どうなんでしょね
[720.185] one596: CC後だからワンチャン
[723.314] umetyaahan: 流石に入るんじゃない？それがエドのちょい後か
[727.091] (S)ツィッギー: そういう知らせないっす
[727.896] 箸くれ: 27日だから入れるかも？
[732.965] potocki1810: 豪鬼出てからちょっとしてですかねー
[742.825] balthazar000: CC後すぐに二年目ってわけでもなさそうだし、
[744.353] provisualfight: GoatEmotey
[747.909] qcham: JPに調整入ることが今の生きがい
[752.380] yut7xot8: EVO終わりに豪鬼と調整です
[752.524] Ceciltaisa: 例年通りなら調整入るんだけども
[753.196] inari_tencho: 脱法とか不具合っぽいとこだけ直すとかワンチャン？
[769.792] (S)たかさん64: たかさん64 subscribed at Tier 1. They've subscribed for 2 months, currently on a 1 month streak! 
[770.183] twitchyarutch: シークレットで修正はありそう
[773.883] (S)ponponguripon: 明日かｼｮｳﾘｭｳｹﾝあるかな
[782.397] (S)アル中の響: ウメエド見たい感ある
[787.262] one596: 5はCC直後調整とかやってたけどね まあそのせいでカゲ事件とか起きたけど
[789.920] une3333: 豪鬼と同時に入るか、豪鬼出してから様子見て修正するのか
[790.642] umetyaahan: 正直もう飽きたから早く調整欲しい、同じキャラばっかだし勝ち方の絵もずっと同じだし
[828.364] tabibitox: Mには弾撃てんな
[847.504] inari_tencho: 企業的には調整増えるほどコストかかるからキャラそろってから調整した方が効率はいいか
[854.551] yut7xot8: Year2の幕開けが豪鬼ですよね
[869.348] sindou_ume: ケンが人間サンドバッグにされてたねぇ
[870.752] une3333: 逃がさん！が逃げられなかった
[872.404] Ceciltaisa: まぁじで
[877.467] (S)monpiipop: 次の追加キャラはなんだろなぁ
[882.298] 箸くれ: 鉄拳は発売したばっかりなのに調整しててびびった
[888.598] 吉田じんぎ: あきら来て〜
[892.738] 950ps: みんななんで負けても平然としてられるんだ
[899.382] Ceciltaisa: ガイはよ
[918.550] balthazar000: デビル強すぎた？
[953.265] (S)アル中の響: 鉄拳はいつも
[980.403] ryuken_future: マスターのモダン勝率top3は春麗リリールークだからこの3人がモダン適性top3なんかな
[1002.449] LSI1000: この昇竜ホント6だとスカるな
[1005.496] yut7xot8: 森川ジョージ先生もエドに興味があるようです
[1024.904] 吉田じんぎ: 春麗の飛びが変。遠い
[1026.030] 箸くれ: M春麗はクラシック含めても勝率高い方だった気がする
[1030.505] tabibitox: 間柴関連で作者に行ったのかな？
[1062.330] (S)イエール: アイイイイ
[1062.470] (M)(S)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1067.967] Ceciltaisa: ッケイ！
[1092.403] provisualfight: annarfVictory
[1131.676] ひろみつー: あぶね
[1131.807] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1133.933] 軽く捻るか: あぶなかった
[1136.375] umetyaahan: すなお
[1145.684] LSI1000: 森川先生バーチャとかやってたし格ゲー好きだよね
[1193.475] (S)イエール: DinoDance
[1194.772] 軽く捻るか: ナイス！
[1197.414] fikat_0702: 完璧！
[1204.898] (S)野原しんのすけのぞうさん: お、髪すっきりしてる！１０歳若返ったな
[1207.530] (S)じゅーくぼーい: 仕事帰り電車からこんばんはウメちゃん！
[1213.650] (S)イエール: ネモさん
[1214.071] 0208h: きたわね
[1214.788] ひろみつー: リベンジ
[1216.879] (S)y_proto: 闇の帝王
[1217.856] provisualfight: [OD] 
[1218.365] tabibitox: JPJP春JP
[1219.069] emaplusplus: 知ってた
[1219.442] chachachakoma: きたね
[1223.535] Ceciltaisa: 闇
[1229.848] (S)イエール: wwww
[1230.564] (S)じゅーくぼーい: ネモさんきちゃああああ
[1235.856] LSI1000: 光の戦士
[1237.519] Ceciltaisa: 投げまくれえええ
