[13.787] (S)RFKage: umeCossack
[14.654] だいこん_: おはようございます
[14.958] v_harumi_v: おかえりなさーい
[16.568] goozy009: おかえりー
[20.771] ~MISSING_COMMENTER_INFO~: 闇話題の時間だよみんなあつまれー
[25.911] gorogorogorn: ウメちゃんおかえりー
[26.881] jamxqc: TwitchConHYPE
[29.797] sn0wf0x3: おかえりー
[30.653] maya_g01: おかえーり
[31.532] falcanon: わこつ
[37.710] 5don: PowerUpL
[41.129] yamamoto_a: こんばんです
[41.216] (S)ましゅダヨ: おかえりなさい 
[44.499] (S)イエール: やっフォイ
[59.468] 3_dots: おいっす～
[65.285] ekakinoken: ウメちゃん
[67.220] underground0714: umeHansamu
[71.239] sabotenn6: umeSalute
[82.639] 箸くれ: これはいい椅子
[95.437] ryuken_future: 闇うおおおおお
[96.008] (S)ましゅダヨ: BloodTrail
[98.022] StanislawFGC: yo
[118.164] 箸くれ: umeNirami
[123.009] (S)noriyuki3: 闇観に来ました〜
[123.921] (S)~MISSING_COMMENTER_INFO~: themus62GhostDance
[171.747] だいこん_: umeHansamu
[215.550] shinobuchan4649: またきゅうり食べよう
[217.240] v_harumi_v: ミュート解除おねがーい
[218.315] 5don: HypePeek
[220.784] 箸くれ: しずかだな
[226.983] 5don: 静寂
[228.714] (S)黒猫くん: ちな声はない
[233.404] だいこん_: umeCatGlare
[236.189] justinanasisan: 猫ミーム？
[237.760] (S)ponponguripon: ねこちゃん
[242.011] 箸くれ: お電話中かな
[246.497] 原子力塩太郎: 音声も闇に飲まれたか？
[249.355] justinanasisan: めっちゃ音出たー！
[254.494] v_harumi_v: 音ありがとー
[256.434] 箸くれ: 🚑
[256.810] (S)イエール: ヤッホイホイ
[257.599] 5don: 声OKです
[257.914] おやつハンター: ピーポー
[262.472] nihonsyu_: ｗｗｗｗｗｗｗｗｗｗｗｗ
[262.781] (S)イエール: wwww
[264.110] v_harumi_v: 差別！？
[264.123] lucentsnow: 猫のお腹
[264.175] (S)ましゅダヨ: wwwwwww
[264.310] (S)monpiipop: wwwww
[264.368] だいこん_: ｗｗｗ
[265.368] maya_g01: ｗｗｗ
[266.782] (S)yukikaze083: ｗｗｗｗ
[267.090] くまリンカ: 差別！
[267.269] 5don: wwwwwwww
[267.365] tabibitox: 差別ｗ
[267.484] sn0wf0x3: wwwww
[267.807] feel2525: ｗｗｗ
[269.911] meganesandesuyo: www
[270.336] fbhjkl: WutFace
[271.012] (S)rm_rf__: 差別とかw
[271.320] もきち555: 炎上するんでやめてくださーい
[272.455] 箸くれ: 疑いが生まれた
[273.229] (S)イエール: 親父どもがよぉw
[276.085] (S)monpiipop: まるで今までしてたみたいなw
[277.644] (S)y_proto: やはり闇
[282.216] だいこん_: おじども集まれ
[286.238] (S)~MISSING_COMMENTER_INFO~: お、ｋｓｋさん
[290.749] 5don: アーカイブ削除になるw
[294.719] (S)イエール: 割り込みと滑り込みだいぶちげえw
[297.894] (S)nakao1976: こんばんは～o(^-^)oﾜｸﾜｸ
[301.092] (S)セルベリア: KSサンガー
[304.197] 原子力塩太郎: きょうのトライアウトにも元気に出ていた総師範
[306.805] balthazar000: キャッシーか
[307.147] sabotenn6: ｋｓｋ 
[310.676] njpw2017: KSKが闇話題というコンテンツを逃すわけ無い
[316.117] justinanasisan: タマ
[320.746] goozy009: きゃさ〜来て〜
[321.486] 5don: 聞き専でもね
[328.952] balthazar000: KSKは真なる闇だからなぁ
[331.885] (S)ましゅダヨ: えいたはマダミスかあ
[337.669] neojapan01010: おじならではの距離感
[355.817] 5don: umeYay
[360.492] 原子力塩太郎: 闇話題提供（提供する話題がない）
[361.594] (S)ましゅダヨ: ええ……www
[361.746] tabibitox: 余裕こいてるなぁ
[362.029] balthazar000: 提供物あらず
[362.382] mako_oswald: Dに比べたら圧倒的に話のタネ持ってるでしょキャサ夫さん
[364.644] だいこん_: アドリブハラ
[375.976] (S)~MISSING_COMMENTER_INFO~: themus62SquirtleJam
[383.224] v_harumi_v: 今日は画面モクのまま？
[386.336] dcdryuya404: マ、シュマロ
[389.948] latenight000: ほぼましゅ
[393.693] goozy009: 本番に強いおとこ
[399.676] v_harumi_v: 眼鏡久しぶりで嬉しい。
[408.772] gettyozi: プロはもうすぐ来る
[411.752] v_harumi_v: 画面ありがとー
[411.961] kaomoji3: 石井プロとえいた、今終わったからくるよ
[415.227] balthazar000: プロ来れるんか
[417.652] nidogami: プロはおわったんか？
[422.250] (S)つばくろーー: 夜更かし闇話題 Cheer100
[423.188] v_harumi_v: 人数少ないから、皆おっきい。
[430.737] 2ma3: 闇ってなぁに？
[432.390] 茶々丸さん: ウメハラさんの社会人と足立区ゲーマーの真ん中の意見すこ
[432.891] fujimike: プロはもうすぐこれるはず
[433.090] latenight000: 話題が無くなってから本番だから
[438.380] (S)ましゅダヨ: ぶわっと
[440.732] balthazar000: D自宅か、、、？
[442.032] neojapan01010: 明日かー
[445.141] evimayo88: マダミス終わったプロから
[448.943] maddy2623: ご武運を
[449.401] chin_56_: かっけー
[453.331] (S)ましゅダヨ: え？
[455.692] くまリンカ: ｗ
[457.025] v_harumi_v: 響きがかっこいい
[457.142] 闘劇のアルベルト: ロサンゼルス
[457.185] neojapan01010: それくらい調べろや！ｗ
[457.632] (S)~MISSING_COMMENTER_INFO~: ハリウッド県
[458.132] (S)sharks_up: ウメハラハリウッド進出
[458.276] justinanasisan: hollywood
[463.811] masmas999: ロサンゼルス
