[12.563] momiji4431: お？
[19.155] tabibitox: きた
[19.779] 4444446666: くっら
[21.086] (S)firefly860130: こんばんはー
[21.176] recoba_020: できてます！
[25.386] ピヨさん: こんばんは
[25.461] BattleSepp: battle90Herz
[26.855] sai927: 暗すぎワラタ
[28.259] tabibitox: 暗くて顔が見えんｗｗｗｗｗ
[29.683] fikat_0702: こんばんは！
[31.899] original0115: こっわ
[32.444] 黒魔: ！？
[32.922] twitcher234: くっら
[34.119] imokorori: くっら
[34.184] (S)nakamura3278: こんにちはこんばんは！！
[34.395] ヤスオン: 暗いよー
[35.309] (S)firefly860130: お久しぶり 
[35.527] kaomoji3: うおおおお
[35.538] kitori_17: くらww
[35.745] まめっ子: くっら
[35.944] barracuda_jp: 闇すぎる
[37.161] bbya001: こんばんは！
[38.348] fikat_0702: まっくらｗ
[38.363] tyusonmit: ウメちゃんきたあああ
[38.590] (S)軽く捻るか: こんばんは！
[39.048] (S)nakamura3278: くっらw
[39.274] 超スパーキングこうへい: 元気ですかー？
[39.295] waver_8_: waver_8_ subscribed with Prime. They've subscribed for 40 months! 
[39.623] hal0087: こわ！
[40.229] alrelelle: ばんわ
[40.271] garouakira: くらw
[40.390] sn0wf0x3: ウメちゃん！
[40.424] mugicha_games: こんばんはー！
[40.715] NarcissistCactus: yami
[40.791] kiraku08: ウメちゃん真っ暗だよ
[41.731] gutei_san: こんばんは
[42.347] yut7xot8: umeCossack
[42.460] ムギムギヲ: こんばんは！こわっw
[42.556] wrwig: 闇
[42.566] oliveoil_oleicacid: 暗すぎて顔見えないw
[42.758] てべす1103: ｳﾒﾁｬﾝ！
[42.896] (S)RFKage: umeYay
[42.971] (S)viva_nonnon: くっら
[43.507] 大坂ナオーミ: くっら
[44.068] 超パンダ: うめちんこ！
[44.214] kotokiig: くら！
[44.279] (S)kamiya1979: こんばんわw
[44.289] すぎた_のり: すぎた_のり subscribed with Prime. They've subscribed for 9 months! 
[44.313] tarantarantaran: umeOredayo
[44.418] kaomoji3: シルエットのみwww
[44.797] mamamamatsu: うめちゃーん！
[45.064] カブトシロ: こんばんは。暗いっすね。
[45.384] aiueoo000: なにこれ
[45.832] falcanon: こんばんは
[45.922] のぶとも: このウメハラは本当に本人なのか…！？
[46.149] sn0wf0x3: くっらw
[46.211] salifuas: 寝癖しかわからん
[46.348] mossan8_8: mossan8_8 subscribed at Tier 1. They've subscribed for 21 months! 
[46.765] 山もっちゃん: 暗w
[46.971] mari_mari_01: こわい
[47.768] kitori_17: 本当にウメちゃんか？w
[47.896] ryuken_future: ryuken_future subscribed at Tier 1. They've subscribed for 15 months! 
[48.153] (S)ちぇんぷる: うめちゃんだー！！
[49.359] nikukuisugi333: くっら
[49.994] どこどこ60: unkochanYaa
[50.425] 将門ゴルゴロ: ホラー配信
[50.935] やんやんとりやん: やんやんとりやん subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! こんばんは
[51.028] (S)ﾂｶ: 寝癖しか見えない
[51.761] wrwig: 闇の力
[51.893] matsurin7: 影
[52.534] (S)kamiya1979: おお
[53.064] seiji141141: 晋也の！？
[53.102] yoyo_443: ド深夜配信うおおおおおお
[53.262] nameless_774: ライアっとすごかったな
[53.713] wrwig: 闇
[53.863] 黒魔: ひげおじ
[53.951] atti_join: TwitchConHYPE
[55.035] tarantarantaran: umeOredayo
[55.487] garouakira: うめちゃんどこー
[55.617] fatjoejack: エド触りました？
[57.395] sn0wf0x3: www
[57.444] OOKOO1: こんばんは。暗いすね
[57.630] mugicha_games: 早くリュウを触ってほしい！！
[58.033] (S)瞬間湯沸かし器: おいすー
[58.335] kotokiig: 寝起き？
[59.530] 4444446666: パスポート通れてよかったね
[60.060] wrwig: 光だ
[60.365] osarusan26: 恋人視点だ
[60.738] potocki1810: おこんばんはー
[61.657] (S)viva_nonnon: こんばんは
[62.189] rockriii: ガチ恋距離
[62.536] hal0087: お久しぶりです
[62.758] (S)脱走したマルチーズ: こんばんは
[64.560] (S)nakamura3278: 体調どうですか
[64.623] tabibitox: ウメちゃん、たかしがリュウになったよ！
[64.752] 山もっちゃん: 眩しそう
[65.444] sai927: 不機嫌模様
[68.462] mugixxmugi: たかし強化
[68.680] のぶとも: やっぱりウメちゃんやないかい
[69.266] fatjoejack: リュウも触って欲しい
[70.096] toki0823: 今2時前くらいすか
[70.221] usa451: えっちだよー
[70.332] (S)firefly860130: 明日帰国ですか？
[72.358] mamamamatsu: 生きとったんかわれぇ！
[72.368] johndoe6523rp: 今何時すか？
[73.335] どこどこ60: ライアットのゲームどうすか？
[73.449] gaia3333: こんばんは！
[73.981] kitori_17: おはよう
[74.085] FigNewton53: hello daigo
[76.246] きしー: うまちゃんひさしぶりー
[77.317] 蝉時雨: ウメちゃん！リュウが！！
[78.091] one596: ケンが終了したのでリュウかエドですかいな？
[78.182] ryuken_future: beast cupの参加締め切りっていつまでですか？
[79.571] Zaibatsu_gs: Zaibatsu_gs subscribed at Tier 1. They've subscribed for 67 months! これが流行りの縦配信
[79.919] aranami0: aranami0 subscribed with Prime. They've subscribed for 30 months, currently on a 13 month streak! ど深夜にあざーっす
[80.348] 超パンダ: ケンはもうだめです！！リュウに変えましょう！！！
[81.313] nameless_774: ねむそうｗ
[81.425] メタルぱんだ: ！？
[82.368] 000105: 新作ゲームはなんにも言えません
[84.267] wrwig: たかしが覚醒して新キャラリュウになりました！
[86.721] (S)yukikaze083: こんばんはだよ～
[86.872] kotokiig: ド深夜だ
[87.685] twitcher234: 調整みました？
[88.875] 箸くれ: ｗｗｗｗｗ
[90.076] どこどこ60: サブスクください！
[90.643] chin_56_: 夜のウメ
[90.679] tabibitox: 17時間差
[91.444] balthazar000: あらおはようございます
[91.567] mugicha_games: リュウ強化
[91.769] matsurin7: 体勢が腰痛めそう
[92.237] sai927: リュウに革命が起きました
[92.368] FigNewton53: good morning from California 😁
[93.759] tetsujigon: たかしの時給が増えたらしい
[93.997] メタルぱんだ: 調整？
[94.978] uni_ikura_: リュウが凄いことになりました
[95.827] tabibitox: たかしがリュウになりました
[95.907] 楚々: ｳﾒﾁｬﾝｺﾝﾊﾞﾝﾊ！
[95.911] tama_zx61: 夜ウメ
[95.947] 蝉時雨: めちゃくちゃスト6の音するやん
[96.193] gutei_san: リュウが強くなった！
[97.198] メタルぱんだ: エド？
[97.278] kanitoro: スト6の曲きこえるw
[97.400] takahashiseigi: うずらリュウ復活
[97.424] 黒魔: JP弱体！JP弱体！
[98.254] fatjoejack: リュウ超強化
[98.268] hojicoool: リュウに革命
[98.421] まめっ子: リュウが強くなった
[98.427] wrwig: リュウ最強
[98.686] のぶとも: 17時間前か
[99.183] ドリアンくん: リュウのBGM？
[99.245] (S)ちぇんぷる: リュウが強くなったよ
[99.256] nameless_774: たかしやばいっす
[100.591] 小骨: たかしがリュウに
[101.293] balthazar000: というと具体的にどんな感じに聞きたいんです？
[101.475] one596: リュウがスーパーゴリラになった
[101.734] tyapa95: ウメリュウ復活です
[104.012] kotokiig: スト6ひリュウ参戦しました
[104.204] てべす1103: リュウ帰ってきた
[104.403] mugicha_games: たかし→リュウに進化
[104.868] NarcissistCactus: I hear training mode
[105.068] wrwig: リュウが神キャラに
[105.090] sn0wf0x3: リュウつよいらしい
[105.565] (S)yukikaze083: りゅう強化ですぜ
[107.273] oinari6: リュウが面白そう
[107.444] meshiuma3150: でえご
[107.594] kitori_17: リュウがリュウになったよ
[107.792] blackcoffee0821: うおおおお
[108.585] 4444446666: ちょっとつよくなった
[110.553] 超パンダ: 妖気を感じたのかい？
[110.629] 蝉時雨: リュウがゴリラになった
[111.256] 楚々: たかしが画面中央で7000出す
[111.710] ryuken_future: リュウは強化されたけど結局弱い jpも杖が強いままだから最強です
[111.936] (S)firefly860130: りゅう復活したね
[114.690] ババシャツ: ケンから闇が消えた
[115.638] ryou_0509: ryou_0509 subscribed with Prime. They've subscribed for 45 months! 
[116.740] slmeret: リュウがゴリラになった
[116.887] gin_and_nick: ケンが・・・(´;ω;｀)
[117.343] osirisirii: たかしがリュウに
[118.246] wrwig: たかし→リュウ
[121.199] kunimuu: みんなマゴさん見たんだろうね
[121.396] ryo_1600: ryo_1600 subscribed with Prime. They've subscribed for 28 months, currently on a 1 month streak! 
[121.602] balthazar000: ケンは闇が無くなった
[123.057] yut7xot8: 影ぬいです
[123.456] tama_zx61: お
[123.999] giguok: UMAっていうジュリ使いが優勝しました
[124.781] kanegon7237: たかしイケるでー
[126.730] 霧島ひろあき: 火力がすごい
[127.101] chin_56_: よぉ
[128.340] (S)HinaConoKiyo: ただグラビトン原田は立ち回り変わってないから強いのか？って感じやったです
[128.493] 我がゴイチ: リュウがゴリラ過ぎる
[128.894] (S)ちぇんぷる: ケンちゃんの闇なくなったよ
[130.125] blackcoffee0821: マゴさん歓喜
[130.494] sei_6: 火力
[131.347] maruino351: 火力はすごい
[131.624] 4444446666: 集中スタートで７０００ダメージ
[132.469] まめっ子: 火力すごいです
[132.660] mugicha_games: 大ゴスに影縫い
[132.854] 体調不良は背中をほぐせ: リュウやれんのか？
[132.937] barracuda_jp: アホほど減る
[132.954] QQnicky: why does Daigo stay in US?
[133.599] balthazar000: 集中つけると火力上がる感じかなぁ
[134.141] tomohirock83: 立ち回りに変化はないと聞く
[134.244] tabibitox: まだ足りないけど本調整で化けそう感があるね
[134.834] 優しい川: 中堅くらいかな
[135.528] wrwig: ケンの上位互換になった
[135.574] kanitoro: 7000ダメージでるようになった
[137.581] one596: 結局集中はいるからそこをどう捉えるか次第
[140.952] osirisirii: 火力はすごいって感じ
[141.411] bokusatu: まあいけるってくらいかな
[142.605] sn0wf0x3: ダメージ7000行く
[143.611] pokkunnn: うめちゃんのガチ恋距離配信感謝
[143.675] alrelelle: たかしはリュウになった
[143.798] tetsujigon: JPの対空無敵知ってました？
[144.606] 箸くれ: ｗｗｗｗｗｗｗｗ
[144.987] hal0087: 首がぁ
[145.949] bon_100: マッチングアプリの広告みたいな画角で草
[146.452] potocki1810: まだ全体調整が残ってるそうですー
[146.735] amateras04: 残念ながら強くはないです
[146.968] yut7xot8: ただパチンコキャラになりました
[147.045] mii621: www
[148.096] toki0823: マゴさんはエド使わずにずっとリュウ使ってる
[150.638] kitori_17: はいみんな首を折って
[150.848] takahashiseigi: 幻のうずらリュウが復活
[151.056] 000105: アキの小Ｐってどうなんだろ？
[151.179] oinari6: 次の本調整に向けてリュウで遊ぶのは相当アリな気がする
[151.366] マギルゥ: 立ち回り自体に変化は無いよ
[152.278] hojicoool: マゴさんは「いつリュウ集中すんだよ！」って泣いて配信切った
[152.488] goto888: まだ中堅ぐらいな気がする
[152.706] seiji141141: ゴリラ化より波動の判定と大ゴス影縫いの方がやばいと思う
[152.853] balthazar000: 集中付けが難しそうだったけど
[153.758] ゴン攻め: 立ち回りは何も変わらないって話だからなー
[154.677] tyusonmit: まあ強くはなさそう
[154.877] johndoe6523rp: ぶっちゃけ対して変わっとらんす
[157.199] (S)yukikaze083: 火力上がって、7000ダメージ出るよ～
[157.224] kuroad00: 立ち回りあんま変わってないからどうかなと思った
[159.304] hipporitt: 固めとバーンアウトの時の削りが良いですね
[160.315] tabibitox: 波動が昇竜抜けされにくくなった
[162.264] あらかき: 来年はエンディングウォーカーリュウがCC取ります
[163.043] 滝川投ゲステル: タカシってゴリラだけど、立ち回り駄目じゃないの？
[164.310] osirisirii: 強くなったけど別に強いってわけじゃない
[164.914] yut7xot8: 固めのリュウになりました
[166.051] 4444446666: まぁ確かに強くはないけど、集中スタートで７０００ダメージ出るようになったくらい
[166.769] on_rin: 相性は変わらずって
[167.150] wrwig: 全然変わったよ
[167.411] 箸くれ: 武器商人がなんとかしてくれる
[168.266] nameless_774: はしょうげきつよい
[168.723] uni_ikura_: 波動の隙がへったわね
[169.158] kunimuu: マゴさんはティアCとか言ってたね。散々楽しんで
[171.735] kiton_taichi: 削りが凄い
[172.005] tabibitox: 大ゴスの影縫いがけっこう強い
[172.332] fikat_0702: 波衝撃から投げに行ける
[172.532] mugicha_games: 波衝撃が削り、硬めに使える
[173.181] レプトン: リュウさん、触りにくいのは変わらんからまぁ…
[174.966] wrwig: はしょうげき強い
[175.232] おもチ: kokuji3Chu
[177.084] fatjoejack: 鳩尾砕きで相手を固められる
[177.354] blackcoffee0821: 大ゴスも強いんちゃう
[180.130] kitori_17: 影縫い
[183.317] 蝉時雨: 火力だけで立ち回りはやっぱしんどいよ、マシにはなってるけど
[183.634] amateras04: 雷ストックできるようになったら化け物だとおもいます
[184.694] sai927: ｗ
[186.854] wrwig: w
[187.181] sn0wf0x3: www
[188.162] usa451: ラッシュが
[189.548] potocki1810: ｗ
[190.660] 4444446666: 火力のみ
[191.091] てべす1103: マゴC
[191.360] balthazar000: マゴさんは７０００コンボ叩きこんでkｬｯｷｬしてたよ
[196.674] nameless_774: まあ大型アプデもくるから
[196.845] matsurin7: マゴさんだから元々強そうだけど、どうかな
[198.487] kent_8791: kent_8791 subscribed with Prime. They've subscribed for 22 months, currently on a 12 month streak! こんばんは
[199.086] hojicoool: ワンチャンの大味キャラ
[200.336] salifuas: ケンの調整どう見てるの？
[200.461] gagaga114: ガイル春麗キツイのは変わらんとのことです
[200.558] osirisirii: 火力上がって楽しいだけ
[202.029] tankbba146: たかし超強化きたよ！！！
[202.330] shellfish55: 弱いよ
[202.368] balthazar000: ウメさんが望む立ち回り強いリュウではないんじゃない？
[203.265] alrelelle: 結局触った後の話
[204.220] たる侍: ケンのが強いのはそうだと思う
[204.861] ニャガレ: ケンのが強いのは間違いない
[205.320] 4444446666: 立ち回りは変わってない 火力だけ
[206.226] 日本語かな: うん…
[207.253] ryuken_future: 立ち回り変わってなくてきついからリュウはダメです
[208.281] hal0087: それはそう
[209.617] nanomentos: マゴさんは視聴者いっぱいきておふざけになってたからなんとも
[209.884] 蝉時雨: 大ゴスの影縫いはいい感じ
[212.863] kunimuu: DからCに上がった
[213.104] potocki1810: BibleThump
[214.313] nameless_774: 大型まち
[215.412] takashi4567: 火力のみｗ
[215.514] てべす1103: リュウBGMジワる
[215.611] goto888: ケンとリュウならケンっぽい
[216.492] seiji141141: いや大ゴス影縫いヤバいでしょ
[217.465] fatjoejack: 波動拳強なったで
[217.510] tankbba146: 現状はケンかなぁ
[217.813] wrwig: ケンより強い
[218.221] (S)firefly860130: 火力あるだけってこと？
[218.425] johnny515151: 火力は伸びたけど、集中しようにも相手によってはなかなかできない
[218.735] (S)yukikaze083: ワンちゃんキャラって感じ
[218.919] tyapa95: マゴさんのcは深い
[219.453] マギルゥ: ケンとガイルのほうが十分強い
[219.514] 一1990: リュウのほうが強い
[219.593] 蝉時雨: 最弱ではないよ
[220.941] mugicha_games: ケンは強いけど、ちょっと弱体かな
[222.067] bokusatu: でもまだ本調整あるから
[222.432] shellfish55: 動画勢が騒いでるだけ
[222.655] kiton_taichi: 触ってみて判断してほしい
[224.003] (S)けろろがめ: いーやリュウも強いね！
[224.219] tabibitox: たぶんウメちゃんが気に入る調整ではある
[224.958] ginoza_1121: 個性は出たかも
[225.132] 箸くれ: JPはちゃんと弱くなっててルークにヘイトが集まってる
[226.385] sai927: え
[226.752] きゃすさん: リュウは7000オーバーでるぞ
[227.275] 千葉県おっさん: こんばんわ
[227.478] wrwig: 大ゴスの影縫いが強い
[228.509] alrelelle: ケンのほうがつよい
[230.677] chin_56_: Cだｯｯ
[230.969] balthazar000: てかまあ調整入って一日なので何とも
[231.782] takahashiseigi: たかしが弾の撃てるマリーザになりました
[231.851] osarusan26: まだ分からないなぁ２日目だし
[233.281] kahaku91: 最強はJPだと思う
[233.349] tankbba146: ダイゴスと波掌が立ち回りで強くなったから
[234.037] 蝉時雨: てかおもろいキャラになった
[235.145] elelrei: 魅力あるのはリュウ
[235.786] kanitoro: 中Kはしょうげぎからsaがノンリスクで振れるから楽
[236.861] one596: ケン落ちてリュウ上がってちょっとケンが上みたいなどっちもどっちみたいな
[237.080] wrwig: 大ゴスに影縫いついた
[238.606] (S)やふふ: やふふ subscribed at Tier 1. They've subscribed for 3 months! umeSmoosh
[238.786] dalhi: マゴさんも遊びながらでちゃんと使ってない
[238.906] (S)kamiya1979: 個性は出たのかな
[241.641] カブトシロ: スマホはね。
[241.845] tetsujigon: 柔道できるからまだケン強いと思います。
[242.238] aranami0: ケンは闇が薄くなった
[242.478] usa451: チャットのみにした方が見えるかな
[242.685] warotyphoon: お試しでもいいからウメリュウ見たい
[242.848] toki0823: ゲームとして面白いキャラであってプロシーンでは、、ってニュアンス
[243.886] balthazar000: むしろケンが現状どうなのかわからんす
[244.029] にゃんだろーりんぐ: にゃんだろーりんぐ subscribed with Prime. They've subscribed for 17 months! ウメちゃんこんばんは〜
[244.075] mugicha_games: 投げループ難しくなった→ケン
[244.453] shellfish55: 最弱キャラ→弱キャラになったったかんじ！
[244.534] gurigurikuuun: パニカン7000
[247.411] 4444446666: 立ち回りは変わってない 火力だけ 集中スタートで７０００ダメージ出るようになったくらい
