[14.695] maruino351: おはよー
[20.389] 箸くれ: こんにちは 
[21.300] (S)hoshi_boshi_0: ウメちゃんこんばんはー
[22.677] (S)nakamura3278: こんにちは！
[32.456] (S)軽く捻るか: こんばんは！
[32.679] 5don: umeCheer100 
[32.744] 箸くれ: じょんｗ
[32.922] えび猫: こんばんは
[33.982] marutyan1511: こんばんは
[36.653] (S)BeniyaEater: おはようございます
[36.856] maddy2623: ウメちゃんおはようございます
[38.741] ゆるゆる観覧車: こんばんは
[41.216] kentaro_3912: こんばんは
[43.577] jojojoy001: いきなりジョン竹
[44.223] (S)kamiya1979: こんばんは
[45.104] (S)ichione111: こんばんは
[47.037] (S)yukikaze083: こんばんはだよ～
[48.028] pekusuyada: ジェイミー！！！
[51.781] (S)イエール: ウメちゃん！！
[52.294] apacheconf: あれ、ジョン竹ジェイミーやってる
[54.455] カブトシロ: こんばんは。
[55.439] wrwig: リュウの追加面接
[56.061] 箸くれ: ポケットでクシャクシャになってた
[57.408] (S)kamiya1979: 始まってる
[59.084] 吉田じんぎ: ウメィミーはー？
[64.397] (S)ichione111: 今日も面接ですか
[64.602] (S)黒猫くん: リュウやんけw
[64.675] Jeakfreet: こんばんは
[66.150] ハルキ10: あれたかし？
[68.235] blackuma: こんばんは
[68.962] donguri_prpr3: あれ、今日もリュウ
[70.789] (S)イエール: リュウさん！まさかあんた......。
[71.449] ピヨさん: こんばんは
[75.786] ベルクト君: コレは何とも懐かしい組み合わせで
[76.174] (S)ひまんちゅ: リュウ面接受かったの？
[79.909] センシ: ウメさんこんばんは
[80.743] 将門ゴルゴロ: 今日もリュウ査定
[88.568] potocki1810: 今日も今日とてリュウ 
[88.798] (S)イエール: リュウは昨日の面接で内定もらってた
[90.079] wrwig: リュウは2次面接通過したから今日も面接だよ
[91.491] cpmt: ジェイミー？
[92.383] (S)marton_ss: 2次面接か・・
[97.565] (S)kamiya1979: 命繋いだリュウさん
[97.663] cook_5921: umeCossack
[97.900] bec118_japan: ケンがいるから遊べるリュウ
[99.240] (S)kakutora_no_o: ありゃ？リュウの面接進んどるやんけ
[103.561] yukapero_14: こんばんは
[105.854] 吉田じんぎ: DinoDance
[107.947] shog1994: ジェイミー使ってると思ったw
[108.073] moriorio: 端飲みしないんだね
[113.211] ピヨさん: 一緒に強化された仲間
[114.230] 5don: 昨日のラストチャンスたかしファイアを生き抜いたっぽいです
[114.308] センシ: ウメさん昇竜拳の練習は？
[117.035] (S)イエール: DinoDance
[117.091] (S)hakka_s: こんばんは！
[120.508] ましゅダヨ: うめちゃんおはよう〜
[128.194] hitmehitme: マイクミュートになってます？
[130.429] (S)kakutora_no_o: LCR生き残ったんか？
[132.416] ~MISSING_COMMENTER_INFO~: こんばんは梅原さん
[133.904] ましゅダヨ: 今日もリュウだねぇ！
[137.898] (S)Opening_Runner: kuzuyoKumatone
[137.943] ベルクト君: TwitchConHYPE
[138.412] ねねと: ミュート？
[138.594] (S)ひまんちゅ: リュウ「土日もシフト入れます」
[139.511] wrwig: 昨日の面接通過してたよ
[140.551] jin_m7: 感謝の昇竜拳は配信前に終わってる感じですか？
[145.359] SUGAKIYA: リュウくん解説席でしょ
[147.965] 将門ゴルゴロ: 今日のウメさん公家みたいなすっきりフェイスだな
[148.027] (S)イエール: iPhoneは元の恐竜になってるよ 
[148.283] bec118_japan: 確かにマイク光ってない
[155.124] すぎた_のり: こんばんは 
[155.338] tabibitox: ジョンくんさすがにつよい
[155.343] ましゅダヨ: 週7行けますって言ってそう
[161.048] 4bunny: こんばんは
[161.951] もきち555: こんうめちゃん
[164.736] イガ: イガ subscribed with Prime. They've subscribed for 30 months, currently on a 1 month streak! ウメリュウ助かる
[170.180] ましゅダヨ: ミューウメ
[171.369] 5don: マイクありがとー！
[172.174] ましゅダヨ: あ、
[172.969] ぎんぎらぎん: リュウあれ？いやなんでもないっす
[175.202] ましゅダヨ: おかえり
[175.370] one596: まだリュウとお別れ会したなかった！
[175.526] hitmehitme: うおおお
[178.166] (S)sumabufalcon: umeYay
[178.173] jojojoy001: ジョンやるぅ
[180.950] tsubame5204: umeSalute
[181.501] (S)kakutora_no_o: 今気づいたけどこれジョン竹かw
[208.123] dai920: お、ウメちゃんジェイミー始動か…あれ？
[217.138] SUGAKIYA: ウメェイミーあるの？
[222.608] ましゅダヨ: 上手いジェイミー見るとおもしろそー！！てなるよねぇ
[226.730] tasuminn: スナフキンのゲーム配信しますか？
[233.864] (S)kakutora_no_o: 元ジェイミー使いとしてはどう思ってんやろか調整後のジェイミー
[239.810] gajpmwtdpw: なにぃ！ウメリュウがいる！？
[243.345] teruharu_: こんばんは
[243.915] ~MISSING_COMMENTER_INFO~: 今日は何時まで配信します？
[247.284] potocki1810: そういえば辰年なのであった 
[248.139] menma0701: やっぱケンだね
[248.680] ましゅダヨ: スナフキンのゲーム……？？気になる
[253.733] OKG_TWIN: しっかりしとる
[268.275] SUGAKIYA: スナフキンの解釈違い起こすウメちゃん見たい
[269.347] tabibitox: ﾆｶﾞｻﾝ
[273.425] tarantarantaran: umeOredayo
[275.082] OKG_TWIN: どーん
[286.715] jojojoy001: こりゃ1回でケンかな
[288.533] OKG_TWIN: あ
[295.722] gekoooooooooooooooo: リュウの面接終わったんちゃうの
[305.541] gajpmwtdpw: そもそもリュウ側がジェイミーキツめであるという
[310.904] 闘劇のアルベルト: ｳﾒﾁｬﾝｵｶｴﾘｰ
[313.252] (S)kakutora_no_o: あのスナフキンのゲーム可愛かったなぁ
[314.361] ましゅダヨ: リュウが可愛くなっちゃったのでは
[319.662] ランゲルハンス島観光協会: ランゲルハンス島観光協会 subscribed at Tier 1. They've subscribed for 34 months! 
[329.201] wrwig: リュウは昨日のラストチャンス面接を通過したよ！
[331.118] aiukake: まだ面接は続いている
[337.682] aoa2011: 家族の人質はもういらない
[341.014] dxacpnp: リュウやれんのか２０２４
[347.503] gajpmwtdpw: これ2次面接会場か
[349.908] ハルキ10: チャンスを掴んだたかし
[352.567] オカモ二等兵: リュウをみないと眠れないこんばんわ
[352.769] ましゅダヨ: そっか、最後の時にもうちょっとって延長入ったんだった
[356.276] successmk2: あれ？リュウ延長？
[362.735] 5don: 今度の本調整で牙をもがれないと良いなぁ
[363.977] ましゅダヨ: ジョン？
[366.479] げら: まだ仮採用なのか；
[367.443] bec118_japan: いった
[370.905] (S)ponponguripon: しんっ
[371.176] mktokidoki: こんばんは ザンギとリュウと快楽を得られるのはどちらですか？
[372.304] rebando: おおー
[373.861] ましゅダヨ: へーる
[374.708] bec118_japan: いってないーー
[376.232] 5don: P
