[2.621] paps0423: いい大会だったなあ
[2.794] hima2273: NotLikeThis
[2.936] フロウス: お疲れ様でした！
[3.180] wargod_broly: Shinae
[3.261] myodent21: 落ちたー
[3.397] めめせー: ここから有料まじか
[3.614] (S)legendarykidgoku: umeFail
[3.933] v_harumi_v: デスウォーキングってw
[3.984] cook_5921: え
[4.060] rdstus: お疲れさまでしたー
[4.163] ザマニール: デスウォーキングした
[4.221] uncledoon: いい大会だったなぁ
[4.455] mimiprettybot: 最終試合熱かった
[4.707] masayan0618: ウメハラどーしたー！
[4.830] yam1351: えいたほんま
[5.071] りずむゅ: BibleThump
[5.083] CompositionB: Effu
[5.115] underground0714: もけどうして…
[5.329] 桃田社長: kokuji3Naki
[5.684] どる1107: あれ
[5.893] りもーね: gloriHolymoly
[6.267] Punipuna: 草
[6.847] (S)きんちょーるを救いたい: umeSalute
[7.010] デスマーチ: 帰ってきてー
[7.368] 洋ナシ: おつ
[7.868] yuukida39: とまったああ
[8.258] cherimoyavr: いやーあっという間だった
[8.340] (S)軽く捻るか: あらら
[8.384] oleo0227: 散歩の話は有料
[8.806] tilia211: 大会おつかれ～
[9.021] tukune51: 閉幕です。。。
[9.042] stopriverk: 第3部完
[9.566] (S)gabugabu3500: なんか開始しようとしてすぐ落ちてるな
[9.717] 憂う者の弟子: えいたが線踏んだか！？
[9.844] さいくつ: あっという間だった
[9.976] tanu_p: karubisNikoniko
[10.200] unias2: 回線もギットギトに
[10.394] Ash001jp: 感動をありがとう
[10.408] ukir02: デスストリーム
[10.611] フルりん: karubisTT
[10.920] 感動詞: 俺だけかと思ってリロったら切れた
[11.150] gumi504: ぐっばい
[11.390] afrorampage1: victor1336Pien
[11.992] グンダム: おつでした
[12.099] ginsukethedoctor: はい
[12.349] mart_00_: もけの話してたら切られた
[13.132] hiaaru: umeYay
[13.328] 名もなき義人: おつっした 
[13.366] Papapadad: おもしろかったねー
[13.460] kimie_white: 会場の電気落ちた？
[14.069] hunmaturyokuch: おまかんかと思ったらおわたw
[14.209] mattyksk: BibleThump
[14.488] kansai_wirow: 落ちてる？
[14.758] chin_56_: いい大会だった
[14.771] koimen: 破産しちゃった
[14.828] 最強はたかし: みんな、またな
[15.040] MERIDA105: オフラインw
[15.153] デスマーチ: 戻った
[15.371] shumatsu623: どうして・・・
[15.822] sei_6: おつかれー＾
[16.279] サラエボ眉間: お疲れさまでした
[16.610] (S)ストロングアニマル: umeCatGlare
[17.158] masayan0618: 音声だけ
[17.825] おざなり: もけった
[17.926] yamanekojiro: 有料かー
[18.558] devi1ee: ありがとうございました
[18.722] gorogorogorn: ウィルNG出たか？
[18.783] (S)Xanide720: Xanide720 subscribed with Prime. 
[18.804] アヘマン1: tmt
[19.947] gororo1121: sekiChibi
[20.211] sai927: 始まった
[20.221] kitkit3: おばちゃん引っかかったか
[21.690] 我がゴイチ: もけが止めたー
