[7.670] もきち555: こんうめちゃん
[13.349] (S)軽く捻るか: こんばんは！
[20.604] 新ころりん: 梅ちゃんこんばんは
[21.609] (S)木佐0079: こんちゃす
[22.896] akira_s_: こんな時間からお仕事ですか
[25.591] balthazar000: お？ これからですかい？
[29.322] basoonk: こんばんは
[29.702] abo_gorilla: こんばんわー
[30.464] norumon: うおお
[31.888] だいこん_: umeCossack
[32.849] kiku1133: ちゃああああああん
[33.043] 5don: umeYay
[36.001] ぬーぼー2: こんな時間から
[36.257] v_harumi_v: ウメちゃん、こんばんはー。ビーストカップとっても楽しかったです。
[37.267] (S)ichione111: おはよー
[37.295] ryokucha112233: こんばんわ
[38.130] みこん: PopNemo
[38.199] koyo0905: ハイゲおもれったなー
[38.315] (S)yamaguri3210: こんばんは
[38.442] kiku1133: mirunjaneeRUN
[39.968] kakaowpgj: こんばんは
[40.806] nabeo777: スト6さいこおおおおおおお
[41.545] 5don: 5don subscribed at Tier 3. They've subscribed for 63 months, currently on a 63 month streak! 
[43.519] どこどこ60: unkochanYaa
[44.075] manaka0408: 時間！？
[44.091] あかの: 組手ってこんな時間からなんだ
[44.762] natori_am: 遅くにお疲れ様です
[46.196] norumon: 梅ちゃん全部見れるの？寝ちゃわない？
[46.411] wananaki: こんばんは！
[46.950] 新ころりん: 昨日と同じなら２時からやね
[47.114] nabeo777: 格ゲーさいこおおおおおお
[47.805] akira_s_: どうみても今起きたって感じで草
[47.956] konechan013: こんばんはぁ
[48.224] aranami0: こんばんはー
[49.622] Loytory: ウメちゃんばんわ〜
[53.695] eremin_39: 起きている
[53.886] usamaru_noir: こんばんは、ビーストカップお疲れ様でした！
[55.158] teruharu_: こんばんは！
[56.548] nemousbird: こんな時間からなのか
[56.777] balthazar000: Tシャツ届きました
[56.779] てべす1103: ウメちゃんこんばんは〜
[57.646] 箸くれ: 生きてた！
[57.849] (S)miruko003: 寝れないの？
[58.463] (S)木佐0079: 今日も武器の話すんのかなｗ
[58.470] ももしろてゃん: ももしろてゃん subscribed with Prime. They've subscribed for 9 months! 
[59.247] (S)キングレオ222: ビーストカップお疲れ様でしたー
[60.712] bokaaan: 高木とメシいったらしいねｗｗ
[62.706] ぬーぼー2: 少しは寝れたのかしら
[64.986] pyamaaaa: ウメちゃんこんばんは〜
[65.826] (S)イエール: ウメちゃん！やっフォイ！！
[66.508] abo_gorilla: こくは大活躍でした
[67.046] 箸くれ: 体力回復しました？
[67.865] 5don: Tシャツいいですね
[68.588] (S)豚ああ: こんちわー
[69.077] (S)ichione111: Cheer100ビーストカップお疲れさまでした
[69.134] natori_am: スト6が最高に盛り上がった件について
[70.595] v_harumi_v: 二日酔い
[71.802] 地球最弱を継ぐもの: こんばんは～
[72.396] oya1111: スト6盛り盛り上がってるね
[72.465] だいこん_: ハイゲ、スト6メチャクチャ盛り上がってましたね〜
[73.602] ~MISSING_COMMENTER_INFO~: ｗｗｗ
[74.492] 新ころりん: ハイゲのスト６も中々面白かった
[75.472] yut7xot8: 高木どうでしたか？
[75.646] falcanon: こんばんは。
[75.863] balthazar000: 飲み過ぎた？
[76.521] sai927: ウメちゃん、今スト６の注目えぐいっす
[78.394] danny_love_danny: 高木くんどうだった？
[79.467] (S)yamapon_: 昨日ひぐちくん達ウメさんの家に泊まったんですね
[79.794] pyamaaaa: 飲み過ぎか
[82.399] akira_s_: 二日酔い
[83.383] kakaowpgj: ウメちゃんはガチで見てなさそうw
