[14.078] 若鶏の唐揚げ: umeCossack
[24.746] 千葉県おっさん: こんにちは
[30.635] gularain: こんにちはー
[36.186] osushi15: 👋
[39.560] 吉田じんぎ: DinoDance
[40.106] rennyese55: HeyGuys
[45.660] ガスおじ: こにゃにゃちわ
[50.380] (S)豚ああ: こんちわ
[52.494] (S)yukikaze083: こんばんはだよ～
[56.777] ジャンクばっち: umeNekoMiru
[57.386] maddy2623: ウメちゃんおはようございます
[59.275] teruharu_: こんにちは～
[60.444] (S)a_isana: こんにちはー
[62.867] (S)ひじきもち: こんにちはー！ 
[65.446] (S)毒見ユッケ: umeNeko
[68.193] 箸くれ: 無音
[95.761] (S)firefly860130: こんにちはー
[98.448] falcanon: こんにちは
[99.257] よもぎです: 今日もハンサム炸裂かー？
[101.818] ミカロニ: 自分で言うタイプなんだ
[104.174] Fkdso555: 問答
[105.760] chin_56_: もだんもだん
[107.708] くろにゃんこにゃにゃ: umeCats
[112.210] (S)whitedevil_121: whitedevil_121 subscribed with Prime. 
[120.907] ガスおじ: mondって期限とかあったりするんですかね？前に書いててもし消えてるならと思って
[122.553] tabibitox: ふむふむ
[128.212] gularain: はいー
[129.637] 千葉県おっさん: へーい
[131.903] 箸くれ: わーい
[138.258] tanu_p: 蛇足にぃ大丈夫かなあ
[140.423] よもぎです: 今日の献立
[140.895] (S)yukikaze083: はーい
[143.353] maya_g01: ウメちゃんこんちはー
[144.772] ましゅダヨ: うめちゃんおはようー
[155.377] ましゅダヨ: はあーい！
[155.897] (S)毒見ユッケ: ウメちゃんホワイトデビルって読めるんだね
[158.569] shiro_risu01: umeCatHope
[174.890] kaomoji3: うおおおおおお
[184.558] pakarantos24: 酒飲みゲロ吐き
[247.429] one596: いきなりモダン質問両方チラ見えしてんな
[254.005] rsk1101: 野次馬根性で見に来てしまった自分の根性が悲しい…
[254.573] HAGEMEGANE: ノドケア
[254.981] maya_g01: ほいほーい
[258.074] Fkdso555: 龍角散かな？
[263.405] wonderhit1: ブチギレてそうな文圧を感じる
[266.703] kimurayuichi: 松本零士も仕事先の電話を飴舐めてるからとステイさせたそうな
[269.460] あかの: 仕事中に聴くモンドは良い息抜き
[272.269] tanu_p: 花粉辛い
[273.456] ましゅダヨ: 喉ガラッとしてた？？
[277.687] ガスおじ: 花粉症だったり？
[289.039] tmtm84: あれ？モダンボーイ集まる感じ？ｗ
[310.097] ミカロニ: 大谷翔平の通訳のニュース見た？
[314.099] teruharu_: umeNeko
