[29.627] T7K2Y: やあ
[32.526] だいこん_: umeCossack
[33.479] nan4mi66: こんちゃす
[36.783] ikageso5: こんばんわ
[38.722] (S)ひろみ1229: こんばんは
[38.960] ましゅダヨ: うめちゃんこんにちは！
[40.684] 無心に: こんにちは、こんにちは
[43.166] Papapadad: ウメちゃんおはよう
[43.303] えび猫: こんに
[45.090] maddy2623: ウメちゃんおはようございます
[45.371] フﾄ: こんちわー！
[46.861] teruharu_: こんにちは～
[49.889] ishikoro1253: うめちゃんおは
[50.250] (S)毛穴つぶつぶ: こんばんは
[51.856] (S)とらうと_27: umeFist
[51.895] チクラハタテヤマン: にょっす🐮✋
[52.501] (S)moppu_gake: こんばんはー
[53.653] (S)ponponguripon: すっきり 
[54.707] だいこん_: どんもー
[61.095] (S)makaronimakalon: こんばんは〜
[61.123] ましゅダヨ: わあ、さっぱりだあー！
[62.427] Suiryu3324: こんにちは！
[64.848] shiro_risu01: umeCatHope
[69.213] mari_mari_01: こんばんはー
[74.344] (S)moppu_gake: 髪切った
[74.548] おどる: こんにちは
[83.855] tenp101: ウメさんこんばんは
[87.095] (S)firefly860130: こんにちはー
[87.518] そーめい: HungryPaimon
[88.119] (S)のぶとも: シャンクス…髪が…！！
[89.164] にゃんだろーりんぐ: こんにちは〜 
[97.422] tsubame5204: umeSalute
[101.918] (S)moppu_gake: はい！
[103.704] (S)毛穴つぶつぶ: おっけー
[104.530] 無心に: 爽やかだねえ
[105.703] ましゅダヨ: うん、了解だよー
[107.091] (S)firefly860130: 格好いいです
[109.228] だいこん_: umeSalute
[110.821] すぎた_のり: こんにちは 
[111.196] v_harumi_v: ウメちゃん、こんばんはー
[119.807] すぎた_のり: お似合いです 
[121.228] v_harumi_v: そうなんですね。了解ですー
[122.988] もちこすパーティージュニア: umeStretch
[123.189] johndoe6523rp: そういや、トナメ表変わったぽいけど
[127.344] maddy2623: umeCat
[133.612] (S)すけりょー1011: 髪の毛かっこいいです 
[137.042] v_harumi_v: リズム整うと良いですね
[137.678] ましゅダヨ: そかそか、ゆっくり寝れるといいねぇ
[146.527] イエール: ウメちゃんこんちゃよぉ
[149.396] (S)kakutora_no_o: 今日は見れたー
[152.896] ましゅダヨ: 早起きは三文の徳ですな
[155.377] v_harumi_v: 何時に起きたんでしょ？
[165.899] goozy009: こんばんは〜サッパリしましたね〜
[170.718] bokaaan: でぃえご！
[197.410] CARNO_JPN: オフラインでの練習はされないのですか？
[206.331] (S)yoonosuke_wt: こんにちはー😀
[242.548] (S)yukikaze083: こんばんはだよ～
[278.050] pondenring0930: 髪切った？一旦CMでぇす
[278.772] falcanon: こんばんは
[289.681] (S)めーーーぷる: こんばんは 
[308.102] (S)軽く捻るか: こんばんは！
[331.203] johndoe6523rp: ウメさんはトナメ変わってないっぽいな
[394.648] takahashiseigi: Menaは普通に日本に来てるっぽいですね
[404.321] (S)hakka_s: こんばんは！
[413.342] SmilingTigerTK: hello daigo
[413.587] blackcoffee0821: evojけっこう海外勢きてるんだね
[435.380] totomaru_chan: 円安できやすいとかあるのかなー
[437.622] ましゅダヨ: 円安だから今来やすいかな
[458.143] takahashiseigi: ビグバは来ないはず、来たらしんじさんと当たりますw
[487.733] ebian26: こんばんわー
[498.738] ugigigi: えいたのキック
[518.389] one596: トナメ変更に伴って参加者増えてEVOjのスト6が5000人大会になった
[555.355] ugigigi: 国技館はこれより多かったんだから震える
[563.535] (S)wakkyie: 春火力あんなー
[577.727] ましゅダヨ: 最初のしんじとビグバの対戦は見たかった
[577.819] (S)moppu_gake: ウメハラさん今期のアンチヒーローってドラマ面白くて人気ですよ
[585.122] SmilingTigerTK: niceu
[606.693] v_harumi_v: 髪の毛、サイドがスッキリしましたね
[611.367] hawawawawawa: 髪きったんだ！？
[612.635] SmilingTigerTK: daigo i read ur book
[616.195] もきち555: こんうめちゃん
[626.282] blackcoffee0821: umeGu
[626.289] (S)軽く捻るか: 髪の毛さっぱりしてますね
[637.039] ましゅダヨ: 海外勢の人達、日本enjoyしていってくれたらうれしいよ
[653.468] (S)wakkyie: ウメちゃんがテレビドラマ見るイメージなかったわ
[653.693] blackcoffee0821: スマッグ猫カフェ行ってるw
[675.606] ましゅダヨ: 結局パーマはかけてないのか……？
[685.206] ましゅダヨ: 猫カフェかわいいw
[690.891] ugigigi: サンワブースの品揃えめっちゃ良くて羨ましい
[697.956] goozy009: ウメさんPS5練習はしないのかな〜
[710.203] Hikaru_256: 日本は楽しすぎて練習おろそかにになる海外勢続出しそうだなｗ
[741.302] (S)野原しんのすけのぞうさん: umeYay
[742.196] (S)moppu_gake: キャミィむずいなー
[743.953] CARNO_JPN: ウメさんはPS5を持っていない可能性が…
[758.785] yasubewe: この組み合わせかなりおつらい
[770.373] ましゅダヨ: PS5実は持っているらしいですw
[774.313] johndoe6523rp: いや体験版の時使ってたから持ってるはず
[781.233] 浅草ガッツマン: 最近海外勢がランクやってるらしいよ
[787.912] v_harumi_v: 体験版の時、使ってましたね
[804.629] ugigigi: めんおじが提供してたのは覚えてる
[805.628] ましゅダヨ: 知らない人達がランクマ入って来るの楽しいですなあ
[817.276] ましゅダヨ: メンおじぃぃぃぃ～ 
[857.324] thisisnameless: gg
[861.983] ましゅダヨ: くうう
[872.416] koga_rashi: PS5を2台で2窓配信はなかなか贅沢だったよなぁ
[878.787] takahashiseigi: Rainproが無線でランクマやっているらしいw
[887.321] ugigigi: 勝てる組み合わせではあると思うけどかなり無理をさせられる印象
[891.406] nubiafire: rip points, can never beat any cammys lol
[902.750] ましゅダヨ: くりすー！
[907.905] にゃんだろーりんぐ: PS5探さないといけないんじゃなかったっけ？
[936.182] vivfiw: MK！？
[957.273] ugigigi: 海外勢が日本で熱帯潜ってるのええな
[957.738] ましゅダヨ: やるならPCで遅延つけて練習するって言ってた
[993.281] goozy009: なるほど、まあフレーム合わせれば問題なさそうですもんね
[1068.072] blackcoffee0821: 海外勢はノートpcでやってんのかな
[1108.995] ugigigi: PSって何Fぐらい遅延あるの？
[1124.099] fbhjkl: PogChamp
[1129.054] bunbun0880: 足りる？
[1130.172] thisisnameless: !!!
[1133.302] (S)wakkyie: 足りたー
[1134.070] bunbun0880: 足りたー
[1136.192] Loytory: えらすんぎ
[1138.893] ましゅダヨ: 足りたあ
[1142.304] tomorock21: ナーイスコンボ！
[1143.805] 新ころりん: 梅ちゃんこんにちは
[1148.893] (S)wakkyie: 死なんと思った
[1153.377] ましゅダヨ: え？へる
[1155.657] chadiiiiiiiiiiiiiii: へりすぎぃ！
[1158.287] johndoe6523rp: 人によって変わるみたいだけど1〜2Fみたい
[1158.489] takahashiseigi: アドリブコンボか？
[1161.034] CARNO_JPN: へりすぎ
[1165.043] ましゅダヨ: ちょ……
[1250.120] ugigigi: 俺は2F程度の遅延では体感出来ないので関係のない話だった…
[1259.094] v_harumi_v: ｗ
[1264.262] ugigigi: で、出～！
[1265.161] (S)yukikaze083: ｗｗ
[1266.756] ましゅダヨ: えいたはいつも心に
[1267.550] クラクラ777: 栄太キック
[1273.030] ねりまん: ウメちやんネモにお祝いあげるの？
[1275.907] 浅草ガッツマン: えいたありがとー
[1277.490] maddy2623: ウメちゃんえいた好きね
[1279.318] Loytory: ルーク戦うまいなぁ
[1279.983] (S)ドン坂本: umeOreda
[1280.512] yasubewe: A太さん(仮名)
[1281.159] imnotagodx: Clap
[1283.007] (S)軽く捻るか: えいたさんありがとー！
[1286.336] v_harumi_v: えいたさんのキーック！ 
[1286.941] bunbun0880: ながたキック
[1291.433] Hikaru_256: えいたの技をラーニングしたか
[1291.652] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1294.890] 新ころりん: そういやネモさん結婚か
[1296.293] にゃんだろーりんぐ: ネモさん結婚したね
[1297.345] ましゅダヨ: えいたもよろこんでる
[1300.464] roi3s: ネモさん結婚したのか
[1301.257] chromavalue: 心に棲まうえいた
[1304.362] takahashiseigi: 海外勢続々来日中
[1304.550] 000105: 幻影
[1309.181] ugigigi: 再婚か
[1311.098] v_harumi_v: ネモさん、結婚おめでたいですね
[1311.748] tama_zx61: えいたさんのご加護
[1315.377] ましゅダヨ: ふぉ！？ネモさん結婚！！！おめでたい！
[1315.849] SmilingTigerTK: water in redbull?
[1317.214] 桃田社長: おめでたい
[1323.460] ましゅダヨ: wwwwww
[1325.572] 新ころりん: マジです
[1325.688] 桃田社長: ！？
[1325.927] fbhjkl: WutFace
[1326.632] 浅草ガッツマン: さすがに？
[1327.576] (S)軽く捻るか: ｗｗｗ
[1327.689] jankboxtt: www
[1328.270] シャンウー: おーー
[1328.354] ましゅダヨ: しらなかった……！？
[1328.593] goozy009: 知らなかったの？
[1328.896] hawawawawawa: 今知ったのｗｗｗ
[1328.920] イエール: 今知ったの？w
[1329.397] v_harumi_v: 驚き！
[1329.633] donekofg: 今知ったかー
[1330.073] chikotsu: umeYay
[1330.201] れの__: 知ってた顔で草
[1330.439] もきち555: しらなかったーｗ
[1330.607] くおお: ！？
[1330.612] ペプシ男: ええ！？ｗ
[1331.334] takahashiseigi: というか再婚
[1332.052] クラクラ777: え？しらなかったの？？ｗ
