[12.391] フﾄ: umeTrigger
[21.346] FLoW009: yooo lets goooo
[27.274] sahaha213: ウメちゃんおはよー
[28.115] 4tap_py: RyuChamp
[31.639] (S)ちぇんぷる: こんにちはー！早いね 
[33.025] SrShinsaw: nice daigo, Shinsaw of brazil
[35.992] kaomoji3: うおおおおお
[37.839] xx_elver_isk_xx: xd
[38.695] (S)firefly860130: こんにちはー
[39.199] anjifish0225: きたああああ
[39.922] tarako330: うーす
[40.714] chonpy46: ありがてぇ
[41.365] xx_elver_isk_xx: hiiiiiii
[41.495] tenp101: ウメちゃーん
[42.528] 5don: umeYay
[44.825] kiton_taichi: おはようございます！
[44.905] toki0823: 早い！
[44.956] mari_mari_01: こんにちはー
[46.038] Fkdso555: ウメちゃんの朝は早い
[46.209] teruharu_: こんにちは～
[47.334] のぶとも: はっやw
[47.887] ダイナソー龍崎: YouDontSay
[48.073] v_harumi_v: ウメちゃん、おはよー。今日ははやいね
[49.134] くおお: おはようございます！
[49.445] oinari6: 早めに初めて早く終わる感じ？
[49.981] (S)hakka_s: こんにちは！お昼ありがたい！！
[50.738] Papapadad: ウメちゃんおはよう
[52.281] tadokorooda: うめちゃーーん
[54.048] しいたけもぐもぐ: おはようございます。
[54.266] bunbun0880: はやいよ～
[55.471] Nishi_Poteto: 待っていたぜ…この時を！
[57.073] (S)makaronimakalon: こんにちはー
[57.184] aru_0928: コンボブレイカーは参加しないのかな？
[58.148] sn0wf0x3: ウメちゃんおはよー
[64.800] Eigyotyu440: 今日も12時間？
[67.422] ちぶるすきー: 豪鬼うおおおお
[68.092] (S)kamiya1979: おはよう、今日も早いー
[71.903] tmtm84: 真豪鬼いく？
[73.477] くろにゃんこにゃにゃ: おはよー
[76.116] ちぶるすきー: 何食ってるの？
[76.340] kiraku08: ウメちゃんおはよ！早いね
[77.374] しいたけもぐもぐ: 今日も豪鬼やる？
[79.163] np2np: 今日ははやいねー
[80.047] (S)nakamura3278: おはようございまーす！
[84.305] tarako330: 昨日は寝れたかい？
[87.233] (S)破流巻: 2日目早いですね！
[87.629] kiton_taichi: ななチキかな？
[89.650] inago211: おいち？
[90.010] teruharu_: ご飯買い出しもばっちり
[93.178] v_harumi_v: 海外に向けての時間調整ですか？
[93.189] sahaha213: まずは
[98.026] Bureaucrats: はやい！ちゃんと寝れましたか？
[100.818] こたのすけ: 豪鬼パワーアップの裏技発掘されたね
[101.516] akichaa2: ウメちゃんおはよー
[102.162] norumon: 今日のBGMは〜？
[102.169] (S)破流巻: BGMはショップから買えます
[102.571] dxhx521234: dxhx521234 subscribed at Tier 1. They've subscribed for 43 months, currently on a 30 month streak! ダイゴさん　こんにちわー
[104.419] kimurayuichi: ウメちゃん豪鬼の隠しコマンド知ってる？
[104.850] (S)ちぇんぷる: 今日も噛んでるねえ！
[107.471] tomotyasoxxx: 今日も12時間
[111.508] もきち555: おはうめちゃん
[113.885] gularain: 早い時間から嬉しい
[114.130] サルヴァトーレ: GoodOne
[119.270] umao210: おはようございます
[120.797] hoshi_boshi_0: 早い！こんにちはー
[125.314] 木佐0079: 今日ははやいですね
[131.876] (S)hakka_s: 何食べてますか？
[132.478] もきち555: 新しいゲームウキウキ
[132.872] (S)ありやんさん: おはようございます
[134.759] sn0wf0x3: 何食ってるの？
[137.685] 2scene: バトルハブにいる豪鬼とはもう戦った？
[139.208] norumon: 豪鬼の裏技1日で発見されるのすげーわ
[139.575] あぱれる君: ダイゴウキさんおはようございます
[144.247] Wiibal: 噛んでるのえらい
[150.194] bec118_japan: 5のリュウ入れてる？？
[154.350] brunojacaranda: 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
[155.194] grrgotyo: おはようございますぅうう
[156.644] misopotato: Xのキャミィステージなるほど
[157.165] (S)しまっちゃうおじさん: しまっちゃうおじさん subscribed with Prime. They've subscribed for 7 months, currently on a 2 month streak! 
[157.825] オタシム: 噛んでる
[159.120] tmtm84: 豪鬼とか昔半年かからなかったっけ？
[159.997] 近未来バスター: 近未来バスター subscribed at Tier 1. They've subscribed for 12 months! おはようございますう
[162.007] market_fujisaki: やっぱ大型アプデはやる気スイッチ入るねえ
[164.360] (S)破流巻: 5のリュウの曲いいですよ！
[166.444] (S)ともきんぐ_: 曲選びから始まるのええな〜
[170.192] tabibitox: はやーい
[175.456] keikohiro: 噛むアプデ入ったウメちゃん最強
[176.622] ilm0806: アメリカは、豪鬼か
[181.446] maddy2623: ウメちゃんおはようございます
[185.799] (S)めーーーぷる: おはようございます 
[186.616] v_harumi_v: ぼのぼのだー
[189.899] daru0222: モグモグタイム(*ﾟ～ﾟ
[191.094] gularain: 仕事のＢＧＭにするよ
[191.156] mrfappy2: KFC???
[198.933] norumon: ！
[199.413] (S)クロチル: はやいね
[200.114] bec118_japan: お気に召さないかー
[200.694] okiyoo000: おはようございます
[211.034] kalelecirb: ta fan yi guo xue ma?
[215.529] une3333: 殺意リュウとかは？
[221.385] kalelecirb: hao bu hao ?
[223.704] 近未来バスター: 4の春麗入れてほしいい
[228.548] (S)破流巻: 中パンで試聴できるよ
[230.844] (S)nakamura3278: 聴けるよ
[232.236] dyingdivinity: hola
[233.121] light_hight: 試聴できるよ？
[234.808] une3333: めっちゃ良いですよ5の豪鬼
[234.873] aru_0928: 獣道2のPV思い出す
[236.413] yunyun_ada: ZERO3の曲は思い入れないの？
[237.979] (S)nakamura3278: そこで聴けるよ
[239.185] みえけん: 3rdも入れて欲しい
[250.201] (S)けろろがめ: こんにちは！スト5のリュウのテーマ追加されましたか！？
[252.953] amato710: amato710 subscribed at Tier 1. They've subscribed for 43 months! 
[257.814] dyingdivinity: hola señor daigo
[260.628] 泣き虫サクラ: やぁ
[264.358] tokai1234: YouTubeのサムネの方どこ？
[264.655] kalelecirb: aligato daisaemass sorry dude
[266.517] norumon: かっけぇ…
[269.031] kalelecirb: from gabon !
[269.679] こたのすけ: ここ曲名とかシリーズで検索できるようにしてほしいよな
[278.791] hiaaru: umeYay
[281.023] une3333: この闇に堕ちたリュウって感じのアレンジ最高
[282.483] 1108044k: いいねえ
[282.720] Fkdso555: ウメ殺意のテーマ
[286.354] aru_0928: かっけぇアレンジ風
[287.334] amato710: なっつ
[287.352] norumon: 鬼もいい
[289.185] ウダガール: ウメちゃんオハヨー
[297.907] bec118_japan: 尺八にハズレ無し
[302.099] njpw2017: KSKがやることはないであろう作業
[302.502] LogicalDashGG: うおおおウメちゃんきたー
[305.746] ちくわちくわ: umeMezame
[309.361] une3333: リュウのテーマがベースなんですよねーかっこいい
[310.691] sphere0315: 昨日のBGM鑑賞会アーカイブちょうど観てました
[311.814] ahum108: アプデでモチベ上がってるんすね
[318.096] Ceciltaisa: 狂おしき鬼の曲よく聴いてる
[321.194] plqnB: ストⅣの曲の評判の良さは聞いてたけど確かに格好いい
[324.738] めしゅ麻呂: bgmうおおぉ！
[327.344] (S)ponponguripon: おはよー
[330.563] とまとたいがー: いいっすねえ〜
[331.784] どんたく: BGM神機能よねー
[335.711] goto888: リュウアレンジでカッコいい
[339.543] すぎた_のり: おはようございます 
[348.409] すず12: 採用！
[353.885] (S)kuroannex: ZERO3のBGM聴くとうめちゃんの若い頃思い出す
[355.769] hoemin247: マゴオニ…
[359.834] 毛穴つぶつぶ: はずれ枠1曲いれとかない？
[372.227] une3333: まぁ豪鬼ですしw
[373.528] v_harumi_v: 朝ごはんは何食べてるの？
[379.796] アメンタセル: エルフォルテもいれときましょ
[380.610] Eigyotyu440: waoさん思い出す
[381.421] めしゅ麻呂: 自分はルーファスにしました
[382.525] 1108044k: おっかっこいい
[383.541] kino883: kino883 subscribed at Tier 1. They've subscribed for 56 months, currently on a 17 month streak! 
[385.413] bec118_japan: 俺は好き
[390.469] 泣き虫サクラ: まさに王様のブランチ
[393.590] gunnsou123: フードってかんじ
[401.441] v_harumi_v: もうお昼ご飯か
[401.679] おすかいと: おはよ〜
[405.162] norumon: スト4ポイズンって誰が使ってたっけか
[405.415] 牡丹に蝶: ウメさん豪鬼触ってみた感じ良さげでした？
[405.625] une3333: ポイズンは5の方が好きかなぁ
[406.425] ウダガール: よく噛んでる
[407.211] monpiipop: おはおは
[411.024] 近未来バスター: ポイズンごきけんじゃん
[423.209] aru_0928: ときどー
[424.075] (S)ゆうぺりおん: ~MISSING_MESSAGE_INFO~
[426.847] Emiyagg: 新しいおもちゃで遊びたい子供状態やん
[427.888] tmtm84: ときど参戦！
[430.827] sn0wf0x3: ときどー
[430.875] une3333: この曲ほんとかっこいい
[433.575] 5don: topang1Tokido1
[435.386] ronamu22: ときどのテーマ
[436.712] kino883: 懐かしすぎる〜
[439.494] aru_0928: 獣道2
[439.920] amato710: これは獣道
[442.119] Fkdso555: ユリアン豪鬼はときどのテーマ
[450.431] une3333: 個人的に豪鬼ナンバーワンはこのアレンジ
