[30.205] okaka_iq200: おいす
[30.783] (S)ひろみ1229: こんにちは
[33.802] Karaage9_9: ちゃーす
[33.896] 軽く捻るか: こんにちは！
[34.540] 5don: umeYay
[34.801] wazap_giorno: こんちはー
[34.805] tabibitox: きたー
[35.108] いぬきち1: おいーす
[39.751] takastoz: ウメちゃん、こんにちは〜
[41.845] 吉田じんぎ: DinoDance
[43.296] (S)kamiya1979: こんちはー
[43.792] v_harumi_v: ウメちゃん、こんにちはー
[46.005] daru0222: こんにちはー
[46.268] イブキっ: ウメちゃん発見
[47.274] pakarantos24: ラーメン食うぞ今から俺は
[47.471] おどる: こんにちは
[48.792] yukidaruma557: ちわー
[50.006] FatMari_: ういーす
[51.479] 首領ウー: ちゃす
[51.786] 箸くれ: ウメちゃんこんにつわ
[52.319] geriyaro: こんちは
[53.494] riaaaana: こんにちはー
[54.337] (S)ikaring0311: こんちゃー
[55.140] (S)ちぇんぷる: うめちゃんこんにちは！イカした髪型してるね
[57.606] 箸くれ: 入道雲みたいで素敵だね
[57.733] mari_mari_01: こんにちはー
[58.784] teruharu_: ウメちゃんこんにちはー
[58.919] v_harumi_v: 完全寝起きっぽい髪型ですね
[60.573] koyo23ted: こんちわー！
[61.687] takikomi_kopan: ウメちゃんおはよう
[65.959] 吉田じんぎ: ヒゲ伸びてるけどサウジ行くから？
[74.081] tarako330: ウメさん明日何時発なん？
[74.637] baebae_6: ウメちゃん最強！ウメちゃん最強！
[74.643] (S)すけりょー1011: umeCatSleep
[74.856] Karaage9_9: 豪鬼どうですか？
[75.293] v_harumi_v: おはようございますぅ～
[76.768] pu_neko3: こんにちわ
[84.168] tabibitox: 時差調整最終日か
[90.162] toki0823: ダラス？
[91.684] s___ryusei: 生活リズム変えてる感じですか？
[93.856] takikomi_kopan: ドリハク楽しみ
[97.376] v_harumi_v: 大会前の配信は今日で最後ですかね？
[98.320] pu_neko3: もう大会あるんだ
[98.585] tarako330: 勝てるといいねー
[102.081] rakuari: パスポート無くしてませんか?w
[102.392] セルベリア: 頭爆発しました？
[103.879] chin_56_: 泡立っとる
[105.117] akatoki_mk1: 今日出発かと思ってたけど明日だったか
[105.353] munageman1919: ダラスは豪鬼ですか？
[113.321] (S)ちぇんぷる: 素敵な寝癖だよ
[114.077] 箸くれ: 次のTシャツねぐせたのみますよ
[128.678] daizin0716: 護衛のカフェさんも一緒ですか？
[128.935] (S)けろろがめ: リュウは？
[135.811] (S)ponponguripon: こんばんみ
[147.938] (S)けろろがめ: ちょっと触らん？
[148.835] 新福菜館マン: 実験は成功じゃあああみたいな髪の毛しつる…
[150.992] (S)kamiya1979: まだ安定はしなさそうだけど豪鬼楽しみ
[156.405] Karaage9_9: ウメちゃん最近カップラーメン食べてる？
[158.130] v_harumi_v: はいですー
[158.790] (S)ちぇんぷる: はーい
[158.806] (S)kooooji_0: 芸術的寝癖すてきです
[159.754] tabibitox: ほい
[161.027] 軽く捻るか: 了解しました！
[164.522] v_harumi_v: 今日の配信は２０時くらいまで
[167.534] balthazar000: 爆発してますねぇ髪が
[168.277] teruharu_: はーい
[187.912] (S)ponponguripon: いつものユニフォームだ
[188.946] (S)kakutora_no_o: おやこんばんー
[199.082] selmer6q: キャー！ウメさーん！
[212.966] (S)yukikaze083: こんばんはだよ～
[260.298] skygunner1994: おおー豪鬼で大会でるんだ！やった！
[281.219] ryuuuuuuuyaa: オシャレな無造作ヘアーに無精髭、いい感じに豪鬼プレイヤーですな
[289.569] 泣き虫サクラ: やぁ
[308.045] あぱれる君: GoodOne
[309.240] 泣き虫サクラ: 逆立ちしながらゲームしとんか
[314.939] skygunner1994: まさかの髪型豪鬼寄せwww
[325.624] kawasak1n: 王、こんばんわー 
[345.582] bobonchuaaaa: 豪鬼使ってると殺意の波動に飲まれるんですね。
[347.808] selmer6q: 無造作ヘアーも素敵
[349.517] Armaeterna: ウメちゃんおはゆー
[362.008] 蝉時雨: あれ、出国っていつだ？
[365.626] bobonchuaaaa: パーマいい感じですね！
[378.154] gomesu: 出国は明日のはずです！
[380.975] kawasak1n: 明日じゃない？
[391.137] 蝉時雨: 明日か、ありがとう〜
[399.036] koyo23ted: ウメちゃん弾の性能だけ見るとやっぱルークより豪鬼のが強いすか？
[407.042] skygunner1994: 相手の豪鬼も普通に強いね
[428.583] balthazar000: 大会の豪鬼率気になる
[429.780] (S)kakutora_no_o: きんちょにぃ
[430.886] kawasak1n: きんちょ
[432.293] koga_rashi: きんちょーる
[434.748] tabibitox: 豪鬼オンラインやなぁ
[444.640] falcanon: こんばんは
[483.547] delinger723: 髪型がおしゃれ
[489.279] 戦う山田: ウメちゃんしばらく見れなくなるのか
[500.131] (S)kakutora_no_o: 斬空うまくなっつる
[526.106] TEIKETTO: 豪鬼ヘアー？
[532.695] falcanon: カワノチャンネルの「リスナーからリソースやっすい豪鬼の高火力コンボ紹介された」っていう動画見たけどとても参考になった
[554.166] (S)ひじきもち: こんにちわ～
