[13.129] 騙すカス鋼: にょっす
[13.841] だいこん_: umeHotoke
[17.978] henya1210: はっや
[18.874] v_harumi_v: 時間通りに始まった！
[29.702] v_harumi_v: おかえりなさーい
[52.966] maddy2623: こんばんは
[60.243] NagOutSide: こん
[60.355] 5don: umeGu❤️fuudo1
[64.557] firefly860130: おかえりなさい
[69.222] (S)kakutora_no_o: おかえり
[71.449] 5don: umeGu
[84.522] ミジンコ隊長: umeWins
[91.011] (M)gameinntwitch: 大丈夫そうかな。右のパソコンでzoom開くだけのはず
[93.661] v_harumi_v: 闇話題開始ツイートしませんか？
[95.354] falcanon: おかえりー
[101.822] だいこん_: いつぶりだ？闇不足だったぜ
[106.758] goozy009: おかえり〜
[109.404] rakotan306: 久しぶりで楽しみ
[114.235] koro3__: おかえりなさい
[114.375] v_harumi_v: メンおじさま、お疲れ様です。
[115.245] maya_g01: ウメちゃんこんばんはー
[132.392] NagOutSide: momochocoKami
[135.234] v_harumi_v: 今日もDさんは金髪なのかな？
[140.689] koro3__: (´～｀)ﾓｸﾞﾓｸﾞ
[147.725] jama4man: やっと闇話題キターーー
[155.690] (S)kakutora_no_o: モグハラ
[155.812] (S)noriyuki3: わーい
[164.087] 箸くれ: モグモグ
[170.411] だんごうお: 噛んでるー
[180.173] v_harumi_v: 今日もちゃんと噛んでる
[181.147] 5don: mago2dGanbare
[185.280] v_harumi_v: 歯を使ってえらいっ
[193.324] sugi_tree3: 大型アプデで噛むようになった
[197.694] (M)gameinntwitch: zoomのカメラ引き過ぎだったから、マイクとカメラ、Nvidiaにしたの、ちゃんと機能するといいけど
[199.295] jama4man: 咀嚼の波動に目覚めた大吾
[206.734] 5don: 大吾シーズン２🦷
[215.265] ましゅダヨ: おかえりなさい
[225.492] 箸くれ: 良パッチ
[228.860] v_harumi_v: メンおじさま、設定ありがとうございます。無事機能しますように
[229.448] ませい: 噛むねー
[237.333] 軽く捻るか: 闇話題楽しみ！
[239.849] だいこん_: ウメちゃん配信開始ツイートは？
[240.055] (M)gameinntwitch: 右のマイクだけ少し手前に移動しておくれ
[244.552] potocki1810: もぐもぐ
[247.238] yogyogsothoth: たのしみー 
[252.725] ましゅダヨ: 咀嚼来たって言い方w
[254.555] tabibitox: 歌にぃ
[254.987] kyabetu_tarou4: 闇話題きたかー
[257.006] だいこん_: 歌にぃ！
[257.775] goozy009: うたにい
[259.419] TUBE_MAN: 歌兄やん
[261.815] v_harumi_v: ZOOMのね
[263.125] ましゅダヨ: 更新です！
[266.811] 5don: パスポートも更新したよ
[268.206] ましゅダヨ: 擦るやん
[269.517] (S)noriyuki3: パスポートやめい
[269.602] koro3__: ｗｗ
[270.213] eremin_39: おｋｓｋ
[271.033] 千葉県おっさん: のんびり進行
[272.693] shiro_risu01: BibleThump
[276.781] eremin_39: おいｋｓｋ
[279.635] balthazar000: o-
[281.738] don_kusao: 今日は野田さんいない？
[282.828] ゆなっこ: 噛んでる！！こんばんはーー
[283.021] tabibitox: たけしｗ
[283.298] v_harumi_v: ちゃんと歯を使うようになった
[285.205] 箸くれ: しれっとほかに食べてる人おるなぁ
[285.970] ましゅダヨ: ふふふふふ
[286.067] momomon_y: 噛んでる噛んでるw
[286.617] だいこん_: え？
[290.296] v_harumi_v: ｗｗ
[291.286] (M)gameinntwitch: 大丈夫そうやね。マイクは相手の人の放送聴かないと分からんが、まぁ最低限大丈夫そ
[292.678] 千葉県おっさん: 隙だらけ定期
[294.154] 箸くれ: umeMeat
[295.942] omg_drink_helmet: mirunjaneeDANCE
[297.746] goozy009: キャサ夫さんは次回か。。。
[304.835] だんごうお: 対抗ミートさん
[312.329] tabibitox: 闇話題ガチ勢が
[312.471] gorogorogorn: なおんか？
[313.467] v_harumi_v: メンおじさま、いつもありがとうございます。
[313.893] eremin_39: デート
[314.223] ddb365: umeOreda
[314.976] potocki1810: 43歳で噛むことを覚えるってなんなんｗ
[322.566] koz_mk2: 闇話題ってなに？
[329.411] (S)ponponguripon: 真ん中の人がやけにかっこいいわね
[330.768] manmaru2020: 会社員だしな
[332.419] (M)gameinntwitch: んじゃ祐くんと対戦してきますー。何かあればリプライください
[332.536] balthazar000: 去った、、、
[337.612] kuresupo: あ
[341.878] despera_lk: あいー
[342.343] goozy009: メンおじありがと〜
[343.817] v_harumi_v: 世代ｗ
[344.830] だいこん_: 古いｗ
[347.905] goozy009: いってら〜
[348.843] balthazar000: 出禁かぁ
[358.710] 千葉県おっさん: 平たく言うと雑談
[367.629] kyabetu_tarou4: ちょうど昨日闇話題のアーカイブ全部みたとこだった
[372.508] Sunsun_the_Sunfish: こんばんはー闇話題だ
[380.591] (S)feel2525: 本気の闇
[380.599] ましゅダヨ: びっくりするのが歌にぃが馴染みすぎな事ねw
[382.087] tabibitox: カメラ少しズレてんのね
[394.998] (S)めーーーぷる: umeDuo
[396.440] (M)gameinntwitch: 自動追尾だよん
[399.163] neojapan01010: ？
[401.190] TUBE_MAN: 沈む時はみんないっしょ
[408.813] (M)gameinntwitch: それではー
