[32.049] junichi_pad: 🐮🖐にょっす！
[33.307] rrrra_hats: わーーー！！！！！！
[33.754] ﾅｲ: おつ
[33.860] jinroooo777: うんち
[34.005] daizaemon__: おつ
[34.018] 骨ひつじ: やぁ
[34.515] chii_fff: やあ
[34.560] jgmtbg: やあ
[34.571] 1007yokko: きゃーー
[34.669] s_sunny_39: ふぉいー
[34.851] ktpp7: よ！！
[34.905] pinoarasippp: やあ
[35.608] パープルサワー: やあ
[36.501] ヨシダァ: やあ
[36.579] tamat1110: unkochanYaa
[36.638] (S)セリーヌ__: やほ
[36.735] mamasansan030: こんばんは🌛
[36.738] rangelhansu: やあ
[36.956] (S)kana19850914: おつおつ
[36.978] pado_ma: おつおつ
[37.158] sk893: げんきか？
[37.174] nahadesu: やほ
[37.375] ronaudon0301: こんばんは
[37.399] かずき1081: やぁ
[37.454] petezou: おつ
[37.586] harami8: ふぉいくーん！！
[37.612] pelican666pp: ぜつだん
[37.791] htrrhhhh: ちわ
[37.811] ahanahaaha: おつー
[37.884] motiduki06: おつかれーーー！！！！
[37.889] jgm5766: にょっす🐮✋
[37.950] (S)ちりぱ: やあ
[38.017] i_am_kaorisugahara: やほー
[38.153] madaokitenno: こんちゃ
[38.206] riku5252: やあ
[38.333] harutoshi9: やっほー
[38.406] うく浮き輪: かっこよ
[38.449] noutenki2525: よ！
[38.525] xxxstmxxx: やぁやぁ
[38.542] djnekomi: 来たぜえ
[38.601] naokidayo1: やっほー
[38.665] kakeru32: ハロハロー
[38.867] ぴり辛: やあ
[38.984] あんぱんだ: おつ
[39.083] ram_7777: やあ
[39.097] aki12845: やぁ
[39.189] penguini_812: やあ
[39.201] ZANYRia: フォイさん大好き
[39.334] sakuyoshi_badminton: こんばんは
[39.393] akuusetsudan2: やあ
[39.396] 白洲次郎: やぁ
[39.488] hndagmaes64: やあ
[39.495] yone_5555: やあ
[39.540] かずき1081: おつ
[39.544] kuza_16: あ
[39.569] mats_mikkelsen: おうおひさ
[39.579] s_sunny_39: かみのけはえてる、
[39.702] nyannkosennsei87: こんばんは〜！
[39.730] 魚雷ガール: bokugeBakusho
[39.869] virtual_2000: やあ
[39.897] 可愛い子: きたーーーー
[40.020] syusei0612: やあ
[40.038] 金髪さん: unkochanYaa
[40.047] kouki326: おつ
[40.120] まみむめもーもー: やあ
[40.182] renarena11: すき
[40.198] (S)chika_430: おつ！
[40.214] yk1021: 久しぶり
[40.396] yuzuki_repezenfan: おつつつーー！
[40.525] しちゃかちゃひっとみん: おつおつおつ
[40.602] 0730shui: やあ
[40.658] 覚醒まりーシ: やあ
[40.726] へか帝: よお
[40.838] karina127_: おっつー
[40.857] sinochan_: おつ
[40.900] sayaka_saya: おつー！
[42.136] rio_cocco: おつおつ
[42.176] chii_fff: 久々
[42.197] 106chan: や
[42.221] ronaudon0301: 初見です
[42.281] denpa22: おつかれさまでぅ！
[42.301] hayakenta: やあ
[42.390] (S)blood_rose_home_96: blood_rose_home_96 subscribed at Tier 1. They've subscribed for 2 months! やほやほ
[42.454] kurehano: ふぉいたん！！！！
[42.753] (S)みい_0615: やあやあ
[42.879] xxxstmxxx: やぁ
[43.005] お野菜ベジタブル: やぁやぁ
[43.036] nomanddream5: こんばんは
[43.072] (S)naho_xxx: お疲れ様でございます
[43.108] hiko3555: 1.5億
[43.128] まるきち1234128: やあ
[43.223] 572572YA04: やあ
[43.235] 0730shui: 久々
[43.955] mane_0325: おつおつ
[44.070] にちゃゃん: やほー
[44.116] karo0810: ふぉーい！
[44.128] skumotu: お疲れ様ぇす
[44.144] hageyamasanagain: yooooooooo
[44.176] chicken_1024: ぜつだーーーーーん
[44.182] ni999991: やぁ
[44.183] spring_tora: ふぉい！
[44.233] 明太子お茶漬け: unkochanYaa
[44.259] kakamazima: よう
[44.362] 元餅こごや: やあ
[44.410] chabin31: おつおつーーーー
[44.552] jgmtbg: 元気かい
[44.559] s_sunny_39: のびたな！
[44.686] (S)みー油: やほー
[44.864] kakeruuuunanoda: こんばんわー！
[45.316] xp_nina27: やっほー
[45.450] まみむめもーもー: おつおつ
[45.509] 垢変アルプラゾラム: やぁ
[45.526] ma_ma411: おつ
[45.534] alchuyakuza: 大阪くるんだ！
[45.566] pupupunc: ふぉいくんー
[45.640] unipachi: おちゅ
[45.876] kotetsuuuuuuuuu: やｙあ
[46.093] (S)イシヘンジンの匡くん: やぁやぁ
[46.094] puuutixx: 俺の人生って素晴らしいと思いますか？
[46.101] koyoru358: やぁ
[46.170] キティー: やあやあ
[46.289] kizuna0550: おつ！
[46.309] bashichika: やあ
[46.341] (S)mmmmmayu999: やぁー
[46.343] mizholic: ぜつだん？
[46.400] (S)ビオフェルミン: やあ
[46.473] negitoro8801: やほ
[46.530] ram_7777: おつおつー
[46.633] nekomakura1: こんばんはー
[46.678] momonga_3546: うぇい
[46.772] deronnpa: おつおつ〜
[46.847] doukatou0724: おつかれ
[46.928] ぴろたんぴろたん: ぜつだん
[46.973] yuzuki_repezenfan: 久しぶりー！！！
[46.983] s_sunny_39: かみのけ！
[47.032] niji0910: おつー
[47.060] rokudenas: おつー
[47.083] louglq: おつー
[47.089] aaa_324: おつおつー
[47.184] tonkotsu112: やあ
[47.314] さにはに: おつーーーーーーーーーーーー
[47.434] kentaro12013: おつおつ
[47.503] 砂漠のおさかな: 雑談久しぶりー！！
[47.521] xxxstmxxx: やぁやぁ
[47.643] (S)himedazo: 今日もかっこいあ
[47.712] yuco_923: わーい
[47.740] (S)ねこ三匹: おつだよー💜 
[47.744] (S)fffuuuoo: やあ
[49.203] aka_murasaki_luckywanco: やぁ
[49.204] yk1021: こんにちは
[49.428] (S)あみふぉい: おつおつだよー
[49.510] radaono_kaseifu: おひさ
[49.555] meishou_poichi: よっす
[49.566] orenosuteeeki: 初見です
[49.678] がっす: ぜつだん！？
[49.730] masak_0713: おつおつ
[49.747] カービィマン: よ！
[49.795] ザーサイふぉい太郎: ザーサイふぉい太郎 subscribed at Tier 1. They've subscribed for 2 months! 
[49.859] enenkouta: やあ
[49.890] (S)kana19850914: マイク治ったか？
[49.908] pelican666pp: よお
[49.916] honosu4646: おつーーー！
[49.948] ya_manm: こんばんは！
[49.963] tetsuya0512: お疲れさま
[50.007] mena0cc: こんちわ
[50.081] yui_pr1: ふぉいー
[50.107] バリカン太郎: おめー最近本当に大変だな頑張れよ
[50.173] キティー: おつおつ
[50.236] haruto0859: おつ
[50.451] (S)a_zuzu_: やほーーー
[50.715] 金髪さん: unkochanYaa
[50.792] (S)イシヘンジンの匡くん: おつ
[50.891] ayapiiiiiii219: やあ
[50.893] せいしょうなごん: やあやあ！
[50.907] ドランプ: よう
[52.269] yamashita2574: 久しぶりに配信きたぜーー！
[52.354] kentaro12013: おつ
[52.551] i_am_kaorisugahara: 今日も可愛い
[52.580] taikibo: おつ
[53.211] nyaxota: ひさ
[53.543] 鬼じこりニート: やあ
[53.549] hayakenta: 流石にきたわ
[53.651] pasutabejital: お疲れ様です
[53.714] 鬼山田五郎: やあ
[53.728] ayu_n_03: お疲れ様ー！
[53.755] らむ12: どーもー
[53.811] normalstudemt1229: おつかれさま
[53.848] 砂漠のおさかな: 色々あったなぁ
[53.859] hiko3555: 1.5億の男
[53.873] bro_owl: やあ
[54.013] rangelhansu: 調子はどう？
[54.077] みづな: 色々おつかれやな絃歩
[54.126] motiduki06: にほんにいるの？
[54.142] キティー: おかえりー
[54.228] tragus_man: こんばんはー
[54.309] (S)さち_0421: お久しぶり！
[54.360] kamase_: みんな！松本が帰ってきたぞ！
[54.419] sara_lisa5: お疲れ様です
[54.708] nuuuum_: やあ
[54.907] (S)mihooooooko: おすおす
[54.916] niisamstamanegi: おっつー
[54.941] 覚醒まりーシ: やあやあやあ
[55.152] dudbxijdbdicc: やあ
[55.218] (S)tsukicosan: やっふぉい
[55.220] ojiyar: うぇー
[55.353] kanafoy: むっちゃ久々！
[55.365] himawari__7: お疲れ様
[55.410] 未熟トマト: やあ！
[55.436] chii_fff: エペ部門えぐいな
[55.585] nekomakura1: 走ってきたー
[55.594] 諏訪すわ: ぜつだんな
[55.598] つぶあんくん: やあ
[55.621] x__xrp: ふぉいさん！
[56.257] saaakis2: やぁ
[56.287] yonmasu4tousinn: 待ってたぜ！
[56.324] datugokumajin: 一生ついていきます
[56.331] punyuru123: お猿さんやん
[56.363] (S)blood_rose_home_96: 久しぶり～(*^.^*)
[56.476] 02140508: やほ
[56.501] s_sunny_39: おつー！
[56.681] ちぴろん88: 笑顔☺️
[56.798] (S)ちりぱ: おひさ
[56.887] harami8: お風呂入ったー？
[56.891] (S)aria1208: aria1208 subscribed at Tier 1. They've subscribed for 2 months! よっ
[56.892] tonsukemomo: お久しぶりです(´°v°)/んぴｯ
[56.894] lana_185: ふおおおいいいい
[56.895] yuuna0122: よう
[57.092] (S)kana19850914: 声ちいせえ
[57.302] 黒百合蘇我入鹿: こんばんは殿
[57.366] 骨ひつじ: お疲れー
[57.500] pupupunc: やあ！！
[57.511] 両性バイ: おつつ
[57.527] mizholic: 広告あるね！
[57.580] alchuyakuza: アル中ヤクザあいにいきますね
[57.645] まみむめもーもー: 久しぶり
[57.729] つぶあんくん: おつ
[57.786] kubobo1: もうアチーね
[57.792] sakurarako: ひさしぶり
[57.807] yurachi_111: おつおつー
[57.928] potetooo8: こんばんは
[57.950] riirukun: おつおつ
[57.951] (S)tuyuudaku: 元気か？
[58.096] 知_とも: お疲れさん
[58.316] mamasansan030: 元気？
[58.647] asetonsyu: やあ
[58.782] nahadesu: お前はよお待たせてくれたな
[58.873] taiyoupawa: 初めてリアタイしましたー
[58.885] pinoarasippp: 忙しいなw
[58.891] kou_ch: 元気してたか？
[59.584] (S)mmmmmayu999: お疲れ様ー
[59.787] yuzuki_repezenfan: まじ久しぶり
[59.801] mami0821: うわぁぁぁ
[59.806] カービィマン: おつかれー
[59.830] 生焼けぷりん: おつ
