[17.753] (S)eguigorilla: お
[26.276] しゅうぺい: うぃ〜
[29.239] (S)Ayies777: 寝てました？
[43.251] きりふみ: 王！
[44.001] (S)八咫烏: おかえり
[44.874] (S)kohaku0782: おかえり王
[45.511] (S)anees100: おおおおお
[47.300] (S)クジラァ: おきたか
[48.493] terasu25: おかえり
[48.694] wandora5: おかえり
[49.322] とろくまー: 待ってた
[50.223] (S)もこふ_55: 王！寂しかったよ！
[50.464] sirotsukurotsu: うす
[50.533] 銀河白鉄: おいす
[50.653] kujou4567: おかえりー
[51.724] zakinchaan: 王
[51.725] (S)chousai: fantas22Muscle
[51.791] (S)anees100: ないと思ったああ
[52.750] (S)catina5456: おかえり
[54.131] (S)rlrlpo: おかえりなさい
[55.191] (S)桜乃ちゃそ: おいすーないと思ってた
[55.529] (S)なるぴー: fantas22Muscle
[55.756] (S)んジョボ: fantas22Muscle
[57.954] mr2494124: 待ってました！
[58.312] (S)very8888: おいすー
[58.383] れんぴょこ: 寝たかと思った
[58.415] kaaaaaaaaame142: ないと思った
[58.450] price_tie: 起きててよかったー
[58.660] (S)コガショーキ: 多忙かぁ
[58.799] (S)chousai: MercyWing1
[58.885] (S)辛麻婆豆腐: おかえりー
[59.044] こんしゃち: おかえりなさい
[59.127] marusyango8: やっときたーーーー！！！！！！！！！！ 
[59.593] ~MISSING_COMMENTER_INFO~: マジで体に気をつけてなー
[59.739] (S)fujimidaifuku: 起きてるんかーいww
[61.273] (S)あら木: 今日はもうないのかとｗｗ
[61.519] ダカク: おか
[61.750] (S)kenamimii: 帰ってくると思ってなかったあつすぎ
[62.026] (S)collodion000: おかえりー
[63.376] クックカレー: おかえりー
[64.168] inoztmsr: ohayo-
[64.280] (S)ruruxxx02: おかえりなさい！
[64.437] (S)yukky_games_: fantas22Muscle
[64.579] (S)very8888: おれはもう寝るぜ
[65.248] れんぴょこ: 気絶？
[66.105] 無料の屍: おかえりー
[66.334] sirotsukurotsu: もうあんた遅いじゃないの！
[67.551] (S)pistol_star01: あるだと・・・！？
[72.719] (S)yukky_games_: おかえりー！
[72.908] (S)テバ_02: おっ王〜🎵
[73.481] (S)katuobushi6256: 3時で寝ようとしてたら
[74.083] (S)daddy_jun2: おかえりー
[74.296] hiryame: ちすちふ
[77.011] (S)rlrlpo: うひょー
[78.563] (S)エンペリ: wwww
[78.671] (S)ちゃんたま8: 実家は地震とか大丈夫でしたか？
[78.763] (S)anees100: 寝たやんw
[79.418] wandora5: 寝たかとおもた
[79.701] (S)もこふ_55: 瞑想やね
[79.746] (S)子トラ: おかえり！
[79.820] (S)no1red: それは寝てた
[79.845] (S)yukky_games_: 寝てた？
[79.902] りょうげーさん: それを世間では
[80.622] (S)イジコナー: 寝てました
[80.733] れんぴょこ: 寝てるやんwww
[80.827] jgdpwpopmpwpw: 寝ようと思ってたのに寝れなくなっちまった！
[81.352] (S)very8888: wwww
[82.501] svarog176: 寝てるじゃん
[82.683] ティカシュ: 大丈夫なん
[83.457] nxsthj: それは寝てたやんw
[84.184] ~MISSING_COMMENTER_INFO~: 脳を休めてたんだよね
[84.276] 96san_788: それ寝てるっていうんだよ
[85.090] atgdwtj: おそいよ
[85.335] (S)桜乃ちゃそ: 寝てるやん
[86.307] れんぴょこ: ええてw
[86.626] (S)あら木: 地震大丈夫そう？
[86.638] (S)子トラ: 自販機！
[86.642] (S)Ayies777: 寝てんだろｗｗｗｗｗ
[87.013] (S)fj_psun07: おはよう
[89.476] dpd0803rhc: 疲れはとれた？
[89.702] (S)et_et876: fantas22Dani
[91.391] ricesunleafy: 自販機？
[91.516] jgdpwpopmpwpw: 夢ですか？
[91.619] (S)kenamimii: 多分それ、寝てるって言う
[93.884] (S)reika_momo: 寝てたねソレはw
[94.718] れんぴょこ: それは気絶だよw
[95.441] (S)こあちあん: おかえりー
[96.397] (S)八咫烏: すやすやでワロタ
[96.852] (S)anees100: よく休めた？
[97.377] (S)おちゃちゃあ: おはよう
[97.616] (S)rlrlpo: そろそろ動きますか？
[98.255] tuuuuu_ink: 安芸高田市議会議員ですか？
[98.717] りょうげーさん: その声でｗｗｗ
[102.401] (S)Ayies777: 声が寝起きくさいんだよなｗ
[102.488] 96san_788: KP
[102.780] (S)八咫烏: ｋｐ
[105.521] (S)もこふ_55: 皆んな待ってるよ、あと3時間楽しみましょ！
[106.101] kaaaaaaaaame142: 声が
[107.659] れんぴょこ: 声が寝起きやんw
[107.791] (S)ちゃんたま8: KP
[110.096] hiryame: レッドブル？
[111.009] (S)桜乃ちゃそ: けんきにドカ食い気絶してるって言われてたぞ
[111.057] (S)おちゃちゃあ: 疲れてたんだね今日
[114.048] みこと0000: 無理はすんなよ
[117.976] 完熟ロド太郎: おつかれやで
[123.982] (S)テバ_02: 焦げ付き酒場のレモンサワー？
[127.373] 10花: おつかれさん
[130.969] 96san_788: 電子じゃないんだ
[133.221] (S)あら木: ！？
[133.675] (S)sigure_181: おかえりなさい
[134.861] (S)anees100: 溺れた？！
[141.754] (S)yukky_games_: ！？
[142.155] (S)あら木: 画面がｗｗ
[142.962] (S)chousai: なんの音?
[145.652] (S)kenamimii: リアルに潜ってない？
[146.866] (S)はやみん007: おかえりー
[148.526] (S)スズミー: おかえり 無理なさらず
[149.134] toritori777200: ZIPPO助かる
[152.902] atgdwtj: 画面ついてない
[155.603] kaaaaaaaaame142: 画面が
[163.678] (S)ちゃんたま8: 画面ください
[169.806] (S)kenamimii: 画面真っ暗だ
[171.165] (S)anees100: ダークネス
[174.753] sotsuji: 復活した？
[184.980] kAzU_090: 画面があああああああ
