[14.432] (S)sien4334: ui
[15.554] (S)apron_u: ｵﾊﾖｵﾊﾖ
[15.639] (S)fastman1230: osiu
[16.905] (S)えびちやん: fantas22Muscle
[18.405] (S)takeistkc: うい
[18.800] (S)とぬま: 王
[21.008] (S)心君マークツー: fantas22Muscle
[24.538] (S)riyu143: おす
[26.375] syu_4201: おすおす
[26.678] (S)キャキャロット0911: fantas22Muscle
[28.517] (S)キャキャロット0911: HypeCheer
[29.732] オマタノ毘沙門天: おは王
[30.071] (S)fujimidaifuku: ういー
[30.361] (S)ttt2836: おはよ おはよ
[31.501] (S)辛麻婆豆腐: こん
[31.712] (S)たち_: こん
[31.722] エピエフ: きちゃーーー
[32.138] asagaya_a: よ
[32.323] (S)hajio: fantas22Muscle
[32.539] 雪乃_にし: こん
[32.638] (S)nanachan0617: おかおか！
[32.752] (S)マキタ食堂: きたぁぁぁぁぁぁぁぁぁ
[32.846] (S)suzu25012: ういー
[32.992] (S)のるんくん: おいすー！
[33.038] (S)mkr_tntn: fantas22Nt
[33.191] (S)ネオノアン: ｵﾊﾖｵﾊﾖ
[33.485] (S)ぺんた326: こん！
[33.979] tom_ver850: おかえりー
[34.102] tamanouragawa: お、はよう
[34.151] (S)べねでぃくと: こんばんは
[34.196] (S)technobreakerz: おつ
[34.210] (S)うーたんじゃぱん: 王！
[34.328] (S)ks4no: 王
[34.530] (S)aichikenmeen: ｵﾊﾖｵﾊﾖ
[34.541] (S)じんくん3: ｵﾊﾖｵﾊﾖ
[34.602] 雨ノ: うぃー
[34.739] ういくじら: こんー
[34.976] ダカク: うぃー
[35.173] (S)very8888: 王よ
[35.182] cside0: おいす
[35.188] terasu25: こん
[35.241] kyouji_10: きたぁぁぁあ
[35.387] ながん: おいすー
[35.425] (S)catina5456: うい
[35.472] (S)ファイブゼット: fantas22Nice
[35.542] parupuntte: ｵﾊﾖｵﾊﾖ
[35.562] ax1a_: 王
[35.667] (S)7es_k: fantas22Muscle
[35.701] (S)hoture_saki: こんー
[35.778] (S)yoshipa0831: おいす
[35.907] (S)88ハチ公: おはおー！
[35.909] (S)飛びます飛びます: おはよおはよ
[35.985] yume_maro: こん
[36.010] (S)nakayo41120: 激動
[36.082] (S)ホンタラバ: おいす
[36.134] mr2494124: こんばんは
[36.210] rinori_ddd: こんばんはー
[36.246] (S)yasuke_dog: おはようございます
[36.285] okabe99999: きちゃ
[36.306] (S)まちまちだ: うぃ
[36.326] shavanii3: おかえりーーーーー
[36.378] (S)goma230: おひさー
[36.939] tcibx489: ｵﾊﾖｵﾊﾖ
[37.100] ゴルーン: LUL
[37.159] tatisjrfan23: おは王
[37.316] wandora5: おはよ
[37.336] (S)ひるお: おいすおいすー！
[37.510] yamato_0285: 王
[37.692] (S)れぶりみ: ういー
[37.721] k140316: こんばんはー！
[37.728] 紺碧のくまさん: こん！
[37.748] shinchan1234890: きたあー！
[37.849] (S)オムご飯: fantas22Muscle
[37.889] okabe99999: こん
[37.937] とっっくん: おいすー
[37.953] kazuki4017: おいす
[38.192] (S)epic178: おっすー！
[38.245] (S)でじたま: ｵﾊﾖ ｵﾊﾖ
[38.386] (S)xyz_3931: こんダーマー
[38.579] (S)インテリア足立: インテリア足立 subscribed at Tier 1. They've subscribed for 5 months! 
[38.764] Ghv3GjB3: おかえりおかえり
[38.783] (S)もこふ_55: オハヨオハヨ
[38.808] (S)りくりく114: うい
[38.940] (S)yacchin0373: こん
[38.950] (S)火海月: ｵﾊﾖｵﾊﾖ
[39.008] zlqde: こんしおー
[39.016] そーかげ: ういー
[39.140] (S)きとみみん: おひさー
[39.227] (S)miyayu6: おはよおはよ
[39.320] しゅうぺい: ｵﾊﾖｵﾊﾖ
[39.468] tonarinoaniki: お帰りなさい
[39.620] (S)麦酒屋: おおー！
[39.634] noir_good: こんー
[39.664] (S)やんぴー0331: おっおー
[39.696] (S)のむけん: おかえりー！
[39.806] (S)もふーお: ｵﾊﾖｵﾊﾖ
[40.447] (S)biifuun: おはよ、おはよ、
[40.461] (S)lnMyHeart: こんばんは！
[40.558] (S)tanu_bougore800: ｵﾊﾖｵﾊﾖ
[40.640] (S)つちのこ83: ｵﾊﾖ ｵﾊﾖ
[40.682] りゆ_02: おかえりなさい
[40.703] (S)katuobushi6256: fantas22Muscle
[40.787] (S)Komimeto: fantas22Muscle
[40.842] (S)hatiware25: おいすおいすー
[40.902] ゴルーン: ！？
[41.104] tom_ver850: 王ー
[41.113] よしずーー: うぃー
[41.247] (S)リュウ8140: ボスおかえり〜
[41.252] (S)ジン太: ジン太 subscribed at Tier 1. They've subscribed for 7 months, currently on a 5 month streak! こんばんは
[41.270] (S)きあつ7: ｵﾊﾖｵﾊﾖ
[41.299] hiryame: うすー
[41.401] (S)tororo_k: ここからなんだwwww
[41.957] (S)うーたんじゃぱん: 帰還だ
[42.121] (S)とっとこハム小僧: おっ王
[42.166] (S)べーまる: きたぁぁぁぁぃぁぁぁぁぁ
[42.405] (S)ks4no: ｵﾊﾖｵﾊﾖ
[42.445] huyuki_arice: 王の帰還
[42.501] (S)ホンタラバ: あぶなwww
[42.567] tukiyosi: うい
[43.007] sekisekisekkiii: 王！
[43.087] (S)sabakan0917: あぶな
[43.228] (S)のるんくん: yoichi6Pakupaku
[43.232] (S)オムご飯: おおおおおおおおおおお！
[43.273] (S)stochas: 王の帰還
[43.296] (S)papopopo: うい
[43.338] (S)あすとろ: ｵﾊﾖｵﾊﾖ
[43.356] (S)p11chan_29yarooo: fantas22Muscle
[43.539] jmgtpddds: こんー
[43.571] e_t_o__: こん
[43.748] (S)zerogravity0910: こんばんは
[43.981] イーダコ: おすおすー
[44.049] (S)kina_g1: 道のど真ん中
[44.178] (S)モルト_416: おはようございますー？
[44.188] (S)rognuts: オハヨオハヨ
[44.220] (S)ぴきぴき2433: わこつ
[44.271] shavanii3: ｵﾊﾖｵﾊﾖ
[44.374] (S)very8888: ｵﾊﾖｵﾊﾖ
[44.389] okabe99999: あぶ
[44.569] (S)Gorikerujackson: おかえりー
[44.580] tiga227: ｵﾊﾖｵﾊﾖ
[44.606] (S)ネオノアン: 王、ｵﾊﾖｵﾊﾖ
[44.646] (S)suzu25012: suzu25012 subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! いつも楽しんで見てます
[44.783] おれんじくん: おかえり！
[44.806] (S)kuropon5078: おかえりなさい
[44.823] yt9653: ｵﾊﾖｵﾊﾖｵﾊﾖ
[44.981] (S)kafuka15: おかえり～
[45.007] tatisjrfan23: 王のストグラまってた
[45.032] hulkantos: こんばんは
[45.194] ねこ犬: お帰りなさいー！
[45.294] (S)kamakuradaibakuhu: fantas22Muscle
[45.295] (S)ギプン: こんばんは
[45.414] harutya_ptpt: ｵﾊﾖｵﾊﾖ
[45.505] (S)ni5chan: 頭上げてくださいww
[45.530] (S)katuobushi6256: ｵﾊﾖｵﾊﾖ
[45.561] (S)アジ7864: おかえり〜
[45.636] (S)こしつぶのハーフちゃん: おかえりシャンクズ！
[45.654] (S)kiyoshi_1110: ｵﾊﾖｵﾊﾖ
[45.873] (S)gan_jp: お帰りなさいませ
[45.878] エピエフ: あぶなwww
[46.083] midutax: おかえり王
[46.568] hikari0091: オハヨ オハヨ
[46.657] (S)tutumigora: tutumigora subscribed with Prime. They've subscribed for 7 months! 
[46.687] (S)p11chan_29yarooo: うい
[46.766] tom_ver850: おはよ♡おはよ♡
[46.781] (S)zerogravity0910: fantas22Muscle
[46.806] (S)banndana5115: ｵﾊﾖｵﾊﾖ
[46.877] t0m0t0m06969: 王の帰還
[46.901] (S)なぎすけ3131: こんばんは
[47.056] kittakku222: ｵﾊﾖｵﾊﾖ
[47.120] (S)steavo21: おはよおはよ！
[47.456] yamato_0285: おは王
[47.780] (S)こんにチワワんこそば: 尾はよ
[48.004] ブッチギリギリ: オハヨオハヨ
[48.034] (S)tigaman814: おはよ、おはよ
[48.227] (S)カニピザ: ｵﾊﾖｵﾊﾖ
[48.454] (S)もふーお: 王の帰還
[48.486] tomosashisu_8: 王の帰還
[48.542] (S)technobreakerz: ｵﾊﾖｵﾊﾖ
[48.680] (S)ザッキー12: お帰りなさいませ王よ 
[48.687] (S)papopopo: ｵﾊﾖｵﾊﾖ
[48.860] (S)pannakota1212: きたーー！
[48.939] (S)うぃむじー: fantas22Dani
[48.964] ぶたどん123: おはよ♡おはよ♡
[49.172] (S)ぺんた326: どこだ？ww
[49.199] (S)元気なデブ: うぃ～ばんわ
[49.232] (S)gigashake0: ｵﾊﾖｵﾊﾖ
[49.282] (S)フリナ: おかえりなさいませ 待ってました
[49.364] xxxxxhiroxxxxx: KonCha
[49.420] hiyamugi0141: ボスーーーーー！
[49.500] nana43: ｵﾊﾖｵﾊﾖ
[49.507] (S)kotaro_chan: ｵﾊﾖｵﾊﾖ
[49.561] uta3999: オハヨオハヨ
[49.597] hikarinxxxx: おはよおはよ
[49.791] (S)あや11: おかえりー！
[49.859] (S)ato53yi: ato53yi subscribed with Prime. They've subscribed for 5 months! 
[50.119] rocomoco18: ｵﾊﾖｵﾊﾖ
[50.190] なぽりたんスミス: お、王
[50.329] plunus_1: オハヨ、オハヨ
[50.501] 4alba6: こんばんは
[50.531] (S)ちゃぃちゃぃ: おはよ、おはよ
[50.571] yt9653: おかえり
[50.609] (S)sabakan0917: 王の覇気
[50.766] (S)gtttjo1: おかえりなさい
[50.895] (S)えっさっさん: 王！
[51.087] (S)ttt2836: おはよ ohayo
[51.292] de5zaru: ｵﾊﾖｵﾊﾖ
[51.299] jojdin: おは王
[51.302] (S)のっちゃん: ｵﾊﾖ ｵﾊﾖ
[51.410] (S)ますとどん: おかえり王
[51.418] (S)jinta135: 帰還
[51.437] (S)exgranciel: おかえり
[51.463] tkshan: おかえりぼすーー
[51.490] musan1125: ｵﾊﾖｵﾊﾖ
[51.491] (S)はふやん: おはよおはよ
[51.628] humokiti: 王おかえりなさい
[51.704] (S)arbkj: おはよっおはよっ
[51.764] tamanoke231: シャンちゃんオハヨオハヨ
[51.839] (S)o_zappa_Y: おかえりー
[52.523] (S)oahati9045: おかえり王
[52.734] tatisjrfan23: 王の帰還
[52.911] kikiki573: オハヨ、オハヨ
