[7.348] (S)さいこりてぃ: こん塩～
[10.186] (S)alohapon: ｵﾊﾖｵﾊﾖ
[12.062] たぁにぃ: fantas22Nice
[17.226] からあげマシン: おいすー
[19.142] (S)八咫烏: こんしお～
[20.324] catina5456: うい
[24.150] (S)ロウ__: ｵﾊﾖｵﾊﾖ
[29.047] (S)kafuka15: ｵﾊﾖ ｵﾊﾖ
[32.210] (S)yuuto0206: にこ
[32.251] (S)たことまと: fantas22Muscle
[32.430] (S)辛麻婆豆腐: こん
[33.439] tatisjrfan23: きたー
[33.673] (S)suzu25012: ういー
[34.197] (S)ファイブゼット: fantas22Nice
[34.674] (S)yasuke_dog: おはようございます
[34.869] (S)88ハチ公: おはおー！
[34.973] (S)yuuto0206: いちこめ
[34.982] harvey0149: ういー
[35.081] (S)桜乃ちゃそ: ｵﾊﾖｵﾊﾖ
[35.759] りゆ_02: こんばんは
[35.778] (S)かぐらんチャン: ｵﾊﾖ､ｵﾊﾖ
[35.792] ぬぴ17: ｵﾊﾖｵﾊﾖ
[35.844] (S)ぺんた326: こん！
[35.887] (S)p11chan_29yarooo: fantas22Muscle
[35.910] tomataroo: おはよ
[35.997] shinchan1234890: こん！
[36.239] e_t_o__: こん
[36.941] (S)ゆーうと: fantas22Muscle
[37.101] (S)horizonkkfr: こんばんはー
[37.414] (S)miyu__1234: こんばんはー
[37.872] (S)bonehead51: こんばんはー
[38.071] karaage398: うい
[38.263] (S)べねでぃくと: こんばんは
[38.263] tatisjrfan23: ういー
[38.275] (S)goma230: おはー
[38.305] (S)pon__24: ういー
[38.434] (S)p11chan_29yarooo: うい
[38.455] (S)7es_k: fantas22Muscle
[38.627] (S)papopopo: こん
[38.781] (S)りぶらんぬ: ｵﾊﾖﾊﾖ
[39.315] (S)辛麻婆豆腐: ｵﾊﾖｵﾊﾖ
[39.518] shi_mezi: おいす
[39.982] (S)xxxxxhiroxxxxx: KonCha
[40.478] (S)alkesituhaya: おはよおはよ
[40.642] hiyamugi0141: ういー
[40.643] (S)さととも: こんばんは
[40.940] rinori_ddd: こんばんは
[40.950] (S)yacchin0373: こん
[41.108] (S)ムンチャクッパ酢: ｵﾊﾖ、ｵﾊﾖ
[41.439] (S)剣丸: ui
[41.658] (S)Kaen_piar: こん
[41.860] (S)輪入道: おっすー
[41.938] (S)kanakana1231: こん
[42.081] (S)のあ96: オハヨオハヨ
[42.182] (S)ky1124boc: おは
[42.289] (S)エンペリ: ｵﾊﾖ、ｵﾊﾖ
[43.430] (S)じん63: おはすー
[43.563] tatisjrfan23: オハヨ、オハヨ
[43.604] (S)スカイライン乗り: こん
[43.609] (S)シュウ0307: ｵﾊﾖ
[43.691] (S)zerogravity0910: こんばんは
[43.756] kojimako3: ういっす
[43.772] tocca00: ｵﾊﾖ ｵﾊﾖ
[44.512] リュウ8140: こんばんは
[44.995] もかもかぁ: ｵﾊﾖｵﾊﾖ
[45.015] (S)dai9cb1000r: おはよおはよ
[45.083] (S)takowasa_0607: こんばんは
[45.218] kontucky_inkya: おいすおいす
[45.591] (S)tenmankougi: ｵﾊﾖｵﾊﾖ
[45.819] (S)mo55an: ｵﾊﾖｵﾊﾖ
[45.925] (S)ayame0106: こんばんは
[46.284] (S)_ととまる_: こん
[46.510] (S)zerogravity0910: fantas22Muscle
[46.635] (S)landmark1000: おつかれーす
[47.422] (S)まぐ12: fantas22Muscle
[47.474] hulkantos: こんばんは
[47.499] hondagb350: オハヨオハヨ
[47.573] (S)banndana5115: ｵﾊﾖ、ｵﾊﾖ
[47.605] (S)masoppubun: おはよおはよ
[47.715] みもりすずこ: ｵﾊﾖ、ｵﾊﾖ
[47.858] yukitwitch14: ｵﾊﾖｵﾊﾖ
[47.896] (S)c_world_: ｵﾊﾖｵﾊﾖ
[48.235] (S)ネギトロ巻きしか勝たん: ｵﾊﾖ ｵﾊﾖ
[48.462] tyotyo111: おはよん
[49.235] (S)jinta135: ｵﾊﾖｵﾊﾖ
[49.376] sadsmilejizo: ｵﾊﾖｵﾊﾖ
[49.480] (S)テバ_02: おっ王〜🎵
[49.820] (S)アニー0930: ｵﾊﾖｵﾊﾖ
[50.225] (S)oahati9045: ｵﾊﾖ、ｵﾊﾖ
[50.401] nuramv: おいす
[50.462] yamaha5454: 王よ！！！
[50.475] yt9653: ｵﾊﾖｵﾊﾖ
[50.482] (S)earl2socks: fantas22Muscle
[50.650] (S)steeee_oki: ｵﾊﾖｵﾊﾖ 
[51.080] (S)ninnjinnbee: おはよう御座いますー！！！！！！！
[51.176] (S)もふーお: ｵﾊﾖｵﾊﾖ
[51.279] (S)roi_hi: ｵﾊﾖｵﾊﾖ
[51.447] (S)ouma3_: fantas22Muscle
[51.473] yakaponzu: オハヨオハヨ
[51.479] (S)lijyu: おいすおいすー
[51.623] (S)メニらふぃ: fantas22Muscle
[51.685] ようちエンジン: ｵﾊﾖｵﾊﾖ
[51.839] (S)カモネギ329: おはようございます
[52.328] minmin5557: ｵﾊﾖｵﾊﾖ
[52.584] れんぴょこ: ｵﾊﾖｵﾊﾖ
[53.687] (S)YAMATO00_RoueN: ｵﾊﾖｵﾊﾖ
[53.718] プリプリプリン: ｵﾊﾖｵﾊﾖ
