[12.052] shirasu_jessie: ou!
[13.545] kyouji_10: ｵﾊﾖｵﾊﾖ
[15.325] (S)りぶらんぬ: おはよ
[16.029] naganaga44: おは
[16.126] (S)のーず: fantas22Muscle
[16.777] (S)kafuka15: ｵﾊﾖ ｵﾊﾖ
[21.664] ssslive0: ｵﾊﾖ ｵﾊﾖ
[27.652] (S)あおてぃ: ２００日だあ
[28.343] (S)24niti: きちゃ！！！
[28.670] (S)taroimo_118: ｵﾊﾖｵﾊﾖ
[29.566] (S)かちゅき: オハヨオハヨ
[29.996] (S)nanachan0617: おつー！
[30.211] (S)もーりぃー: 王
[30.998] ぴかり0425: ｵﾊﾖｵﾊﾖ
[31.115] (S)桜乃ちゃそ: ｵﾊﾖｵﾊﾖ
[31.651] (S)toufu_090909: ｵﾊﾖｵﾊﾖ
[32.143] anpansumio: こんこん
[32.276] mochomotto: こんちゃ
[32.474] zlqde: こんしお
[32.676] (S)mochiko_pink: ｵﾊﾖｵﾊﾖ
[32.677] (S)saka9767: fantas22Muscle
[32.681] (S)pukupiropiro: おはよー
[33.304] sheseec: お、おう～
[33.680] yukitwitch14: ｵﾊﾖｵﾊﾖ
[33.907] enchaan123: ｵﾊﾖｵﾊﾖ
[34.110] kujou4567: こんちゃー
[34.205] (S)kina_g1: うぃー
[34.299] (S)kasu75: ｵﾊﾖｵﾊﾖ
[34.432] ごーやちゃんぽ: ｵﾊﾖｵﾊﾖ
[34.521] karrrmt: おめでとーーーーーーー！！
[34.641] koe1898: ｵﾊﾖｵﾊﾖ
[34.653] (S)のるんくん: ｵﾊﾖｵﾊﾖ
[34.706] (S)jaaakyyy: ｵﾊﾖｵﾊﾖ
[35.036] (S)atui_samu: ｵﾊﾖ､ｵﾊﾖ
[35.139] nana43: ｵﾊﾖｵﾊﾖ
[35.224] (S)バナナ社長: こん
[35.755] kazuki4017: おいす
[35.883] (S)miyu__1234: こんばんは！
[35.957] ぞのち: ｵﾊﾖｵﾊﾖ
[35.975] (S)雲竜五月雨: おはよおはよ
[35.983] sarutobi_sasu: ぅえー
[36.081] ぬぴ17: ｵﾊﾖｵﾊﾖ
[36.174] かいじゅーぅ: 200日おめでとう！
[36.187] asagaya_a: 待っていたよ
[36.213] (S)nanachan0617: ｵﾊﾖｵﾊﾖ
[36.859] (S)xxxxxhiroxxxxx: KonCha
[36.915] (S)cucumber_4310: こん
[37.056] (S)モルト_416: おはようございます 
[37.289] nuramv: おいす
[37.309] (S)catina5456: うい
[37.503] (S)kaity5935: こん〜
[37.717] tanga_loa: 王はよう
[37.927] gomakichirx: ｵﾊﾖｵﾊﾖ
[37.992] (S)YAMATO00_RoueN: ｵﾊﾖｵﾊﾖ
[38.036] (S)べーまる: 200日ｵﾒﾃﾞﾄ ｵﾒﾃﾞﾄ
[38.145] えんえんトンネル: ｵﾊﾖｵﾊﾖ
[38.200] (S)dai9cb1000r: おはよ。おはよ
[38.316] sayu717402: オハヨオハヨ
[38.327] (S)caffeine_0311: オハヨオハヨ
[38.452] (S)キャキャロット0911: fantas22Muscle
[38.511] (S)八咫烏: こん塩～
[38.523] えだまめ侍: おはよーーーーーーーーー
[38.530] (S)papopopo: papopopo subscribed at Tier 1. They've subscribed for 10 months! ｵﾊﾖｵﾊﾖ
[38.711] hondagb350: オハヨオハヨ
[38.746] (S)しゅりな: ｵﾊﾖ ｵﾊﾖ
[38.920] tamamorisenpai: ｵﾊﾖｵﾊﾖ
[38.931] tyotyo111: ファンちゃぁぁぁぁん
[38.980] (S)マルディー: ｵﾊﾖｵﾊﾖ
[39.013] (S)めがね777: 200日おめでとう！！！
[39.053] 紺碧のくまさん: おは
[39.146] (S)konpe1: ｵﾊﾖｵﾊﾖ
[39.150] hiyamugi0141: 200日だ！
[39.199] madowakusan: こんばんは〜♪(ｏ'ー'ｏ)ﾉ
[39.360] (S)らる_: おはよおはよ
[39.438] (S)ninnjinnbee: ｵﾊﾖｵﾊﾖ
[39.581] (S)ゆーうと: fantas22Muscle
[39.625] rikkuma0331: ｵﾊﾖｵﾊﾖ
[39.886] motoakisan: おはよおはよ
[40.113] (S)キャキャロット0911: HypeCheer
[40.219] (S)元気なデブ: うぃーばんわ
[40.381] patto_1023: おいす
[40.530] (S)なすかわ__: 200日おめでとーーー！！！
[40.597] tyabasira1989: おいすー
[40.798] (S)yukky_games_: ｵﾊﾖ､ｵﾊﾖ
[41.020] (S)takeshogogo: うい～～～
[41.049] (S)しゅうげっそー: 200ｵﾊﾖｵﾊﾖ
[41.283] (S)ぼんばくん: ｵﾊﾖｵﾊﾖ
[41.295] 無料の屍: こんばんは
[41.359] sheseec: ２００日おめでとーーーー
[41.513] (S)ishibashikun: こんばんは
[41.532] (S)えなちゃ丸: ｵﾊﾖｵﾊﾖ
[41.628] (S)のむけん: fantas22Ta
[41.784] sarada2345: ｵﾊﾖｵﾊﾖ
[41.991] (S)Maccho8181: Maccho8181 subscribed with Prime. They've subscribed for 6 months! 
[42.143] kamase1nu422: 熱いタイミングや！
[42.180] 長月グリコ: おはよ〜
[42.358] karrrmt: MercyWing1
[42.377] (S)rippuuuto: fantas22Muscle
[42.442] ファボン4747: ｵﾊﾖ ｵﾊﾖ
[42.594] (S)のあ96: オハヨオハヨ 祝200日！！
[42.609] (S)ふま6853: ｵﾊﾖｵﾊﾖ
[42.664] (S)キャキャロット0911: DinoDance
[42.876] りょんちゃ: ｵﾊﾖｵﾊﾖ
[43.121] haihaikunn: オハヨオハヨ
[43.261] (S)げってぃはミートソース: 王！ｵﾊﾖｵﾊﾖ 200日目！！
[43.329] rakki141: おはこんばんにちは
[43.394] (S)tondura23: おは
[43.569] ajarei: 200日おめでとー
[43.589] (S)musan1125: ｵﾊﾖｵﾊﾖ
[43.664] (S)sorama6210: こんばんは
[43.699] (S)ヤマヒー: fantas22Nice
[43.894] (S)oserotuna: ｵﾊﾖｵﾊﾖ
[43.913] (S)べべ3: ｵﾊﾖｵﾊﾖ
[43.995] め_ちゃん: ｵﾊﾖｵﾊﾖ
[44.015] (S)やしがにさん: おいすー
[44.091] (S)ura_frst: fantas22Muscle
[44.114] rinori_ddd: こんばんは
[44.130] senaoooooo: 祝200日です！
[44.254] (S)chigirip4n: オハヨオハヨ
[44.352] (S)lulufette: オハヨ オハヨ
[44.459] (S)_ととまる_: こん
[44.659] (S)やんぴー0331: やんぴー0331 subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! おっおー
[44.668] (S)テバ_02: おっ王〜🎵
[44.674] asuka0569: おいす
[44.702] (S)宗像とーや: こんばんはー！！
[44.897] (S)tapiokakun2525: うぃー
[45.106] terasu25: ｵﾊﾖｵﾊﾖ
[45.127] kurupuu: オハヨオハヨ
[45.259] (S)スカイライン乗り: ｵﾊﾖ ｵﾊﾖ
[45.268] (S)おとうさんパラダイス: 200日おめでた
[45.271] karrrmt: MercyWing2
[45.321] (S)なぎすけ3131: こんばんは
[45.325] (S)のるんくん: 200日おめでとう〜！！！
[45.441] (S)蛙田いぶき: 200日だ〜〜〜！！
[45.468] (S)milkshoot: おはよおはよ
[45.561] (S)godlessgp: fantas22Dani
[46.123] (S)バロン67: こん
[46.319] (S)dai9cb1000r: fantas22Muscle
[46.527] (S)technobreakerz: ｵﾊﾖｵﾊﾖ
[46.887] (S)17yamaha: 17yamaha subscribed at Tier 1. They've subscribed for 6 months! 
[47.224] (S)~MISSING_COMMENTER_INFO~: おいすー
[47.445] (S)m4iyan: ｵﾊﾖｵﾊﾖ
[47.556] (S)banndana5115: 200日おめでとう！！！！
