[18.323] アベリア: オハヨオハヨ
[20.663] (S)ばむるく: おかえり
[25.611] pazujjo: おか
[32.330] (S)dai9cb1000r: うぃー 
[36.435] (S)タカラル: オㇵヨ
[36.525] (S)ぴかり0425: ｵｶｴﾘｵｶｴﾘ
[42.536] ぱさ: おかえり
[42.995] (S)catina5456: うい
[43.518] (S)ぽふぃん: はやいねー
[51.032] (S)なぎすけ3131: おかえりなさい
[59.451] (S)taipi7: fantas22Muscle
[74.508] hondagb350: おかえり
[83.859] かるめん1011: ｵﾊﾖｵﾊﾖ
[87.479] glasses02: おか
[94.011] tiga227: はや
[98.637] (S)ひるお: 2回目いつも通知ない 
[102.558] (S)クソネミクソ: おかえりー
[104.149] ponimonn: おは
[114.366] (S)tenmankougi: 通知なかった〜
[114.803] (S)たち_: おか
[115.500] (S)れぶりみ: おか
[116.828] (S)おいどん111: おかえりなさーい
[117.022] k140316: おかー
[118.797] nekonekotinpo: おかえり
[119.520] 暇人1231: おかえりー
[120.169] (S)~MISSING_COMMENTER_INFO~: きた
[120.805] (S)べねでぃくと: おかえり
[121.864] (S)apron_u: おかえり！
[122.188] (S)べべ3: ｵﾊﾖｵﾊﾖ
[123.626] (S)やんぴー0331: おかえりー
[123.812] hulkantos: おかえり
[124.874] (S)atui_samu: ｵｶｴﾘ､ｵｶｴﾘ
[125.232] popo1679: はや
[125.516] (S)ruruxxx02: 塩
[125.598] (S)つちのこ83: おかえりー
[126.813] 雪乃_にし: おかえり〜
[127.462] (S)zukky13mst: おかえり
[128.821] (S)しっぷう迅雷: fantas22Muscle
[128.991] (S)オムご飯: ｵｶｴﾘｵｶｴﾘ
[129.805] (S)たことまと: fantas22Muscle
[129.950] ゆっくり竜王竜也: ｵｶｴﾘｵｶｴﾘ
[130.008] (S)c_world_: ｵｶｴﾘｵｶｴﾘ
[130.893] (S)だいこん831: ナーフ分入ってきたか？
[131.509] (S)shingoshigaa: おかえり
[133.871] (S)ccc020202: あれ？
[133.908] ういくじら: おかえり
[135.868] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[136.055] (S)reika_momo: はやい
[137.985] ebitiri135: 風呂入った？w
[137.996] (S)ギプン: おかえり
[140.913] (S)けー353: あら？
[141.144] e_t_o__: おかえり
[141.716] (S)ccc020202: みんな寝た？
[141.966] (S)_龍角: おかえりー
[142.501] (S)YAMATO00_RoueN: おかえり
[142.973] まちまちまっち: おか
[143.183] (S)こしつぶのハーフちゃん: はっや
[147.233] (S)shingoshigaa: あれ
[150.593] pazujjo: fantas22Muscle
[151.394] (S)~MISSING_COMMENTER_INFO~: wwww
[153.567] ももけろ: ｵｶｴﾘｵｶｴﾘ
[154.654] (S)ruruxxx02: ワイプに備えて早くなってる
[155.744] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[157.290] (S)るびぃくん: ナーフされるのにこんな速さで大丈夫か？
[161.084] (S)riyu143: riyu143 subscribed at Tier 1. They've subscribed for 3 months, currently on a 2 month streak! 
[170.082] (S)xxxxxhiroxxxxx: KonCha
[171.018] (S)rei_lisbeth: ぱぱー！
[172.119] (S)かぐらんチャン: お、コンセと合同か
[172.154] racer0030: んんんんんんんんんんだ
[173.618] (S)ザッキー12: 通知来ないな
[176.927] (S)shingoshigaa: 合同あちぃー
[178.480] 無料の屍: おかえりー
[178.591] (S)テバ_02: おっ王〜🎵
[180.606] (S)ムーンバナナ: ｵﾊﾖｵﾊﾖ
[181.323] tkshan: 癖で数字打っちゃうよな
[181.431] おべいる: コンセまだ人少ないんかｗｗｗ
[182.013] (S)nyac6late: ｵﾊﾖｵﾊﾖ
[184.286] (S)kamakuradaibakuhu: fantas22Muscle
[184.590] たぁにぃ: fantas22Nice
[184.621] rinori_ddd: おかー
[184.864] (S)meru_sen: おけーり
[186.464] (S)qpchan: ｵﾊﾖｵﾊﾖ
[189.233] (S)uminncyu: おか
[189.852] (S)べべ3: ナーフに備えてふ、ろもアップデートしたか
[189.999] (S)kurao_supportsen: おかえりぃぃぃ！
[190.318] (S)じぇんじゃむ: じぇんじゃむ subscribed with Prime. 
[191.220] (S)tackey8120: おかえり、おかえり
[192.201] tkshan: コンセの服でいくんか
[193.730] (S)けー353: メアリーおるやんけ
[194.394] (S)らくとさん: ｵﾊﾖｵﾊﾖ
[195.826] asagaya_a: 通知来んかった😡
[196.079] (S)kurao_supportsen: あんたを待ってたんだ
[198.382] ぞのち: コンセが合わせる方が速くね
[200.821] nana43: ノーリミ合同率の高いイネヌコさん
[200.976] ysk_0w0: 通知こない人はXフォローして通知オンがおすすめ！！
[203.707] inukaitai__: ｵｶｴﾘｵｶｴﾘ
[204.448] (S)dateascka0930: ノーリミ入りたかったメアリーと合同とか胸熱
[207.863] okometora8: 🐕 ͗ ͗🐈
[211.236] (S)きゅむぉ: ｵﾊﾖ ｵﾊﾖ
[213.912] (S)harukabudou: harukabudou subscribed at Tier 1. They've subscribed for 2 months! 
[215.490] hondagb350: なつめさんはいないのか
[219.210] クオハユ: コンセ枠の合同だからあっちに合わせる
[220.390] (S)ky1124boc: おか
[226.921] (S)haba_kiri: ナツメさんとオソロになるんか…ほう
[228.748] (S)かぐらんチャン: 受注側に合わせてるんちゃうか
[232.679] (S)kurao_supportsen: ナニヤッテンダー星人は寝てるのか
[237.971] ぞのち: なるほどごめんなさい
[263.354] (S)kouaaagold: kouaaagold subscribed at Tier 1. They've subscribed for 9 months! 
[272.807] 紺碧のくまさん: こん
[273.258] (S)midori2795: メアリーもうおいなりさんって呼んでくれないんかな
[294.015] (S)じゃがいも揚げ犬: おかえりー
[298.926] (S)空祢瑠: おかえりなさい
[299.968] (M)Nightbot: 【Youtube Channel】https://www.youtube.com/channel/UCWlx7GTk0zQCi_0tKJhV72w
[307.414] (S)kohaku0782: おか王
[334.434] (S)dateascka0930: パトなのか救急なのか
[348.525] (S)ペコぉ: ペコぉ subscribed with Prime. They've subscribed for 6 months, currently on a 4 month streak! 
[349.399] (S)dateascka0930: ww
[355.887] rinori_ddd: ww
[356.155] (S)ハンターオリピー: あ
[356.641] (S)udon_54: バレてないかw
[362.761] (S)ふま6853: ブースティングしてそうｗ
[390.173] (S)ネオノアン: おかえり〜
[394.102] (S)chinpanmansan: おかえりー
[397.494] (S)tarako_0420: ｵｶｴﾘｵｶｴﾘ
[400.171] (S)qpchan: ｗ
[402.125] クオハユ: 似合わねえw
[403.474] (S)碇のあ: ういいい
[403.967] (S)ばむるく: なんかｗ
[404.842] みんみん458: にあわなww
[407.337] (S)tackey8120: けっつんにあわないwwwwwwwww
[407.396] (S)jinta135: ｵﾊﾖｵﾊﾖ
[410.758] (S)chinpanmansan: にあわねー
[411.790] (S)halichi3: んんんんんんんん
[415.000] (S)るびぃくん: ぼすもするのおもろい
[415.104] (S)ender_ear: 本間かっけーなこのスーツ
[417.008] snowy_nc: yooooooooooooooo
[421.918] 한글한글한글한글한글: 雅之さんやんけｗｗｗｗｗ
[426.219] (S)chinpanmansan: 今どういう状況？
[428.913] (S)ひるお: なつめとお揃い増えたね
[429.650] nana43: 夢のコンセル服
[434.922] taru_taru_k: オソロ
[436.262] sheseec: 似合わんww
[441.284] (S)~MISSING_COMMENTER_INFO~: 違和感すごい
[446.406] (S)tackey8120: すごい違和感w
[449.067] yukito127: ｗｗｗｗｗｗｗ
[449.569] (S)でじたま: なんか声渋くてかっこよ
[458.586] のあーーくん: 島の色オレンジで良かったなw
[467.591] (S)こくてんさん: 正直この衣装のセンス自体が
[469.696] (S)makina_8558: makina_8558 subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! 
[470.591] (S)riyu143: 似合わないな
[471.951] (S)~MISSING_COMMENTER_INFO~: なんか似合わないｗｗ
[483.254] (S)chinpanmansan: にあわねーwwww
[483.883] (S)ro__ots: 今からなんの合同ですか？
[486.934] (S)ccc020202: ほーん
[487.104] (S)飛びます飛びます: おじさん勢は似合わんなw
[488.740] (S)tackey8120: 一気に若くなったwww
[493.683] (S)~MISSING_COMMENTER_INFO~: CCと客船合同
[497.473] (S)kina_g1: これかっこい
[499.709] (S)maro_0827: この衣装可愛いと思うけどな
[500.698] (S)ro__ots: ありが
[502.861] (S)chinpanmansan: ありがとー
[504.653] いきててくさ: これから何するところですか？
[505.563] momo_dada: シワがあった方がいいな
[505.618] rouhey: ifのヘラシギになりそう
[507.125] yukito127: ｗｗｗｗｗｗｗｗｗ
[508.600] (S)たく也: ジャージいい
[509.776] (S)はふやん: ｗｗｗｗｗ
[511.029] (S)tackey8120: wwwwww
[511.775] (S)zukky13mst: wwww
[512.194] meshi_oji: www
[512.456] (S)ネオノアン: wwww
[512.918] (S)qpchan: 逆にあり
[513.814] nana43: ｗｗｗ
[514.528] rikkuma0331: ヤンキーみたいでかっこいい
[515.806] (S)おいどん111: ｗｗ
[516.576] (S)八咫烏: ｗ
[517.101] (S)tarako_0420: 草
[518.781] _ゆきの_: 笑われてます
[520.232] (S)tackey8120: エケチェンもウキウキです
[521.389] (S)sakae_gumi: 笑われてらぁ
[522.745] 40sclassic: ダボっとした感じ似合いそう
[524.972] (S)musan1125: 半パンにしようw
[525.923] (S)つちのこ83: ダルってしてた方が似合いそうw
[526.058] (S)udon_54: まるは元気だな
[529.025] kouri0315: サングラスと帽子なくてもかっこいい
[529.859] hasse0908: 半ズボンでも良さそう笑
[530.539] (S)xxxxxhiroxxxxx: そんな笑処あるか？ｗ
[533.466] (S)atui_samu: センスの分かれ目
[533.781] (S)kuropang: 柄めちゃくちゃに入ってても、敢えてアリ？
[535.289] (S)tackey8120: まちょはしっくりきそう
[536.541] (S)ぴじぃ: ぴじぃ subscribed at Tier 1. They've subscribed for 9 months! 
[538.581] user127438539: 阪神ｗｗｗｗ
[542.320] (M)Nightbot: 【Twitter】https://twitter.com/Fanta_JPN
[542.548] rikkuma0331: 阪神タイガースやん
[544.199] (S)kurao_supportsen: まるが居るだけで場の空気変わるなぁ
[545.126] (S)rei_lisbeth: とらおありがとう
[547.790] (S)kina_g1: 焦げ虫ペダルのズボンでもいい
[550.055] dmjhta3: そんな悩む？w
[552.883] (S)なるぴー: ズボン結構どれでも合うな
[556.313] aosusuki: おはよー
[558.913] みんみん458: ええね
[559.137] (S)ネオノアン: ヘラシギやんけwww
[559.445] _ゆきの_: wwww
